body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.002823,0.000997,-0.002060,0.101761,-0.000042,-0.002945,-0.017347,-0.018081,0.004221,-0.021538,-0.009008,0.003805,0.102982,-0.005629,-0.002193,-0.004637,-0.001084,-0.000302,-0.012177,0.012619,-0.004082,-0.007440,0.003223,-0.004374,-0.383590,0.456884,-0.069331,0.185682,0.028359,-0.033099,-0.128970,-0.323754,0.612293,-0.423350,-0.559622,0.119222,0.181044,-0.036495,0.034678,0.074042,-0.268587,-0.703946
0.006145,0.001928,-0.004398,0.080593,0.000759,-0.005133,-0.010115,-0.012901,0.003010,-0.018217,-0.002975,0.002759,0.081118,-0.006423,-0.004146,-0.001955,-0.001439,-0.001286,-0.004607,0.007119,-0.003325,-0.003974,0.004807,-0.007817,-0.294658,0.359382,-0.058610,0.140437,0.030107,-0.025550,-0.141654,-0.291740,0.553769,-0.333635,-0.441779,0.090706,0.129930,-0.038540,0.023800,0.030761,-0.248038,-0.635276
0.011033,0.002984,-0.007571,0.061072,0.001510,-0.008244,-0.000749,-0.007461,0.001414,-0.013219,0.000715,0.001718,0.060285,-0.006087,-0.007186,0.003505,-0.001528,-0.002753,0.002335,0.002178,-0.002706,0.004662,0.006403,-0.011910,-0.193426,0.252532,-0.047149,0.098231,0.030416,-0.020628,-0.144726,-0.251441,0.476871,-0.229144,-0.312834,0.058328,0.079793,-0.041980,0.011577,-0.009471,-0.220659,-0.549024
0.016858,0.003822,-0.010719,0.046052,0.001921,-0.011233,0.007279,-0.003050,-0.000206,-0.007958,0.001809,0.000898,0.044114,-0.004719,-0.010305,0.008976,-0.001262,-0.004111,0.006538,-0.000957,-0.002200,0.015944,0.007726,-0.015354,-0.101737,0.157799,-0.036844,0.067536,0.028298,-0.019531,-0.134232,-0.208692,0.391512,-0.131214,-0.198177,0.028983,0.041145,-0.045374,0.000831,-0.036275,-0.188604,-0.455250
0.022882,0.004355,-0.012981,0.035411,0.001830,-0.012856,0.010891,-0.000410,-0.001336,-0.003888,0.001403,0.000387,0.033246,-0.002899,-0.012199,0.011398,-0.000722,-0.004714,0.007467,-0.001959,-0.001769,0.026137,0.008456,-0.016822,-0.035304,0.088967,-0.028416,0.050282,0.023801,-0.020800,-0.112179,-0.169133,0.309701,-0.056527,-0.114325,0.008069,0.019031,-0.046450,-0.006329,-0.044968,-0.154622,-0.364280
0.028960,0.004948,-0.014384,0.027770,0.001369,-0.012773,0.009931,0.000614,-0.001675,-0.001520,0.000703,0.000136,0.026447,-0.001252,-0.012417,0.010201,-0.000065,-0.004547,0.006654,-0.001418,-0.001561,0.033505,0.008480,-0.016063,0.003813,0.047348,-0.021775,0.043159,0.018225,-0.021647,-0.084149,-0.135647,0.240120,-0.009007,-0.063128,-0.003285,0.012988,-0.043336,-0.009636,-0.037073,-0.121276,-0.283421
0.035322,0.006059,-0.015762,0.022375,0.000905,-0.011852,0.006923,0.000753,-0.001400,-0.000471,0.000254,0.000039,0.022586,-0.000115,-0.011758,0.007375,0.000637,-0.004318,0.006395,-0.000189,-0.001857,0.038884,0.008111,-0.013982,0.023232,0.026279,-0.016839,0.041659,0.013265,-0.020119,-0.055416,-0.108307,0.186048,0.017571,-0.036453,-0.007502,0.019591,-0.035427,-0.009985,-0.017488,-0.090545,-0.216211
0.041476,0.007635,-0.017557,0.019255,0.000773,-0.011314,0.004809,0.000759,-0.000999,-0.000115,0.000069,0.000009,0.021203,0.000527,-0.011424,0.005137,0.001370,-0.004689,0.007813,0.001118,-0.002718,0.043499,0.007908,-0.011429,0.031554,0.017672,-0.013410,0.042228,0.009858,-0.015867,-0.029539,-0.085686,0.146870,0.031629,-0.023814,-0.007631,0.033845,-0.023529,-0.007953,0.007803,-0.063642,-0.162931
0.045638,0.008970,-0.018974,0.018363,0.001053,-0.011584,0.005233,0.001049,-0.000869,-0.000022,0.000014,0.000002,0.021739,0.000878,-0.011826,0.004148,0.002001,-0.005472,0.010006,0.002123,-0.003716,0.047020,0.008139,-0.008311,0.033540,0.015295,-0.010713,0.042094,0.007955,-0.009539,-0.009193,-0.065899,0.120324,0.038507,-0.017151,-0.005390,0.049601,-0.009686,-0.003607,0.032567,-0.041211,-0.121805
0.045971,0.009289,-0.018675,0.019049,0.001520,-0.011988,0.008255,0.001593,-0.001061,-0.000003,0.000002,0.000000,0.023004,0.001041,-0.012250,0.003769,0.002273,-0.005787,0.010991,0.002533,-0.004150,0.048018,0.008451,-0.004157,0.030850,0.015126,-0.007810,0.039145,0.007221,-0.001979,0.003442,-0.047567,0.103468,0.040446,-0.012279,-0.001507,0.061126,0.003221,0.002265,0.051373,-0.023701,-0.090520
0.042701,0.008433,-0.016198,0.020371,0.001773,-0.011518,0.012677,0.001991,-0.001318,0.000000,0.000000,0.000000,0.023761,0.000891,-0.011659,0.003399,0.002084,-0.005040,0.009631,0.002261,-0.003651,0.045941,0.008116,0.000743,0.024837,0.014904,-0.004564,0.032793,0.007561,0.006183,0.007729,-0.030889,0.092779,0.039000,-0.008148,0.003063,0.065466,0.012467,0.007568,0.061270,-0.011326,-0.067213
0.038496,0.006906,-0.012416,0.021787,0.001569,-0.009840,0.016780,0.001842,-0.001342,0.000000,0.000000,0.000000,0.023609,0.000327,-0.009726,0.003336,0.001699,-0.003546,0.006609,0.001558,-0.002508,0.042042,0.006816,0.005145,0.017795,0.013883,-0.001805,0.024308,0.009039,0.014427,0.005287,-0.017529,0.084627,0.036273,-0.004805,0.006866,0.063259,0.016961,0.010038,0.062507,-0.003427,-0.050736
0.036526,0.005301,-0.008782,0.023318,0.001179,-0.007599,0.019441,0.001278,-0.001102,0.000000,0.000000,0.000000,0.022851,-0.000339,-0.007086,0.004602,0.001578,-0.002104,0.003536,0.000834,-0.001342,0.038345,0.005244,0.007700,0.012092,0.012668,-0.000466,0.015633,0.011761,0.021861,-0.001022,-0.008789,0.076289,0.034184,-0.001579,0.008670,0.057275,0.018029,0.008831,0.057562,0.001896,-0.040525
0.038308,0.003873,-0.006385,0.025038,0.001234,-0.005838,0.020704,0.000951,-0.000868,0.000000,0.000001,-0.000002,0.021626,-0.000481,-0.004715,0.008111,0.001985,-0.001178,0.001473,0.000348,-0.000557,0.036156,0.004719,0.007802,0.008866,0.012545,-0.000818,0.008035,0.015746,0.026983,-0.008607,-0.004137,0.066642,0.033373,0.002846,0.008151,0.050206,0.018287,0.004964,0.049461,0.006849,-0.035881
0.043045,0.002584,-0.005498,0.026551,0.002022,-0.005148,0.021228,0.001322,-0.000878,0.000000,0.000008,-0.000013,0.019516,0.000146,-0.003151,0.013881,0.002782,-0.000632,0.000470,0.000114,-0.000169,0.035502,0.005922,0.005795,0.007672,0.014178,-0.002502,0.001997,0.020469,0.028204,-0.015571,-0.001761,0.055756,0.033005,0.008819,0.005960,0.043164,0.019237,0.000563,0.040442,0.012147,-0.034970
