body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.001160,-0.024085,-0.002802,-0.001315,-0.021024,-0.002667,-0.001257,0.013392,0.000091,0.005652,0.006664,-0.000943,-0.001311,-0.020696,-0.002432,0.000135,0.013940,-0.000485,-0.004422,0.006668,-0.001383,-0.001042,-0.023973,-0.002817,-0.000600,-0.028803,-0.003411,-0.090432,-0.105755,-0.021207,-0.097396,-0.067694,-0.027661,-0.000287,-0.028727,-0.002400,0.108695,-0.114532,-0.028847,0.119878,-0.081287,-0.037151
-0.000935,-0.022273,-0.002207,-0.001246,-0.019850,-0.002252,-0.001503,0.008642,0.000059,0.003808,0.003969,-0.000683,-0.001235,-0.019072,-0.001753,0.000492,0.009455,-0.000119,-0.002591,0.003978,-0.000786,-0.000732,-0.022260,-0.002212,-0.000032,-0.026851,-0.003006,-0.074424,-0.089967,-0.017586,-0.081445,-0.059471,-0.022814,0.000236,-0.025853,-0.001608,0.090693,-0.097251,-0.023306,0.101696,-0.072104,-0.029851
-0.000587,-0.020348,-0.001609,-0.001074,-0.018418,-0.001869,-0.001695,0.003916,-0.000019,0.001786,0.002320,-0.000360,-0.001056,-0.016940,-0.001071,0.000681,0.005086,0.000220,-0.000989,0.002425,-0.000117,-0.000286,-0.020591,-0.001585,0.000677,-0.026005,-0.002751,-0.055063,-0.071678,-0.013536,-0.062019,-0.049231,-0.017454,0.000885,-0.023807,-0.000950,0.068967,-0.076731,-0.017101,0.079882,-0.060375,-0.021753
-0.000197,-0.018797,-0.001151,-0.000832,-0.017074,-0.001605,-0.001739,-0.000006,-0.000153,0.000099,0.001754,-0.000077,-0.000805,-0.014786,-0.000558,0.000634,0.001610,0.000422,-0.000016,0.002069,0.000432,0.000192,-0.019428,-0.001082,0.001387,-0.026586,-0.002734,-0.035996,-0.054526,-0.009872,-0.042609,-0.038886,-0.012665,0.001534,-0.023188,-0.000579,0.047522,-0.056862,-0.011441,0.058340,-0.048089,-0.014461
0.000121,-0.017910,-0.000853,-0.000600,-0.016100,-0.001447,-0.001585,-0.002963,-0.000302,-0.000850,0.001413,0.000089,-0.000567,-0.013127,-0.000252,0.000412,-0.000843,0.000492,0.000274,0.001988,0.000758,0.000564,-0.018976,-0.000733,0.001930,-0.028041,-0.002841,-0.020602,-0.041378,-0.007095,-0.026504,-0.030288,-0.009112,0.002026,-0.023841,-0.000457,0.030037,-0.041107,-0.007165,0.040501,-0.037346,-0.009077
0.000338,-0.017630,-0.000609,-0.000436,-0.015528,-0.001306,-0.001237,-0.005142,-0.000392,-0.000966,0.000593,0.000156,-0.000397,-0.012118,-0.000012,0.000185,-0.002475,0.000575,0.000186,0.001337,0.000945,0.000802,-0.019105,-0.000440,0.002247,-0.029556,-0.002851,-0.010288,-0.033046,-0.005207,-0.015186,-0.024280,-0.006793,0.002309,-0.025194,-0.000418,0.018150,-0.030862,-0.004413,0.027733,-0.029173,-0.005786
0.000536,-0.017679,-0.000312,-0.000327,-0.015181,-0.001132,-0.000768,-0.006616,-0.000388,-0.000488,-0.000469,0.000198,-0.000283,-0.011481,0.000328,0.000113,-0.003307,0.000829,0.000104,0.000241,0.001171,0.001010,-0.019523,-0.000099,0.002457,-0.030772,-0.002661,-0.004415,-0.028700,-0.003966,-0.008237,-0.020678,-0.005372,0.002501,-0.026801,-0.000328,0.011397,-0.025475,-0.002835,0.019435,-0.023308,-0.004138
0.000783,-0.017793,0.000033,-0.000243,-0.014891,-0.000966,-0.000331,-0.007329,-0.000325,0.000126,-0.001025,0.000267,-0.000191,-0.010867,0.000791,0.000203,-0.003248,0.001266,0.000164,-0.000535,0.001519,0.001280,-0.019973,0.000285,0.002734,-0.031771,-0.002384,-0.001447,-0.026980,-0.003198,-0.004338,-0.018866,-0.004566,0.002773,-0.028477,-0.000166,0.008229,-0.023381,-0.001973,0.014119,-0.018985,-0.003507
0.001039,-0.017893,0.000331,-0.000179,-0.014665,-0.000856,-0.000109,-0.007439,-0.000250,0.000411,-0.000801,0.000372,-0.000118,-0.010295,0.001241,0.000303,-0.002601,0.001727,0.000193,-0.000605,0.001899,0.001571,-0.020340,0.000613,0.003127,-0.032559,-0.002199,-0.000035,-0.026692,-0.002829,-0.002227,-0.018305,-0.004200,0.003173,-0.030095,0.000009,0.006982,-0.023156,-0.001470,0.010385,-0.015821,-0.003347
0.001223,-0.018098,0.000495,-0.000108,-0.014694,-0.000799,-0.000144,-0.007433,-0.000179,0.000199,-0.000317,0.000503,-0.000043,-0.010193,0.001503,0.000297,-0.002207,0.002007,0.000035,-0.000425,0.002145,0.001773,-0.020662,0.000788,0.003532,-0.032881,-0.002164,0.000624,-0.026950,-0.002745,-0.001095,-0.018668,-0.004074,0.003591,-0.031454,0.000133,0.006431,-0.023871,-0.001126,0.007409,-0.013960,-0.003272
