body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
0.000279,0.014440,0.792431,0.115252,0.010816,0.658228,0.094800,0.034729,0.353643,0.075216,0.063389,0.038159,-0.117635,0.012277,0.660702,-0.105916,0.028416,0.355178,-0.093021,0.059042,0.039457,0.001146,0.021002,0.846169,0.148397,-0.011690,1.074729,0.185583,-0.010350,0.894341,0.194856,-0.040133,0.712648,-0.132565,-0.015093,1.082457,-0.184963,-0.023457,0.906097,-0.205865,-0.062253,0.727091
0.000253,0.013906,0.792357,0.115227,0.010370,0.658161,0.094784,0.035159,0.353645,0.075381,0.063658,0.038136,-0.117661,0.011831,0.660633,-0.105932,0.028848,0.355157,-0.093179,0.059312,0.039414,0.001120,0.020468,0.846094,0.148370,-0.012368,1.074644,0.183369,-0.012888,0.893816,0.192505,-0.041682,0.711957,-0.132585,-0.015791,1.082378,-0.182331,-0.026201,0.905362,-0.202997,-0.064093,0.726136
0.000224,0.013462,0.792316,0.115189,0.009910,0.658118,0.094736,0.035102,0.353636,0.075437,0.063311,0.038094,-0.117699,0.011365,0.660605,-0.105831,0.028833,0.355160,-0.093047,0.058956,0.039385,0.001099,0.020056,0.846049,0.148400,-0.012598,1.074600,0.181769,-0.014715,0.893475,0.190762,-0.043077,0.711541,-0.132548,-0.015982,1.082413,-0.180375,-0.028154,0.904982,-0.200872,-0.065709,0.725668
0.000188,0.013197,0.792341,0.115153,0.009645,0.658143,0.094701,0.034837,0.353661,0.075402,0.063045,0.038119,-0.117734,0.011100,0.660630,-0.105866,0.028568,0.355185,-0.093083,0.058691,0.039410,0.001064,0.019791,0.846074,0.148364,-0.012886,1.074623,0.181343,-0.015296,0.893431,0.190185,-0.043607,0.711482,-0.132581,-0.016287,1.082438,-0.179848,-0.028962,0.904892,-0.200143,-0.066581,0.725570
0.000221,0.012867,0.792329,0.115138,0.009376,0.658092,0.094619,0.035034,0.353653,0.075291,0.063556,0.038142,-0.117748,0.010922,0.660660,-0.105830,0.028767,0.355239,-0.093002,0.059173,0.039492,0.001115,0.019427,0.846067,0.148428,-0.013556,1.074564,0.181176,-0.015918,0.893328,0.189865,-0.044064,0.711346,-0.132517,-0.016818,1.082415,-0.179455,-0.029560,0.904786,-0.199479,-0.067183,0.725436
0.000287,0.012504,0.792300,0.115196,0.009043,0.658055,0.094640,0.034953,0.353639,0.075286,0.063722,0.038154,-0.117689,0.010752,0.660634,-0.105787,0.028820,0.355226,-0.092969,0.059405,0.039496,0.001197,0.019018,0.846043,0.148586,-0.014394,1.074429,0.181156,-0.016643,0.893160,0.189663,-0.044586,0.711138,-0.132358,-0.017401,1.082409,-0.179118,-0.030025,0.904725,-0.198902,-0.067647,0.725350
0.000232,0.012171,0.792263,0.115141,0.008710,0.658018,0.094585,0.034620,0.353602,0.075230,0.063389,0.038117,-0.117744,0.010419,0.660597,-0.105842,0.028487,0.355189,-0.093024,0.059072,0.039459,0.001142,0.018685,0.846006,0.148531,-0.014727,1.074392,0.181100,-0.016976,0.893123,0.189601,-0.044916,0.711101,-0.132413,-0.017734,1.082372,-0.179174,-0.030359,0.904688,-0.198785,-0.068154,0.725330
0.000214,0.011814,0.792254,0.115103,0.008483,0.657986,0.094534,0.034653,0.353594,0.075192,0.063593,0.038125,-0.117781,0.010281,0.660600,-0.105898,0.028611,0.355207,-0.093111,0.059349,0.039491,0.001137,0.018249,0.846006,0.148586,-0.015562,1.074295,0.181073,-0.017585,0.893009,0.189501,-0.045224,0.710938,-0.132357,-0.018485,1.082358,-0.178980,-0.030874,0.904622,-0.198339,-0.068582,0.725219
0.000271,0.011406,0.792301,0.115160,0.008076,0.658033,0.094591,0.034246,0.353640,0.075249,0.063185,0.038171,-0.117724,0.009874,0.660647,-0.105841,0.028204,0.355254,-0.093054,0.058941,0.039538,0.001194,0.017842,0.846052,0.148643,-0.015970,1.074342,0.181130,-0.017993,0.893056,0.189554,-0.045629,0.710984,-0.132300,-0.018893,1.082405,-0.178923,-0.031281,0.904668,-0.198278,-0.068987,0.725265
0.000312,0.011067,0.792308,0.115150,0.007818,0.657992,0.094662,0.034125,0.353605,0.075402,0.063260,0.038150,-0.117732,0.009779,0.660693,-0.105766,0.028240,0.355311,-0.092914,0.058883,0.039588,0.001252,0.017424,0.846069,0.148697,-0.016752,1.074306,0.181113,-0.018526,0.893005,0.189422,-0.045921,0.710891,-0.132246,-0.019543,1.082382,-0.178709,-0.031647,0.904584,-0.197917,-0.069103,0.725113
0.000344,0.010762,0.792296,0.115122,0.007661,0.657921,0.094597,0.034277,0.353563,0.075327,0.063657,0.038133,-0.117756,0.009820,0.660727,-0.105805,0.028677,0.355369,-0.093000,0.059424,0.039652,0.001309,0.017008,0.846069,0.148840,-0.017677,1.074175,0.181167,-0.019250,0.892856,0.189518,-0.046274,0.710688,-0.132100,-0.020434,1.082359,-0.178533,-0.032265,0.904535,-0.197892,-0.069203,0.724973
0.000343,0.010392,0.792343,0.115121,0.007292,0.657968,0.094597,0.033907,0.353610,0.075326,0.063287,0.038180,-0.117757,0.009450,0.660774,-0.105806,0.028307,0.355416,-0.093001,0.059054,0.039700,0.001308,0.016638,0.846116,0.148839,-0.018047,1.074222,0.181166,-0.019619,0.892903,0.189514,-0.046642,0.710735,-0.132101,-0.020803,1.082407,-0.178533,-0.032635,0.904582,-0.197890,-0.069572,0.725020
