body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
-0.703572,0.020965,0.013131,0.710194,-0.702684,0.044216,0.022644,0.709766,0.760484,0.017179,0.055827,-0.646724,0.762873,-0.020266,-0.009103,-0.646167,-0.703089,0.039213,0.045939,0.708532,-0.654255,-0.049232,-0.025286,0.754247,-0.654685,-0.001735,0.004864,0.755884,0.708440,0.034499,0.054430,-0.702823,-0.697069,-0.105442,0.050068,0.707439,-0.373310,-0.601836,-0.241018,0.663584,0.434040,0.622000,0.221083,-0.613064,0.712687,-0.099623,0.119069,-0.684087,0.658188,0.187769,0.627716,-0.370815,0.616950,0.264462,0.599218,-0.436315
-0.703572,0.020965,0.013131,0.710194,-0.702735,0.043197,0.021634,0.709809,0.760545,0.017174,0.055444,-0.646685,0.762905,-0.020267,-0.009489,-0.646123,-0.703133,0.038192,0.044929,0.708609,-0.654216,-0.048894,-0.025242,0.754304,-0.654641,-0.001395,0.004905,0.755922,0.708440,0.034499,0.054430,-0.702823,-0.697273,-0.097651,0.049533,0.708394,-0.371280,-0.602811,-0.242599,0.663261,0.439576,0.622301,0.223164,-0.608039,0.714078,-0.098639,0.109978,-0.684301,0.658095,0.189366,0.628564,-0.368725,0.614826,0.271411,0.595947,-0.439513
-0.703584,0.021199,0.013315,0.710171,-0.702775,0.042744,0.021152,0.709811,0.760596,0.016929,0.055016,-0.646669,0.762916,-0.020845,-0.009509,-0.646091,-0.703182,0.037505,0.044579,0.708619,-0.654277,-0.048560,-0.024787,0.754287,-0.654681,-0.001485,0.005214,0.755885,0.708397,0.033934,0.054037,-0.702924,-0.697378,-0.091450,0.049513,0.709118,-0.370470,-0.602987,-0.243403,0.663260,0.445354,0.622096,0.224553,-0.603517,0.714970,-0.098508,0.102869,-0.684494,0.658161,0.189966,0.628874,-0.367770,0.613326,0.276923,0.592381,-0.442978
-0.703584,0.021199,0.013315,0.710171,-0.702775,0.042744,0.021152,0.709811,0.760596,0.016929,0.055016,-0.646669,0.762916,-0.020845,-0.009509,-0.646091,-0.703182,0.037505,0.044579,0.708619,-0.654277,-0.048560,-0.024787,0.754287,-0.654681,-0.001485,0.005214,0.755885,0.708397,0.033934,0.054037,-0.702924,-0.697404,-0.090134,0.049331,0.709274,-0.370309,-0.602777,-0.243622,0.663460,0.450233,0.621450,0.225040,-0.600372,0.715283,-0.098422,0.100827,-0.684483,0.658453,0.190050,0.628586,-0.367696,0.612463,0.280427,0.589161,-0.446249
-0.703438,0.021106,0.012969,0.710324,-0.702658,0.042257,0.020560,0.709974,0.760625,0.017291,0.055384,-0.646593,0.762972,-0.020611,-0.009432,-0.646034,-0.703067,0.037004,0.044203,0.708783,-0.654201,-0.048905,-0.025082,0.754321,-0.654624,-0.001887,0.004993,0.755935,0.708176,0.034233,0.054409,-0.703103,-0.697192,-0.089799,0.048748,0.709566,-0.370022,-0.602641,-0.244130,0.663558,0.453814,0.621020,0.225713,-0.597863,0.715310,-0.097929,0.100027,-0.684643,0.658816,0.190423,0.628161,-0.367580,0.611962,0.283361,0.586439,-0.448662
-0.703193,0.020830,0.012646,0.710581,-0.702421,0.042019,0.020230,0.710233,0.760492,0.017567,0.055689,-0.646717,0.762861,-0.020654,-0.009431,-0.646164,-0.702829,0.036756,0.043927,0.709049,-0.654062,-0.049079,-0.025317,0.754423,-0.654497,-0.002006,0.004862,0.756046,0.707805,0.034530,0.054992,-0.703417,-0.696808,-0.089713,0.048184,0.709991,-0.369136,-0.602772,-0.244242,0.663890,0.456263,0.620920,0.225925,-0.596020,0.715141,-0.097358,0.099848,-0.684927,0.659055,0.190972,0.627693,-0.367666,0.611390,0.285836,0.583993,-0.451056
-0.703193,0.020830,0.012646,0.710581,-0.702421,0.042019,0.020230,0.710233,0.760492,0.017567,0.055689,-0.646717,0.762861,-0.020654,-0.009431,-0.646164,-0.702829,0.036756,0.043927,0.709049,-0.654062,-0.049079,-0.025317,0.754423,-0.654497,-0.002006,0.004862,0.756046,0.707805,0.034530,0.054992,-0.703417,-0.696808,-0.089713,0.048184,0.709991,-0.369136,-0.602772,-0.244242,0.663890,0.458503,0.620696,0.226085,-0.594472,0.715141,-0.097358,0.099848,-0.684927,0.659468,0.190730,0.627259,-0.367792,0.611217,0.287099,0.582534,-0.452374
-0.703070,0.020371,0.012079,0.710727,-0.702306,0.041719,0.019932,0.710372,0.760494,0.017795,0.055860,-0.646693,0.762871,-0.020728,-0.009312,-0.646152,-0.702713,0.036479,0.043592,0.709199,-0.653944,-0.049205,-0.025544,0.754509,-0.654391,-0.001996,0.004757,0.756139,0.707648,0.034964,0.055627,-0.703504,-0.696618,-0.090008,0.047606,0.710180,-0.368278,-0.603131,-0.244552,0.663927,0.459651,0.620911,0.226475,-0.593211,0.715152,-0.096611,0.100006,-0.684999,0.659778,0.191293,0.626862,-0.367621,0.610922,0.288625,0.581229,-0.453479
-0.703070,0.020371,0.012079,0.710727,-0.702306,0.041719,0.019932,0.710372,0.760494,0.017795,0.055860,-0.646693,0.762871,-0.020728,-0.009312,-0.646152,-0.702713,0.036479,0.043592,0.709199,-0.653944,-0.049205,-0.025544,0.754509,-0.654391,-0.001996,0.004757,0.756139,0.707648,0.034964,0.055627,-0.703504,-0.696618,-0.090008,0.047606,0.710180,-0.368278,-0.603131,-0.244552,0.663927,0.461107,0.620759,0.226599,-0.592192,0.715152,-0.096611,0.100006,-0.684999,0.659778,0.191293,0.626862,-0.367621,0.610564,0.289440,0.580648,-0.454184
-0.702834,0.019994,0.011430,0.710981,-0.702084,0.041481,0.019870,0.710607,0.760374,0.018116,0.055975,-0.646815,0.762757,-0.020616,-0.009398,-0.646289,-0.702494,0.036230,0.043527,0.709433,-0.653803,-0.049170,-0.025365,0.754639,-0.654244,-0.002170,0.004784,0.756266,0.707446,0.035410,0.056089,-0.703648,-0.696404,-0.090367,0.046984,0.710386,-0.367590,-0.603272,-0.244865,0.664064,0.461489,0.620965,0.227012,-0.591520,0.715077,-0.095721,0.100192,-0.685175,0.659769,0.192229,0.626698,-0.367427,0.610194,0.290789,0.580019,-0.454623
