joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.128441,0.102713,0.020116,-0.019236,0.020960,-0.015831,0.175869,-0.137002,0.174060,0.020642,0.050691,-0.048029,-0.097087,-0.147584,-0.111343,0.249355,-0.284472,0.026962,-0.016655,-0.628862,0.669457,1.214126,1.202778,-0.059122,0.220654,0.039018,0.045179,0.153431,-0.014889
0.131314,0.105590,0.020116,-0.019236,0.020960,-0.015831,0.175869,-0.137002,0.174060,0.017218,0.047271,-0.058494,-0.108987,-0.147584,-0.111343,0.237598,-0.270303,0.026962,-0.016655,-0.630670,0.672009,1.233344,1.224110,-0.072395,0.238367,0.039018,0.043704,0.166229,-0.014889
0.133230,0.107654,0.019883,-0.019216,0.021498,-0.016026,0.175837,-0.136937,0.173294,0.014936,0.044648,-0.066018,-0.117878,-0.147391,-0.110509,0.229055,-0.259865,0.025922,-0.016327,-0.631094,0.673710,1.246919,1.239479,-0.084122,0.253976,0.039709,0.042287,0.177724,-0.014214
0.133230,0.107654,0.019883,-0.019216,0.021498,-0.016026,0.175837,-0.136937,0.173294,0.014936,0.044648,-0.067658,-0.120747,-0.147391,-0.110509,0.226942,-0.256888,0.025922,-0.016327,-0.631094,0.673710,1.249209,1.242922,-0.092756,0.265375,0.039709,0.040987,0.186617,-0.014214
0.134134,0.108282,0.019747,-0.019000,0.022044,-0.015825,0.176367,-0.136695,0.173616,0.014423,0.044305,-0.068205,-0.122259,-0.148003,-0.110524,0.225773,-0.254953,0.026090,-0.016131,-0.630311,0.673805,1.249973,1.243720,-0.099380,0.274038,0.039672,0.039772,0.193530,-0.014199
0.134082,0.108184,0.019534,-0.019049,0.022095,-0.016258,0.176708,-0.136310,0.174010,0.014427,0.044153,-0.068666,-0.123113,-0.148878,-0.110745,0.225309,-0.253458,0.026023,-0.016027,-0.630668,0.673633,1.250344,1.243370,-0.105000,0.281333,0.039639,0.038462,0.199452,-0.014725
0.134082,0.108184,0.019534,-0.019049,0.022095,-0.016258,0.176708,-0.136310,0.174010,0.014427,0.044153,-0.068666,-0.123113,-0.148878,-0.110745,0.225309,-0.253458,0.026023,-0.016027,-0.630668,0.673633,1.250344,1.242054,-0.108959,0.285831,0.039639,0.038462,0.203392,-0.014725
0.133473,0.107604,0.019590,-0.018883,0.022180,-0.016432,0.177088,-0.136197,0.174070,0.014140,0.043795,-0.068898,-0.123410,-0.149349,-0.111114,0.225225,-0.252344,0.025625,-0.016005,-0.631294,0.673303,1.250709,1.241176,-0.112470,0.289680,0.039578,0.037935,0.206866,-0.015368
0.133473,0.107604,0.019590,-0.018883,0.022180,-0.016432,0.177088,-0.136197,0.174070,0.014140,0.043795,-0.068898,-0.123410,-0.149349,-0.111114,0.225225,-0.252344,0.025625,-0.016005,-0.631294,0.673303,1.250709,1.241176,-0.115084,0.292232,0.039578,0.037935,0.209410,-0.015368
0.132446,0.106608,0.019773,-0.018229,0.022852,-0.016125,0.177365,-0.135954,0.173896,0.014347,0.043034,-0.068735,-0.123247,-0.149920,-0.110602,0.224906,-0.251304,0.025594,-0.015939,-0.631526,0.672868,1.250448,1.241182,-0.117042,0.294117,0.039872,0.037556,0.211364,-0.015685
