joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.143671,0.143864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.171167,-0.171025,-0.523263,-0.595031,0.000000,0.000000,-0.587881,0.708434,0.000000,0.000000,-0.090441,0.127566,0.960892,1.066595,-0.663649,0.885649,0.000000,-0.073741,0.639866,0.000000
0.095780,0.103174,-0.011634,0.001018,0.026863,-0.009740,-0.001578,0.003225,-0.038273,-0.114111,-0.131136,-0.376180,-0.444505,0.009631,0.041682,-0.427142,0.521913,-0.052004,0.016409,-0.021157,0.085050,0.678766,0.768447,-0.586328,0.780425,0.034582,-0.070829,0.574789,0.033772
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.082013,-0.143458,0.000000,0.000000,-0.105666,0.148878,0.000000,0.000000,0.000000,0.000000,0.114501,0.172150,-0.431684,0.569972,0.000000,-0.065005,0.444641,0.000000
0.045214,0.031390,-0.006823,0.010788,0.027326,0.010054,0.026489,0.012092,0.016101,-0.025643,-0.017119,-0.027338,-0.075622,-0.030592,-0.000709,-0.058430,0.096720,0.008377,0.009808,0.039130,0.004739,0.038171,0.039881,-0.331234,0.433147,-0.001866,-0.060767,0.345619,0.000728
-0.002614,-0.004887,-0.010621,-0.002441,0.002528,-0.021657,0.017024,0.019272,0.019698,0.000185,-0.007631,-0.023037,-0.042678,-0.043750,-0.011094,-0.023207,0.074743,-0.003369,0.005200,-0.017840,-0.008568,0.018561,-0.017500,-0.281010,0.364731,-0.001662,-0.065478,0.296103,-0.026298
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.065815,-0.197938,0.224905,0.000000,0.000000,0.197001,0.000000
-0.030422,-0.029012,0.002778,0.008289,0.004268,-0.008690,0.019026,0.005641,0.002991,-0.014353,-0.017879,-0.011646,-0.014875,-0.023539,-0.018442,-0.004183,0.055741,-0.019857,0.001108,-0.031295,-0.016531,0.018233,-0.043881,-0.175530,0.192465,-0.003039,-0.026380,0.173732,-0.032136
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.130716,0.127602,0.000000,0.000000,0.127193,0.000000
-0.051349,-0.049810,0.009170,0.032688,0.033613,0.015358,0.013817,0.012172,-0.008707,0.010370,-0.038063,0.008174,0.008162,-0.028577,0.025623,-0.015961,0.051992,-0.001559,0.003295,-0.011617,-0.021717,-0.013053,0.000298,-0.097895,0.094245,0.014715,-0.018922,0.097676,-0.015828
-0.053657,-0.036896,0.032956,0.019757,0.020877,0.002613,0.027957,0.014979,-0.000003,-0.010723,-0.051297,-0.044264,-0.032001,-0.021687,0.047340,-0.004937,0.023901,-0.021872,-0.011857,0.027859,0.049880,0.051945,0.083107,-0.081487,0.077569,0.022987,-0.001764,0.120089,0.014381
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.082645,0.082615,0.000000,0.000000,0.000000,0.000000
-0.018495,-0.017070,0.051312,-0.000242,0.002423,-0.014443,0.016377,0.013057,0.022081,0.016989,-0.024456,-0.059358,-0.015639,-0.046170,0.020994,-0.012803,0.025126,0.030972,0.007330,0.006503,0.033802,0.029087,0.090033,-0.077834,0.097868,0.000841,0.009077,0.057161,0.024333
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.068209,0.000000,0.000000,0.000000,0.000000,0.000000
-0.010765,-0.008777,0.027024,0.021898,0.027795,0.025816,0.004577,-0.006654,-0.001369,-0.015996,-0.025454,-0.028200,-0.001004,-0.035727,-0.010169,-0.027652,0.008327,-0.009537,0.002659,0.063556,-0.004655,-0.014651,0.044936,-0.022737,0.066482,-0.007812,0.000164,0.051218,0.007412
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.033428,-0.043525,0.015209,-0.013897,-0.013832,-0.023842,0.002287,-0.000662,-0.029924,0.001951,-0.006338,-0.030985,0.015831,-0.055278,-0.032104,-0.014682,-0.022134,-0.018378,0.013700,0.059158,-0.022063,-0.022519,0.019622,-0.015333,0.050220,0.001294,-0.005720,0.060018,-0.020186
-0.052616,-0.074060,0.001258,-0.004232,-0.004314,-0.014200,0.018176,0.020663,-0.039921,-0.014261,0.042312,-0.052900,-0.016700,-0.052223,-0.048746,-0.014635,-0.016175,-0.002376,0.014108,0.050911,-0.002697,-0.027454,-0.010651,-0.013143,0.048093,-0.004292,-0.006371,0.057423,-0.010466
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.052109,-0.067726,0.014807,-0.003991,-0.014483,-0.017877,0.008113,0.015786,-0.036876,0.007602,0.038139,-0.062374,-0.031638,-0.043761,-0.070648,-0.027062,-0.023825,0.017555,0.012402,0.036547,-0.003210,-0.005132,-0.004250,-0.008070,0.040001,-0.003473,0.000091,0.046151,-0.013674
-0.038822,-0.050586,-0.026277,-0.019603,-0.025513,-0.049963,0.008894,0.002430,-0.006338,0.016512,0.041900,-0.029306,-0.025264,-0.043225,-0.083108,-0.004891,-0.013265,-0.000984,0.032551,-0.050747,0.029191,0.016940,-0.042808,0.005789,0.058150,0.004601,0.007308,0.026112,0.013515
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.062916,-0.063156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.014409,-0.045497,-0.020595,-0.030807,-0.013736,-0.040179,-0.029372,0.034684,0.012336,0.004583,0.042737,-0.089065,-0.087319,-0.066181,-0.091203,-0.003546,0.019772,-0.007921,0.017904,-0.069329,0.030857,0.033432,-0.040805,-0.028534,0.060721,0.002952,-0.001082,0.013582,0.031281
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063036,0.000000,0.000000,0.000000,0.000000
-0.024215,-0.026134,-0.037406,-0.001329,-0.014725,-0.010661,0.018141,0.022680,0.015718,-0.000854,0.047799,-0.060389,-0.063855,-0.069350,-0.095962,-0.039737,0.038542,0.019359,0.014301,-0.003797,-0.050190,0.015366,-0.047678,-0.030379,0.021012,-0.000364,-0.021634,0.004993,-0.025763
-0.021187,-0.048137,-0.038070,-0.031461,-0.016276,-0.028206,0.010421,0.022195,0.009664,0.013501,0.041616,-0.033496,-0.018638,-0.030194,-0.076873,-0.027312,0.043151,0.020209,0.025028,-0.001663,-0.035635,-0.037652,-0.066584,-0.037228,0.014703,-0.014860,-0.023738,0.000965,-0.018696
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.074127,-0.068089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.042722,-0.046905,0.001556,-0.017899,-0.016320,-0.008477,-0.017610,-0.010509,0.019786,-0.014679,0.019267,-0.020228,-0.015922,-0.072565,-0.068951,-0.009380,0.037070,-0.008943,0.016884,0.026128,-0.036165,-0.064534,-0.036007,-0.016402,-0.054047,-0.022563,-0.001984,0.001173,-0.027698
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.070678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.048174,-0.039523,0.061431,-0.016148,-0.015446,0.001363,-0.006962,-0.009716,0.017828,-0.006031,-0.024955,0.003558,0.002829,-0.062700,-0.061009,-0.026666,0.031468,-0.015857,0.022006,0.012386,0.028154,-0.044817,0.008029,0.021845,-0.046550,-0.009875,0.004432,0.004230,-0.001499
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.030363,0.021646,0.070512,0.007319,0.009218,0.040861,0.008244,-0.059573,-0.010525,-0.017902,-0.151959,-0.012811,0.024971,-0.080985,-0.069316,-0.044080,0.023785,-0.023656,0.017575,-0.017470,0.001124,0.021696,0.026810,0.020304,-0.032364,-0.001950,0.044026,-0.001628,0.046927
0.010808,0.111342,0.043773,0.042676,0.040247,0.055966,-0.002676,-0.082926,0.027445,-0.010239,-0.176507,-0.027346,0.031707,-0.082108,0.001207,-0.026254,-0.022382,-0.025566,0.060990,-0.009519,0.006908,0.073534,-0.036901,0.003671,-0.018193,0.006198,0.019640,-0.007827,0.073758
0.062581,0.194772,0.000000,0.000000,0.000000,0.000000,0.000000,-0.121246,0.000000,0.000000,-0.282293,0.000000,0.000000,0.000000,0.099218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.119079,0.301927,0.045236,0.072998,0.073625,0.035899,-0.011440,-0.170169,0.116070,-0.064769,-0.426250,-0.045768,-0.006531,0.072137,0.305875,0.001089,-0.075435,-0.073198,0.088185,0.019312,0.055388,0.060570,-0.089538,-0.000305,0.049868,0.010422,0.029561,-0.006064,0.074141
0.147329,0.355505,0.033319,0.040006,-0.005648,0.072222,0.065815,-0.194633,0.110986,-0.048248,-0.498229,-0.024892,-0.016019,0.169215,0.409203,0.051980,-0.044386,-0.035751,0.081544,0.028342,0.033113,0.002015,-0.040030,-0.006253,0.083198,-0.028236,-0.022958,0.044364,0.028801
0.158989,-0.060853,0.067686,0.000000,0.000000,0.000000,0.000000,-0.244774,0.089324,-0.201126,0.240799,-0.092802,-0.099368,0.423276,0.305650,0.000000,-0.086193,0.000000,0.140434,0.000000,0.000000,0.000000,0.064987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010184,-0.323963,0.092541,0.071749,-0.071883,0.088453,0.006750,-0.236124,0.087214,0.049106,0.733354,-0.092441,-0.116836,0.355460,0.172478,0.070815,-0.094375,0.009726,0.145822,0.024733,-0.006026,-0.096089,0.016969,0.033721,0.037716,-0.035648,-0.019755,0.049908,-0.005545
-0.287424,-0.850186,0.000000,0.168039,-0.080264,0.128531,0.000000,-0.218823,0.082992,0.549578,1.718470,-0.091721,-0.151772,0.219823,-0.093877,0.000000,-0.110747,0.000000,0.156597,0.132173,-0.096753,-0.232196,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.809635,-1.009845,0.047416,0.118519,-0.210306,0.026065,-0.039401,-0.117137,0.061356,1.496087,1.933589,0.084748,-0.066167,-0.105572,-0.210448,0.114182,-0.141440,0.114840,0.192908,0.594282,-0.573969,-0.845492,-0.602621,0.074653,-0.123502,0.002795,0.115203,0.092193,0.025130
-1.070747,-1.089679,-0.026275,0.093759,-0.275327,-0.016779,-0.009918,-0.044197,0.033690,1.969358,2.041152,0.172985,-0.015577,-0.268275,-0.268736,0.106744,-0.156783,0.131964,0.211063,0.825348,-0.812593,-1.152134,-0.864393,0.044231,-0.213771,0.008603,0.191041,0.099189,0.023568
-2.282463,-1.046103,-0.310669,0.298137,-0.101871,0.059565,-0.238440,-0.074603,-0.088520,3.941315,1.450662,0.621403,0.463073,-1.412787,-0.113680,0.516704,-0.402433,0.252352,0.136366,1.286680,-1.849970,-3.405857,-2.853650,0.160164,-0.990787,0.153707,0.988887,0.548853,0.000000
-2.435184,-0.916133,-0.363309,0.442810,0.055104,0.232872,-0.220329,-0.142386,-0.072030,4.206032,1.179139,0.712146,0.750230,-1.527421,-0.048288,0.603350,-0.524817,0.274395,0.045947,1.287490,-2.087909,-4.370391,-3.715271,0.473651,-1.543874,0.469127,1.765543,1.066613,-0.022352
-2.740576,-0.656173,-0.468582,0.732148,0.369055,0.579483,-0.184110,-0.277943,0.000000,4.735374,0.636064,0.893621,1.324533,-1.756661,0.082494,0.776637,-0.769584,0.318474,0.000000,1.289091,-2.563748,-6.299388,-5.438406,1.100621,-2.650010,1.099962,3.318826,2.102102,-0.093423
-2.038933,-0.570886,-0.219699,0.182899,0.363724,0.612012,-0.852916,-0.143157,0.195893,2.861595,0.631326,0.244962,1.064631,-1.442047,-0.198652,0.391626,-0.620116,-0.003653,-0.101717,1.335912,-2.277093,-7.152102,-5.640307,0.505655,-1.612273,1.035939,2.625076,1.717418,-0.227193
-1.688124,-0.528245,-0.095259,-0.091723,0.361060,0.628280,-1.213862,-0.075770,0.313356,1.924713,0.628962,-0.079364,0.956098,-1.284750,-0.339226,0.199123,-0.545387,-0.164715,-0.085128,1.359333,-2.133770,-7.578477,-5.741283,0.208177,-1.093414,1.003932,2.278211,1.525082,-0.294078
-1.509761,-0.943019,0.225756,-0.112440,-0.091728,0.171631,0.000000,0.375217,0.972803,2.619563,1.963548,-1.066512,0.000000,-0.265437,-1.907526,0.093201,-0.588188,0.958194,-0.173637,0.614129,-1.066311,-7.313894,-4.483265,-2.024557,2.329948,-0.533910,-1.546595,1.152229,-0.913841
-1.769851,-1.530646,0.112221,0.018915,-0.167759,0.114421,0.126290,0.422387,1.133759,3.386256,3.241211,-1.298118,-0.373254,-0.500643,-2.307134,-0.217937,-0.244710,0.919908,-0.075964,0.541711,-1.151869,-5.942746,-3.321281,-2.284696,4.417562,-1.656458,-3.547344,1.261400,-0.176261
-2.290025,-2.705885,-0.114849,0.281624,-0.319819,0.000000,0.458488,0.516725,1.455678,4.919642,5.796504,-1.761325,-1.183989,-0.971055,-3.106339,-0.840206,0.442237,0.843337,0.119383,0.396883,-1.322983,-3.200442,-0.997347,-2.804964,8.592745,-3.901528,-7.548801,1.479718,1.298888
-2.071567,-3.726060,-0.140670,-0.205056,-1.236238,-0.675307,1.035317,0.359824,1.056656,4.185134,7.253157,-0.964690,-0.726902,-1.149072,-2.640355,-1.462144,1.306205,0.654539,0.071680,1.474482,-2.418818,0.911899,0.571448,-2.708187,8.965621,-2.314000,-3.992419,0.122401,2.768878
-1.962346,-4.236184,-0.153582,-0.448401,-1.694463,-0.992763,1.323745,0.281374,0.857154,3.817898,7.981533,-0.566372,-0.498362,-1.238087,-2.407373,-1.773125,1.738201,0.560145,0.031885,2.013303,-2.966758,2.968109,1.355863,-2.659816,9.152121,-1.520239,-2.214224,-0.556269,3.503901
-0.455615,-3.581682,0.324318,-0.839401,-2.408901,-1.215017,1.516897,0.000000,0.740086,2.081767,8.461815,1.631263,1.560896,-0.995728,-0.402558,-1.048375,1.279009,0.377880,-1.862742,2.453768,-2.132092,6.928782,2.966881,-4.899781,6.422055,-1.277621,0.106619,-1.030894,-1.667966
