body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.158735,0.026688,-0.107077,0.091366,0.003182,-0.092417,0.010640,-0.012095,0.066222,-0.272987,0.098507,0.069704,-0.029953,0.007841,-0.105416,0.007443,0.007399,-0.097168,-0.210032,0.019060,-0.109142,0.149770,-0.040684,-0.099464,-0.099585,0.138312,-0.174153,0.135638,0.010732,-0.121322,-0.001632,-0.142939,0.358662,-0.072866,-0.117872,-0.050867,0.130375,-0.052840,-0.094020,0.042714,0.369207,-0.561911
0.152276,0.027028,-0.106541,0.048713,-0.008721,-0.085227,0.070945,-0.006142,0.053585,-0.283749,0.087899,0.059535,-0.089484,0.000712,-0.104657,0.114218,0.002855,-0.094113,-0.204227,0.028897,-0.110545,0.156100,-0.038368,-0.115290,-0.035271,0.090666,-0.172998,0.111934,0.012378,-0.146032,0.008572,-0.117165,0.250136,-0.012505,-0.100968,-0.078742,0.107954,-0.060287,-0.118530,0.029664,0.299391,-0.506597
0.139427,0.025331,-0.099931,-0.005657,-0.025203,-0.079627,0.148238,0.002393,0.039507,-0.289651,0.078308,0.048113,-0.140411,-0.007212,-0.097663,0.237542,-0.003784,-0.089150,-0.197147,0.044524,-0.110941,0.168649,-0.036415,-0.140508,0.031804,0.038729,-0.182427,0.088766,0.013448,-0.196243,0.023549,-0.086416,0.098472,0.066495,-0.082166,-0.118834,0.082415,-0.072466,-0.150396,0.016133,0.214869,-0.438513
0.126629,0.021862,-0.090823,-0.069708,-0.048291,-0.082458,0.228293,0.011250,0.027484,-0.287177,0.072248,0.038114,-0.179775,-0.016425,-0.087677,0.352071,-0.012538,-0.081426,-0.189291,0.064714,-0.108670,0.185783,-0.035610,-0.172834,0.082862,-0.006984,-0.205460,0.068404,0.013784,-0.274441,0.039226,-0.055219,-0.081493,0.157018,-0.063987,-0.167594,0.057738,-0.088560,-0.184636,0.003753,0.127651,-0.366739
0.125410,0.018139,-0.088080,-0.133662,-0.076633,-0.095838,0.293369,0.016966,0.020068,-0.276688,0.070085,0.031382,-0.221763,-0.027699,-0.083311,0.436254,-0.022306,-0.071948,-0.180738,0.086844,-0.103935,0.203858,-0.036564,-0.208001,0.106077,-0.040556,-0.240401,0.049357,0.013387,-0.373933,0.049193,-0.027280,-0.265928,0.252308,-0.047220,-0.219872,0.040268,-0.105127,-0.217762,-0.005431,0.049019,-0.303690
0.142211,0.014920,-0.097259,-0.178754,-0.103606,-0.113724,0.330009,0.016547,0.017280,-0.262283,0.069510,0.027723,-0.276745,-0.040732,-0.090301,0.482771,-0.031643,-0.063422,-0.170842,0.107782,-0.098967,0.218921,-0.039521,-0.242371,0.101999,-0.062897,-0.282190,0.027853,0.012076,-0.479932,0.048051,-0.004567,-0.430282,0.347757,-0.031387,-0.271619,0.039112,-0.116809,-0.252724,-0.007703,-0.013716,-0.263505
0.171681,0.010847,-0.114150,-0.187365,-0.121336,-0.127476,0.333840,0.008879,0.017003,-0.248716,0.067004,0.025320,-0.332413,-0.053672,-0.105079,0.498278,-0.039756,-0.057607,-0.158175,0.124310,-0.095406,0.227837,-0.044347,-0.274576,0.079444,-0.078050,-0.325636,0.000732,0.009900,-0.574954,0.034086,0.012410,-0.555809,0.439909,-0.016464,-0.321199,0.064590,-0.118369,-0.298895,0.001682,-0.057220,-0.256593
0.202086,0.003742,-0.129171,-0.155206,-0.126332,-0.133244,0.309729,-0.004862,0.016609,-0.237410,0.060633,0.022057,-0.364441,-0.064459,-0.118739,0.495264,-0.046560,-0.052893,-0.141214,0.133352,-0.091705,0.228682,-0.050407,-0.305070,0.047981,-0.088299,-0.367449,-0.032942,0.008078,-0.645254,0.009671,0.024209,-0.631818,0.525827,-0.003255,-0.368773,0.124932,-0.106448,-0.365955,0.024935,-0.080572,-0.280042
0.225402,-0.007308,-0.136135,-0.092929,-0.120759,-0.132620,0.268751,-0.021909,0.014136,-0.224804,0.052036,0.016331,-0.360100,-0.072574,-0.125365,0.484019,-0.052310,-0.045090,-0.119737,0.132621,-0.083790,0.221050,-0.056425,-0.334186,0.013777,-0.092915,-0.405758,-0.072128,0.008931,-0.684169,-0.019533,0.031771,-0.653237,0.603692,0.007944,-0.414326,0.223060,-0.080087,-0.456050,0.060561,-0.083503,-0.315128
0.240773,-0.021487,-0.134834,-0.018360,-0.110002,-0.128374,0.224214,-0.039423,0.008691,-0.204968,0.045149,0.007384,-0.324989,-0.079436,-0.124534,0.469821,-0.057788,-0.030854,-0.095353,0.121357,-0.068526,0.206519,-0.061000,-0.360482,-0.020170,-0.090832,-0.438625,-0.114623,0.014073,-0.692068,-0.046479,0.035644,-0.619423,0.673246,0.018213,-0.455871,0.355039,-0.040837,-0.559725,0.109102,-0.066722,-0.342318
