body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
0.002096,-0.001675,-0.010710,-0.002320,0.004579,-0.015304,-0.011655,0.030582,-0.012025,-0.008292,0.022401,-0.012292,-0.002552,0.027711,-0.009455,-0.002626,0.019046,-0.010101,-0.001882,0.004495,-0.010994,0.003266,-0.010399,-0.009156,-0.008995,-0.062969,-0.007039,-0.038204,-0.092246,-0.012406,-0.044628,-0.067311,-0.017525,-0.007175,-0.033747,-0.016638,0.015166,-0.049239,-0.020211,0.020275,-0.018642,-0.028182
-0.000150,-0.000604,-0.010256,-0.005176,0.003052,-0.015562,-0.008236,0.011638,-0.014564,-0.005767,0.018314,-0.013249,-0.005393,0.028317,-0.008808,-0.002923,-0.008054,-0.011948,-0.000956,0.004730,-0.009374,0.001297,-0.009696,-0.008654,-0.010769,-0.063971,-0.006961,-0.032542,-0.082945,-0.011056,-0.039454,-0.062082,-0.015506,-0.008736,-0.031531,-0.015847,0.010837,-0.037387,-0.019003,0.016197,-0.010814,-0.025965
-0.003338,0.000266,-0.009871,-0.009080,0.000594,-0.016010,-0.004179,-0.012982,-0.017866,-0.003338,0.014474,-0.014267,-0.009268,0.028509,-0.008186,-0.003547,-0.042455,-0.014234,0.000143,0.004926,-0.007098,-0.001533,-0.009244,-0.008219,-0.013656,-0.067632,-0.007129,-0.026640,-0.074732,-0.009711,-0.034597,-0.058675,-0.013426,-0.011220,-0.029301,-0.015162,0.005032,-0.021490,-0.017792,0.011024,0.000176,-0.023552
-0.007345,0.000123,-0.009726,-0.013685,-0.002892,-0.016585,-0.000307,-0.039666,-0.021358,-0.001552,0.011580,-0.015038,-0.013826,0.027580,-0.007854,-0.004479,-0.078118,-0.016484,0.001494,0.004965,-0.004341,-0.005184,-0.009800,-0.008034,-0.017809,-0.074791,-0.007648,-0.022459,-0.071586,-0.008756,-0.032187,-0.060629,-0.011765,-0.014751,-0.027910,-0.014870,-0.001841,-0.003378,-0.016891,0.005310,0.013152,-0.021432
-0.011952,-0.001974,-0.009907,-0.018497,-0.007365,-0.017100,0.002479,-0.063507,-0.024242,-0.000564,0.009715,-0.015268,-0.018576,0.024806,-0.008043,-0.005737,-0.108112,-0.018213,0.002926,0.004772,-0.001445,-0.009554,-0.012291,-0.008184,-0.023257,-0.085512,-0.008471,-0.021521,-0.076368,-0.008367,-0.033727,-0.070696,-0.010716,-0.019366,-0.028238,-0.015145,-0.009447,0.014676,-0.016448,-0.000789,0.026796,-0.019978
-0.016933,-0.006759,-0.010396,-0.023087,-0.012785,-0.017345,0.003512,-0.080142,-0.025823,-0.000107,0.008527,-0.014826,-0.023095,0.019707,-0.008876,-0.007348,-0.128125,-0.019231,0.004094,0.004372,0.001186,-0.014508,-0.017489,-0.008649,-0.029907,-0.099183,-0.009426,-0.024080,-0.089397,-0.008420,-0.039166,-0.089423,-0.010075,-0.025000,-0.030817,-0.015995,-0.017671,0.030961,-0.016388,-0.007865,0.040765,-0.019388
-0.022101,-0.014546,-0.011128,-0.027219,-0.019258,-0.017207,0.002496,-0.087240,-0.025794,0.000189,0.007669,-0.013805,-0.027159,0.012149,-0.010348,-0.009251,-0.137997,-0.019726,0.004782,0.003853,0.003220,-0.019887,-0.025740,-0.009352,-0.037567,-0.114864,-0.010323,-0.029312,-0.108767,-0.008628,-0.047188,-0.115162,-0.009446,-0.031479,-0.035570,-0.017319,-0.026434,0.044711,-0.016506,-0.016967,0.056044,-0.019781
-0.027367,-0.025234,-0.012011,-0.030911,-0.027042,-0.016691,-0.000540,-0.085086,-0.024271,0.000432,0.006964,-0.012426,-0.030795,0.002259,-0.012334,-0.011397,-0.140549,-0.020062,0.004867,0.003291,0.004518,-0.025567,-0.036939,-0.010206,-0.046005,-0.131606,-0.011020,-0.036226,-0.131801,-0.008748,-0.056439,-0.145264,-0.008524,-0.038572,-0.041893,-0.018937,-0.035521,0.055897,-0.016553,-0.028977,0.074370,-0.021198
-0.032814,-0.038436,-0.012918,-0.034414,-0.036378,-0.015830,-0.005337,-0.076244,-0.021611,0.000368,0.006327,-0.010846,-0.034261,-0.009692,-0.014607,-0.013919,-0.139217,-0.020501,0.004077,0.002699,0.005146,-0.031564,-0.050661,-0.011088,-0.054994,-0.148618,-0.011438,-0.044336,-0.156257,-0.008694,-0.066432,-0.177288,-0.007243,-0.046054,-0.049050,-0.020559,-0.044659,0.064802,-0.016204,-0.044210,0.097206,-0.023444
-0.038681,-0.053584,-0.013699,-0.038119,-0.047290,-0.014629,-0.011383,-0.064571,-0.018243,-0.000291,0.005659,-0.009074,-0.037946,-0.023338,-0.016919,-0.017021,-0.136415,-0.021111,0.002166,0.002025,0.005283,-0.038047,-0.066305,-0.011853,-0.064331,-0.165310,-0.011584,-0.053582,-0.180660,-0.008524,-0.077350,-0.209444,-0.005723,-0.053765,-0.056686,-0.021833,-0.053736,0.071569,-0.015081,-0.062313,0.124801,-0.025990
-0.045223,-0.069976,-0.014294,-0.042413,-0.059505,-0.013167,-0.017855,-0.054078,-0.014667,-0.001388,0.004840,-0.007099,-0.042233,-0.038207,-0.019110,-0.020668,-0.133367,-0.021859,-0.000546,0.001155,0.005100,-0.045233,-0.083154,-0.012442,-0.073894,-0.181296,-0.011573,-0.063868,-0.204080,-0.008366,-0.089247,-0.240439,-0.004159,-0.061677,-0.065045,-0.022581,-0.062883,0.075952,-0.012980,-0.082315,0.155822,-0.028179
-0.052575,-0.086835,-0.014852,-0.047608,-0.072605,-0.011769,-0.023798,-0.048117,-0.011556,-0.002329,0.003775,-0.005085,-0.047422,-0.053709,-0.021187,-0.024527,-0.130713,-0.022758,-0.003112,-0.000026,0.004698,-0.053217,-0.100412,-0.013009,-0.083666,-0.196381,-0.011659,-0.074814,-0.225853,-0.008396,-0.101652,-0.269234,-0.002781,-0.069892,-0.074695,-0.023011,-0.072375,0.077469,-0.010101,-0.102850,0.187840,-0.029548
-0.060700,-0.103443,-0.015740,-0.053953,-0.086347,-0.011051,-0.028515,-0.049158,-0.009772,-0.002648,0.002468,-0.003413,-0.053753,-0.069209,-0.023280,-0.028338,-0.128893,-0.023894,-0.004645,-0.001502,0.004123,-0.061903,-0.117307,-0.013926,-0.093660,-0.210492,-0.012231,-0.085859,-0.245448,-0.008886,-0.113851,-0.294962,-0.001904,-0.078513,-0.085975,-0.023669,-0.082444,0.075874,-0.007005,-0.122627,0.218337,-0.029938
-0.069441,-0.119299,-0.017395,-0.061677,-0.100875,-0.011769,-0.031741,-0.059164,-0.010236,-0.002402,0.001005,-0.002483,-0.061429,-0.084111,-0.025508,-0.032251,-0.128050,-0.025336,-0.005016,-0.003081,0.003408,-0.071036,-0.133248,-0.015638,-0.103832,-0.223598,-0.013693,-0.096461,-0.262440,-0.010151,-0.125240,-0.316966,-0.001890,-0.087523,-0.098636,-0.025168,-0.093149,0.071483,-0.004340,-0.140819,0.245368,-0.029366
-0.078599,-0.134156,-0.020114,-0.070982,-0.116588,-0.014568,-0.033362,-0.080262,-0.013732,-0.001935,-0.000595,-0.002416,-0.070627,-0.097925,-0.027843,-0.036753,-0.127905,-0.027001,-0.004817,-0.004513,0.002660,-0.080304,-0.147918,-0.018451,-0.114112,-0.235625,-0.016258,-0.106176,-0.276457,-0.012347,-0.135349,-0.334787,-0.002929,-0.096818,-0.111898,-0.027931,-0.104336,0.065090,-0.002618,-0.157051,0.267538,-0.027881
