body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
0.001511,0.010612,0.790615,0.118478,0.004132,0.658605,0.093443,0.035121,0.354956,0.072034,0.061875,0.039430,-0.114408,0.001343,0.657841,-0.106392,0.033456,0.353493,-0.095317,0.067763,0.038172,0.000988,0.020404,0.843861,0.132341,0.000545,1.083300,0.172075,-0.005225,0.903451,0.193112,-0.037387,0.723135,-0.148261,0.014181,1.073343,-0.178880,0.012895,0.891587,-0.191279,-0.032147,0.713232
0.001603,0.010547,0.790386,0.118496,0.004252,0.658301,0.093119,0.036185,0.354775,0.071782,0.062472,0.039212,-0.114395,0.001874,0.657632,-0.106451,0.034483,0.353335,-0.095399,0.067846,0.037916,0.001097,0.020174,0.843661,0.132192,-0.000755,1.083151,0.171150,-0.007371,0.903162,0.192061,-0.038916,0.722722,-0.148376,0.013438,1.072984,-0.178478,0.011644,0.891144,-0.190775,-0.032672,0.712602
0.001631,0.010531,0.790186,0.118430,0.004335,0.658000,0.092992,0.036497,0.354499,0.071812,0.062511,0.038916,-0.114465,0.002448,0.657458,-0.106299,0.034633,0.353121,-0.095010,0.067942,0.037716,0.001146,0.019976,0.843494,0.132059,-0.001574,1.083028,0.170517,-0.008795,0.902954,0.191349,-0.040061,0.722457,-0.148488,0.012913,1.072701,-0.178164,0.010644,0.890797,-0.190342,-0.033307,0.712156
0.001532,0.010616,0.790045,0.118196,0.004405,0.657709,0.092984,0.035954,0.354120,0.071838,0.062697,0.038619,-0.114704,0.003106,0.657352,-0.106688,0.033030,0.352780,-0.095677,0.068058,0.037579,0.001092,0.019843,0.843390,0.131741,-0.003073,1.082942,0.170326,-0.009682,0.902872,0.190985,-0.040653,0.722304,-0.148753,0.012291,1.072444,-0.178293,0.010621,0.890511,-0.190438,-0.032785,0.711735
0.001345,0.010721,0.789859,0.117849,0.004312,0.657353,0.093105,0.034515,0.353582,0.071861,0.062913,0.038266,-0.115055,0.003737,0.657217,-0.106579,0.030400,0.352355,-0.095226,0.068180,0.037523,0.000961,0.019747,0.843239,0.131411,-0.004300,1.082789,0.170130,-0.010547,0.902735,0.190603,-0.041493,0.722141,-0.149028,0.011977,1.072191,-0.178325,0.010851,0.890213,-0.190292,-0.032500,0.711412
0.001115,0.010838,0.789652,0.117444,0.004137,0.656964,0.093273,0.032623,0.352976,0.071850,0.063129,0.037909,-0.115461,0.004354,0.657074,-0.106682,0.027249,0.351913,-0.095147,0.068292,0.037544,0.000798,0.019670,0.843064,0.130982,-0.006137,1.082575,0.169997,-0.011725,0.902564,0.190366,-0.042350,0.721903,-0.149375,0.011432,1.071879,-0.178530,0.011309,0.889875,-0.190409,-0.031659,0.710976
0.000687,0.010728,0.789449,0.116872,0.003848,0.656597,0.093442,0.030275,0.352359,0.071839,0.063249,0.037595,-0.116032,0.004737,0.656916,-0.106860,0.024164,0.351527,-0.095030,0.068350,0.037642,0.000431,0.019340,0.842897,0.130327,-0.008173,1.082374,0.169309,-0.013692,0.902356,0.189095,-0.044518,0.721665,-0.149921,0.011002,1.071590,-0.178936,0.012351,0.889569,-0.190450,-0.030846,0.710701
0.000198,0.010483,0.789233,0.116270,0.003477,0.656248,0.093550,0.028085,0.351798,0.071812,0.063375,0.037337,-0.116630,0.005002,0.656726,-0.107129,0.021205,0.351158,-0.095051,0.068411,0.037773,-0.000018,0.018868,0.842717,0.129405,-0.010700,1.082207,0.168705,-0.016010,0.902254,0.188240,-0.046855,0.721538,-0.150713,0.010151,1.071170,-0.179567,0.013410,0.889148,-0.190636,-0.029703,0.710231
-0.000413,0.009964,0.788993,0.115611,0.002938,0.655933,0.093563,0.026222,0.351325,0.071818,0.063538,0.037137,-0.117285,0.005032,0.656462,-0.107342,0.018515,0.350776,-0.094863,0.068509,0.037890,-0.000583,0.018110,0.842513,0.128638,-0.013370,1.081870,0.168003,-0.018834,0.901939,0.186915,-0.050127,0.721235,-0.151339,0.009350,1.070925,-0.180372,0.014713,0.888981,-0.191376,-0.028394,0.710059
-0.001109,0.009065,0.788704,0.114906,0.002149,0.655606,0.093394,0.024881,0.350913,0.071811,0.063653,0.036927,-0.117987,0.004723,0.656123,-0.107628,0.015745,0.350352,-0.094764,0.068542,0.037991,-0.001273,0.016955,0.842262,0.127269,-0.016704,1.081689,0.167008,-0.022336,0.901848,0.185578,-0.054052,0.721182,-0.152511,0.008132,1.070353,-0.181428,0.016118,0.888487,-0.192252,-0.026315,0.709392
