body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.710144,-0.036879,-0.039626,-0.701972,0.710265,-0.035684,-0.012670,-0.702915,0.780236,0.014615,0.055864,-0.622814,0.782562,-0.022586,-0.010346,-0.622077,0.711082,-0.010464,-0.038831,-0.701958,0.718026,0.053893,0.028166,-0.693355,0.718025,-0.008966,-0.017263,-0.695745,-0.689904,-0.027291,-0.001529,0.723385,-0.685378,-0.096793,0.060090,0.719220,-0.438719,-0.586209,-0.271721,0.624542,0.460759,0.595620,0.292986,-0.589150,-0.687611,0.031604,-0.081128,0.720840,0.620261,0.312833,0.511565,-0.505681,0.577740,0.307041,0.546852,-0.522393
0.709527,-0.035969,-0.038330,-0.702715,0.709639,-0.034749,-0.011373,-0.703616,0.780783,0.014203,0.055373,-0.622182,0.783037,-0.025262,-0.010990,-0.621365,0.710414,-0.010061,-0.038073,-0.702681,0.717361,0.052801,0.027235,-0.694164,0.717247,-0.010642,-0.018682,-0.696487,-0.689211,-0.028673,-0.002296,0.723990,-0.684296,-0.093853,0.060232,0.720627,-0.436901,-0.587283,-0.272188,0.624604,0.464098,0.595236,0.294924,-0.585941,-0.687501,0.031544,-0.079118,0.721171,0.619638,0.314449,0.511910,-0.505094,0.571660,0.308482,0.547903,-0.527110
0.708768,-0.034997,-0.036857,-0.703608,0.708838,-0.034335,-0.011235,-0.704446,0.781223,0.014139,0.055013,-0.621663,0.783403,-0.028174,-0.012267,-0.620755,0.709589,-0.010326,-0.038773,-0.703473,0.716882,0.053071,0.027024,-0.694646,0.716670,-0.012100,-0.020210,-0.697015,-0.688839,-0.029529,-0.002702,0.724307,-0.683664,-0.091822,0.060402,0.721473,-0.436382,-0.587475,-0.272566,0.624621,0.467501,0.594585,0.296847,-0.582918,-0.687549,0.031559,-0.077351,0.721316,0.619299,0.315556,0.511684,-0.505048,0.566748,0.309534,0.548270,-0.531401
0.707727,-0.033901,-0.035030,-0.704802,0.707713,-0.034586,-0.012414,-0.705544,0.781398,0.015241,0.055879,-0.621339,0.783575,-0.031089,-0.013844,-0.620364,0.708427,-0.013281,-0.041048,-0.704464,0.715758,0.054877,0.029497,-0.695564,0.715577,-0.013808,-0.021181,-0.698076,-0.687680,-0.031223,-0.003839,0.725332,-0.682358,-0.093408,0.059362,0.722592,-0.434679,-0.588288,-0.272245,0.625184,0.468034,0.594759,0.297255,-0.582104,-0.686635,0.030195,-0.078155,0.722158,0.618355,0.317333,0.511730,-0.505044,0.563412,0.311065,0.548276,-0.534040
0.706433,-0.032972,-0.033247,-0.706229,-0.706318,0.035413,0.014736,0.706854,0.781372,0.017394,0.057880,-0.621132,0.783613,-0.033873,-0.015309,-0.620137,0.707009,-0.016576,-0.045285,-0.705559,0.714944,0.058621,0.032453,-0.695963,0.714783,-0.015601,-0.022093,-0.698823,-0.686490,-0.032447,-0.004692,0.726400,-0.681028,-0.094549,0.058828,0.723741,-0.433368,-0.588704,-0.271341,0.626094,0.467685,0.595261,0.296934,-0.582035,-0.685605,0.028657,-0.078596,0.723151,0.617750,0.318999,0.510317,-0.506162,0.561255,0.312505,0.547223,-0.536545
-0.705010,0.032127,0.031484,0.707770,-0.704790,0.036540,0.017624,0.708255,0.781246,0.020051,0.060463,-0.620964,0.783584,-0.036612,-0.016706,-0.619981,-0.705444,0.020617,0.049934,0.706704,0.714043,0.062800,0.036198,-0.696339,0.713950,-0.017646,-0.022739,-0.699605,-0.684805,-0.034384,-0.006189,0.727888,-0.679096,-0.096661,0.058023,0.725340,-0.430803,-0.590147,-0.270117,0.627034,0.465253,0.597207,0.295746,-0.582596,-0.684111,0.026517,-0.080106,0.724480,0.616679,0.321189,0.509448,-0.506959,0.558901,0.313989,0.547078,-0.538281
-0.703860,0.031020,0.029629,0.709043,-0.703525,0.037814,0.021114,0.709349,0.781288,0.023169,0.063396,-0.620511,0.783744,-0.038953,-0.017629,-0.619610,-0.704150,0.024146,0.054388,0.707553,0.713436,0.066958,0.039646,-0.696387,0.713408,-0.019595,-0.023045,-0.700096,-0.682809,-0.036022,-0.007383,0.729671,-0.676781,-0.097130,0.057908,0.727447,-0.426929,-0.591355,-0.267007,0.629871,0.461621,0.598595,0.292612,-0.585635,-0.682045,0.023570,-0.082509,0.726259,0.616512,0.322788,0.507241,-0.508357,0.559075,0.315073,0.545473,-0.539095
-0.702754,0.029788,0.027823,0.710264,-0.702320,0.038852,0.024272,0.710386,0.781312,0.026131,0.066105,-0.620080,0.783866,-0.041280,-0.018420,-0.619283,-0.702899,0.027412,0.058532,0.708347,0.712986,0.070930,0.042997,-0.696255,0.713020,-0.021770,-0.023237,-0.700420,-0.680736,-0.038389,-0.008830,0.731469,-0.674230,-0.098595,0.058181,0.729594,-0.422777,-0.593409,-0.263494,0.632216,0.456920,0.601199,0.289347,-0.588270,-0.679884,0.019824,-0.085778,0.728016,0.616303,0.324805,0.505606,-0.508955,0.559028,0.316052,0.544485,-0.539569
-0.701743,0.028305,0.026114,0.711389,-0.701230,0.039398,0.026777,0.711342,0.781299,0.028830,0.068338,-0.619734,0.783903,-0.043541,-0.018968,-0.619064,-0.701743,0.030126,0.062073,0.709082,0.711950,0.074771,0.045970,-0.696723,0.712012,-0.024242,-0.023267,-0.701362,-0.678450,-0.039971,-0.010341,0.733485,-0.671474,-0.098930,0.058738,0.732042,-0.418370,-0.594779,-0.259125,0.635656,0.452819,0.602760,0.284959,-0.591974,-0.677277,0.016395,-0.090029,0.730015,0.615213,0.326771,0.504075,-0.510530,0.558538,0.317213,0.543113,-0.540777
-0.700784,0.026605,0.024383,0.712460,-0.700224,0.039215,0.028219,0.712286,0.781374,0.030980,0.069780,-0.619375,0.783953,-0.045812,-0.020199,-0.618798,-0.700637,0.032474,0.065372,0.709774,0.711252,0.078609,0.048930,-0.696812,0.711375,-0.026255,-0.022951,-0.701947,-0.675882,-0.042468,-0.011474,0.735696,-0.668315,-0.099911,0.059866,0.734703,-0.413951,-0.596702,-0.254196,0.638730,0.448102,0.604875,0.280751,-0.595406,-0.674316,0.011434,-0.094740,0.732251,0.613223,0.330700,0.502839,-0.511613,0.557034,0.320438,0.541620,-0.541923
