joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.214951,0.213196,-0.062977,-0.036225,0.036478,0.025551,0.216934,0.018469,0.149546,-0.009619,0.011369,0.016012,0.025144,-0.150048,-0.152826,0.185495,-0.196579,0.024341,-0.027219,-0.433522,0.339373,1.255943,1.166724,-0.064623,0.004093,0.058667,0.070865,0.040703,-0.091976
0.214951,0.211750,-0.062977,-0.036225,0.036478,0.026927,0.220375,0.018469,0.149546,-0.014177,0.006851,0.008519,0.019151,-0.153122,-0.154363,0.180840,-0.194411,0.020861,-0.027219,-0.433522,0.339373,1.264580,1.173285,-0.075913,0.012835,0.058667,0.073299,0.047668,-0.105086
0.212224,0.206959,-0.061656,-0.035181,0.037744,0.028417,0.223978,0.019312,0.147951,-0.015580,0.008323,0.003524,0.014744,-0.158115,-0.158685,0.177698,-0.192480,0.017433,-0.027756,-0.432331,0.338369,1.269550,1.177660,-0.085112,0.020132,0.059928,0.075363,0.053244,-0.115885
0.206001,0.195478,-0.061656,-0.032909,0.037744,0.030133,0.227907,0.019312,0.147951,-0.010673,0.021773,0.003524,0.013511,-0.166947,-0.168577,0.177698,-0.192480,0.014111,-0.027756,-0.432331,0.338369,1.267189,1.177660,-0.090129,0.024539,0.059928,0.075363,0.056043,-0.122061
0.197642,0.181045,-0.061035,-0.029646,0.040254,0.031800,0.232192,0.020654,0.147196,-0.000128,0.041973,0.003253,0.013100,-0.178528,-0.181904,0.178052,-0.191472,0.010651,-0.030127,-0.432315,0.336556,1.264369,1.175147,-0.092548,0.026517,0.061088,0.075806,0.057504,-0.126092
0.188214,0.165135,-0.061403,-0.025889,0.042444,0.033443,0.236653,0.022159,0.148538,0.013238,0.065548,0.002979,0.013005,-0.191484,-0.196950,0.179316,-0.191248,0.007123,-0.032716,-0.433505,0.335708,1.261319,1.171994,-0.092645,0.027026,0.062192,0.076293,0.058032,-0.129949
0.177253,0.149711,-0.063341,-0.021679,0.044900,0.034778,0.240968,0.023702,0.148538,0.028918,0.087693,0.000230,0.016120,-0.204327,-0.210920,0.179316,-0.191248,0.003273,-0.036090,-0.438636,0.335708,1.258469,1.162865,-0.092645,0.024902,0.062192,0.076293,0.058032,-0.129949
0.166998,0.134994,-0.065625,-0.017817,0.047090,0.036479,0.245009,0.025601,0.149840,0.043255,0.108641,-0.002989,0.020183,-0.216400,-0.224644,0.180656,-0.192065,-0.000757,-0.039857,-0.444253,0.336854,1.255429,1.153147,-0.091694,0.022827,0.063377,0.075734,0.056751,-0.131201
0.158156,0.121688,-0.068601,-0.014652,0.048750,0.036479,0.248503,0.025601,0.149840,0.054905,0.127193,-0.007146,0.026141,-0.226931,-0.237875,0.182060,-0.193621,-0.005148,-0.044408,-0.450845,0.336854,1.252007,1.142251,-0.091694,0.020851,0.063377,0.074457,0.056751,-0.131201
0.151518,0.108906,-0.072592,-0.012231,0.050335,0.037944,0.251871,0.026471,0.150342,0.062060,0.144890,-0.011902,0.034100,-0.236619,-0.249936,0.183441,-0.195606,-0.008848,-0.048898,-0.457148,0.336046,1.248401,1.132654,-0.091820,0.020192,0.064347,0.072373,0.055004,-0.131554
0.145982,0.096385,-0.077091,-0.009414,0.052396,0.038911,0.255174,0.026839,0.149788,0.066973,0.162159,-0.016957,0.043059,-0.245886,-0.261413,0.185493,-0.197805,-0.012203,-0.053358,-0.463307,0.333780,1.244702,1.123706,-0.092419,0.020068,0.064682,0.069885,0.053509,-0.130598
0.143726,0.086491,-0.082653,-0.009414,0.052396,0.038911,0.257884,0.028725,0.148347,0.066973,0.176368,-0.021861,0.054883,-0.251645,-0.271529,0.185493,-0.200578,-0.015345,-0.056755,-0.466383,0.328362,1.241082,1.120582,-0.092419,0.022624,0.064682,0.066139,0.053509,-0.130598
0.141610,0.077124,-0.088404,-0.008646,0.054218,0.038909,0.260135,0.030832,0.146448,0.066462,0.189482,-0.026995,0.067560,-0.256410,-0.281394,0.186834,-0.203592,-0.018895,-0.059876,-0.469415,0.322462,1.237468,1.119188,-0.092589,0.025251,0.064971,0.062709,0.052571,-0.129386
0.139772,0.068811,-0.094536,-0.008646,0.054218,0.038909,0.261468,0.033385,0.143633,0.064909,0.200406,-0.032588,0.081942,-0.259186,-0.290756,0.186834,-0.207087,-0.023262,-0.062449,-0.469415,0.315596,1.233871,1.119188,-0.092589,0.028021,0.064971,0.059908,0.052571,-0.129386
0.137985,0.061321,-0.100689,-0.008046,0.055872,0.038207,0.262781,0.035756,0.140876,0.064392,0.210862,-0.038489,0.096907,-0.262297,-0.298532,0.188171,-0.211504,-0.027229,-0.064936,-0.470927,0.310238,1.230225,1.123895,-0.093036,0.029996,0.064330,0.058504,0.052187,-0.128962
