joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.000000,-0.072312,0.000000,0.000000,0.000000,0.068794,0.172008,0.000000,0.000000,-0.227908,-0.225886,-0.374641,-0.299662,-0.153703,-0.076839,-0.232727,0.108439,-0.174000,0.000000,0.000000,0.000000,0.431842,0.328058,-0.564492,0.437103,0.000000,0.121665,0.348268,-0.655493
-0.136345,-0.239551,0.066070,0.052205,0.063261,0.074469,0.180164,0.042163,-0.079754,-0.070158,0.073585,-0.249761,-0.220331,-0.249659,-0.216094,-0.157118,0.096537,-0.171369,-0.026838,0.059596,-0.050196,0.248533,0.218719,-0.459940,0.364856,0.063070,0.103227,0.278823,-0.539935
-0.311139,-0.574034,0.000000,0.113595,0.000000,0.085820,0.196474,0.000000,0.000000,0.245340,0.672526,0.000000,-0.061668,-0.441571,-0.494602,0.000000,0.000000,-0.166107,0.000000,0.000000,0.000000,-0.118053,0.000000,-0.250837,0.220363,0.000000,0.000000,0.139932,-0.308823
-0.417962,-0.721673,0.031039,0.163117,0.125525,0.083367,0.214215,0.067108,-0.037753,0.527293,1.010004,-0.013522,-0.020556,-0.579070,-0.666382,0.017691,0.050390,-0.172981,-0.118559,0.000766,-0.090651,-0.141019,-0.125653,-0.120948,0.098895,0.057980,0.022116,0.073054,-0.201563
-0.471377,-0.795493,-0.018389,0.187878,0.109479,0.082140,0.223088,0.075256,0.067106,0.668269,1.178743,-0.013729,-0.004746,-0.647818,-0.752271,0.063238,0.011211,-0.176418,-0.129437,-0.059493,-0.042364,-0.152504,-0.157619,-0.004879,0.025441,0.055220,0.024398,0.026410,-0.192846
-0.548063,-0.771164,-0.096906,0.210482,0.122805,0.066717,0.215731,0.077141,0.000000,0.783997,1.107248,-0.137445,0.155760,-0.642143,-0.698514,0.000000,0.000000,-0.192504,-0.168718,-0.256529,0.000000,-0.142461,-0.456440,0.000000,-0.106189,0.000000,0.000000,0.000000,0.000000
-0.512742,-0.735874,-0.114198,0.193085,0.109527,0.085054,0.202058,0.094931,0.065088,0.716840,1.047376,-0.160927,0.203150,-0.603615,-0.686189,0.066980,-0.040863,-0.201521,-0.188330,-0.280882,0.057282,-0.152010,-0.485903,0.047593,-0.103732,0.059259,-0.027971,-0.064085,-0.062581
-0.442100,-0.665293,-0.148783,0.158290,0.082972,0.000000,0.174712,0.000000,0.000000,0.582524,0.927627,-0.207892,0.297928,-0.526555,-0.661534,0.070205,-0.077783,-0.219555,-0.227552,-0.329585,0.000000,-0.171101,-0.544798,0.000000,-0.098819,0.000000,-0.063844,0.000000,0.000000
-0.331915,-0.639119,-0.199554,0.121035,0.079248,0.073273,0.168361,0.043504,0.025099,0.357732,0.884847,-0.237790,0.397943,-0.484414,-0.603067,0.069039,-0.099243,-0.184994,-0.224521,-0.315148,-0.040376,-0.180310,-0.479859,-0.006325,-0.032940,0.048483,-0.104212,-0.087343,-0.017667
-0.276823,-0.626032,-0.224939,0.140823,0.103043,0.048359,0.165182,0.018431,-0.027686,0.245671,0.863458,-0.252740,0.447951,-0.463343,-0.573835,0.102633,-0.109974,-0.167713,-0.223006,-0.307937,-0.113323,-0.184929,-0.447392,-0.029943,-0.006226,0.016752,-0.124397,-0.074744,0.047786
