body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
-0.000571,0.148325,0.182312,-0.704079,-0.196352,0.317575,0.586268,0.035764,0.031252,0.216536,0.079239,0.012305,0.003311,-0.083402,0.248719,0.001079,-0.139461,0.056508,-0.059764,0.003329,0.048606,0.062489,-0.195618,0.412125,-0.612111,-0.148229,0.219649,-0.852009,-0.037428,0.336665,-1.211892,-0.448643,0.375506,-0.559736,-0.217133,0.581827,-0.474276,-0.317866,0.908457,-0.419573,-0.200481,1.674380
-0.006683,0.155490,0.200233,-0.732229,-0.195687,0.342836,0.609476,0.036487,0.033926,0.230115,0.084289,0.014529,0.015716,-0.085687,0.267824,0.009673,-0.145015,0.059317,-0.050277,0.005448,0.051397,0.053662,-0.192799,0.455594,-0.591023,-0.202629,0.260233,-0.981184,-0.020485,0.448608,-1.361425,-0.410800,0.458734,-0.557783,-0.181092,0.630593,-0.624582,-0.328126,0.971076,-0.611417,-0.221026,1.631052
-0.018004,0.159542,0.221100,-0.748177,-0.188701,0.367948,0.620721,0.036205,0.037486,0.244762,0.089341,0.018453,0.031497,-0.085640,0.287808,0.016930,-0.147325,0.060583,-0.041698,0.008762,0.052796,0.042617,-0.183342,0.498453,-0.564835,-0.250183,0.302757,-1.090782,0.003776,0.551134,-1.532875,-0.368297,0.542510,-0.560463,-0.133441,0.680273,-0.820862,-0.339157,1.027194,-0.868010,-0.238103,1.559036
-0.034579,0.156350,0.241412,-0.735718,-0.171987,0.384472,0.607229,0.034055,0.040115,0.255867,0.092997,0.022769,0.051272,-0.081501,0.303527,0.021704,-0.143067,0.058853,-0.034870,0.012349,0.051265,0.029091,-0.164397,0.526374,-0.536704,-0.274006,0.335011,-1.123812,0.032188,0.598652,-1.697420,-0.326697,0.600936,-0.570001,-0.078610,0.715192,-1.044852,-0.348037,1.050480,-1.168979,-0.243528,1.451578
-0.054163,0.144022,0.258771,-0.685876,-0.144853,0.385542,0.564168,0.029582,0.039142,0.258414,0.094541,0.024846,0.075231,-0.072733,0.312091,0.023815,-0.130865,0.054034,-0.029413,0.014721,0.046681,0.012090,-0.135552,0.529482,-0.509414,-0.266832,0.347931,-1.058695,0.062134,0.566167,-1.827854,-0.288295,0.614818,-0.586808,-0.022917,0.723768,-1.274027,-0.352980,1.023076,-1.485191,-0.233487,1.308702
-0.073037,0.124200,0.273053,-0.600510,-0.110196,0.367579,0.496853,0.023007,0.032988,0.248529,0.094123,0.022592,0.102139,-0.060219,0.314442,0.023834,-0.112023,0.047623,-0.024408,0.014677,0.040736,-0.008828,-0.099357,0.507043,-0.484310,-0.233610,0.339820,-0.947070,0.096958,0.474997,-1.899552,-0.251386,0.579338,-0.609930,0.027381,0.704282,-1.487276,-0.353964,0.946138,-1.786864,-0.211428,1.139530
-0.087804,0.100818,0.285572,-0.488797,-0.072999,0.330249,0.415672,0.015176,0.022985,0.224435,0.091812,0.016538,0.129423,-0.045472,0.313813,0.022707,-0.089420,0.041638,-0.019425,0.012016,0.035758,-0.032299,-0.060337,0.465648,-0.461515,-0.185754,0.315157,-0.885596,0.144193,0.379582,-1.883240,-0.212249,0.502323,-0.637612,0.067209,0.663495,-1.667513,-0.352295,0.836793,-2.049578,-0.186854,0.956656
-0.096671,0.077615,0.297332,-0.363138,-0.037397,0.278847,0.329262,0.007291,0.013268,0.186869,0.086430,0.010094,0.154317,-0.029728,0.312880,0.021287,-0.065828,0.037349,-0.014800,0.007546,0.033069,-0.055664,-0.023424,0.413945,-0.440990,-0.133912,0.280415,-0.928033,0.204647,0.319790,-1.749300,-0.167713,0.397490,-0.667046,0.092999,0.610734,-1.804074,-0.350134,0.715800,-2.258007,-0.171612,0.767228
-0.099246,0.056562,0.307755,-0.238453,-0.004595,0.227650,0.241817,0.000544,0.008562,0.138938,0.075778,0.007565,0.174763,-0.013686,0.311958,0.020031,-0.042990,0.034921,-0.010841,0.002531,0.032447,-0.076770,0.007421,0.358815,-0.423566,-0.084560,0.240955,-1.033948,0.265912,0.290319,-1.499173,-0.117245,0.277895,-0.693190,0.103142,0.552759,-1.894308,-0.349798,0.597812,-2.405924,-0.175425,0.572008
-0.095405,0.037791,0.314280,-0.129271,0.026447,0.194417,0.154963,-0.004170,0.011523,0.085112,0.058605,0.011571,0.189240,0.002334,0.308696,0.019113,-0.021500,0.033852,-0.007262,-0.001906,0.032774,-0.094906,0.030146,0.304693,-0.410733,-0.040077,0.200466,-1.115963,0.310812,0.260512,-1.198569,-0.063897,0.152433,-0.707143,0.098652,0.491954,-1.941555,-0.352417,0.490178,-2.492152,-0.201724,0.374263
