body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.075131,0.013349,-0.026780,-0.094543,0.013505,-0.041085,0.004879,-0.181496,-0.008173,-0.006669,-0.009578,0.033775,-0.095825,-0.006995,-0.009525,-0.047531,-0.007261,-0.007310,-0.007465,-0.007957,-0.002885,-0.074786,0.014571,-0.026852,-0.095460,0.044996,-0.006349,-0.076688,-0.056735,-0.016254,-0.070703,-0.196622,-0.018680,-0.111991,-0.064870,-0.057893,-0.086126,-0.189423,-0.089865,-0.044527,-0.304352,-0.108319
-0.077600,0.012346,-0.029025,-0.097781,0.012887,-0.043777,0.005487,-0.188561,-0.007849,-0.006475,-0.010113,0.036898,-0.099201,-0.009943,-0.011014,-0.048465,-0.006745,-0.008996,-0.006717,-0.004711,-0.003974,-0.077148,0.013803,-0.029127,-0.095309,0.051571,-0.008185,-0.067112,-0.046140,-0.014648,-0.063601,-0.207524,-0.015725,-0.112505,-0.069310,-0.059822,-0.092532,-0.195607,-0.089402,-0.047743,-0.335293,-0.108277
-0.079474,0.010809,-0.031247,-0.100171,0.011834,-0.046225,0.006203,-0.194194,-0.007002,-0.006133,-0.010898,0.040487,-0.101805,-0.014290,-0.012675,-0.048710,-0.006573,-0.010943,-0.005725,-0.001944,-0.005371,-0.078887,0.012714,-0.031396,-0.093219,0.059141,-0.010505,-0.055132,-0.033282,-0.013070,-0.055653,-0.220995,-0.011794,-0.110905,-0.074272,-0.060991,-0.098981,-0.203302,-0.087324,-0.049514,-0.376871,-0.105913
-0.079426,0.008438,-0.032501,-0.099853,0.010070,-0.047126,0.006777,-0.194518,-0.005433,-0.005580,-0.011783,0.043568,-0.101772,-0.020065,-0.014041,-0.047397,-0.006676,-0.012749,-0.004592,-0.000092,-0.006858,-0.078706,0.011035,-0.032711,-0.087950,0.065663,-0.012826,-0.042519,-0.020912,-0.011966,-0.048935,-0.235313,-0.007150,-0.105558,-0.078258,-0.059981,-0.103109,-0.210859,-0.082442,-0.047776,-0.424308,-0.099126
-0.076580,0.004871,-0.031990,-0.095561,0.007373,-0.045449,0.006920,-0.186655,-0.003189,-0.004720,-0.012440,0.045129,-0.097823,-0.027159,-0.014663,-0.044018,-0.006850,-0.014022,-0.003525,0.000835,-0.008171,-0.075764,0.008342,-0.032266,-0.078997,0.069169,-0.014557,-0.031032,-0.011825,-0.011528,-0.045188,-0.248769,-0.002030,-0.095693,-0.079805,-0.055701,-0.102984,-0.216403,-0.073995,-0.041214,-0.471125,-0.086264
-0.070988,-0.000023,-0.029492,-0.087363,0.003851,-0.041043,0.006479,-0.170272,-0.000621,-0.003453,-0.012450,0.044558,-0.090000,-0.035261,-0.014301,-0.038736,-0.006955,-0.014520,-0.002747,0.001091,-0.009079,-0.070123,0.004359,-0.029830,-0.066925,0.068816,-0.015302,-0.021586,-0.007411,-0.011605,-0.044847,-0.260058,0.003449,-0.081901,-0.078209,-0.048021,-0.098025,-0.218841,-0.062177,-0.029951,-0.511839,-0.066981
-0.063424,-0.005912,-0.025411,-0.076443,0.000058,-0.034650,0.005532,-0.147344,0.001731,-0.001798,-0.011515,0.041750,-0.079462,-0.043795,-0.012984,-0.032236,-0.006990,-0.014183,-0.002368,0.000997,-0.009428,-0.062535,-0.000748,-0.025798,-0.053047,0.065059,-0.015010,-0.014173,-0.007343,-0.011873,-0.047007,-0.268136,0.009181,-0.065790,-0.073787,-0.037840,-0.088914,-0.218307,-0.048153,-0.015267,-0.543357,-0.042429
-0.054758,-0.012135,-0.020450,-0.064226,-0.003273,-0.027380,0.004321,-0.120664,0.003376,-0.000017,-0.009694,0.036900,-0.067600,-0.052040,-0.010925,-0.025257,-0.007035,-0.013103,-0.002326,0.000803,-0.009174,-0.053850,-0.006433,-0.020866,-0.038782,0.058997,-0.013859,-0.008329,-0.010406,-0.012016,-0.050156,-0.272108,0.014961,-0.049156,-0.067529,-0.026606,-0.076832,-0.215723,-0.033561,0.001326,-0.564716,-0.014743
-0.045480,-0.018048,-0.015234,-0.051618,-0.005631,-0.020134,0.003138,-0.092523,0.004056,0.001432,-0.007437,0.030290,-0.055281,-0.059328,-0.008400,-0.018217,-0.007159,-0.011452,-0.002406,0.000616,-0.008387,-0.044566,-0.012103,-0.015661,-0.025151,0.051686,-0.012010,-0.003564,-0.015462,-0.011767,-0.052868,-0.271427,0.020513,-0.033308,-0.060510,-0.015674,-0.062793,-0.211953,-0.019869,0.018779,-0.576158,0.013757
-0.035627,-0.023252,-0.010126,-0.038831,-0.006901,-0.013347,0.002257,-0.064307,0.003806,0.002159,-0.005283,0.022287,-0.042680,-0.065089,-0.005651,-0.011168,-0.007365,-0.009415,-0.002339,0.000438,-0.007203,-0.034757,-0.017378,-0.010544,-0.012574,0.043909,-0.009492,0.000538,-0.021814,-0.010897,-0.054077,-0.266076,0.025564,-0.018819,-0.053477,-0.005901,-0.047466,-0.207279,-0.007933,0.036525,-0.578339,0.041198
