body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
-0.000581,0.015419,0.786001,0.112730,0.003027,0.650855,0.134106,-0.030306,0.346982,0.133586,0.038566,0.037356,-0.119000,0.025984,0.655198,-0.105238,-0.009294,0.351340,-0.072897,0.030907,0.038183,0.001050,0.018247,0.840047,0.140024,-0.045892,1.067129,0.183694,-0.018431,0.890237,0.209458,-0.009771,0.707896,-0.137960,-0.004968,1.074825,-0.189068,0.032131,0.901686,-0.231912,0.049857,0.723238
-0.002001,0.015710,0.785530,0.110947,0.003310,0.650114,0.134189,-0.033709,0.346819,0.133450,0.038384,0.037950,-0.120806,0.025906,0.655047,-0.106151,-0.009478,0.351241,-0.073066,0.030608,0.038151,-0.000365,0.018559,0.839575,0.138145,-0.045161,1.067045,0.181921,-0.019827,0.889862,0.207852,-0.013417,0.707452,-0.140148,-0.006148,1.073735,-0.190603,0.028490,0.899899,-0.232677,0.044475,0.721104
-0.003574,0.015960,0.784953,0.108966,0.003571,0.649238,0.134292,-0.037515,0.346649,0.133317,0.038199,0.038676,-0.122810,0.025772,0.654831,-0.107118,-0.009313,0.351038,-0.073151,0.031130,0.038094,-0.001931,0.018830,0.838997,0.136168,-0.044183,1.066905,0.180553,-0.020870,0.889594,0.206575,-0.017649,0.707115,-0.142472,-0.007509,1.072519,-0.192520,0.024658,0.898096,-0.233832,0.038168,0.718920
-0.005452,0.016129,0.784166,0.106589,0.003786,0.648088,0.134424,-0.042139,0.346437,0.133184,0.037991,0.039620,-0.125222,0.025410,0.654497,-0.108314,-0.009745,0.350771,-0.073351,0.030627,0.037933,-0.003796,0.019016,0.838208,0.133988,-0.042704,1.066654,0.179733,-0.021118,0.889466,0.205828,-0.022383,0.706975,-0.145080,-0.009222,1.071055,-0.194853,0.020412,0.896109,-0.235038,0.030062,0.716428
-0.007178,0.016359,0.783395,0.104385,0.004047,0.646980,0.134602,-0.046478,0.346312,0.133069,0.037716,0.040618,-0.127466,0.025013,0.654155,-0.109324,-0.009710,0.350445,-0.073379,0.030985,0.037766,-0.005500,0.019304,0.837432,0.132159,-0.041070,1.066309,0.179177,-0.021090,0.889259,0.205113,-0.027320,0.706850,-0.147314,-0.010993,1.069696,-0.197299,0.015912,0.894372,-0.236404,0.020594,0.714257
-0.008829,0.016620,0.782632,0.102270,0.004330,0.645895,0.134831,-0.050644,0.346273,0.133001,0.037446,0.041708,-0.129627,0.024553,0.653816,-0.110284,-0.009916,0.350146,-0.073383,0.030962,0.037607,-0.007124,0.019641,0.836662,0.130502,-0.039370,1.065912,0.178766,-0.020913,0.889025,0.204529,-0.032371,0.706847,-0.149339,-0.012811,1.068390,-0.199544,0.011252,0.892720,-0.237297,0.010475,0.712259
-0.010136,0.016495,0.782074,0.100710,0.004255,0.645167,0.134916,-0.053768,0.346319,0.132855,0.037109,0.042590,-0.131245,0.023669,0.653493,-0.110956,-0.010062,0.349795,-0.073443,0.030954,0.037352,-0.008422,0.019636,0.836095,0.129381,-0.037993,1.065590,0.178472,-0.020997,0.888778,0.203518,-0.037945,0.706933,-0.150729,-0.014373,1.067546,-0.201495,0.006831,0.891669,-0.237772,-0.000781,0.711066
-0.011346,0.016303,0.781591,0.099286,0.004158,0.644539,0.135019,-0.056559,0.346420,0.132814,0.036838,0.043469,-0.132734,0.022685,0.653217,-0.111539,-0.010194,0.349481,-0.073490,0.030957,0.037126,-0.009618,0.019566,0.835603,0.128434,-0.036833,1.065255,0.178265,-0.021142,0.888522,0.202567,-0.043490,0.707165,-0.151897,-0.015980,1.066844,-0.203256,0.002425,0.890823,-0.237926,-0.012160,0.710338
-0.012361,0.015975,0.781259,0.098131,0.004021,0.644105,0.135114,-0.058728,0.346574,0.132929,0.036644,0.044246,-0.133964,0.021502,0.653035,-0.111939,-0.010310,0.349238,-0.073491,0.031000,0.036953,-0.010611,0.019371,0.835262,0.127892,-0.035455,1.065024,0.178220,-0.021276,0.888299,0.201510,-0.049302,0.707606,-0.152608,-0.017018,1.066552,-0.204718,-0.001771,0.890448,-0.237748,-0.024145,0.710458
-0.013166,0.015507,0.781035,0.097266,0.003840,0.643824,0.135132,-0.060209,0.346694,0.133001,0.036520,0.044804,-0.134910,0.020190,0.652896,-0.112192,-0.010455,0.349024,-0.073508,0.031003,0.036791,-0.011398,0.019027,0.835029,0.127574,-0.034656,1.064779,0.178207,-0.021654,0.888046,0.200349,-0.054783,0.708083,-0.153050,-0.018252,1.066397,-0.205826,-0.006021,0.890253,-0.237146,-0.035986,0.711071
