body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
-0.670358,-0.000513,-0.012872,0.741926,-0.672123,0.044160,0.147274,0.724300,0.793211,0.090319,0.070968,-0.598015,0.796572,0.014119,-0.004399,-0.604363,-0.666640,0.098475,0.101401,0.731855,-0.608774,-0.082482,-0.021731,0.788745,-0.609075,-0.006038,0.002444,0.793086,-0.649831,-0.056367,-0.066805,0.755037,-0.639639,-0.170292,-0.002904,0.749569,0.333645,0.659896,0.304490,-0.600420,0.318622,0.674943,0.306318,-0.590848,-0.644789,0.008096,-0.195029,0.739017,0.496934,0.389753,0.625706,-0.457866,0.532040,0.407002,0.650548,-0.357868
-0.671515,0.000491,-0.013798,0.740863,-0.673557,0.046725,0.153375,0.721536,0.792864,0.094363,0.074479,-0.597424,0.796617,0.015273,-0.002615,-0.604286,-0.668155,0.097803,0.102257,0.730443,-0.609213,-0.083357,-0.020856,0.788338,-0.609433,-0.005514,0.003084,0.792812,-0.652526,-0.058087,-0.066310,0.752621,-0.641921,-0.166589,0.001967,0.748453,0.338991,0.657578,0.301518,-0.601467,0.328343,0.673956,0.300474,-0.589652,-0.648996,0.010822,-0.189081,0.736842,0.503651,0.384635,0.625996,-0.454446,0.539940,0.395384,0.655876,-0.349233
-0.672851,0.001612,-0.014863,0.739627,-0.675218,0.049627,0.160097,0.718323,0.792425,0.098932,0.078423,-0.596761,0.796641,0.016527,-0.000653,-0.604227,-0.669943,0.096555,0.102756,0.728899,-0.609656,-0.084867,-0.020434,0.787845,-0.609845,-0.005513,0.003166,0.792495,-0.655792,-0.059723,-0.065685,0.749704,-0.644575,-0.164052,0.007409,0.746696,0.347362,0.653604,0.298309,-0.602622,0.340565,0.670959,0.294123,-0.589340,-0.653674,0.014022,-0.183672,0.734015,0.511444,0.377832,0.625961,-0.451488,0.548740,0.382593,0.659953,-0.342007
-0.674548,0.002969,-0.016206,0.738047,-0.677325,0.053210,0.168069,0.714250,0.791786,0.104540,0.083231,-0.596003,0.796596,0.017970,0.001666,-0.604243,-0.672139,0.095588,0.103836,0.726850,-0.610306,-0.086110,-0.019348,0.787234,-0.610403,-0.005020,0.003714,0.792067,-0.660197,-0.061195,-0.064786,0.745787,-0.648124,-0.163451,0.013512,0.743665,0.360384,0.647011,0.294935,-0.603750,0.356458,0.665278,0.287966,-0.589423,-0.659327,0.017478,-0.178539,0.730141,0.522054,0.368304,0.624493,-0.449244,0.559186,0.368774,0.661635,-0.336980
-0.676426,0.004575,-0.017220,0.736295,-0.679585,0.056752,0.175605,0.710004,0.791313,0.109676,0.087677,-0.595070,0.796714,0.019557,0.004165,-0.604026,-0.674526,0.094085,0.104306,0.724764,-0.610840,-0.087716,-0.018775,0.786657,-0.610893,-0.004835,0.003682,0.791690,-0.664797,-0.062432,-0.064208,0.741636,-0.651893,-0.162768,0.019123,0.740389,0.374920,0.638770,0.291854,-0.605169,0.373487,0.658434,0.280983,-0.589934,-0.665180,0.022283,-0.174024,0.725779,0.533526,0.356506,0.622303,-0.448323,0.570601,0.352585,0.661572,-0.335292
-0.678390,0.006305,-0.018068,0.734453,-0.681922,0.060246,0.182915,0.705617,0.790953,0.114610,0.091936,-0.593975,0.796953,0.021262,0.006740,-0.603630,-0.676956,0.092842,0.104947,0.722563,-0.611383,-0.089153,-0.018050,0.786090,-0.611375,-0.004453,0.003776,0.791319,-0.669483,-0.063559,-0.063819,0.737347,-0.655757,-0.162084,0.024476,0.736962,0.390157,0.629658,0.288733,-0.606582,0.391298,0.650817,0.273674,-0.590276,-0.671099,0.027360,-0.169385,0.721240,0.545683,0.343856,0.619241,-0.447810,0.582408,0.335532,0.660435,-0.334731
-0.680326,0.007809,-0.018081,0.732645,-0.684003,0.062836,0.187866,0.702067,0.790656,0.118103,0.094981,-0.593207,0.797114,0.022923,0.009142,-0.603324,-0.679181,0.091338,0.104743,0.720693,-0.611640,-0.090101,-0.017626,0.785791,-0.611584,-0.004070,0.003916,0.791160,-0.673357,-0.063775,-0.063405,0.733827,-0.659080,-0.160639,0.028885,0.734149,0.404327,0.619557,0.285103,-0.609414,0.408994,0.642322,0.264660,-0.591694,-0.675962,0.033133,-0.165252,0.717405,0.557631,0.330610,0.612952,-0.451701,0.593680,0.317793,0.655675,-0.341530
-0.682349,0.009264,-0.017977,0.730747,-0.686121,0.065225,0.192246,0.698588,0.790316,0.121321,0.097657,-0.592575,0.797199,0.024452,0.011442,-0.603113,-0.681463,0.089758,0.104368,0.718790,-0.611907,-0.090954,-0.017275,0.785493,-0.611796,-0.003573,0.004135,0.790997,-0.676947,-0.063919,-0.063263,0.730517,-0.662150,-0.159285,0.032813,0.731511,-0.417630,-0.609488,-0.281262,0.612373,0.425981,0.633738,0.255241,-0.593101,-0.680485,0.038900,-0.161332,0.713722,0.569218,0.317431,0.605872,-0.456232,0.604643,0.299547,0.650266,-0.349046
-0.684552,0.010622,-0.017639,0.728673,-0.688321,0.067251,0.195496,0.695322,0.789852,0.123938,0.099609,-0.592327,0.797073,0.025654,0.013560,-0.603185,-0.683867,0.088033,0.103666,0.716819,-0.612204,-0.091615,-0.017051,0.785189,-0.612101,-0.003790,0.003803,0.790761,-0.680073,-0.062904,-0.062697,0.727745,-0.664972,-0.157066,0.036722,0.729242,-0.430114,-0.598929,-0.276531,0.616293,0.442463,0.624455,0.244499,-0.595401,-0.684334,0.045709,-0.156966,0.710605,0.580614,0.303488,0.596959,-0.463057,0.615349,0.279763,0.643309,-0.359488
-0.686781,0.011734,-0.017160,0.726568,-0.690456,0.068772,0.197520,0.692479,0.789471,0.125773,0.100921,-0.592226,0.796931,0.026165,0.015058,-0.603315,-0.686228,0.086337,0.102723,0.714902,-0.612494,-0.092091,-0.016996,0.784909,-0.612361,-0.003589,0.004110,0.790559,-0.682614,-0.062129,-0.062632,0.725434,-0.667260,-0.155130,0.039618,0.727412,-0.440328,-0.589280,-0.272022,0.620374,0.456342,0.615927,0.233575,-0.598189,-0.687653,0.052136,-0.152697,0.707884,0.591063,0.290381,0.587487,-0.470300,0.625037,0.260966,0.634991,-0.371500
