joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.108203,-0.126274,-0.046146,0.179314,0.037014,-0.008402,0.338012,-0.177375,0.155710,0.351248,0.258687,0.092089,0.072474,-0.212750,-0.150954,0.245789,-0.280012,-0.030624,-0.054962,-0.464959,0.388759,1.292986,1.311503,0.021958,-0.163182,0.041018,0.063519,-0.005353,0.139563
-0.120565,-0.126274,-0.042224,0.187390,0.041450,-0.002172,0.331274,-0.180918,0.158011,0.374978,0.258687,0.077037,0.059365,-0.219074,-0.152869,0.245789,-0.277357,-0.033188,-0.057124,-0.464959,0.396016,1.292986,1.315446,0.019120,-0.181021,0.041018,0.063519,0.006060,0.135892
-0.134423,-0.124976,-0.037301,0.196225,0.046420,0.004641,0.323334,-0.184953,0.159946,0.401453,0.258863,0.063135,0.046769,-0.226335,-0.154833,0.248073,-0.276332,-0.036117,-0.059600,-0.461143,0.403162,1.286788,1.315351,0.017739,-0.196041,0.039578,0.062571,0.016514,0.132847
-0.151271,-0.124976,-0.030374,0.206577,0.052461,0.012620,0.312993,-0.189973,0.161149,0.433416,0.258863,0.051536,0.035203,-0.235470,-0.156897,0.253708,-0.276332,-0.039777,-0.062702,-0.451783,0.410086,1.270998,1.307183,0.017739,-0.205425,0.038119,0.062571,0.025048,0.131055
-0.166790,-0.122579,-0.023296,0.216047,0.058100,0.019702,0.302683,-0.195452,0.163121,0.463424,0.258464,0.040265,0.022478,-0.242988,-0.158972,0.259177,-0.278462,-0.043169,-0.065962,-0.439489,0.416395,1.252112,1.294136,0.020217,-0.211233,0.036310,0.059807,0.034698,0.128124
-0.181644,-0.120438,-0.016142,0.225076,0.063539,0.026336,0.292390,-0.201160,0.165476,0.492454,0.258214,0.029158,0.009174,-0.249696,-0.161053,0.264563,-0.280539,-0.046427,-0.069302,-0.425728,0.422397,1.231676,1.278649,0.023166,-0.215724,0.034326,0.056831,0.044907,0.124623
-0.191009,-0.115945,-0.011076,0.230193,0.066585,0.030104,0.283739,-0.206572,0.167213,0.512731,0.256197,0.019824,-0.003363,-0.253027,-0.162805,0.268520,-0.283289,-0.048667,-0.071438,-0.412617,0.422397,1.209590,1.255640,0.026548,-0.215724,0.031297,0.052443,0.057936,0.117904
-0.199239,-0.111041,-0.006936,0.234401,0.069231,0.033114,0.274894,-0.212027,0.169289,0.530863,0.253799,0.011086,-0.015924,-0.255760,-0.164772,0.272289,-0.285990,-0.050970,-0.073358,-0.400264,0.421004,1.187354,1.231343,0.030133,-0.216674,0.027855,0.047773,0.071297,0.110385
-0.205203,-0.105314,-0.004650,0.236790,0.071078,0.034604,0.265662,-0.217569,0.169289,0.544705,0.250639,0.003540,-0.028532,-0.257295,-0.164772,0.275680,-0.288596,-0.053396,-0.074847,-0.389429,0.417120,1.164821,1.204468,0.034123,-0.218112,0.023585,0.042539,0.085324,0.101268
-0.208820,-0.099467,-0.003888,0.237433,0.072014,0.035039,0.257327,-0.222888,0.170207,0.553895,0.247191,-0.003044,-0.041679,-0.258668,-0.166132,0.278315,-0.290524,-0.055685,-0.075343,-0.380919,0.411735,1.143611,1.178024,0.039358,-0.217608,0.018609,0.036315,0.098914,0.091124
