joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
-0.618122,0.000000,0.196106,0.403792,0.221781,0.311492,-0.336932,-0.177108,0.115050,1.186517,0.000000,-0.752618,-0.655476,-0.316175,-0.095750,0.000000,0.132723,-0.128195,-0.108119,0.000000,0.362852,0.000000,0.197124,-0.141890,-0.891945,0.000000,0.000000,0.570695,-0.183578
-0.692889,0.064879,0.246182,0.441726,0.248529,0.340651,-0.396979,-0.201751,0.096756,1.323737,0.008763,-0.695071,-0.629754,-0.363045,-0.098227,0.114191,0.051239,-0.146468,-0.123781,0.190789,0.357293,-0.309896,-0.004721,-0.069031,-0.751026,-0.071986,-0.047409,0.522695,-0.152242
-0.842425,0.000000,0.346334,0.517599,0.302025,0.398969,-0.517072,-0.251029,0.060169,1.598167,0.000000,-0.579977,-0.578313,-0.456785,-0.103175,0.281740,0.000000,-0.183013,-0.155107,0.468007,0.346179,-0.789475,-0.408411,0.000000,-0.469194,-0.072940,0.000000,0.426697,-0.089575
-0.775943,0.119868,0.353912,0.473500,0.281974,0.354104,-0.515461,-0.273951,0.098564,1.500385,-0.019948,-0.563556,-0.636244,-0.375868,-0.103766,0.273451,-0.106472,-0.169590,-0.163010,0.614698,0.315472,-0.944346,-0.652367,0.123874,-0.290389,-0.090460,-0.138182,0.482506,-0.146557
-0.742698,0.107032,0.357701,0.451453,0.271948,0.331672,-0.514653,-0.285407,0.117761,1.451495,-0.012486,-0.555346,-0.665210,-0.335415,-0.104062,0.269309,-0.103839,-0.162878,-0.166962,0.688046,0.300121,-1.021779,-0.774342,0.147469,-0.224537,-0.099220,-0.148829,0.510411,-0.175049
-0.468226,0.224659,0.253297,0.255858,0.152286,0.188432,-0.432561,-0.270584,0.086878,1.013847,-0.100848,-0.466710,-0.626857,-0.166561,-0.087589,0.197861,-0.137497,-0.112034,-0.106817,0.655568,0.000000,-1.104313,-1.150459,0.169093,0.000000,-0.151418,-0.219375,0.651465,-0.335957
-0.411537,0.245213,0.206967,0.210395,0.132306,0.150454,-0.442243,-0.272757,0.103803,0.906593,-0.119898,-0.436896,-0.628039,-0.136624,-0.098334,0.188427,-0.135091,-0.115119,-0.096017,0.617623,-0.069654,-1.111764,-1.214862,0.179238,-0.047514,-0.172108,-0.233497,0.668077,-0.375934
-0.298164,0.286325,0.114306,0.119463,0.092348,0.074499,-0.461601,-0.277112,0.000000,0.692084,-0.157994,-0.377269,-0.630403,-0.076744,0.000000,0.169557,-0.130279,-0.121291,-0.074416,0.541729,-0.194195,-1.126659,-1.343727,0.199529,-0.071886,-0.213488,-0.261742,0.701302,-0.455891
-0.180889,0.292344,0.038102,0.032163,0.046800,0.021799,-0.416747,-0.265925,0.045879,0.459537,-0.172399,-0.329189,-0.657362,-0.068694,-0.068017,0.131769,-0.096416,-0.114483,-0.024805,0.425510,-0.269251,-1.060510,-1.322204,0.261756,0.025197,-0.248788,-0.311178,0.679499,-0.507204
-0.095621,0.295355,-0.002173,-0.007659,0.003060,-0.043477,-0.394320,-0.260329,0.004010,0.343272,-0.179600,-0.305150,-0.670842,-0.057523,-0.048170,0.112873,-0.093263,-0.159336,-0.002784,0.367405,-0.306779,-1.027453,-1.311433,0.292869,0.073739,-0.266438,-0.335896,0.668599,-0.532861
