body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
-0.000544,-0.146898,-0.180508,0.003431,0.083657,-0.248981,0.001441,0.136752,-0.055295,-0.056233,-0.003311,-0.046714,-0.704885,0.196673,-0.317616,0.587250,-0.035868,-0.031248,0.218113,-0.079888,-0.012351,0.062725,0.195786,-0.413022,-0.560988,0.217639,-0.582430,-0.474073,0.318017,-0.908839,-0.419381,0.200222,-1.673494,-0.611319,0.148318,-0.219953,-0.857752,0.036125,-0.340063,-1.211118,0.448464,-0.375865
-0.006651,-0.154329,-0.198748,0.015870,0.085940,-0.268224,0.009907,0.142935,-0.058377,-0.048004,-0.005487,-0.050167,-0.732926,0.195947,-0.342904,0.610259,-0.036577,-0.033928,0.231189,-0.084743,-0.014560,0.053824,0.192890,-0.456237,-0.558690,0.181459,-0.631034,-0.622928,0.327970,-0.970932,-0.610822,0.220734,-1.630231,-0.590445,0.202773,-0.260471,-1.007614,0.015769,-0.461644,-1.360863,0.410662,-0.458995
-0.017966,-0.158676,-0.219973,0.031677,0.085883,-0.288348,0.017058,0.145852,-0.059914,-0.040627,-0.008919,-0.052211,-0.748704,0.188890,-0.368025,0.621238,-0.036271,-0.037490,0.245413,-0.089623,-0.018478,0.042711,0.183386,-0.498906,-0.561043,0.133665,-0.680580,-0.812248,0.337692,-1.024944,-0.865482,0.237745,-1.558029,-0.564497,0.250348,-0.302939,-1.174064,-0.018024,-0.591128,-1.532726,0.368216,-0.542669
-0.034535,-0.155762,-0.240622,0.051457,0.081746,-0.304181,0.021765,0.142096,-0.058425,-0.034815,-0.012752,-0.051243,-0.736061,0.172148,-0.384561,0.607503,-0.034073,-0.040128,0.256260,-0.093145,-0.022805,0.029134,0.164443,-0.526755,-0.570322,0.078726,-0.715397,-1.010680,0.341934,-1.040820,-1.157246,0.242909,-1.449073,-0.536557,0.274173,-0.335140,-1.324380,-0.066195,-0.694534,-1.698629,0.326741,-0.600923
-0.054115,-0.143658,-0.258245,0.075396,0.073024,-0.312779,0.023869,0.130296,-0.053847,-0.030155,-0.015533,-0.047126,-0.686092,0.145130,-0.385698,0.564299,-0.029499,-0.039190,0.258733,-0.094573,-0.024919,0.012102,0.135653,-0.529890,-0.586950,0.022993,-0.723884,-1.168759,0.334105,-0.992998,-1.439556,0.231898,-1.300226,-0.509364,0.267011,-0.347999,-1.433671,-0.125554,-0.745276,-1.835006,0.288729,-0.614234
-0.072981,-0.123993,-0.272692,0.102264,0.060668,-0.315086,0.023996,0.111891,-0.047796,-0.025639,-0.015958,-0.041502,-0.600691,0.110848,-0.367912,0.496922,-0.022755,-0.033107,0.248986,-0.094066,-0.022737,-0.008830,0.099543,-0.507492,-0.609962,-0.027271,-0.704310,-1.234784,0.308701,-0.873869,-1.646775,0.207063,-1.114144,-0.484285,0.233825,-0.339829,-1.492733,-0.189158,-0.735585,-1.928296,0.253034,-0.576797
-0.087735,-0.100701,-0.285284,0.129510,0.046256,-0.314416,0.023162,0.089955,-0.042453,-0.020688,-0.013526,-0.036601,-0.489005,0.074320,-0.330862,0.415654,-0.014751,-0.023189,0.225277,-0.091793,-0.016784,-0.032302,0.060595,-0.466065,-0.637596,-0.067035,-0.663458,-1.195834,0.267744,-0.701740,-1.713784,0.176625,-0.896101,-0.461511,0.186001,-0.315134,-1.503944,-0.248618,-0.674860,-1.971993,0.217066,-0.494420
-0.096596,-0.077539,-0.297081,0.154387,0.030944,-0.313511,0.022222,0.067217,-0.039110,-0.015655,-0.008759,-0.033747,-0.363372,0.039511,-0.279741,0.329038,-0.006830,-0.013524,0.188211,-0.086701,-0.010450,-0.055648,0.023682,-0.414228,-0.667047,-0.092814,-0.610680,-1.117808,0.227066,-0.519291,-1.630779,0.152522,-0.654253,-0.441070,0.134129,-0.280411,-1.473757,-0.296791,-0.580369,-1.962299,0.178924,-0.378530
-0.099188,-0.056507,-0.307580,0.174831,0.015099,-0.312611,0.021496,0.044920,-0.037660,-0.011154,-0.003048,-0.032937,-0.238670,0.007264,-0.228663,0.241269,-0.000277,-0.008814,0.140434,-0.076534,-0.008027,-0.076707,-0.007257,-0.358906,-0.693271,-0.103049,-0.552745,-1.116676,0.210243,-0.375135,-1.493344,0.147546,-0.407701,-0.423803,0.084659,-0.241015,-1.409059,-0.329297,-0.469412,-1.897131,0.137876,-0.242494
-0.095388,-0.037755,-0.314237,0.189286,-0.001329,-0.309204,0.020931,0.023053,-0.037168,-0.007286,0.001858,-0.033361,-0.129430,-0.023773,-0.195282,0.154039,0.004110,-0.011774,0.085954,-0.059739,-0.012154,-0.094771,-0.030113,-0.304595,-0.707346,-0.098708,-0.492016,-1.255302,0.229137,-0.293664,-1.458054,0.170004,-0.188107,-0.411148,0.040017,-0.200600,-1.316794,-0.344864,-0.356374,-1.777576,0.093703,-0.100945
