body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
0.075253,0.013417,-0.026844,0.095963,-0.006923,-0.009575,0.047585,-0.007187,-0.007357,0.007438,-0.007894,-0.002926,0.094684,0.013542,-0.041161,-0.004922,-0.181860,-0.008196,0.006660,-0.009571,0.033837,0.074898,0.014636,-0.026917,0.112028,-0.064843,-0.057914,0.086122,-0.189537,-0.089930,0.044520,-0.304425,-0.108380,0.095491,0.045066,-0.006460,0.076721,-0.056467,-0.016333,0.070754,-0.196186,-0.018755
0.077697,0.012401,-0.029076,0.099312,-0.009885,-0.011054,0.048509,-0.006687,-0.009034,0.006698,-0.004670,-0.004009,0.097894,0.012918,-0.043839,-0.005519,-0.188852,-0.007867,0.006472,-0.010108,0.036947,0.077237,0.013855,-0.029179,0.112534,-0.069288,-0.059839,0.092525,-0.195699,-0.089454,0.047736,-0.335347,-0.108326,0.095334,0.051626,-0.008275,0.067127,-0.045928,-0.014711,0.063630,-0.207195,-0.015786
0.079543,0.010848,-0.031284,0.101884,-0.014248,-0.012704,0.048740,-0.006533,-0.010970,0.005711,-0.001922,-0.005396,0.100252,0.011856,-0.046269,-0.006223,-0.194399,-0.007015,0.006136,-0.010895,0.040522,0.078950,0.012752,-0.031433,0.110924,-0.074257,-0.061003,0.098976,-0.203367,-0.087361,0.049511,-0.376904,-0.105945,0.093236,0.059180,-0.010570,0.055134,-0.033135,-0.013115,0.055664,-0.220778,-0.011837
0.079468,0.008463,-0.032524,0.101821,-0.020039,-0.014059,0.047412,-0.006653,-0.012765,0.004575,-0.000084,-0.006873,0.099902,0.010084,-0.047152,-0.006791,-0.194642,-0.005441,0.005579,-0.011784,0.043590,0.078744,0.011059,-0.032733,0.105571,-0.078251,-0.059990,0.103108,-0.210899,-0.082464,0.047782,-0.424323,-0.099144,0.087962,0.065686,-0.012866,0.042515,-0.020825,-0.011992,0.048934,-0.235191,-0.007175
0.076602,0.004884,-0.032001,0.097848,-0.027145,-0.014671,0.044008,-0.006839,-0.014028,0.003482,0.000837,-0.008175,0.095587,0.007381,-0.045462,-0.006945,-0.186720,-0.003190,0.004687,-0.012442,0.045143,0.075784,0.008355,-0.032277,0.095706,-0.079802,-0.055709,0.102991,-0.216425,-0.074010,0.041226,-0.471128,-0.086276,0.079010,0.069180,-0.014574,0.031026,-0.011783,-0.011535,0.045174,-0.248712,-0.002035
0.070998,-0.000016,-0.029496,0.090011,-0.035254,-0.014304,0.038676,-0.006951,-0.014517,0.002619,0.001090,-0.009069,0.087374,0.003855,-0.041048,-0.006540,-0.170299,-0.000615,0.003348,-0.012450,0.044570,0.070133,0.004365,-0.029834,0.081925,-0.078210,-0.048033,0.098038,-0.218851,-0.062195,0.029962,-0.511837,-0.066998,0.066948,0.068819,-0.015299,0.021582,-0.007396,-0.011593,0.044818,-0.260037,0.003465
0.063427,-0.005909,-0.025412,0.079466,-0.043792,-0.012984,0.032080,-0.006990,-0.014171,0.002058,0.000994,-0.009397,0.076447,0.000061,-0.034650,-0.005646,-0.147352,0.001745,0.001595,-0.011508,0.041766,0.062540,-0.000745,-0.025798,0.065829,-0.073787,-0.037860,0.088932,-0.218311,-0.048180,0.015269,-0.543354,-0.042458,0.053085,0.065059,-0.014991,0.014172,-0.007341,-0.011843,0.046967,-0.268132,0.009217
0.054759,-0.012133,-0.020449,0.067601,-0.052038,-0.010924,0.024965,-0.007038,-0.013080,0.001752,0.000798,-0.009116,0.064227,-0.003272,-0.027379,-0.004468,-0.120664,0.003395,-0.000245,-0.009676,0.036919,0.053855,-0.006431,-0.020866,0.049202,-0.067529,-0.026630,0.076850,-0.215725,-0.033594,-0.001333,-0.564715,-0.014780,0.038828,0.058996,-0.013833,0.008332,-0.010407,-0.011979,0.050115,-0.272110,0.015005
0.045481,-0.018046,-0.015233,0.055282,-0.059327,-0.008399,0.017817,-0.007165,-0.011421,0.001619,0.000607,-0.008307,0.051618,-0.005630,-0.020132,-0.003257,-0.092520,0.004072,-0.001645,-0.007411,0.030307,0.044570,-0.012102,-0.015660,0.033342,-0.060510,-0.015692,0.062804,-0.211955,-0.019893,-0.018789,-0.576159,0.013729,0.025185,0.051685,-0.011990,0.003567,-0.015465,-0.011739,0.052839,-0.271430,0.020545
0.035628,-0.023251,-0.010125,0.042681,-0.065089,-0.005651,0.010799,-0.007373,-0.009385,0.001612,0.000424,-0.007130,0.038831,-0.006900,-0.013345,-0.002289,-0.064303,0.003811,-0.002215,-0.005260,0.022294,0.034759,-0.017377,-0.010543,0.018822,-0.053478,-0.005902,0.047466,-0.207282,-0.007934,-0.036527,-0.578341,0.041195,0.012578,0.043907,-0.009489,-0.000539,-0.021817,-0.010893,0.054069,-0.266078,0.025569
