body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
0.000572,0.015415,0.786004,0.118991,0.025980,0.655200,0.105234,-0.009297,0.351343,0.072898,0.030906,0.038185,-0.112739,0.003025,0.650859,-0.134105,-0.030291,0.346984,-0.133586,0.038565,0.037354,-0.001059,0.018243,0.840051,0.137965,-0.004969,1.074828,0.189074,0.032136,0.901690,0.231918,0.049859,0.723242,-0.140019,-0.045894,1.067134,-0.183687,-0.018441,0.890240,-0.209451,-0.009785,0.707900
0.001996,0.015708,0.785532,0.120800,0.025904,0.655049,0.106148,-0.009479,0.351242,0.073066,0.030609,0.038152,-0.110953,0.003309,0.650116,-0.134190,-0.033703,0.346819,-0.133450,0.038384,0.037949,0.000360,0.018558,0.839577,0.140153,-0.006148,1.073737,0.190609,0.028492,0.899902,0.232682,0.044475,0.721106,-0.138140,-0.045162,1.067047,-0.181912,-0.019831,0.889863,-0.207843,-0.013419,0.707453
0.003571,0.015959,0.784954,0.122807,0.025772,0.654832,0.107116,-0.009313,0.351039,0.073151,0.031130,0.038094,-0.108970,0.003570,0.649238,-0.134293,-0.037515,0.346649,-0.133317,0.038199,0.038677,0.001928,0.018829,0.838998,0.142478,-0.007508,1.072521,0.192525,0.024659,0.898097,0.233836,0.038168,0.718921,-0.136163,-0.044183,1.066905,-0.180548,-0.020869,0.889595,-0.206571,-0.017648,0.707116
0.005448,0.016128,0.784167,0.125219,0.025410,0.654497,0.108312,-0.009745,0.350772,0.073351,0.030627,0.037934,-0.106592,0.003786,0.648089,-0.134426,-0.042139,0.346437,-0.133183,0.037991,0.039621,0.003793,0.019016,0.838208,0.145086,-0.009221,1.071056,0.194859,0.020413,0.896110,0.235042,0.030062,0.716428,-0.133982,-0.042703,1.066655,-0.179727,-0.021117,0.889466,-0.205821,-0.022382,0.706975
0.007175,0.016359,0.783396,0.127463,0.025013,0.654156,0.109323,-0.009710,0.350446,0.073379,0.030985,0.037766,-0.104389,0.004047,0.646980,-0.134603,-0.046478,0.346313,-0.133068,0.037716,0.040618,0.005497,0.019304,0.837432,0.147320,-0.010993,1.069697,0.197304,0.015912,0.894374,0.236408,0.020594,0.714258,-0.132153,-0.041069,1.066309,-0.179171,-0.021089,0.889259,-0.205105,-0.027320,0.706850
0.008826,0.016620,0.782633,0.129624,0.024553,0.653817,0.110283,-0.009916,0.350146,0.073383,0.030962,0.037608,-0.102273,0.004330,0.645895,-0.134831,-0.050644,0.346273,-0.132999,0.037446,0.041708,0.007121,0.019641,0.836663,0.149344,-0.012810,1.068392,0.199550,0.011253,0.892722,0.237302,0.010475,0.712260,-0.130497,-0.039369,1.065912,-0.178760,-0.020912,0.889025,-0.204521,-0.032370,0.706847
0.010133,0.016495,0.782075,0.131242,0.023669,0.653494,0.110955,-0.010062,0.349796,0.073443,0.030954,0.037353,-0.100713,0.004254,0.645168,-0.134916,-0.053768,0.346319,-0.132851,0.037109,0.042590,0.008418,0.019636,0.836096,0.150734,-0.014373,1.067548,0.201501,0.006831,0.891671,0.237779,-0.000781,0.711068,-0.129375,-0.037993,1.065591,-0.178467,-0.020997,0.888778,-0.203512,-0.037944,0.706933
0.011343,0.016303,0.781592,0.132730,0.022685,0.653218,0.111537,-0.010195,0.349482,0.073490,0.030957,0.037127,-0.099289,0.004158,0.644540,-0.135019,-0.056559,0.346420,-0.132810,0.036837,0.043470,0.009615,0.019566,0.835604,0.151903,-0.015980,1.066846,0.203263,0.002425,0.890825,0.237933,-0.012160,0.710339,-0.128428,-0.036832,1.065255,-0.178260,-0.021142,0.888523,-0.202563,-0.043489,0.707166
0.012358,0.015975,0.781260,0.133961,0.021502,0.653035,0.111937,-0.010310,0.349238,0.073491,0.031000,0.036953,-0.098134,0.004021,0.644105,-0.135115,-0.058728,0.346574,-0.132928,0.036644,0.044246,0.010607,0.019371,0.835263,0.152614,-0.017018,1.066553,0.204724,-0.001770,0.890449,0.237755,-0.024145,0.710460,-0.127886,-0.035455,1.065024,-0.178215,-0.021275,0.888299,-0.201506,-0.049301,0.707606
0.013163,0.015507,0.781036,0.134907,0.020190,0.652897,0.112190,-0.010455,0.349025,0.073508,0.031003,0.036792,-0.097269,0.003840,0.643825,-0.135179,-0.060209,0.346701,-0.133085,0.036519,0.044809,0.011396,0.019027,0.835030,0.153071,-0.018250,1.066390,0.205836,-0.006020,0.890243,0.237146,-0.035986,0.711059,-0.127553,-0.034655,1.064788,-0.178198,-0.021653,0.888059,-0.200351,-0.054783,0.708097
0.013863,0.014969,0.780865,0.135709,0.018814,0.652782,0.112425,-0.010613,0.348825,0.073639,0.031008,0.036630,-0.096547,0.003653,0.643617,-0.135146,-0.061176,0.346763,-0.133116,0.036767,0.045267,0.012065,0.018609,0.834851,0.153150,-0.019286,1.066482,0.206729,-0.010223,0.890386,0.236469,-0.047874,0.712398,-0.127570,-0.033860,1.064475,-0.178266,-0.022093,0.887670,-0.199059,-0.060263,0.708557
0.014277,0.014327,0.780835,0.136199,0.017190,0.652783,0.112310,-0.010790,0.348729,0.073473,0.031008,0.036563,-0.096150,0.003498,0.643562,-0.135135,-0.061622,0.346831,-0.133132,0.036340,0.045341,0.012471,0.018107,0.834811,0.153275,-0.020063,1.066582,0.207116,-0.014244,0.890425,0.234880,-0.059516,0.713912,-0.127511,-0.033226,1.064483,-0.178339,-0.022740,0.887633,-0.197997,-0.065303,0.709395
