body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.741926,0.012869,0.000514,-0.670358,0.731857,-0.101395,-0.098481,-0.666638,0.788745,0.021738,0.082479,-0.608774,0.793086,-0.002445,0.006041,-0.609075,0.724308,-0.147243,-0.044150,-0.672122,-0.598018,-0.070952,-0.090297,0.793213,-0.604362,0.004400,-0.014120,0.796573,0.755037,0.066800,0.056370,-0.649830,0.739016,0.195045,-0.008089,-0.644785,0.457867,0.625705,0.389751,-0.496936,0.357856,0.650545,0.406978,-0.532069,0.749573,0.002892,0.170273,-0.639639,0.600423,0.304482,0.659895,-0.333650,0.590855,0.306297,0.674938,-0.318640
0.740863,0.013797,-0.000490,-0.671514,0.730444,-0.102253,-0.097806,-0.668155,0.788338,0.020861,0.083356,-0.609213,0.792812,-0.003083,0.005517,-0.609433,0.721540,-0.153361,-0.046722,-0.673556,-0.597425,-0.074473,-0.094354,0.792865,-0.604286,0.002615,-0.015273,0.796617,0.752622,0.066309,0.058088,-0.652525,0.736841,0.189087,-0.010820,-0.648995,0.454446,0.625996,0.384634,-0.503651,0.349227,0.655870,0.395365,-0.539965,0.748455,-0.001966,0.166578,-0.641921,0.601465,0.301522,0.657579,-0.338989,0.589656,0.300467,0.673952,-0.328350
0.739627,0.014863,-0.001612,-0.672851,0.728900,-0.102754,-0.096557,-0.669943,0.787845,0.020436,0.084865,-0.609656,0.792495,-0.003166,0.005514,-0.609845,0.718323,-0.160094,-0.049628,-0.675217,-0.596762,-0.078425,-0.098930,0.792425,-0.604227,0.000653,-0.016527,0.796641,0.749704,0.065686,0.059722,-0.655791,0.734016,0.183670,-0.014021,-0.653673,0.451488,0.625960,0.377833,-0.511444,0.342001,0.659949,0.382585,-0.548754,0.746696,-0.007410,0.164055,-0.644574,0.602620,0.298308,0.653606,-0.347362,0.589341,0.294115,0.670957,-0.340572
0.738047,0.016206,-0.002970,-0.674548,0.726850,-0.103834,-0.095589,-0.672139,0.787234,0.019350,0.086108,-0.610306,0.792067,-0.003714,0.005020,-0.610402,0.714250,-0.168067,-0.053212,-0.677325,-0.596003,-0.083232,-0.104539,0.791786,-0.604243,-0.001666,-0.017970,0.796596,0.745787,0.064787,0.061194,-0.660196,0.730142,0.178537,-0.017478,-0.659327,0.449244,0.624492,0.368305,-0.522054,0.336976,0.661630,0.368767,-0.559199,0.743665,-0.013511,0.163451,-0.648124,0.603751,0.294936,0.647009,-0.360384,0.589426,0.287962,0.665275,-0.356462
0.736295,0.017220,-0.004575,-0.676426,0.724764,-0.104305,-0.094087,-0.674526,0.786657,0.018777,0.087714,-0.610839,0.791690,-0.003682,0.004835,-0.610893,0.710005,-0.175602,-0.056754,-0.679585,-0.595070,-0.087680,-0.109674,0.791313,-0.604026,-0.004166,-0.019556,0.796713,0.741636,0.064210,0.062430,-0.664797,0.725780,0.174021,-0.022282,-0.665179,0.448322,0.622301,0.356507,-0.533527,0.335289,0.661568,0.352582,-0.570609,0.740389,-0.019121,0.162767,-0.651893,0.605171,0.291855,0.638767,-0.374920,0.589936,0.280982,0.658430,-0.373489
0.734453,0.018068,-0.006305,-0.678390,0.722563,-0.104945,-0.092844,-0.676956,0.786090,0.018052,0.089151,-0.611383,0.791319,-0.003776,0.004453,-0.611375,0.705618,-0.182912,-0.060249,-0.681921,-0.593976,-0.091939,-0.114607,0.790952,-0.603630,-0.006742,-0.021260,0.796953,0.737347,0.063821,0.063557,-0.669483,0.721240,0.169385,-0.027361,-0.671099,0.447810,0.619242,0.343856,-0.545682,0.334729,0.660435,0.335529,-0.582411,0.736962,-0.024474,0.162082,-0.655757,0.606583,0.288735,0.629656,-0.390157,0.590278,0.273674,0.650814,-0.391299
0.732645,0.018082,-0.007809,-0.680326,0.720694,-0.104741,-0.091339,-0.679181,0.785791,0.017628,0.090099,-0.611641,0.791160,-0.003916,0.004070,-0.611584,0.702068,-0.187862,-0.062839,-0.684002,-0.593208,-0.094984,-0.118100,0.790655,-0.603324,-0.009144,-0.022921,0.797114,0.733827,0.063407,0.063773,-0.673357,0.717405,0.165254,-0.033135,-0.675962,0.451701,0.612954,0.330610,-0.557629,0.341529,0.655676,0.317791,-0.593680,0.734149,-0.028885,0.160640,-0.659080,0.609415,0.285104,0.619556,-0.404327,0.591695,0.264659,0.642321,-0.408995
0.730747,0.017978,-0.009264,-0.682349,0.718790,-0.104367,-0.089760,-0.681463,0.785493,0.017277,0.090953,-0.611907,0.790997,-0.004135,0.003573,-0.611796,0.698589,-0.192242,-0.065228,-0.686121,-0.592577,-0.097661,-0.121318,0.790315,-0.603114,-0.011443,-0.024450,0.797198,0.730517,0.063265,0.063918,-0.676946,0.713722,0.161333,-0.038901,-0.680484,0.456232,0.605874,0.317430,-0.569217,0.349045,0.650267,0.299545,-0.604643,0.731511,-0.032813,0.159287,-0.662150,0.612373,0.281261,0.609489,-0.417630,0.593100,0.255240,0.633738,-0.425982
0.728673,0.017639,-0.010622,-0.684552,0.716819,-0.103665,-0.088035,-0.683867,0.785189,0.017053,0.091613,-0.612204,0.790761,-0.003803,0.003790,-0.612101,0.695323,-0.195494,-0.067253,-0.688321,-0.592327,-0.099612,-0.123936,0.789852,-0.603186,-0.013561,-0.025653,0.797073,0.727746,0.062699,0.062903,-0.680072,0.710605,0.156966,-0.045710,-0.684334,0.463057,0.596960,0.303488,-0.580614,0.359487,0.643310,0.279762,-0.615349,0.729242,-0.036723,0.157069,-0.664972,0.616292,0.276529,0.598930,-0.430114,0.595400,0.244497,0.624457,-0.442464
0.726568,0.017160,-0.011734,-0.686781,0.714903,-0.102721,-0.086339,-0.686228,0.784909,0.016998,0.092089,-0.612493,0.790560,-0.003983,0.003491,-0.612362,0.692464,-0.197570,-0.068720,-0.690461,-0.592195,-0.100868,-0.125808,0.789495,-0.603292,-0.015000,-0.026205,0.796949,0.725433,0.062611,0.062149,-0.682616,0.707886,0.152674,-0.052117,-0.687657,-0.470293,-0.587468,-0.290394,0.591081,0.371493,0.634972,0.260976,-0.625056,0.727408,-0.039641,0.155153,-0.667259,0.620356,0.272006,0.589300,-0.440338,0.598169,0.233558,0.615945,-0.456350
