joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.126272,-0.108143,0.046148,-0.036993,-0.179276,0.008396,0.177368,-0.338031,0.155711,0.258694,0.351131,0.072505,0.092045,-0.150952,-0.212698,0.280039,-0.245771,0.054941,0.030606,-0.388759,0.464957,1.311463,1.293016,0.163236,-0.021957,0.063468,0.040991,-0.139576,0.005325
-0.126272,-0.120539,0.042225,-0.041438,-0.187371,0.002171,0.180914,-0.331282,0.158011,0.258694,0.374928,0.059377,0.077020,-0.152867,-0.219053,0.277367,-0.245771,0.057113,0.033177,-0.396017,0.464957,1.315430,1.293016,0.181058,-0.019120,0.063468,0.040991,-0.135901,-0.006080
-0.124976,-0.134420,0.037301,-0.046415,-0.196219,-0.004638,0.184951,-0.323336,0.159946,0.258863,0.401449,0.046768,0.063137,-0.154832,-0.226335,0.276326,-0.248080,0.059595,0.036112,-0.403163,0.461142,1.315353,1.286787,0.196065,-0.017739,0.062546,0.039562,-0.132854,-0.016527
-0.124976,-0.151270,0.030374,-0.052456,-0.206572,-0.012617,0.189972,-0.312995,0.161149,0.258863,0.433414,0.035202,0.051538,-0.156896,-0.235471,0.276326,-0.253709,0.062697,0.039772,-0.410086,0.451781,1.307185,1.270996,0.205441,-0.017739,0.062546,0.038108,-0.131060,-0.025056
-0.122579,-0.166789,0.023296,-0.058096,-0.216041,-0.019698,0.195451,-0.302686,0.163120,0.258465,0.463423,0.022477,0.040266,-0.158971,-0.242989,0.278453,-0.259176,0.065957,0.043164,-0.416395,0.439487,1.294138,1.252109,0.211244,-0.020216,0.059794,0.036303,-0.128127,-0.034703
-0.120438,-0.181644,0.016141,-0.063535,-0.225068,-0.026331,0.201159,-0.292393,0.165476,0.258215,0.492452,0.009173,0.029159,-0.161053,-0.249697,0.280535,-0.264563,0.069297,0.046422,-0.422398,0.425726,1.278651,1.231674,0.215728,-0.023166,0.056823,0.034322,-0.124625,-0.044909
-0.115945,-0.191008,0.011075,-0.066580,-0.230183,-0.030100,0.206571,-0.283742,0.167213,0.256198,0.512729,-0.003364,0.019825,-0.162804,-0.253028,0.283287,-0.268524,0.071433,0.048662,-0.422398,0.412615,1.255641,1.209587,0.215728,-0.026548,0.052439,0.031295,-0.117905,-0.057937
-0.111041,-0.199239,0.006936,-0.069226,-0.234391,-0.033110,0.212026,-0.274898,0.169290,0.253800,0.530861,-0.015925,0.011088,-0.164771,-0.255760,0.285990,-0.272296,0.073353,0.050965,-0.421006,0.400263,1.231344,1.187352,0.216676,-0.030132,0.047771,0.027854,-0.110385,-0.071298
-0.105314,-0.205202,0.004650,-0.071073,-0.236784,-0.034600,0.217568,-0.265665,0.169290,0.250640,0.544703,-0.028533,0.003542,-0.164771,-0.257296,0.288594,-0.275689,0.074841,0.053390,-0.417122,0.389429,1.204470,1.164819,0.218113,-0.034123,0.042537,0.023585,-0.101267,-0.085323
-0.099468,-0.208819,0.003888,-0.072009,-0.237582,-0.035097,0.222887,-0.257329,0.170207,0.247192,0.553895,-0.041681,-0.003042,-0.166131,-0.258670,0.290521,-0.278324,0.075659,0.055680,-0.411737,0.380919,1.178026,1.143609,0.217609,-0.039358,0.036314,0.018609,-0.091123,-0.098913
-0.093560,-0.210731,0.003932,-0.072329,-0.237284,-0.034166,0.228093,-0.249441,0.170287,0.243600,0.560761,-0.055098,-0.009145,-0.167095,-0.259533,0.292386,-0.280579,0.075393,0.058867,-0.405601,0.373570,1.151798,1.123060,0.216134,-0.045216,0.029597,0.013281,-0.080466,-0.112285
-0.086661,-0.210731,0.006603,-0.072329,-0.235733,-0.034166,0.233970,-0.242653,0.170287,0.239227,0.561951,-0.068761,-0.014748,-0.167095,-0.259533,0.292386,-0.282251,0.075393,0.058867,-0.397830,0.369623,1.126493,1.105997,0.209161,-0.052696,0.022316,0.008411,-0.069941,-0.122603
-0.080526,-0.209422,0.009375,-0.071303,-0.233699,-0.032863,0.239323,-0.236939,0.169482,0.234990,0.561238,-0.082045,-0.020310,-0.167497,-0.260109,0.292663,-0.283366,0.074110,0.059563,-0.389745,0.366300,1.101581,1.090664,0.201156,-0.060391,0.015322,0.004246,-0.060089,-0.131150
-0.075923,-0.207092,0.012351,-0.069779,-0.230696,-0.031378,0.243631,-0.233374,0.167318,0.231025,0.556719,-0.094572,-0.025792,-0.167497,-0.260109,0.292663,-0.283366,0.074110,0.059563,-0.381035,0.364224,1.077456,1.078790,0.191086,-0.068515,0.008900,0.001491,-0.051579,-0.136155
-0.072228,-0.203036,0.014550,-0.067445,-0.227033,-0.029569,0.246810,-0.232363,0.164916,0.227955,0.549038,-0.106370,-0.031262,-0.167456,-0.259080,0.291269,-0.282644,0.071986,0.058434,-0.373105,0.363532,1.055502,1.070509,0.182368,-0.075768,0.003412,-0.000369,-0.044814,-0.138231
-0.068987,-0.198118,0.016361,-0.064705,-0.223039,-0.027599,0.249426,-0.232363,0.162395,0.225333,0.539776,-0.117803,-0.036725,-0.167456,-0.259080,0.291269,-0.282644,0.069845,0.057145,-0.365565,0.363532,1.034633,1.064023,0.174325,-0.082585,-0.001608,-0.000369,-0.038921,-0.138231
-0.067988,-0.191848,0.017705,-0.060973,-0.217793,-0.025363,0.251854,-0.234071,0.158468,0.223802,0.525320,-0.126835,-0.041598,-0.167604,-0.256981,0.288725,-0.279486,0.067885,0.055045,-0.360096,0.364577,1.016235,1.063251,0.169201,-0.087993,-0.005589,-0.001843,-0.033747,-0.137813
-0.066155,-0.184399,0.018601,-0.056843,-0.211980,-0.023027,0.253960,-0.235935,0.154879,0.223312,0.509146,-0.135244,-0.046124,-0.167981,-0.255463,0.287082,-0.276936,0.065641,0.052714,-0.355816,0.366072,0.999431,1.063447,0.164320,-0.093066,-0.009547,-0.002376,-0.028653,-0.135997
-0.066155,-0.174590,0.018601,-0.051920,-0.205033,-0.020489,0.255421,-0.238468,0.151965,0.223312,0.489539,-0.142406,-0.049956,-0.167981,-0.253661,0.285461,-0.273766,0.062828,0.049919,-0.353911,0.367911,0.985814,1.066354,0.159925,-0.097471,-0.013461,-0.002376,-0.023719,-0.135997
-0.064205,-0.163912,0.017839,-0.046088,-0.196849,-0.017528,0.256874,-0.240297,0.149431,0.224759,0.469021,-0.148183,-0.052625,-0.169205,-0.250606,0.283853,-0.270207,0.059851,0.046741,-0.354646,0.369411,0.975517,1.071755,0.155697,-0.099961,-0.016989,-0.002567,-0.019730,-0.134025
-0.062528,-0.152801,0.017278,-0.039801,-0.188045,-0.014357,0.259047,-0.241774,0.147089,0.225674,0.448050,-0.153268,-0.055417,-0.170152,-0.246925,0.282251,-0.266454,0.056793,0.043373,-0.356700,0.370742,0.966880,1.078404,0.151554,-0.101494,-0.020324,-0.002529,-0.016212,-0.132551
-0.060595,-0.142472,0.015855,-0.032926,-0.178905,-0.010499,0.259047,-0.241774,0.145853,0.228464,0.430351,-0.155852,-0.055417,-0.171992,-0.242238,0.280953,-0.263082,0.053617,0.040109,-0.362836,0.373557,0.962823,1.088951,0.148452,-0.099169,-0.022562,-0.002529,-0.014861,-0.130699
-0.059955,-0.133271,0.014047,-0.025782,-0.169796,-0.006452,0.259771,-0.242168,0.144489,0.232330,0.414282,-0.157966,-0.056123,-0.174215,-0.237615,0.279440,-0.259856,0.050266,0.036909,-0.369794,0.376770,0.961107,1.100643,0.145850,-0.095859,-0.024821,-0.002809,-0.014469,-0.128745
-0.059955,-0.126328,0.011468,-0.018096,-0.160749,-0.002026,0.259771,-0.242168,0.142868,0.238348,0.401475,-0.157966,-0.056123,-0.177204,-0.233118,0.277496,-0.256920,0.046566,0.033836,-0.378394,0.380780,0.961107,1.114623,0.144245,-0.090580,-0.024821,-0.002809,-0.014469,-0.126583
-0.061693,-0.120920,0.008764,-0.010580,-0.152615,0.001453,0.259340,-0.242648,0.141898,0.246194,0.392408,-0.157227,-0.054879,-0.181187,-0.229997,0.275045,-0.254107,0.043080,0.030916,-0.387093,0.385497,0.966972,1.130233,0.144035,-0.083837,-0.025313,-0.002208,-0.016592,-0.123558
-0.063327,-0.116280,0.005998,-0.003151,-0.144938,0.004459,0.259191,-0.242137,0.141469,0.254954,0.385213,-0.155530,-0.053595,-0.185667,-0.226782,0.272340,-0.251355,0.039701,0.028073,-0.395842,0.390568,0.974287,1.146658,0.144359,-0.076363,-0.024125,-0.001095,-0.019014,-0.120099
-0.064745,-0.112424,0.003541,0.003560,-0.138835,0.006522,0.259191,-0.242137,0.143456,0.265850,0.382319,-0.153312,-0.051544,-0.190640,-0.226782,0.270129,-0.249757,0.036538,0.025007,-0.407698,0.398662,0.985907,1.163950,0.147190,-0.067607,-0.024125,-0.001095,-0.023361,-0.114977
-0.066543,-0.108486,0.001174,0.010394,-0.132843,0.008525,0.258521,-0.242174,0.145989,0.277890,0.379913,-0.151020,-0.049325,-0.196048,-0.226001,0.267799,-0.247765,0.033334,0.021857,-0.419416,0.407179,0.998863,1.181549,0.150908,-0.058065,-0.022633,0.000447,-0.028679,-0.109610
-0.069102,-0.104385,-0.001016,0.017473,-0.127074,0.010408,0.258521,-0.242174,0.149614,0.292219,0.378479,-0.148579,-0.046772,-0.202326,-0.226001,0.265230,-0.247765,0.030047,0.018539,-0.430858,0.416540,1.014494,1.199760,0.156401,-0.046947,-0.020895,0.000447,-0.035937,-0.103752
-0.071930,-0.099208,-0.003503,0.025253,-0.120799,0.012624,0.256834,-0.243505,0.154663,0.308230,0.376461,-0.146085,-0.043586,-0.209161,-0.225367,0.262865,-0.246839,0.026660,0.014973,-0.442181,0.426265,1.031823,1.216790,0.163845,-0.035252,-0.018660,0.002513,-0.045158,-0.097390
-0.074892,-0.093493,-0.006137,0.033384,-0.114272,0.015008,0.255357,-0.244917,0.160422,0.325083,0.374151,-0.143564,-0.040083,-0.216274,-0.225367,0.260602,-0.246839,0.023221,0.011282,-0.453444,0.436172,1.050001,1.233229,0.172264,-0.023269,-0.016178,0.004346,-0.055360,-0.090776
-0.077217,-0.085599,-0.009183,0.042150,-0.106830,0.018053,0.252863,-0.247394,0.166596,0.341939,0.369592,-0.139322,-0.034490,-0.224116,-0.224600,0.258202,-0.247008,0.019478,0.007767,-0.461933,0.443621,1.069649,1.247444,0.180719,-0.015826,-0.013115,0.006618,-0.062787,-0.085630
-0.079683,-0.077356,-0.012017,0.051292,-0.098812,0.021544,0.250002,-0.249929,0.172645,0.359080,0.364179,-0.134908,-0.028456,-0.233842,-0.223070,0.255640,-0.247836,0.015426,0.004208,-0.470143,0.450660,1.089745,1.260953,0.188612,-0.008665,-0.009805,0.008809,-0.069498,-0.080666
-0.082431,-0.068415,-0.014429,0.061185,-0.089639,0.025930,0.246409,-0.252581,0.178447,0.376791,0.357059,-0.130152,-0.021540,-0.247336,-0.223070,0.252750,-0.247836,0.010756,0.000562,-0.477798,0.456879,1.110740,1.273053,0.195381,-0.002069,-0.005999,0.010834,-0.074778,-0.076068
-0.086707,-0.059926,-0.016332,0.071208,-0.080074,0.030905,0.242105,-0.255777,0.182787,0.394577,0.348274,-0.124278,-0.013511,-0.260620,-0.220981,0.249636,-0.249274,0.006588,-0.002936,-0.483399,0.461728,1.130785,1.282951,0.200620,0.004313,-0.001882,0.012687,-0.078929,-0.071469
-0.091746,-0.051663,-0.017979,0.081296,-0.070313,0.036176,0.237446,-0.259246,0.186395,0.412399,0.338658,-0.117846,-0.004926,-0.273799,-0.219264,0.246408,-0.250622,0.002672,-0.006360,-0.487974,0.465892,1.150354,1.291747,0.205094,0.010589,0.002390,0.014454,-0.082515,-0.066870
-0.095117,-0.042837,-0.017979,0.090879,-0.060622,0.041549,0.234469,-0.261790,0.189569,0.426446,0.326643,-0.109967,0.004169,-0.283328,-0.215717,0.244084,-0.252685,-0.000155,-0.009457,-0.491201,0.469464,1.166018,1.297962,0.208158,0.015669,0.006461,0.015789,-0.084728,-0.062264
-0.098020,-0.034458,-0.017223,0.099518,-0.051571,0.046352,0.232059,-0.264033,0.192058,0.437908,0.313764,-0.101690,0.013061,-0.290995,-0.211549,0.242021,-0.254708,-0.002750,-0.012299,-0.493870,0.472958,1.180599,1.303853,0.210675,0.020799,0.010388,0.017215,-0.086825,-0.057856
-0.099986,-0.026974,-0.017223,0.106271,-0.043802,0.050012,0.230781,-0.265675,0.192058,0.444198,0.299158,-0.092620,0.021548,-0.294941,-0.206140,0.240482,-0.256651,-0.004880,-0.014632,-0.495422,0.476296,1.193013,1.309099,0.212096,0.026027,0.014024,0.017215,-0.088686,-0.053845
-0.101003,-0.020883,-0.014607,0.110813,-0.037774,0.052173,0.231336,-0.266401,0.190527,0.444907,0.283410,-0.082610,0.028979,-0.295250,-0.199927,0.239426,-0.258110,-0.007506,-0.016493,-0.495939,0.478191,1.202494,1.314317,0.213413,0.031024,0.016988,0.018255,-0.090346,-0.050414
-0.101154,-0.015489,-0.012196,0.114519,-0.032617,0.052694,0.232316,-0.266447,0.187673,0.442826,0.267092,-0.072129,0.035883,-0.293742,-0.193310,0.239179,-0.258922,-0.010379,-0.018811,-0.495964,0.479467,1.210509,1.319521,0.215069,0.035906,0.019616,0.019770,-0.091905,-0.047273
-0.101154,-0.012244,-0.008648,0.114519,-0.030275,0.052694,0.235101,-0.266447,0.182290,0.434972,0.250691,-0.061436,0.040617,-0.288445,-0.186438,0.239179,-0.258922,-0.012181,-0.018811,-0.494035,0.479467,1.215380,1.324957,0.215069,0.040923,0.021674,0.019770,-0.093680,-0.044188
-0.100643,-0.009392,-0.005548,0.113916,-0.027905,0.051182,0.237820,-0.266640,0.176513,0.426454,0.234882,-0.051038,0.044715,-0.282892,-0.179909,0.240484,-0.258089,-0.013983,-0.019503,-0.491924,0.479429,1.219551,1.330108,0.216779,0.045708,0.023594,0.021349,-0.095633,-0.041202
-0.100643,-0.007326,-0.003346,0.113916,-0.027905,0.049316,0.240406,-0.266640,0.169945,0.416609,0.220261,-0.041231,0.047541,-0.276827,-0.174069,0.240484,-0.256614,-0.015781,-0.019503,-0.489445,0.477834,1.222322,1.334687,0.216779,0.050031,0.025238,0.023058,-0.097941,-0.038415
-0.099884,-0.005185,-0.001799,0.111737,-0.027139,0.047689,0.241745,-0.268036,0.164318,0.407545,0.208077,-0.032865,0.049277,-0.270804,-0.169789,0.242682,-0.254868,-0.016981,-0.019592,-0.487518,0.475607,1.223246,1.337788,0.217850,0.053989,0.026577,0.024657,-0.100557,-0.036163
-0.099426,-0.003006,-0.000328,0.109779,-0.027952,0.045888,0.241481,-0.269642,0.159162,0.398870,0.197112,-0.025221,0.049122,-0.264801,-0.165732,0.244465,-0.252987,-0.018044,-0.019168,-0.485866,0.473064,1.222935,1.339736,0.218025,0.057765,0.027785,0.027021,-0.103328,-0.033452
-0.098107,-0.001470,-0.000328,0.107389,-0.027952,0.045888,0.241481,-0.271088,0.156193,0.392059,0.192323,-0.020797,0.049122,-0.259979,-0.165732,0.246652,-0.251262,-0.018044,-0.019168,-0.484555,0.471699,1.221331,1.339736,0.216532,0.060358,0.027785,0.027021,-0.106017,-0.033452
-0.096441,0.000168,-0.000075,0.105067,-0.029230,0.044772,0.240059,-0.272492,0.153786,0.386086,0.189949,-0.017095,0.047181,-0.255667,-0.165941,0.248684,-0.249697,-0.018507,-0.019758,-0.483078,0.470302,1.219760,1.338149,0.215069,0.062541,0.028393,0.027847,-0.108836,-0.032726
-0.094085,0.000168,-0.000075,0.102881,-0.030754,0.044772,0.238014,-0.273814,0.153786,0.381791,0.192408,-0.017095,0.044204,-0.252376,-0.168237,0.250406,-0.248452,-0.018507,-0.019758,-0.481268,0.470302,1.218254,1.334626,0.213668,0.062541,0.028393,0.027847,-0.108836,-0.032726
-0.091532,0.000781,0.000820,0.100987,-0.032587,0.044718,0.235254,-0.275195,0.154072,0.379815,0.198781,-0.017879,0.040374,-0.250104,-0.172314,0.251197,-0.247242,-0.018054,-0.020710,-0.477584,0.468956,1.217752,1.329901,0.213077,0.062612,0.028585,0.027200,-0.109494,-0.033113
-0.088879,0.000563,0.001869,0.099240,-0.034574,0.045251,0.232135,-0.276605,0.154786,0.379271,0.207111,-0.020185,0.036116,-0.248342,-0.177282,0.251413,-0.245656,-0.016885,-0.021679,-0.472963,0.467671,1.216144,1.324576,0.212953,0.062228,0.028509,0.025913,-0.109126,-0.033471
-0.086707,0.000563,0.001869,0.097721,-0.037400,0.045251,0.228405,-0.278867,0.156147,0.381737,0.220430,-0.024552,0.030646,-0.248342,-0.184127,0.251413,-0.245656,-0.016885,-0.021679,-0.469229,0.465801,1.216144,1.317405,0.212953,0.060026,0.028509,0.025913,-0.107587,-0.035056
-0.084402,-0.000944,0.002171,0.096208,-0.040525,0.045516,0.224626,-0.281233,0.157529,0.385148,0.235177,-0.029272,0.024910,-0.248419,-0.191666,0.251073,-0.244234,-0.015708,-0.022268,-0.465590,0.463396,1.213871,1.309598,0.212841,0.057383,0.028154,0.024706,-0.105905,-0.037202
-0.084402,-0.003412,0.002171,0.094708,-0.044245,0.045516,0.220748,-0.283806,0.158951,0.390453,0.252777,-0.034698,0.018642,-0.249767,-0.200593,0.251073,-0.244234,-0.015708,-0.022268,-0.462141,0.459920,1.210060,1.300519,0.211497,0.053855,0.028154,0.024706,-0.103937,-0.040472
-0.082347,-0.005743,0.002463,0.093081,-0.048440,0.045184,0.217038,-0.285866,0.161423,0.396981,0.272136,-0.040234,0.011697,-0.251913,-0.210163,0.250902,-0.243603,-0.014595,-0.022525,-0.459917,0.457717,1.203856,1.290646,0.209647,0.049899,0.027363,0.023413,-0.101825,-0.044441
-0.080549,-0.008004,0.002884,0.091390,-0.052873,0.044036,0.213412,-0.288533,0.164418,0.404122,0.292374,-0.045825,0.004412,-0.254457,-0.220054,0.251901,-0.243324,-0.013598,-0.022373,-0.457295,0.455360,1.196456,1.280375,0.207545,0.045729,0.026783,0.022692,-0.099642,-0.048759
-0.077886,-0.009877,0.002884,0.089492,-0.057702,0.044036,0.210533,-0.288533,0.168142,0.411445,0.313058,-0.050572,-0.003879,-0.257451,-0.229733,0.251901,-0.243324,-0.013598,-0.022373,-0.457295,0.455360,1.185760,1.270156,0.206102,0.041631,0.025098,0.021354,-0.097203,-0.053781
-0.075023,-0.011713,0.003181,0.087387,-0.062647,0.042683,0.207755,-0.290085,0.172046,0.418196,0.333437,-0.055033,-0.012434,-0.260449,-0.239195,0.252919,-0.243259,-0.012678,-0.021600,-0.456283,0.454158,1.174225,1.259760,0.204608,0.037064,0.023237,0.019463,-0.094674,-0.058911
-0.071758,-0.013475,0.003181,0.084869,-0.067822,0.041022,0.205177,-0.290085,0.176309,0.423804,0.353204,-0.058923,-0.021518,-0.263456,-0.248224,0.254162,-0.243259,-0.012678,-0.021600,-0.456283,0.452927,1.161015,1.249011,0.203014,0.031556,0.021021,0.019463,-0.091968,-0.064256
-0.067854,-0.014448,0.002428,0.081921,-0.073251,0.039208,0.202940,-0.291463,0.180789,0.428450,0.371331,-0.062000,-0.030254,-0.266031,-0.256582,0.255214,-0.243246,-0.011244,-0.020210,-0.456718,0.451613,1.147630,1.238127,0.201117,0.025651,0.018483,0.017703,-0.088939,-0.069645
-0.063631,-0.014833,0.001049,0.078758,-0.078808,0.037316,0.200874,-0.293091,0.185379,0.432615,0.388638,-0.064671,-0.038816,-0.268392,-0.264605,0.256136,-0.243593,-0.009901,-0.019421,-0.457608,0.450259,1.134157,1.227174,0.199068,0.019546,0.015783,0.016054,-0.085749,-0.075056
-0.059852,-0.014833,0.001049,0.075655,-0.084027,0.035401,0.199316,-0.293091,0.189581,0.435485,0.402131,-0.066682,-0.046812,-0.269581,-0.270817,0.256136,-0.243593,-0.009901,-0.018200,-0.457608,0.448753,1.121995,1.216979,0.197529,0.013427,0.012531,0.016054,-0.082751,-0.080743
-0.056164,-0.014102,-0.000690,0.072612,-0.088986,0.033595,0.197473,-0.294455,0.193650,0.437835,0.414123,-0.068674,-0.054634,-0.270656,-0.276323,0.256809,-0.243539,-0.009114,-0.016639,-0.459674,0.446836,1.110595,1.207044,0.195688,0.007279,0.009409,0.014154,-0.079842,-0.086297
-0.052654,-0.014102,-0.002944,0.069690,-0.093423,0.032008,0.197473,-0.295731,0.197453,0.437835,0.423110,-0.070628,-0.062109,-0.270656,-0.280416,0.256809,-0.243539,-0.009114,-0.016639,-0.463851,0.446836,1.100719,1.197629,0.195688,0.001074,0.006545,0.014154,-0.077111,-0.091587
