joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.000000,-0.619822,-0.196154,-0.222245,-0.404774,-0.311249,0.177287,0.337422,0.115021,0.000000,1.189891,-0.656439,-0.751263,-0.095763,-0.317742,-0.133559,0.000000,0.108572,0.128574,-0.362873,0.000000,0.198376,0.000000,0.891095,0.141893,0.000000,0.000000,0.183725,-0.570260
0.064811,-0.694040,-0.246217,-0.248842,-0.442395,-0.340479,0.201870,0.397307,0.096732,0.008461,1.326019,-0.630408,-0.694161,-0.098237,-0.364105,-0.052078,-0.115498,0.124089,0.146723,-0.357300,-0.190733,-0.003880,-0.311476,0.750338,0.069037,-0.046086,-0.071430,0.152374,-0.522331
0.000000,-0.842474,-0.346341,-0.302036,-0.517628,-0.398940,0.251037,0.517082,0.060151,0.000000,1.598270,-0.578346,-0.579956,-0.103191,-0.456829,0.000000,-0.281418,0.155121,0.183022,-0.346154,-0.468047,-0.408381,-0.789553,0.468819,0.000000,0.000000,-0.072679,0.089675,-0.426473
0.119845,-0.775973,-0.353927,-0.281986,-0.473451,-0.354061,0.273953,0.515451,0.098563,-0.019920,1.500417,-0.636237,-0.563563,-0.103772,-0.375879,0.106356,-0.273377,0.163021,0.169597,-0.315486,-0.614709,-0.652361,-0.944352,0.290111,-0.123873,-0.137591,-0.090266,0.146647,-0.482344
0.107030,-0.742722,-0.357721,-0.271961,-0.451366,-0.331622,0.285413,0.514631,0.117768,-0.012481,1.451489,-0.665184,-0.555366,-0.104064,-0.335405,0.104095,-0.269352,0.166972,0.162884,-0.300150,-0.688043,-0.774348,-1.021749,0.224215,-0.147473,-0.148540,-0.099060,0.175131,-0.510280
0.224658,-0.468227,-0.253291,-0.152283,-0.255751,-0.188468,0.270581,0.432535,0.086885,-0.100848,1.013818,-0.626850,-0.466694,-0.087586,-0.166552,0.137609,-0.198048,0.106809,0.112021,0.000000,-0.655544,-1.150477,-1.104319,0.000000,-0.169098,-0.219233,-0.151342,0.336000,-0.651405
0.245214,-0.411532,-0.206958,-0.132299,-0.210387,-0.150487,0.272758,0.442235,0.103808,-0.119896,0.906590,-0.628042,-0.436884,-0.098330,-0.136620,0.135143,-0.188580,0.096009,0.115111,0.069630,-0.617602,-1.214880,-1.111764,0.047404,-0.179242,-0.233386,-0.172048,0.375970,-0.668029
0.286324,-0.298148,-0.114292,-0.092332,-0.119663,-0.074527,0.277110,0.461641,0.000000,-0.157996,0.692114,-0.630428,-0.377265,0.000000,-0.076765,0.130215,-0.169645,0.074411,0.121291,0.194204,-0.541717,-1.343703,-1.126665,0.071845,-0.199530,-0.261693,-0.213460,0.455907,-0.701278
0.292345,-0.180875,-0.038097,-0.046793,-0.039887,-0.024842,0.265922,0.416799,0.045881,-0.172400,0.459591,-0.657377,-0.329193,-0.068011,-0.068721,0.096357,-0.131732,0.040872,0.114499,0.269258,-0.425515,-1.322186,-1.060504,-0.025219,-0.261755,-0.311148,-0.248772,0.507215,-0.679483
0.295356,-0.095616,0.002166,-0.016014,0.014875,0.046561,0.260327,0.394379,0.004006,-0.179605,0.343326,-0.670851,-0.305156,-0.048168,-0.043133,0.093247,-0.112776,-0.013269,0.159349,0.306787,-0.367413,-1.311421,-1.027459,-0.073753,-0.292867,-0.335876,-0.266428,0.532867,-0.668587
0.344995,0.000000,0.133550,0.000000,0.077542,0.000000,0.293821,0.339412,0.000000,-0.218643,0.059488,-0.683147,-0.280145,0.000000,0.000000,0.000000,-0.083594,0.000000,0.000000,0.388569,-0.197358,-1.265258,-0.853145,-0.348634,-0.374043,-0.364029,-0.243489,0.526212,-0.515921
0.306717,0.065459,0.138631,0.051313,0.101737,0.065167,0.267675,0.285693,-0.040282,-0.211857,-0.035650,-0.664217,-0.278130,-0.020094,-0.028804,0.013821,-0.055729,-0.064155,0.034784,0.404221,-0.166172,-1.245576,-0.766653,-0.400247,-0.384754,-0.349719,-0.208249,0.492634,-0.427353
0.230161,0.116511,0.148792,0.076178,0.150125,0.074235,0.215378,0.178253,-0.108168,-0.198279,-0.225922,-0.626354,-0.274100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.435518,-0.103794,-1.206237,-0.593662,-0.503478,-0.406177,-0.321101,-0.137769,0.425477,-0.250220
0.184750,0.202782,0.109961,0.116720,0.183160,0.090434,0.158980,0.050534,-0.120099,-0.153486,-0.384060,-0.589878,-0.273468,0.002046,0.051427,-0.069684,0.036055,-0.106199,-0.056441,0.396492,-0.034599,-1.097703,-0.414073,-0.435913,-0.362641,-0.274364,-0.092971,0.338256,-0.103841
0.162044,0.245918,0.090545,0.136991,0.199673,0.098533,0.130785,0.000000,-0.126062,-0.131086,-0.463119,-0.571639,-0.273153,0.000000,0.000000,0.000000,0.000000,-0.107073,-0.064468,0.376977,0.000000,-1.043445,-0.324279,-0.402135,-0.340874,-0.250995,0.000000,0.294646,0.000000
0.049980,0.313493,0.067187,0.186620,0.262326,0.111760,0.121409,-0.085364,-0.196356,-0.076586,-0.722802,-0.451641,-0.243659,-0.007404,0.104974,-0.127184,0.157943,-0.097991,-0.104987,0.273447,0.052255,-0.919902,-0.038618,-0.256213,-0.270364,-0.199050,-0.073705,0.258721,0.020906
0.091605,0.372482,0.044791,0.206465,0.290662,0.116817,0.105298,-0.093200,-0.179470,-0.024472,-0.808671,-0.420453,-0.226305,-0.018886,0.075877,-0.082166,0.127494,-0.112212,-0.116573,0.214045,0.074725,-0.840226,0.009817,-0.244063,-0.253663,-0.197930,-0.026657,0.254702,0.090800
0.000000,0.490447,0.000000,0.246153,0.347329,0.126927,0.073069,-0.126646,-0.145703,0.000000,-0.980392,-0.358079,-0.191597,0.000000,0.090112,-0.081056,0.158462,-0.140652,-0.139742,0.095239,0.091968,-0.680837,0.145310,-0.219758,-0.220258,-0.195687,0.000000,0.246663,0.000000
0.097522,0.533859,-0.038078,0.291629,0.409219,0.148008,0.072630,-0.091462,-0.126660,0.072336,-1.025863,-0.288857,-0.133452,-0.061189,0.152755,-0.080407,0.177950,-0.148827,-0.158871,-0.036737,0.075023,-0.514865,0.270075,-0.211368,-0.124521,-0.176408,-0.009567,0.199485,0.098598
0.083843,0.555564,-0.028053,0.314365,0.440162,0.158548,0.108626,-0.073870,-0.117140,0.045752,-1.048589,-0.254242,-0.139631,-0.047322,0.184076,-0.080082,0.187694,-0.152913,-0.168434,-0.102736,0.066549,-0.431851,0.332451,-0.207169,-0.076652,-0.166767,0.001907,0.175895,0.073708
0.096667,0.516461,-0.071149,0.343707,0.457028,0.192923,0.000000,0.000000,-0.061758,0.139515,-0.884938,-0.129205,0.000000,-0.092025,0.234320,-0.064901,0.168554,-0.158794,-0.163195,-0.306800,0.140718,-0.202844,0.527370,-0.155085,0.116268,-0.111886,0.000000,0.067557,0.092581
0.032009,0.460033,-0.090416,0.357238,0.455468,0.202373,0.036214,-0.019703,-0.068197,0.193299,-0.803421,-0.105716,-0.035254,-0.111157,0.231159,-0.075658,0.161305,-0.167533,-0.160003,-0.347869,0.160645,-0.085798,0.584596,-0.130136,0.165494,-0.112949,-0.013980,0.019589,0.097743
0.000000,0.347182,-0.128948,0.384299,0.452343,0.221273,0.000000,0.000000,-0.081071,0.300872,-0.640389,0.000000,0.000000,-0.149417,0.224828,-0.097178,0.146809,-0.185012,-0.153618,-0.430016,0.200504,0.000000,0.699002,-0.080242,0.263947,0.000000,0.000000,0.000000,0.108063
-0.086916,0.270392,-0.135188,0.375757,0.406675,0.173950,-0.021555,-0.023962,-0.048498,0.392306,-0.453308,0.036976,0.062169,-0.199150,0.156086,-0.122561,0.140674,-0.174298,-0.145999,-0.434972,0.235865,0.293270,0.780487,-0.010508,0.337142,-0.024605,0.030052,-0.106179,0.151291
-0.081721,0.231996,-0.138307,0.371484,0.383842,0.150288,-0.007457,0.025519,-0.021476,0.438030,-0.359766,0.084829,0.064197,-0.224020,0.160753,-0.135255,0.137602,-0.168942,-0.142189,-0.437450,0.253555,0.365761,0.821233,0.016241,0.373735,0.059406,0.055621,-0.121095,0.172905
-0.070864,0.192813,-0.122828,0.335542,0.305182,0.103170,0.000000,0.000000,0.099369,0.544772,-0.144683,0.110894,0.102563,-0.248650,0.000000,-0.110531,0.079886,-0.158172,-0.153302,-0.592802,0.404714,0.580955,0.864613,0.141545,0.437768,0.000000,0.000000,-0.217347,0.256119
-0.089899,0.196883,-0.118387,0.341681,0.299600,0.100156,-0.033486,-0.001819,0.126664,0.601994,-0.120346,0.114615,0.110932,-0.270404,0.039040,-0.116512,0.099587,-0.160218,-0.157495,-0.585900,0.425830,0.647813,0.879925,0.185911,0.477142,0.074620,0.077093,-0.265869,0.268369
-0.127970,0.205026,-0.109505,0.353963,0.288437,0.094129,0.000000,0.000000,0.181262,0.716445,-0.071678,0.122056,0.127673,-0.313907,0.000000,-0.128476,0.000000,-0.164309,-0.165884,-0.572100,0.468071,0.781539,0.910568,0.274643,0.555895,0.086905,0.000000,-0.362916,0.292873
-0.141400,0.258852,-0.124321,0.389023,0.313729,0.110838,-0.084332,-0.066572,0.252408,0.800584,-0.100891,0.124715,0.159313,-0.341736,0.031675,-0.118256,0.046334,-0.169388,-0.178312,-0.566135,0.486244,0.866461,0.851506,0.372190,0.584728,0.111716,0.103300,-0.461038,0.318103
-0.148116,0.285761,-0.131728,0.406552,0.326377,0.119193,-0.073859,-0.070626,0.287981,0.842652,-0.115500,0.126044,0.175132,-0.355647,0.000000,-0.113143,0.000000,-0.171927,-0.184525,-0.563155,0.495332,0.908923,0.821966,0.420959,0.599142,0.124122,0.091649,-0.510098,0.330718
-0.116231,0.394708,-0.152257,0.438290,0.372076,0.152229,-0.124720,-0.123823,0.308666,0.842783,-0.227945,0.212113,0.279651,-0.392094,0.038379,-0.119969,-0.008461,-0.187136,-0.175761,-0.424424,0.372455,0.982374,0.710720,0.422747,0.372182,0.153124,0.113643,-0.371342,0.257306
-0.123288,0.412156,-0.141714,0.457079,0.400922,0.174571,-0.143024,-0.126746,0.302481,0.857045,-0.270642,0.220673,0.301705,-0.486302,0.076471,-0.128134,-0.041389,-0.202602,-0.177936,-0.410521,0.351956,1.004821,0.675470,0.394646,0.358048,0.165517,0.109515,-0.335564,0.248170
-0.137405,0.447059,-0.120631,0.494662,0.458618,0.219258,-0.179640,-0.132602,0.290108,0.885569,-0.356036,0.237800,0.345816,-0.674733,0.000000,-0.144470,0.000000,-0.233539,-0.182290,-0.382727,0.310960,1.049745,0.604981,0.338457,0.329788,0.190307,0.101259,-0.264014,0.229901
-0.213794,0.424451,-0.095116,0.501145,0.478255,0.248788,-0.215209,-0.159819,0.216966,0.889274,-0.439233,0.293690,0.401434,-0.664198,0.104447,-0.155736,-0.071926,-0.208385,-0.174913,-0.280069,0.242454,1.002240,0.494885,0.261942,0.319117,0.205837,0.092655,-0.207541,0.229938
-0.251986,0.413144,-0.082358,0.504383,0.488069,0.263550,-0.232989,-0.173424,0.180393,0.891116,-0.480820,0.321634,0.429239,-0.658925,0.085849,-0.161370,-0.067375,-0.195806,-0.171224,-0.228745,0.208201,0.978470,0.439829,0.223684,0.313779,0.213600,0.088353,-0.179304,0.229953
-0.168531,0.441298,0.000000,0.479147,0.484548,0.268656,-0.148808,-0.127195,0.158747,0.702359,-0.600755,0.393956,0.454732,-0.476430,0.177366,-0.116207,-0.103153,-0.141353,-0.154842,-0.161356,0.178568,0.783205,0.310725,0.153226,0.254021,0.203575,0.066736,-0.110675,0.230338
-0.145131,0.418935,0.037800,0.431985,0.452528,0.240115,-0.120508,-0.112157,0.124428,0.573076,-0.643934,0.413806,0.444605,-0.383380,0.208391,-0.103128,-0.101149,-0.129737,-0.142105,-0.133443,0.174695,0.729030,0.294584,0.125839,0.256476,0.196319,0.071290,-0.104808,0.220401
-0.098329,0.374208,0.000000,0.337655,0.388484,0.183031,-0.063901,-0.082093,0.000000,0.314511,-0.730291,0.453509,0.424350,-0.197282,0.270439,-0.076971,-0.097147,-0.106505,-0.116628,-0.077604,0.166930,0.620699,0.262278,0.071066,0.261387,0.181807,0.000000,-0.093069,0.200524
-0.050822,0.304531,0.130779,0.227075,0.301396,0.108017,0.027726,-0.036298,-0.076552,0.035468,-0.787376,0.500532,0.371568,-0.015481,0.310691,-0.052809,-0.072980,-0.131281,-0.093072,-0.025865,0.094751,0.474072,0.260901,0.065828,0.249859,0.148208,0.052032,-0.082993,0.171548
-0.007550,0.269695,0.120546,0.185302,0.257854,0.026048,0.049026,-0.002325,-0.142723,-0.104056,-0.815916,0.524046,0.345179,0.075425,0.330822,-0.012363,-0.040600,-0.143670,-0.115903,-0.001208,0.063799,0.400752,0.260222,0.082807,0.244097,0.131409,0.075728,-0.077953,0.157060
