body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
-0.184482,0.060417,-0.200897,0.013727,0.043339,-0.202715,-0.003005,0.020184,0.000514,0.103094,-0.006040,-0.000840,0.407231,-0.003119,-0.208840,-0.292440,0.051115,0.078997,0.077533,-0.026200,0.062573,-0.013300,0.042685,-0.204388,-0.109923,0.055496,-0.178740,-0.043409,0.040883,-0.159048,0.191917,0.379748,-0.534625,0.122227,0.045776,-0.158346,0.067018,0.031756,-0.158758,0.410264,-0.434686,0.256713
-0.178991,0.067334,-0.259426,-0.006155,0.045621,-0.261535,-0.020001,0.014707,0.011424,0.112968,-0.027448,0.009368,0.460787,0.006854,-0.266596,-0.339755,0.062732,0.078403,0.085020,-0.033311,0.059709,-0.013154,0.040715,-0.270916,-0.188039,0.070337,-0.228037,-0.067186,0.042053,-0.193321,0.129798,0.306963,-0.490500,0.138197,0.044797,-0.220648,0.108563,0.037625,-0.216792,0.387867,-0.348753,0.124263
-0.161027,0.074577,-0.345388,-0.043351,0.053832,-0.347415,-0.037823,0.012748,0.019358,0.126015,-0.045012,0.016587,0.513747,0.024092,-0.350558,-0.387197,0.076010,0.072415,0.102510,-0.036123,0.051446,-0.012829,0.041407,-0.370650,-0.290549,0.098293,-0.305484,-0.100898,0.052571,-0.252103,0.053511,0.228937,-0.455493,0.162259,0.047148,-0.313849,0.168641,0.048270,-0.308952,0.376695,-0.245480,-0.052209
-0.127408,0.080261,-0.457179,-0.098255,0.067618,-0.458603,-0.056892,0.015635,0.016082,0.138857,-0.053785,0.012625,0.551115,0.049437,-0.458411,-0.421618,0.088238,0.058761,0.133336,-0.033401,0.035902,-0.011812,0.046003,-0.502187,-0.407339,0.140931,-0.411989,-0.146089,0.076890,-0.338736,-0.031292,0.163422,-0.448355,0.193175,0.054613,-0.437115,0.246623,0.064870,-0.434417,0.390971,-0.138195,-0.256840
-0.082300,0.083116,-0.587655,-0.160799,0.085106,-0.587915,-0.083875,0.023154,-0.005151,0.147609,-0.051596,-0.009317,0.566864,0.081977,-0.582502,-0.436763,0.098024,0.038092,0.175080,-0.027463,0.013708,-0.010415,0.055133,-0.657426,-0.524659,0.197600,-0.542872,-0.205178,0.118325,-0.452839,-0.122356,0.123855,-0.479928,0.224553,0.066131,-0.583988,0.342587,0.086488,-0.584621,0.442758,-0.036185,-0.471081
-0.037162,0.083216,-0.724767,-0.209229,0.104370,-0.723344,-0.131886,0.033809,-0.044302,0.149890,-0.039823,-0.049359,0.569058,0.119004,-0.710788,-0.437682,0.106595,0.013611,0.217117,-0.021825,-0.012283,-0.011082,0.068659,-0.823489,-0.628387,0.267093,-0.689657,-0.279570,0.179870,-0.589453,-0.217876,0.113544,-0.542706,0.242962,0.076465,-0.744274,0.464285,0.108932,-0.747731,0.546629,0.061463,-0.684740
-0.005206,0.081738,-0.853067,-0.214006,0.124502,-0.849447,-0.218063,0.045631,-0.092616,0.144612,-0.023111,-0.099067,0.573933,0.155525,-0.828682,-0.436523,0.116294,-0.012511,0.244293,-0.017171,-0.040042,-0.018394,0.086530,-0.985331,-0.705447,0.350168,-0.842649,-0.363628,0.265345,-0.737491,-0.306218,0.126848,-0.605897,0.228782,0.078601,-0.906427,0.636935,0.126218,-0.914016,0.733161,0.167857,-0.905751
0.005490,0.079494,-0.955566,-0.144217,0.145698,-0.948887,-0.360597,0.057084,-0.135832,0.129043,-0.007875,-0.144674,0.593796,0.183814,-0.920900,-0.443358,0.127720,-0.043032,0.246160,-0.009016,-0.071763,-0.037924,0.110163,-1.126384,-0.744315,0.451541,-0.991369,-0.436715,0.378957,-0.877932,-0.355371,0.155838,-0.616656,0.160770,0.067438,-1.057194,0.908162,0.132418,-1.073603,1.057075,0.301637,-1.159842
-0.005135,0.074661,-1.015027,0.026101,0.168027,-1.003292,-0.574822,0.067252,-0.160572,0.095249,0.000760,-0.173284,0.628228,0.194614,-0.972070,-0.459287,0.138885,-0.085788,0.225013,0.011282,-0.114051,-0.075213,0.142313,-1.226082,-0.735954,0.579402,-1.121595,-0.459766,0.522289,-0.983227,-0.309626,0.197404,-0.505261,0.025169,0.039725,-1.176552,1.335250,0.119736,-1.202133,1.580337,0.465604,-1.465944
-0.030900,0.061422,-1.014631,0.310457,0.189601,-0.993642,-0.865652,0.075536,-0.159885,0.028044,0.003018,-0.177996,0.663470,0.180025,-0.966455,-0.476333,0.147070,-0.148938,0.195663,0.052124,-0.173817,-0.134317,0.184531,-1.257309,-0.674442,0.741372,-1.211912,-0.380378,0.689389,-1.021050,-0.096239,0.253596,-0.192055,-0.170176,-0.010615,-1.231281,1.950948,0.073708,-1.245512,2.326653,0.620229,-1.791451
-0.062046,0.031936,-0.939262,0.700179,0.205681,-0.901950,-1.217598,0.081640,-0.133925,-0.094333,0.006222,-0.158213,0.678051,0.136471,-0.889062,-0.483364,0.150912,-0.233940,0.176428,0.115651,-0.252098,-0.214410,0.233594,-1.189221,-0.555242,0.937557,-1.235028,-0.144785,0.862514,-0.964217,0.355794,0.320435,0.398369,-0.384110,-0.097098,-1.175935,2.727131,-0.027688,-1.126621,3.237320,0.683544,-2.028612
-0.086014,-0.017903,-0.778208,1.157096,0.209348,-0.715622,-1.589422,0.085371,-0.084554,-0.296106,0.020756,-0.114292,0.649555,0.066719,-0.729343,-0.473020,0.150647,-0.330080,0.177835,0.193432,-0.339068,-0.305825,0.279252,-0.996202,-0.369894,1.153525,-1.165387,0.287686,1.011954,-0.803899,1.082218,0.371583,1.297649,-0.546124,-0.240658,-0.965713,3.566899,-0.206511,-0.780638,4.172134,0.577612,-2.033168
-0.088349,-0.082419,-0.528884,1.616891,0.193417,-0.433853,-1.919836,0.085299,-0.008189,-0.595089,0.052363,-0.040906,0.559187,-0.019464,-0.486139,-0.444024,0.146512,-0.414079,0.196811,0.267138,-0.413401,-0.389790,0.305333,-0.668178,-0.100572,1.357545,-0.989083,0.928733,1.102111,-0.561421,2.043773,0.356082,2.421740,-0.579190,-0.462510,-0.575719,4.335604,-0.471841,-0.193619,4.964935,0.291770,-1.706952
-0.057741,-0.145288,-0.200175,2.008065,0.153271,-0.072779,-2.144544,0.076985,0.106344,-0.990232,0.096403,0.074426,0.394808,-0.107085,-0.170919,-0.397558,0.136805,-0.457155,0.219312,0.315207,-0.448384,-0.444441,0.294922,-0.217644,0.277487,1.505533,-0.710816,1.744851,1.102268,-0.293120,3.110034,0.224329,3.517774,-0.428372,-0.770488,-0.016175,4.911416,-0.809048,0.587249,5.495032,-0.096331,-1.056947
0.005550,-0.186190,0.186652,2.280464,0.089131,0.334637,-2.216728,0.052588,0.271874,-1.446766,0.134837,0.245096,0.154650,-0.180828,0.193267,-0.332523,0.117461,-0.437973,0.228321,0.322900,-0.423694,-0.454369,0.237673,0.317737,0.780861,1.551963,-0.355654,2.649858,0.995635,-0.082599,4.096625,-0.032483,4.218216,-0.079073,-1.144038,0.662841,5.227373,-1.177587,1.473182,5.726987,-0.462314,-0.188316
0.085864,-0.191466,0.601538,2.424478,0.005016,0.745851,-2.117189,0.002822,0.491898,-1.881354,0.135599,0.474805,-0.149448,-0.231105,0.577851,-0.245692,0.083831,-0.354050,0.211990,0.289558,-0.336310,-0.417505,0.134985,0.879078,1.397503,1.461564,0.035198,3.521976,0.780716,-0.018951,4.845956,-0.367154,4.213703,0.442402,-1.528691,1.380668,5.287089,-1.519952,2.362734,5.702229,-0.700551,0.753309
0.159462,-0.161949,1.014117,2.464742,-0.095592,1.121321,-1.846343,-0.078846,0.752703,-2.159218,0.061671,0.750214,-0.493466,-0.257217,0.958051,-0.137064,0.033804,-0.223135,0.168947,0.227462,-0.202605,-0.345254,-0.000561,1.400647,2.077128,1.217923,0.415008,4.249801,0.465503,-0.170359,5.300045,-0.708119,3.423052,1.083379,-1.849023,2.050895,5.150796,-1.780378,3.169403,5.499780,-0.767912,1.650167
