body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.005101,-0.007775,-0.012490,-0.014287,-0.005058,-0.004707,-0.016650,0.001139,-0.005036,-0.023706,0.003749,-0.005132,-0.013852,-0.036557,-0.018637,0.007222,0.081752,-0.020228,-0.001969,0.000736,-0.002513,-0.002460,0.002431,-0.012208,0.009622,0.031716,-0.005741,-0.001359,0.022327,-0.003252,0.005263,0.019526,-0.004124,0.009893,-0.016930,-0.018373,0.000338,-0.001742,-0.021243,-0.002468,0.007084,-0.017779
-0.003570,-0.007112,-0.015054,-0.013806,0.000872,-0.006575,-0.012591,0.002951,-0.006703,-0.017129,0.001032,-0.006032,-0.013451,-0.039553,-0.021772,0.009351,0.093278,-0.022709,-0.002670,0.000339,-0.001856,-0.000799,0.002976,-0.014794,0.011511,0.039077,-0.008579,-0.001926,0.019539,-0.005156,0.006139,0.013281,-0.007442,0.011344,-0.023307,-0.020653,0.001800,-0.007988,-0.023503,0.001882,0.005368,-0.018312
-0.000923,-0.005077,-0.018581,-0.012441,0.011713,-0.009305,-0.007709,0.005332,-0.008972,-0.010627,-0.001580,-0.007437,-0.012324,-0.043026,-0.025997,0.012396,0.106153,-0.025901,-0.003436,-0.000131,-0.001276,0.002029,0.004404,-0.018353,0.015562,0.051434,-0.012056,-0.002756,0.018088,-0.006953,0.006867,0.006925,-0.011195,0.014535,-0.032838,-0.024170,0.004526,-0.017234,-0.027112,0.008898,0.003054,-0.019199
0.003056,-0.000875,-0.022821,-0.009687,0.028767,-0.012847,-0.002300,0.008634,-0.011712,-0.005426,-0.003459,-0.009251,-0.010118,-0.046238,-0.030925,0.016311,0.116814,-0.029433,-0.003825,-0.000602,-0.001191,0.006202,0.007256,-0.022635,0.022435,0.069540,-0.015719,-0.003770,0.020113,-0.008024,0.007096,0.002438,-0.014773,0.019842,-0.045332,-0.028852,0.008559,-0.029338,-0.032074,0.018396,0.000433,-0.020312
0.008345,0.005811,-0.027455,-0.005210,0.051942,-0.017059,0.003321,0.014208,-0.014841,-0.002307,-0.004393,-0.011177,-0.006707,-0.048716,-0.036085,0.020952,0.122470,-0.032925,-0.003449,-0.001011,-0.001915,0.011659,0.011869,-0.027317,0.032412,0.093104,-0.019131,-0.004789,0.027507,-0.007880,0.006450,0.001386,-0.017746,0.027190,-0.059926,-0.034487,0.013786,-0.043932,-0.038171,0.029834,-0.002016,-0.021254
0.014704,0.014388,-0.032283,0.001033,0.079205,-0.021802,0.008814,0.024834,-0.018496,-0.001419,-0.004599,-0.012763,-0.002264,-0.050682,-0.041167,0.026083,0.123158,-0.036144,-0.002437,-0.001267,-0.003317,0.018138,0.018059,-0.032188,0.045362,0.120856,-0.022118,-0.005723,0.041398,-0.006388,0.004261,0.004563,-0.020025,0.036078,-0.075221,-0.040881,0.020317,-0.061021,-0.045017,0.043157,-0.003427,-0.020993
0.021772,0.023342,-0.037300,0.008821,0.106934,-0.027010,0.013896,0.044688,-0.023109,-0.002268,-0.004379,-0.013459,0.002845,-0.052930,-0.046126,0.031496,0.121763,-0.039012,-0.001423,-0.001227,-0.004775,0.025299,0.024962,-0.037237,0.060917,0.150854,-0.024839,-0.006805,0.062119,-0.003761,-0.000856,0.012760,-0.021547,0.045865,-0.089580,-0.047985,0.028701,-0.081466,-0.052188,0.059313,-0.001738,-0.017235
0.029135,0.030633,-0.042713,0.017794,0.130983,-0.032828,0.018375,0.078840,-0.029383,-0.003954,-0.003823,-0.012591,0.008266,-0.056276,-0.051143,0.037226,0.121857,-0.041587,-0.000922,-0.000730,-0.005603,0.032783,0.031098,-0.042666,0.078718,0.180660,-0.027647,-0.008772,0.089245,-0.000308,-0.011270,0.028046,-0.021585,0.056210,-0.101371,-0.056048,0.039821,-0.106793,-0.059483,0.079896,0.007501,-0.005879
0.036303,0.034202,-0.048939,0.027599,0.147683,-0.039803,0.022158,0.132308,-0.038181,-0.005517,-0.002761,-0.009260,0.013895,-0.061048,-0.056477,0.043623,0.125025,-0.044048,-0.000847,0.000248,-0.005628,0.040129,0.034604,-0.048892,0.098331,0.207218,-0.031008,-0.013021,0.121235,0.003755,-0.030286,0.054257,-0.018266,0.067260,-0.108772,-0.065695,0.054696,-0.137673,-0.067100,0.106215,0.031647,0.018892
0.042735,0.032431,-0.056561,0.038085,0.154253,-0.048991,0.025297,0.208345,-0.050155,-0.006095,-0.000788,-0.002196,0.020135,-0.066844,-0.062276,0.051129,0.129681,-0.046673,-0.000716,0.001442,-0.005454,0.046714,0.033664,-0.056504,0.118680,0.226657,-0.035602,-0.021659,0.154831,0.008204,-0.061472,0.096013,-0.008754,0.079371,-0.109138,-0.077738,0.074544,-0.170954,-0.075455,0.138302,0.079636,0.063333
