body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
0.000260,-0.002105,0.789694,-0.115024,-0.009632,0.655729,-0.117755,-0.026761,0.350085,-0.117733,-0.074766,0.036423,0.117850,-0.006252,0.657605,0.105801,-0.012261,0.351712,0.087954,-0.068976,0.040396,-0.000677,-0.003611,0.843807,-0.149116,0.006119,1.073719,-0.183837,0.000683,0.892756,-0.190112,0.067654,0.721367,0.131805,0.007204,1.083226,0.175194,0.000143,0.904186,0.192833,0.058046,0.730665
0.000133,-0.002257,0.789502,-0.115309,-0.009821,0.655675,-0.118215,-0.026786,0.350023,-0.118447,-0.074599,0.036336,0.117574,-0.006905,0.657305,0.105898,-0.010932,0.351367,0.087930,-0.068950,0.040327,-0.000753,-0.003564,0.843621,-0.148930,0.006628,1.073682,-0.183850,0.001236,0.892756,-0.190036,0.068232,0.721384,0.132003,0.006996,1.082897,0.175191,0.000236,0.903796,0.192716,0.058227,0.730312
0.000022,-0.002441,0.789235,-0.115615,-0.009969,0.655573,-0.118122,-0.026728,0.349906,-0.118030,-0.074715,0.036252,0.117279,-0.007677,0.656907,0.106054,-0.009135,0.350934,0.087885,-0.068943,0.040282,-0.000827,-0.003530,0.843358,-0.148985,0.007231,1.073407,-0.183948,0.001542,0.892497,-0.189927,0.068395,0.721073,0.131947,0.006641,1.082639,0.175042,0.000180,0.903506,0.192544,0.058347,0.730094
-0.000058,-0.002691,0.788816,-0.115962,-0.010035,0.655375,-0.118579,-0.026516,0.349694,-0.118708,-0.074862,0.036107,0.116944,-0.008687,0.656317,0.106335,-0.006403,0.350332,0.087815,-0.068971,0.040300,-0.000821,-0.003519,0.842945,-0.148534,0.008009,1.073248,-0.183836,0.001517,0.892431,-0.189593,0.068132,0.720906,0.132407,0.006013,1.081998,0.175173,-0.000133,0.902774,0.192622,0.058428,0.729489
0.000016,-0.002780,0.788298,-0.116186,-0.009492,0.655085,-0.118412,-0.026369,0.349420,-0.118364,-0.075018,0.035894,0.116728,-0.009735,0.655618,0.106753,-0.003521,0.349673,0.087775,-0.068988,0.040330,-0.000691,-0.003424,0.842430,-0.148259,0.009491,1.072760,-0.184074,0.001780,0.892090,-0.189543,0.068072,0.720439,0.132652,0.004894,1.081461,0.175410,-0.000935,0.902226,0.193308,0.058299,0.729218
0.000168,-0.002788,0.787731,-0.116343,-0.008637,0.654747,-0.118305,-0.026198,0.349116,-0.118266,-0.075070,0.035638,0.116567,-0.010801,0.654869,0.106925,-0.000563,0.349029,0.087141,-0.068995,0.040446,-0.000470,-0.003288,0.841865,-0.147726,0.011387,1.072299,-0.184197,0.002040,0.891836,-0.189425,0.067731,0.719954,0.133126,0.003898,1.080789,0.175677,-0.001733,0.901497,0.193909,0.058235,0.728779
0.000572,-0.002271,0.787012,-0.116264,-0.006379,0.654247,-0.117948,-0.026036,0.348737,-0.118128,-0.075157,0.035311,0.116602,-0.011714,0.653942,0.107837,0.001653,0.348205,0.087752,-0.069045,0.040232,0.000013,-0.002814,0.841146,-0.146578,0.014104,1.071867,-0.184273,0.002865,0.891761,-0.189191,0.067997,0.719663,0.134114,0.001775,1.079847,0.176125,-0.003205,0.900408,0.194888,0.058193,0.728250
0.001047,-0.001634,0.786240,-0.116071,-0.003789,0.653679,-0.117830,-0.025558,0.348307,-0.118618,-0.075234,0.034986,0.116693,-0.012690,0.652983,0.108412,0.003796,0.347392,0.087614,-0.069094,0.040062,0.000563,-0.002227,0.840375,-0.145234,0.017459,1.071400,-0.184381,0.004048,0.891751,-0.189068,0.068152,0.719269,0.135185,-0.000169,1.078814,0.176592,-0.004791,0.899225,0.195817,0.057969,0.727617
0.001667,-0.000755,0.785365,-0.115660,-0.000540,0.652975,-0.117134,-0.024504,0.347757,-0.118217,-0.075396,0.034656,0.116904,-0.013796,0.651957,0.109114,0.005789,0.346542,0.087552,-0.069150,0.039852,0.001232,-0.001409,0.839499,-0.143789,0.021429,1.070750,-0.184595,0.005770,0.891652,-0.189093,0.068320,0.718595,0.136176,-0.002397,1.077760,0.177337,-0.006766,0.898108,0.197520,0.057631,0.727218
0.002549,0.000192,0.784355,-0.114964,0.002976,0.652161,-0.116767,-0.022088,0.347022,-0.118714,-0.075425,0.034373,0.117286,-0.015058,0.650786,0.110014,0.008350,0.345632,0.087459,-0.069149,0.039740,0.002195,-0.000466,0.838490,-0.141494,0.026235,1.070187,-0.184694,0.008578,0.891837,-0.189437,0.069031,0.718062,0.137770,-0.004853,1.076353,0.178493,-0.009522,0.896607,0.199526,0.057492,0.726863
0.003562,0.001173,0.783277,-0.114089,0.006627,0.651290,-0.116141,-0.019010,0.346187,-0.118864,-0.075414,0.034133,0.117728,-0.016390,0.649549,0.111113,0.011203,0.344731,0.087563,-0.069090,0.039726,0.003282,0.000540,0.837414,-0.139048,0.031365,1.069469,-0.184815,0.011956,0.891943,-0.189880,0.070062,0.717401,0.139248,-0.007475,1.074957,0.179842,-0.012694,0.895195,0.202277,0.057392,0.726922
0.004646,0.001815,0.781967,-0.113103,0.010116,0.650211,-0.115627,-0.011762,0.344802,-0.119049,-0.075501,0.034275,0.118154,-0.017962,0.648050,0.112283,0.014476,0.343693,0.087419,-0.068959,0.039725,0.004497,0.001260,0.836106,-0.135740,0.036984,1.068756,-0.185320,0.016812,0.892339,-0.192113,0.073444,0.717415,0.141283,-0.010163,1.073040,0.181967,-0.018908,0.893426,0.206439,0.060336,0.729696
0.005718,0.002088,0.780436,-0.111888,0.013089,0.648748,-0.115010,-0.002577,0.342948,-0.119110,-0.075456,0.034585,0.118744,-0.019708,0.646493,0.113713,0.017428,0.342657,0.087475,-0.068827,0.039680,0.005679,0.001642,0.834577,-0.132185,0.042269,1.067854,-0.186293,0.021881,0.892793,-0.195477,0.078283,0.717957,0.143495,-0.012236,1.070786,0.184383,-0.024981,0.891447,0.211275,0.065450,0.734141
0.006769,0.001623,0.778461,-0.110297,0.015022,0.646541,-0.114329,0.010470,0.340373,-0.119097,-0.075156,0.035517,0.119714,-0.021824,0.644807,0.115432,0.019744,0.341533,0.087453,-0.068700,0.039431,0.006795,0.001351,0.832604,-0.128319,0.046935,1.066573,-0.188297,0.026960,0.893381,-0.201140,0.085129,0.719428,0.146225,-0.013066,1.067838,0.187720,-0.030721,0.889047,0.216633,0.074877,0.741954
0.008061,0.000599,0.775944,-0.108069,0.015660,0.643463,-0.113401,0.026028,0.337457,-0.118793,-0.074530,0.037401,0.121546,-0.023499,0.642931,0.117708,0.021476,0.340140,0.087733,-0.068870,0.038884,0.008040,0.000467,0.830089,-0.124820,0.049737,1.064584,-0.191435,0.031126,0.893667,-0.208735,0.095596,0.722416,0.149297,-0.012222,1.064330,0.193106,-0.033046,0.886428,0.223262,0.088721,0.752680
0.009475,-0.000705,0.773157,-0.105536,0.015649,0.640017,-0.112478,0.042767,0.335076,-0.118386,-0.073645,0.041015,0.123810,-0.024953,0.640964,0.120216,0.022932,0.338617,0.088018,-0.069129,0.038208,0.009347,-0.000711,0.827301,-0.121534,0.051676,1.062210,-0.195115,0.034763,0.893980,-0.217310,0.107588,0.726765,0.152523,-0.010568,1.060509,0.199541,-0.033665,0.883705,0.229621,0.103673,0.765923
0.010464,-0.000649,0.770966,-0.103731,0.015820,0.637321,-0.112311,0.058197,0.334183,-0.117722,-0.071409,0.045715,0.125958,-0.022692,0.639352,0.121603,0.024318,0.336877,0.087958,-0.069182,0.037158,0.010142,-0.000941,0.825108,-0.121179,0.050801,1.059855,-0.201081,0.038437,0.894114,-0.227675,0.125819,0.734706,0.154366,-0.004610,1.057837,0.208886,-0.024239,0.882774,0.235034,0.127008,0.782288
0.011481,-0.000089,0.769538,-0.102218,0.016018,0.635651,-0.112797,0.073380,0.335066,-0.116561,-0.068691,0.052436,0.127953,-0.019480,0.638303,0.122468,0.025226,0.335492,0.087841,-0.069225,0.036249,0.011002,-0.000671,0.823675,-0.121618,0.049398,1.057997,-0.206900,0.042744,0.894614,-0.236806,0.144779,0.744782,0.155529,0.002506,1.056223,0.218225,-0.011394,0.883360,0.237465,0.151232,0.800558
