body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.703444,-0.019080,0.013102,0.710374,0.701725,0.046183,-0.037955,0.709935,0.688711,-0.055814,0.058243,0.720534,0.691197,0.003428,-0.006384,0.722630,0.700857,0.056864,-0.051694,0.709150,0.751101,-0.054346,0.085839,0.652324,0.755910,0.032694,-0.020662,0.653532,0.705544,-0.023251,-0.000670,0.708284,0.698699,0.024528,0.102819,0.707563,0.641756,-0.284518,0.481595,0.524656,0.718337,-0.201856,0.529957,0.402980,0.705151,-0.122422,-0.037260,0.697415,0.529035,-0.513587,0.294718,0.607858,0.409159,-0.558423,0.173606,0.700438
0.704396,-0.019976,0.014773,0.709373,0.702716,0.046678,-0.037828,0.708929,0.688821,-0.055349,0.058321,0.720459,0.691318,0.004396,-0.006805,0.722506,0.701702,0.058985,-0.054151,0.707957,0.750457,-0.055846,0.087515,0.652715,0.755451,0.033267,-0.021228,0.654015,0.706493,-0.022987,-0.000180,0.707347,0.699601,0.024932,0.103242,0.706596,0.642175,-0.283690,0.482379,0.523872,0.718748,-0.194618,0.533592,0.401005,0.705966,-0.121332,-0.037521,0.696766,0.529746,-0.512962,0.295307,0.607481,0.409759,-0.561116,0.165841,0.699817
0.705664,-0.020914,0.016661,0.708042,0.704076,0.046627,-0.038335,0.707555,0.688889,-0.055962,0.058204,0.720356,0.691375,0.004213,-0.008102,0.722438,0.702818,0.061763,-0.057304,0.706363,0.749680,-0.057868,0.089842,0.653115,0.754959,0.033482,-0.022078,0.654544,0.707781,-0.023104,-0.000084,0.706055,0.700739,0.024296,0.104012,0.705376,0.642461,-0.283688,0.482930,0.523014,0.719266,-0.189494,0.536047,0.399251,0.707109,-0.120435,-0.038066,0.695732,0.530585,-0.512363,0.295547,0.607138,0.410518,-0.563102,0.159497,0.699251
0.707567,-0.021935,0.018987,0.706051,0.706045,0.047415,-0.038163,0.705546,0.688529,-0.056159,0.058956,0.720623,0.691088,0.004968,-0.009193,0.722695,0.704470,0.065848,-0.061850,0.703961,0.748634,-0.060947,0.093459,0.653528,0.754380,0.033474,-0.023071,0.655178,0.709690,-0.022573,0.000628,0.704152,0.702168,0.023287,0.106421,0.703628,0.643331,-0.282890,0.484178,0.521220,0.719769,-0.186716,0.538184,0.396771,0.708860,-0.118935,-0.038184,0.694200,0.532411,-0.510442,0.296278,0.606800,0.412605,-0.562987,0.157376,0.698595
0.710580,-0.022375,0.020865,0.702951,0.709196,0.047053,-0.037566,0.702435,0.688007,-0.056745,0.059227,0.721054,0.690596,0.005305,-0.011038,0.723137,0.707164,0.070287,-0.066458,0.700401,0.747726,-0.064121,0.097370,0.653692,0.753989,0.033790,-0.024115,0.655574,0.713159,-0.022602,0.000843,0.700637,0.704965,0.021562,0.110079,0.700315,0.644300,-0.282001,0.485923,0.518875,0.720736,-0.184701,0.539281,0.394463,0.712044,-0.117837,-0.039095,0.691072,0.536059,-0.507981,0.296921,0.605338,0.416606,-0.562115,0.156263,0.697172
0.714135,-0.022524,0.022520,0.699283,0.712889,0.046611,-0.036377,0.698780,0.687315,-0.057020,0.059623,0.721659,0.689949,0.005948,-0.012886,0.723718,0.710305,0.075298,-0.070701,0.696275,0.746752,-0.067020,0.101791,0.653841,0.753622,0.034823,-0.024616,0.655924,0.717007,-0.022769,0.001620,0.696692,0.707996,0.019228,0.114840,0.696551,0.645087,-0.281367,0.488291,0.516011,0.721561,-0.183785,0.540570,0.391609,0.715578,-0.116512,-0.039384,0.687620,0.540128,-0.504735,0.298134,0.603838,0.421223,-0.560509,0.155822,0.695787
0.719649,-0.021355,0.022984,0.693629,0.718604,0.044523,-0.033566,0.693180,0.687547,-0.057144,0.060210,0.721379,0.690242,0.006595,-0.014427,0.723404,0.715467,0.078880,-0.074294,0.690192,0.746650,-0.069737,0.104840,0.653192,0.753884,0.036676,-0.026923,0.655430,0.723353,-0.021819,0.002064,0.690130,0.712986,0.017193,0.121440,0.690368,0.646982,-0.278762,0.492035,0.511476,0.722958,-0.181671,0.542642,0.387125,0.721661,-0.113249,-0.040038,0.681745,0.547475,-0.498441,0.300274,0.601385,0.429880,-0.555917,0.157807,0.693727
0.725708,-0.020185,0.023369,0.687310,0.724824,0.042762,-0.030373,0.686934,0.688064,-0.057202,0.061568,0.720767,0.690896,0.007696,-0.015486,0.722747,0.721052,0.083078,-0.077248,0.683531,0.746369,-0.071928,0.108329,0.652706,0.754050,0.039259,-0.028874,0.655007,0.730214,-0.021249,0.003054,0.682881,0.718396,0.014880,0.129078,0.683392,0.648628,-0.276315,0.497090,0.505800,0.724396,-0.179919,0.545670,0.380951,0.728211,-0.110375,-0.040064,0.675219,0.554745,-0.491951,0.302804,0.598792,0.438786,-0.551191,0.159157,0.691609
0.732877,-0.019012,0.023595,0.679686,0.732162,0.040409,-0.027611,0.679370,0.689385,-0.058452,0.063324,0.719251,0.692379,0.008363,-0.016742,0.721291,0.727629,0.087534,-0.079902,0.675655,0.746062,-0.073905,0.111754,0.652258,0.754211,0.041777,-0.031663,0.654536,0.738123,-0.020787,0.003769,0.674335,0.724701,0.012566,0.137391,0.675111,0.650420,-0.273624,0.503644,0.498424,0.725667,-0.178531,0.550473,0.372174,0.735727,-0.108216,-0.040715,0.667336,0.563403,-0.484976,0.304741,0.595407,0.448882,-0.546266,0.161040,0.688596
0.740516,-0.018110,0.024297,0.671355,0.739874,0.040016,-0.025375,0.671075,0.690759,-0.060520,0.067181,0.717409,0.694133,0.009816,-0.017339,0.719571,0.734519,0.092955,-0.083245,0.667017,0.745798,-0.076267,0.115967,0.651553,0.754599,0.043269,-0.033456,0.653903,0.747168,-0.020049,0.005399,0.664311,0.732052,0.011820,0.146910,0.665115,0.651665,-0.269698,0.513353,0.488943,0.726744,-0.177218,0.555624,0.362931,0.744427,-0.106554,-0.039970,0.657934,0.574476,-0.474965,0.306718,0.591869,0.461879,-0.537274,0.161855,0.686883
0.748332,-0.017341,0.025235,0.662617,0.747742,0.040143,-0.023842,0.662346,0.692219,-0.063455,0.071681,0.715310,0.696054,0.011285,-0.017923,0.717677,0.741466,0.098793,-0.087021,0.657948,0.745560,-0.078924,0.120419,0.650699,0.755096,0.044137,-0.034910,0.653195,0.756659,-0.019543,0.006888,0.653482,0.739868,0.011609,0.156453,0.654204,0.652933,-0.265232,0.524112,0.478160,0.727713,-0.176245,0.560864,0.353273,0.753540,-0.105838,-0.039406,0.647628,0.587296,-0.463987,0.307910,0.587359,0.476369,-0.527050,0.162223,0.684817
0.755648,-0.016793,0.026732,0.654217,0.754799,0.045991,-0.026521,0.653804,0.692135,-0.071400,0.081304,0.713611,0.697075,0.010764,-0.018841,0.716669,0.747821,0.105095,-0.091839,0.649064,0.746159,-0.081822,0.125526,0.648687,0.756528,0.045074,-0.034863,0.651474,0.766349,-0.019170,0.010104,0.642059,0.748189,0.015088,0.166920,0.641969,0.652175,-0.257978,0.536016,0.469896,0.726568,-0.177200,0.563418,0.351084,0.763147,-0.111190,-0.033656,0.635697,0.610980,-0.439836,0.301336,0.585188,0.513278,-0.493289,0.162026,0.683344
0.762072,-0.016963,0.028018,0.646664,0.760626,0.054946,-0.031687,0.646084,0.691651,-0.081527,0.093102,0.711550,0.698110,0.009930,-0.018802,0.715675,0.753178,0.110830,-0.096913,0.641130,0.747490,-0.084409,0.130280,0.645880,0.758587,0.046856,-0.034494,0.648968,0.774723,-0.019278,0.014399,0.631842,0.755433,0.020746,0.178029,0.630235,0.650703,-0.248526,0.546824,0.464547,0.723712,-0.175554,0.564702,0.355714,0.771143,-0.118132,-0.027497,0.625001,0.634884,-0.413108,0.287105,0.586374,0.552458,-0.456653,0.152821,0.680370
