joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.010215,-0.024378,-0.006729,0.019290,0.014793,-0.025256,0.032532,-0.157657,-0.013510,0.105881,0.177248,0.079536,0.090871,-0.175139,-0.275370,0.214214,-0.192230,-0.011542,-0.007954,-0.296075,0.269055,1.024292,1.084260,0.316633,-0.371262,-0.049322,-0.113665,-0.123287,0.073300
0.006089,-0.034477,-0.006729,0.019290,0.013463,-0.025256,0.034993,-0.153510,-0.016861,0.105881,0.188326,0.079536,0.088321,-0.176559,-0.281494,0.214214,-0.192230,-0.011542,-0.007954,-0.296075,0.269055,1.024292,1.086053,0.329234,-0.385661,-0.051537,-0.116527,-0.116287,0.061285
0.001487,-0.046860,-0.006850,0.017460,0.011954,-0.026579,0.038766,-0.148290,-0.020613,0.107233,0.203009,0.081646,0.085575,-0.178814,-0.289256,0.214288,-0.191849,-0.012636,-0.008965,-0.294496,0.270183,1.023485,1.087248,0.339034,-0.396940,-0.053788,-0.118824,-0.110874,0.051842
-0.004069,-0.063813,-0.006850,0.017460,0.010090,-0.026579,0.045163,-0.140925,-0.025169,0.109515,0.224903,0.086884,0.082436,-0.182737,-0.300297,0.214288,-0.191849,-0.014060,-0.010664,-0.294496,0.270183,1.019544,1.087248,0.343231,-0.401977,-0.053788,-0.118824,-0.108634,0.047545
-0.005921,-0.079909,-0.008219,0.016548,0.008945,-0.028147,0.055434,-0.131056,-0.028260,0.109439,0.247956,0.095344,0.078213,-0.186989,-0.312419,0.216290,-0.192211,-0.015971,-0.012116,-0.291434,0.270465,1.013771,1.086257,0.344161,-0.405178,-0.055570,-0.119214,-0.107159,0.045063
-0.006085,-0.095576,-0.009107,0.016406,0.009389,-0.029203,0.067642,-0.119936,-0.029660,0.108183,0.271588,0.105415,0.073449,-0.191405,-0.325081,0.218239,-0.191956,-0.018125,-0.012871,-0.288028,0.270043,1.007082,1.084394,0.343691,-0.408114,-0.057081,-0.119525,-0.106623,0.042775
0.001963,-0.104739,-0.011525,0.016406,0.009389,-0.029203,0.082877,-0.105042,-0.029660,0.102373,0.290189,0.120634,0.066761,-0.195470,-0.339238,0.221539,-0.190755,-0.020070,-0.012871,-0.284017,0.268463,0.997440,1.081903,0.341350,-0.408114,-0.058304,-0.119525,-0.106623,0.042775
0.010234,-0.113720,-0.013904,0.017530,0.011678,-0.028888,0.098712,-0.088554,-0.028260,0.097553,0.308579,0.136722,0.060085,-0.200512,-0.353798,0.225306,-0.189393,-0.021797,-0.012728,-0.280282,0.267897,0.988547,1.078315,0.339282,-0.409310,-0.059907,-0.120477,-0.107471,0.041110
0.018950,-0.122337,-0.016204,0.017530,0.015643,-0.028888,0.115745,-0.068877,-0.026930,0.094713,0.326543,0.154546,0.053430,-0.207511,-0.369164,0.230006,-0.189393,-0.023087,-0.014021,-0.277101,0.267897,0.981151,1.072534,0.337759,-0.409310,-0.059907,-0.120477,-0.109435,0.041110
0.023176,-0.134299,-0.020499,0.019437,0.020329,-0.027404,0.133532,-0.048275,-0.025739,0.099681,0.348609,0.171653,0.048207,-0.218852,-0.383402,0.236365,-0.189864,-0.024127,-0.015910,-0.275414,0.265669,0.977836,1.059160,0.330431,-0.409473,-0.063680,-0.125145,-0.111071,0.042164
