joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
-0.206297,-0.504938,0.000000,0.000000,-0.066531,0.000000,0.123066,0.207359,-0.167539,0.000000,0.553897,0.000000,-0.127477,-0.070994,-0.306168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.089669,0.630040,-0.719951,-0.110765,-0.143094,0.350003,-0.600770
-0.230125,-0.619171,-0.006054,-0.091487,-0.075424,-0.066169,0.188655,0.260986,-0.187623,0.067607,0.734158,0.105472,-0.137301,-0.112722,-0.388126,0.003707,0.019049,-0.054684,-0.050560,0.078963,0.056402,-0.040329,0.059772,0.489989,-0.563930,-0.112548,-0.114887,0.270662,-0.472132
-0.277781,-0.847637,0.000000,0.000000,-0.093209,0.000000,0.319829,0.368246,-0.227793,0.114102,1.094676,0.261930,-0.156948,-0.196181,-0.552045,0.000000,0.000000,-0.071211,-0.084921,0.000000,0.000000,-0.197035,0.000000,0.209881,-0.251877,0.000000,0.000000,0.111983,-0.214858
-0.092594,-0.804787,-0.068438,-0.045617,-0.057248,-0.078409,0.513550,0.493436,-0.154533,-0.003825,1.152643,0.422997,-0.211142,-0.212599,-0.606084,0.100126,-0.018073,-0.095541,-0.072625,0.153115,0.014107,-0.288653,-0.049585,0.046457,-0.160043,-0.089085,-0.019489,0.073776,-0.124122
-0.008231,-0.783361,-0.044404,-0.007090,0.022202,-0.052791,0.610411,0.556031,-0.070021,-0.062789,1.181621,0.503531,-0.238239,-0.220806,-0.633110,0.097451,0.012726,-0.107707,-0.037743,0.170262,-0.021091,-0.334466,-0.093120,-0.023498,-0.146805,-0.075571,-0.015550,0.026803,-0.114409
0.402432,-0.458149,-0.120900,0.000000,0.000000,0.000000,0.761750,0.744701,0.000000,-0.290492,0.930074,0.760963,-0.334376,-0.203225,-0.707826,0.164993,0.060043,-0.097254,0.000000,0.200577,-0.079028,-0.482082,-0.124562,-0.117035,0.000000,-0.061122,0.000000,0.000000,0.000000
0.413545,-0.449057,-0.118937,0.056196,0.114454,0.015751,0.791728,0.824407,0.070039,-0.241002,0.919458,0.804381,-0.333826,-0.252125,-0.727999,0.188329,0.068098,-0.086341,0.007181,0.186740,-0.028306,-0.444660,-0.179392,-0.103402,-0.059785,-0.080137,-0.047598,-0.042391,-0.083243
0.435771,-0.430871,-0.115010,0.000000,0.198221,0.000000,0.851683,0.983812,0.066467,-0.142022,0.898214,0.891214,-0.332723,-0.349923,-0.768332,0.234998,0.000000,-0.064514,-0.064656,0.159065,0.000000,-0.369817,-0.289041,-0.076135,0.000000,0.000000,0.000000,-0.098243,0.000000
0.211324,-0.598083,-0.214774,0.095341,0.234310,0.074190,0.889317,1.030134,0.059541,0.248415,1.103298,0.855374,-0.261159,-0.567072,-0.711906,0.317965,-0.023554,-0.052012,-0.094475,0.084329,-0.111391,-0.165734,-0.668693,-0.366393,-0.008151,-0.188646,-0.233410,-0.081768,0.052714
0.099099,-0.681691,-0.264656,0.080546,0.252354,0.043126,0.908133,1.053293,0.037385,0.443633,1.205839,0.837456,-0.225377,-0.675648,-0.683683,0.359445,-0.077434,-0.030506,-0.109383,0.031309,-0.203654,-0.063702,-0.858533,-0.511529,0.018948,-0.223884,-0.301898,-0.073533,0.150454
-0.651119,-0.846169,-0.377196,0.211843,0.206431,0.128670,0.962085,0.851499,0.120150,1.877052,1.381980,0.545701,0.426017,-1.275577,-0.642328,0.575184,-0.306939,-0.224521,0.000000,0.308941,-0.996310,0.000000,-3.342688,-1.294576,1.809605,-0.408923,-0.826953,-0.090883,0.403924
-1.071023,-0.859545,-0.319689,0.360971,0.212005,0.222217,0.811429,0.610067,0.211362,2.589288,1.314722,0.336421,0.453727,-1.498890,-0.626642,0.760494,-0.445000,-0.178294,0.110202,0.413023,-0.909180,-0.185764,-4.256120,-1.535454,1.981285,-0.468304,-0.674541,0.185415,0.052380
-1.910834,-0.886299,-0.204677,0.659227,0.223155,0.409312,0.510110,0.127207,0.393786,4.013771,1.180209,0.000000,0.509145,-1.945524,-0.595263,1.131131,-0.721121,-0.085840,0.299525,0.621177,-0.734919,-0.516689,-6.082961,-2.017208,2.324654,-0.587065,-0.369722,0.738013,-0.650708
-2.483151,-0.689844,-0.031991,0.911872,0.189684,0.528840,-0.002123,-0.492540,0.531173,5.001204,0.972535,-0.397539,0.012757,-1.652867,-0.616947,1.499042,-1.070043,-0.062202,0.401755,1.141711,-0.608733,-1.390117,-6.485647,-4.743279,1.563424,-0.577060,0.035731,1.942951,-0.989203
-2.769302,-0.591616,0.036235,1.038191,0.172948,0.588602,-0.258240,-0.802412,0.599864,5.494902,0.868696,-0.555237,-0.235437,-1.506536,-0.627781,1.682994,-1.244501,-0.033589,0.452868,1.401975,-0.545634,-1.826814,-6.686974,-6.106295,1.182802,-0.572056,0.238459,2.545414,-1.158447
-2.221496,0.415709,0.476332,0.680929,-0.079873,0.289921,-0.840941,-1.261633,0.787913,4.778405,0.152853,-1.670562,-1.405138,-0.223005,-0.551206,2.108833,-1.856580,0.217509,0.314042,1.460336,-0.277548,-2.838153,-5.310836,-6.086268,1.372630,-0.133239,0.305478,1.659043,-0.728869
-2.221611,0.654768,0.539224,0.549015,-0.172827,0.116481,-0.765079,-1.302577,0.681696,4.638356,-0.191028,-2.181268,-1.739953,0.465973,-0.409545,2.061176,-1.946205,0.345503,0.254770,1.016532,-0.131508,-2.763334,-4.649712,-4.904768,1.431981,-0.056779,0.284589,1.164775,-0.830169
-2.221826,1.132882,0.665002,0.285181,-0.358734,-0.230398,-0.613347,-1.384453,0.469253,4.358214,-0.878784,-3.202650,-2.409565,1.843914,-0.126205,1.965851,-2.125441,0.601486,0.136225,0.128920,0.160567,-2.613646,-3.327420,-2.541728,1.550677,0.000000,0.242807,0.176228,-1.032761
-2.160245,1.575381,0.513679,-0.136172,-0.432742,-0.424914,-0.549156,-1.560876,0.336043,3.430593,-1.521833,-3.937317,-3.080839,1.589364,0.266004,1.200420,-1.860094,0.058753,0.148133,-1.175112,0.513981,-2.432725,-2.170045,-1.011716,2.067288,0.003277,0.116177,-0.180160,-0.889848
-2.129451,1.796624,0.458418,-0.346848,-0.469745,-0.522171,-0.517058,-1.649083,0.269438,2.966785,-1.843360,-4.304640,-3.416467,1.462084,0.462104,0.817707,-1.727422,-0.212613,0.154086,-1.827121,0.690683,-2.342260,-1.591356,-0.246707,2.325590,-0.028770,0.035241,-0.358354,-0.818389
