body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
-0.185707,-0.060717,0.201894,0.406068,0.003120,0.208358,-0.292516,-0.051074,-0.079030,0.080290,0.026508,-0.064787,0.013223,-0.042461,0.200518,-0.002292,-0.019772,-0.000035,0.103237,0.003648,0.000844,-0.013047,-0.041702,0.201857,0.124018,-0.043653,0.159540,0.067938,-0.029194,0.163178,0.409436,0.437889,-0.255343,-0.110266,-0.055524,0.179175,-0.043757,-0.039980,0.157606,0.193689,-0.379195,0.534317
-0.179843,-0.067560,0.260177,0.459881,-0.006858,0.266209,-0.339902,-0.062729,-0.078437,0.086894,0.033512,-0.061169,-0.006492,-0.045041,0.260056,-0.018750,-0.014016,-0.010691,0.113132,0.024748,-0.009394,-0.012979,-0.040010,0.269036,0.139500,-0.043370,0.221536,0.109344,-0.035688,0.220515,0.387322,0.351059,-0.122573,-0.188443,-0.070404,0.228535,-0.067696,-0.041479,0.192751,0.132268,-0.306150,0.490258
-0.161551,-0.074747,0.345926,0.513102,-0.024106,0.350262,-0.387435,-0.076056,-0.072448,0.103647,0.036233,-0.052235,-0.043533,-0.053521,0.346554,-0.035994,-0.011772,-0.018491,0.126122,0.042631,-0.016660,-0.012724,-0.040969,0.369387,0.163123,-0.047670,0.314568,0.169223,-0.048310,0.311756,0.376381,0.245583,0.053890,-0.290924,-0.098390,0.305935,-0.101398,-0.052292,0.252092,0.056605,-0.228009,0.455272
-0.127699,-0.080379,0.457548,0.550679,-0.049445,0.458182,-0.421957,-0.088325,-0.058785,0.134025,0.033472,-0.036222,-0.098320,-0.067481,0.458148,-0.054565,-0.014404,-0.015359,0.138816,0.052161,-0.012771,-0.011758,-0.045759,0.501413,0.193666,-0.056813,0.437690,0.246983,-0.066713,0.436278,0.390771,0.136371,0.258183,-0.407618,-0.141017,0.412311,-0.146453,-0.076795,0.338927,-0.028442,-0.162806,0.448009
-0.082451,-0.083166,0.587888,0.566566,-0.081948,0.582311,-0.437211,-0.098124,-0.038103,0.175577,0.027554,-0.013771,-0.160798,-0.085030,0.587662,-0.081261,-0.021733,0.005435,0.147349,0.050771,0.009071,-0.010392,-0.054982,0.656977,0.224724,-0.068219,0.584313,0.342740,-0.088379,0.585675,0.442561,0.034278,0.471901,-0.524828,-0.197621,0.543052,-0.205385,-0.118283,0.453020,-0.121069,-0.123962,0.479330
-0.037239,-0.083193,0.724889,0.568848,-0.118926,0.710621,-0.438235,-0.106691,-0.013606,0.217537,0.021957,0.012324,-0.209203,-0.104285,0.723176,-0.129320,-0.032345,0.044056,0.149423,0.039556,0.049015,-0.011074,-0.068530,0.823221,0.242899,-0.076901,0.744292,0.464285,-0.109299,0.748195,0.546399,-0.061835,0.685053,-0.628472,-0.267033,0.689734,-0.279669,-0.179805,0.589570,-0.218768,-0.114307,0.541936
-0.005245,-0.081675,0.853116,0.573785,-0.155426,0.828541,-0.437129,-0.116394,0.012531,0.244635,0.017312,0.040104,-0.213980,-0.124409,0.849327,-0.215898,-0.044346,0.092021,0.144051,0.023102,0.098664,-0.018392,-0.086415,0.985145,0.228616,-0.077491,0.906247,0.636866,-0.125107,0.914136,0.732940,-0.166735,0.905743,-0.705485,-0.350078,0.842679,-0.363672,-0.265269,0.737565,-0.308556,-0.127740,0.605227
0.005471,-0.079448,0.955589,0.593698,-0.183744,0.920792,-0.443918,-0.127837,0.043062,0.246397,0.009109,0.071816,-0.144199,-0.145635,0.948805,-0.359035,-0.056163,0.135186,0.128553,0.007898,0.144254,-0.037916,-0.110093,1.126226,0.160625,-0.065972,1.057007,0.908099,-0.130970,1.073590,1.056922,-0.300174,1.159734,-0.744330,-0.451502,0.991388,-0.436730,-0.378932,0.877986,-0.357781,-0.156400,0.616303
-0.005144,-0.074667,1.015064,0.628170,-0.194603,0.971996,-0.459706,-0.139018,0.085820,0.225152,-0.011264,0.114089,0.026115,-0.168021,1.003240,-0.573828,-0.066735,0.160076,0.094958,-0.000822,0.172839,-0.075186,-0.142304,1.225917,0.025096,-0.038784,1.176469,1.335227,-0.118811,1.202105,1.580266,-0.464669,1.465867,-0.735956,-0.579460,1.121619,-0.459762,-0.522351,0.983270,-0.311252,-0.197590,0.505221
-0.030907,-0.061470,1.014705,0.663441,-0.180064,0.966407,-0.476580,-0.147195,0.148964,0.195735,-0.052163,0.173840,0.310472,-0.189642,0.993610,-0.865059,-0.075322,0.159579,0.027982,-0.003195,0.177471,-0.134255,-0.184550,1.257110,-0.170197,0.010950,1.231297,1.950962,-0.073383,1.245501,2.326634,-0.619899,1.791425,-0.674436,-0.741504,1.211943,-0.380366,-0.689512,1.021083,-0.097050,-0.253591,0.192186
