body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
0.005105,-0.007764,-0.012485,0.013849,-0.036549,-0.018626,-0.007236,0.081719,-0.020216,0.001933,0.000737,-0.002506,0.014284,-0.005051,-0.004710,0.016630,0.001107,-0.005038,0.023669,0.003687,-0.005131,0.002467,0.002441,-0.012204,-0.009875,-0.016923,-0.018363,-0.000842,-0.001695,-0.021108,0.001344,0.007126,-0.017592,-0.009605,0.031720,-0.005743,0.001375,0.022329,-0.003252,-0.005288,0.019575,-0.004101
0.003573,-0.007103,-0.015050,0.013450,-0.039547,-0.021764,-0.009360,0.093252,-0.022699,0.002645,0.000340,-0.001851,0.013804,0.000878,-0.006577,0.012578,0.002926,-0.006704,0.017103,0.000989,-0.006031,0.000804,0.002985,-0.014790,-0.011331,-0.023303,-0.020645,-0.002276,-0.007945,-0.023379,-0.002966,0.005422,-0.018130,-0.011499,0.039080,-0.008580,0.001944,0.019537,-0.005154,-0.006174,0.013343,-0.007407
0.000924,-0.005070,-0.018579,0.012324,-0.043021,-0.025993,-0.012397,0.106135,-0.025896,0.003429,-0.000130,-0.001274,0.012442,0.011718,-0.009305,0.007706,0.005314,-0.008971,0.010620,-0.001605,-0.007435,-0.002027,0.004411,-0.018351,-0.014531,-0.032835,-0.024167,-0.004733,-0.017199,-0.027060,-0.009448,0.003115,-0.019109,-0.015559,0.051436,-0.012054,0.002772,0.018083,-0.006948,-0.006919,0.007005,-0.011147
-0.003056,-0.000870,-0.022819,0.010119,-0.046234,-0.030924,-0.016306,0.116802,-0.029432,0.003832,-0.000602,-0.001192,0.009689,0.028771,-0.012845,0.002303,0.008624,-0.011710,0.005433,-0.003471,-0.009249,-0.006203,0.007261,-0.022634,-0.019846,-0.045332,-0.028852,-0.008403,-0.029312,-0.032113,-0.018208,0.000489,-0.020348,-0.022438,0.069541,-0.015716,0.003781,0.020108,-0.008018,-0.007152,0.002520,-0.014723
-0.008346,0.005815,-0.027455,0.006707,-0.048713,-0.036085,-0.020950,0.122463,-0.032925,0.003452,-0.001012,-0.001916,0.005210,0.051946,-0.017059,-0.003320,0.014202,-0.014840,0.002309,-0.004398,-0.011176,-0.011660,0.011873,-0.027316,-0.027191,-0.059927,-0.034487,-0.013449,-0.043919,-0.038252,-0.029254,-0.001979,-0.021355,-0.032412,0.093104,-0.019130,0.004798,0.027503,-0.007878,-0.006484,0.001434,-0.017717
-0.014703,0.014392,-0.032282,0.002261,-0.050679,-0.041163,-0.026095,0.123153,-0.036140,0.002417,-0.001271,-0.003314,-0.001036,0.079208,-0.021806,-0.008826,0.024830,-0.018499,0.001399,-0.004603,-0.012766,-0.018135,0.018063,-0.032187,-0.036065,-0.075223,-0.040876,-0.020098,-0.061021,-0.045062,-0.042784,-0.003418,-0.021053,-0.045349,0.120854,-0.022125,0.005732,0.041395,-0.006395,-0.004248,0.004550,-0.020037
-0.021768,0.023347,-0.037300,-0.002850,-0.052927,-0.046118,-0.031520,0.121760,-0.039005,0.001381,-0.001233,-0.004770,-0.008826,0.106937,-0.027018,-0.013919,0.044685,-0.023115,0.002226,-0.004384,-0.013466,-0.025292,0.024967,-0.037237,-0.045840,-0.089581,-0.047976,-0.028743,-0.081474,-0.052164,-0.059432,-0.001752,-0.017205,-0.060892,0.150852,-0.024851,0.006817,0.062116,-0.003776,0.000912,0.012695,-0.021593
-0.029131,0.030637,-0.042713,-0.008270,-0.056272,-0.051135,-0.037249,0.121854,-0.041581,0.000881,-0.000736,-0.005597,-0.017799,0.130987,-0.032834,-0.018397,0.078837,-0.029389,0.003913,-0.003829,-0.012597,-0.032776,0.031103,-0.042666,-0.056186,-0.101373,-0.056040,-0.040030,-0.106805,-0.059419,-0.080326,0.007478,-0.005797,-0.078695,0.180658,-0.027657,0.008784,0.089243,-0.000321,0.011342,0.027967,-0.021637
-0.036301,0.034207,-0.048938,-0.013896,-0.061044,-0.056474,-0.043630,0.125024,-0.044045,0.000833,0.000244,-0.005625,-0.027600,0.147687,-0.039805,-0.022165,0.132307,-0.038182,0.005503,-0.002765,-0.009260,-0.040126,0.034609,-0.048892,-0.067253,-0.108776,-0.065693,-0.054905,-0.137684,-0.067047,-0.106626,0.031627,0.018963,-0.098324,0.207214,-0.031011,0.013030,0.121232,0.003753,0.030349,0.054197,-0.018296
-0.042736,0.032436,-0.056560,-0.020133,-0.066840,-0.062279,-0.051118,0.129682,-0.046676,0.000735,0.001442,-0.005456,-0.038082,0.154258,-0.048987,-0.025286,0.208346,-0.050150,0.006115,-0.000788,-0.002191,-0.046717,0.033669,-0.056503,-0.079384,-0.109146,-0.077745,-0.074670,-0.170963,-0.075434,-0.138535,0.079624,0.063363,-0.118693,0.226651,-0.035597,0.021663,0.154828,0.008214,0.061517,0.095982,-0.008758
-0.048035,0.024702,-0.066090,-0.027994,-0.072221,-0.068403,-0.059936,0.132113,-0.049789,0.000154,0.002302,-0.006206,-0.049382,0.149031,-0.061574,-0.027951,0.305972,-0.064949,0.005002,0.002848,0.010378,-0.051907,0.027202,-0.066020,-0.092545,-0.098747,-0.092615,-0.101127,-0.196902,-0.084574,-0.174301,0.158798,0.131765,-0.137426,0.234479,-0.042351,0.037091,0.185093,0.012582,0.107189,0.156984,0.010153
-0.052120,0.012157,-0.077377,-0.038645,-0.074126,-0.074296,-0.069664,0.128903,-0.053629,-0.001043,0.002220,-0.008916,-0.061572,0.132081,-0.077799,-0.030132,0.417925,-0.080149,0.001642,0.009362,0.030737,-0.055310,0.015759,-0.077302,-0.105677,-0.073496,-0.109426,-0.136461,-0.199370,-0.093194,-0.209747,0.271627,0.224405,-0.150661,0.226491,-0.052019,0.061109,0.206898,0.016123,0.166534,0.238862,0.041546
-0.055096,-0.001665,-0.088805,-0.052305,-0.067488,-0.078847,-0.078645,0.118947,-0.058097,-0.002600,0.000953,-0.013938,-0.073811,0.106133,-0.095496,-0.030991,0.530897,-0.090587,-0.004379,0.020444,0.061333,-0.056847,0.002203,-0.088739,-0.116157,-0.030325,-0.125104,-0.182144,-0.160090,-0.097838,-0.238141,0.414679,0.336948,-0.153497,0.200282,-0.064204,0.093861,0.217638,0.018283,0.234164,0.341145,0.088343
-0.056854,-0.011231,-0.096833,-0.067236,-0.046194,-0.080197,-0.083684,0.103543,-0.062306,-0.003882,-0.001097,-0.020572,-0.083741,0.076620,-0.109437,-0.028595,0.629007,-0.089056,-0.013864,0.038267,0.103842,-0.056547,-0.008521,-0.096797,-0.119834,0.031673,-0.134195,-0.236646,-0.065059,-0.092606,-0.250046,0.580132,0.461910,-0.141259,0.156740,-0.076511,0.133087,0.219520,0.019310,0.299836,0.460963,0.152883
-0.056910,-0.010843,-0.096695,-0.079916,-0.005764,-0.075853,-0.080891,0.084662,-0.064272,-0.004193,-0.003081,-0.027099,-0.088050,0.050028,-0.112613,-0.020566,0.699530,-0.068672,-0.028642,0.065802,0.157783,-0.054385,-0.010900,-0.096707,-0.112124,0.110487,-0.130188,-0.293023,0.089851,-0.070399,-0.233658,0.757849,0.590771,-0.111503,0.100692,-0.084757,0.173738,0.219469,0.020466,0.349102,0.591841,0.235634
-0.054653,0.002929,-0.084464,-0.086539,0.053744,-0.063545,-0.067613,0.063167,-0.061296,-0.003346,-0.004291,-0.031290,-0.084163,0.031201,-0.099432,-0.005663,0.737731,-0.026118,-0.051715,0.107557,0.218962,-0.050329,-0.001026,-0.084538,-0.089798,0.200796,-0.108298,-0.338235,0.296313,-0.025768,-0.176674,0.936176,0.715558,-0.065806,0.040188,-0.084710,0.208262,0.226203,0.023292,0.364915,0.722893,0.333487
-0.049666,0.029903,-0.059609,-0.084799,0.127226,-0.042760,-0.044048,0.038755,-0.051289,-0.001879,-0.004572,-0.031356,-0.071767,0.021560,-0.069237,0.014760,0.747263,0.035773,-0.086249,0.170197,0.278124,-0.044324,0.021927,-0.059751,-0.052241,0.294656,-0.068410,-0.355571,0.535405,0.041920,-0.069552,1.102251,0.829444,-0.009744,-0.015517,-0.074705,0.228256,0.246085,0.028089,0.330782,0.840514,0.439373
-0.041846,0.066956,-0.026450,-0.074770,0.207109,-0.016101,-0.013279,0.011548,-0.034394,-0.000551,-0.004163,-0.026968,-0.053127,0.019416,-0.027931,0.036829,0.735837,0.107541,-0.133494,0.261632,0.321064,-0.036199,0.055831,-0.026667,-0.001455,0.383798,-0.016394,-0.329788,0.783452,0.126966,0.091325,1.243329,0.926596,0.049252,-0.058571,-0.057540,0.227413,0.280230,0.032691,0.235317,0.932226,0.544563
-0.031624,0.109812,0.006699,-0.058769,0.286695,0.010773,0.020008,-0.016415,-0.013595,0.000328,-0.003289,-0.019591,-0.032380,0.021792,0.013576,0.056250,0.710137,0.175401,-0.190837,0.387545,0.332238,-0.025933,0.096875,0.006395,0.058572,0.462240,0.037294,-0.252659,1.018387,0.218682,0.301850,1.348476,1.001938,0.104389,-0.084552,-0.040113,0.204146,0.324432,0.032934,0.076724,0.989380,0.642923
-0.020289,0.154572,0.030601,-0.040520,0.361734,0.031075,0.050946,-0.041131,0.006465,0.000938,-0.002044,-0.011614,-0.014437,0.026428,0.043510,0.071286,0.674215,0.225707,-0.251395,0.546748,0.301902,-0.014285,0.140976,0.030188,0.122368,0.527380,0.081179,-0.125974,1.223141,0.304929,0.549966,1.409145,1.051408,0.150481,-0.093128,-0.030492,0.162222,0.371561,0.025225,-0.134356,1.006186,0.734293
-0.009707,0.198483,0.038653,-0.023760,0.430097,0.039645,0.075494,-0.057631,0.021620,0.001372,-0.000564,-0.004856,-0.003546,0.033125,0.053628,0.084121,0.631352,0.249379,-0.305572,0.728889,0.232456,-0.002858,0.184792,0.038101,0.183654,0.579253,0.106577,0.039633,1.385857,0.375682,0.817045,1.419083,1.072692,0.183714,-0.087544,-0.034071,0.109485,0.414453,0.009542,-0.374165,0.976638,0.824079
-0.001038,0.240161,0.028759,-0.010496,0.490948,0.034617,0.091235,-0.060868,0.029509,0.001278,0.000952,0.000238,-0.001527,0.043936,0.041345,0.098685,0.586001,0.243747,-0.343954,0.916804,0.138264,0.007052,0.226263,0.028037,0.236925,0.619200,0.109622,0.229281,1.498985,0.424622,1.081303,1.374928,1.065699,0.201706,-0.073625,-0.051422,0.055814,0.447058,-0.009953,-0.607919,0.893191,0.918361
0.006596,0.279432,0.002827,0.000127,0.544203,0.017179,0.098008,-0.046196,0.029318,0.000209,0.002502,0.004165,-0.006591,0.062081,0.009024,0.116245,0.543547,0.211284,-0.360271,1.091793,0.038390,0.015880,0.264741,0.001913,0.279558,0.649023,0.091084,0.429022,1.558785,0.448748,1.322618,1.277548,1.032245,0.204208,-0.058705,-0.079054,0.011395,0.463035,-0.027712,-0.794999,0.749207,1.017184
0.015910,0.316883,-0.034804,0.011225,0.590188,-0.009611,0.097777,-0.010066,0.020979,-0.001807,0.004473,0.007587,-0.013995,0.090203,-0.037967,0.132915,0.508666,0.157332,-0.352773,1.237740,-0.051897,0.025860,0.300733,-0.035915,0.312882,0.670780,0.055196,0.628339,1.565369,0.447591,1.526333,1.132782,0.975328,0.193244,-0.050312,-0.111870,-0.013931,0.452946,-0.040780,-0.896038,0.543311,1.110518
0.029515,0.353258,-0.078564,0.025951,0.629297,-0.041735,0.093480,0.048668,0.005024,-0.004233,0.007492,0.011198,-0.018547,0.128997,-0.092683,0.141901,0.484173,0.088959,-0.323372,1.341759,-0.124843,0.039302,0.335304,-0.079854,0.341270,0.686822,0.008591,0.818797,1.522781,0.423107,1.683859,0.950377,0.898505,0.171828,-0.054498,-0.145355,-0.010076,0.402055,-0.050688,-0.880140,0.281875,1.179424
0.047807,0.388868,-0.122376,0.045341,0.661703,-0.074783,0.087541,0.127682,-0.017114,-0.006571,0.012107,0.016102,-0.017166,0.176780,-0.147420,0.138780,0.471078,0.014985,-0.275869,1.392574,-0.178453,0.056571,0.369307,-0.123804,0.370062,0.699503,-0.040761,0.990718,1.438795,0.379675,1.790383,0.741225,0.805323,0.142071,-0.074382,-0.176632,0.033527,0.290567,-0.061822,-0.732024,-0.022498,1.201629
0.068560,0.423129,-0.160716,0.067923,0.687169,-0.104878,0.081100,0.222003,-0.043491,-0.008790,0.018636,0.023993,-0.009630,0.229954,-0.194880,0.125709,0.469375,-0.054456,-0.215363,1.379309,-0.212576,0.075617,0.402648,-0.162233,0.403822,0.710220,-0.085292,1.131068,1.324355,0.323204,1.841642,0.514543,0.698571,0.104305,-0.109720,-0.204774,0.124189,0.098185,-0.077078,-0.459640,-0.354211,1.159459
0.088531,0.454391,-0.190075,0.091225,0.705095,-0.129840,0.074223,0.327513,-0.072936,-0.011318,0.027414,0.037218,0.002723,0.284047,-0.229958,0.111798,0.478579,-0.109915,-0.149168,1.292966,-0.226200,0.093443,0.433844,-0.191639,0.445476,0.717923,-0.119913,1.224206,1.192484,0.259519,1.831360,0.277204,0.579535,0.058181,-0.157337,-0.230645,0.256573,-0.185066,-0.093067,-0.100555,-0.694194,1.048121
0.105745,0.479995,-0.209421,0.113860,0.714729,-0.149270,0.066560,0.445775,-0.105647,-0.015005,0.039746,0.060028,0.018922,0.334621,-0.250766,0.109044,0.496634,-0.145556,-0.086991,1.131895,-0.217706,0.108301,0.459950,-0.211026,0.495719,0.718114,-0.142894,1.254850,1.056304,0.193443,1.750369,0.036295,0.448108,0.005458,-0.211112,-0.255711,0.403954,-0.543990,-0.098177,0.279272,-1.014343,0.881217
