body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
-0.000257,-0.002105,0.789694,-0.117847,-0.006253,0.657605,-0.105800,-0.012259,0.351711,-0.087954,-0.068976,0.040396,0.115028,-0.009632,0.655729,0.117757,-0.026760,0.350085,0.117733,-0.074764,0.036423,0.000680,-0.003612,0.843806,-0.131811,0.007204,1.083226,-0.175163,0.000140,0.904177,-0.192751,0.058042,0.730651,0.149110,0.006119,1.073719,0.183830,0.000684,0.892755,0.190105,0.067653,0.721366
-0.000130,-0.002257,0.789502,-0.117571,-0.006905,0.657305,-0.105897,-0.010931,0.351367,-0.087931,-0.068950,0.040327,0.115312,-0.009821,0.655675,0.118216,-0.026786,0.350023,0.118446,-0.074600,0.036336,0.000756,-0.003565,0.843621,-0.132009,0.006995,1.082898,-0.175159,0.000235,0.903788,-0.192635,0.058222,0.730298,0.148924,0.006628,1.073682,0.183843,0.001237,0.892756,0.190029,0.068232,0.721384
-0.000018,-0.002441,0.789235,-0.117276,-0.007677,0.656908,-0.106053,-0.009135,0.350935,-0.087887,-0.068943,0.040282,0.115618,-0.009969,0.655572,0.118123,-0.026728,0.349905,0.118028,-0.074715,0.036252,0.000831,-0.003530,0.843358,-0.131952,0.006641,1.082641,-0.175102,0.000180,0.903520,-0.192654,0.058346,0.730113,0.148981,0.007231,1.073407,0.183942,0.001541,0.892497,0.189921,0.068395,0.721072
0.000062,-0.002691,0.788816,-0.116941,-0.008687,0.656318,-0.106336,-0.006402,0.350333,-0.087820,-0.068971,0.040300,0.115965,-0.010035,0.655374,0.118577,-0.026516,0.349693,0.118702,-0.074862,0.036106,0.000825,-0.003519,0.842945,-0.132410,0.006013,1.082000,-0.175231,-0.000133,0.902789,-0.192732,0.058427,0.729509,0.148531,0.008009,1.073246,0.183831,0.001517,0.892429,0.189587,0.068131,0.720904
-0.000013,-0.002780,0.788298,-0.116724,-0.009735,0.655618,-0.106752,-0.003520,0.349673,-0.087776,-0.068988,0.040330,0.116190,-0.009492,0.655085,0.118413,-0.026369,0.349420,0.118363,-0.075018,0.035893,0.000695,-0.003424,0.842430,-0.132657,0.004894,1.081462,-0.175460,-0.000935,0.902237,-0.193400,0.058297,0.729233,0.148253,0.009491,1.072760,0.184069,0.001780,0.892090,0.189539,0.068072,0.720439
-0.000165,-0.002788,0.787731,-0.116563,-0.010801,0.654868,-0.106919,-0.000563,0.349028,-0.087133,-0.068995,0.040445,0.116347,-0.008637,0.654748,0.118310,-0.026198,0.349117,0.118273,-0.075070,0.035639,0.000472,-0.003287,0.841865,-0.133136,0.003897,1.080788,-0.175506,-0.001728,0.901453,-0.193570,0.058246,0.728720,0.147716,0.011387,1.072300,0.184190,0.002040,0.891838,0.189391,0.067764,0.719972
-0.000568,-0.002271,0.787012,-0.116598,-0.011714,0.653942,-0.107836,0.001653,0.348205,-0.087752,-0.069045,0.040231,0.116267,-0.006379,0.654246,0.117949,-0.026035,0.348737,0.118128,-0.075157,0.035311,-0.000010,-0.002814,0.841146,-0.134120,0.001775,1.079847,-0.176166,-0.003207,0.900416,-0.194962,0.058190,0.728262,0.146572,0.014104,1.071867,0.184268,0.002865,0.891762,0.189192,0.067990,0.719660
-0.001043,-0.001634,0.786240,-0.116690,-0.012690,0.652984,-0.108413,0.003796,0.347393,-0.087620,-0.069094,0.040063,0.116073,-0.003789,0.653678,0.117829,-0.025558,0.348306,0.118612,-0.075234,0.034985,-0.000559,-0.002227,0.840375,-0.135188,-0.000169,1.078816,-0.176596,-0.004791,0.899227,-0.195822,0.057968,0.727619,0.145232,0.017458,1.071398,0.184376,0.004048,0.891749,0.189062,0.068152,0.719267
-0.001663,-0.000755,0.785365,-0.116902,-0.013796,0.651959,-0.109117,0.005789,0.346543,-0.087561,-0.069151,0.039853,0.115662,-0.000539,0.652973,0.117131,-0.024504,0.347755,0.118209,-0.075397,0.034654,-0.001227,-0.001408,0.839499,-0.136177,-0.002397,1.077763,-0.177341,-0.006766,0.898111,-0.197525,0.057631,0.727221,0.143788,0.021429,1.070748,0.184591,0.005770,0.891649,0.189087,0.068319,0.718592
-0.002545,0.000192,0.784355,-0.117283,-0.015057,0.650787,-0.110015,0.008350,0.345633,-0.087464,-0.069149,0.039741,0.114967,0.002977,0.652160,0.116766,-0.022089,0.347021,0.118709,-0.075426,0.034372,-0.002191,-0.000465,0.838490,-0.137773,-0.004853,1.076354,-0.178497,-0.009522,0.896609,-0.199531,0.057491,0.726865,0.141491,0.026235,1.070186,0.184689,0.008578,0.891835,0.189432,0.069030,0.718060
-0.003559,0.001173,0.783277,-0.117725,-0.016390,0.649549,-0.111111,0.011203,0.344731,-0.087563,-0.069090,0.039726,0.114092,0.006628,0.651290,0.116142,-0.019010,0.346187,0.118864,-0.075414,0.034134,-0.003279,0.000541,0.837414,-0.139254,-0.007476,1.074957,-0.179848,-0.012695,0.895195,-0.202283,0.057391,0.726923,0.139042,0.031365,1.069469,0.184810,0.011955,0.891943,0.189877,0.070062,0.717401
-0.004642,0.001816,0.781967,-0.118151,-0.017962,0.648050,-0.112282,0.014476,0.343694,-0.087419,-0.068960,0.039725,0.113107,0.010117,0.650210,0.115629,-0.011762,0.344802,0.119048,-0.075501,0.034275,-0.004493,0.001261,0.836106,-0.141288,-0.010164,1.073041,-0.181972,-0.018909,0.893426,-0.206443,0.060335,0.729696,0.135734,0.036983,1.068756,0.185316,0.016812,0.892339,0.192109,0.073443,0.717415
-0.005715,0.002089,0.780436,-0.118741,-0.019707,0.646493,-0.113712,0.017429,0.342657,-0.087476,-0.068827,0.039680,0.111891,0.013090,0.648748,0.115011,-0.002577,0.342948,0.119109,-0.075456,0.034585,-0.005675,0.001643,0.834577,-0.143500,-0.012237,1.070786,-0.184388,-0.024982,0.891447,-0.211278,0.065449,0.734141,0.132179,0.042267,1.067854,0.186289,0.021880,0.892793,0.195474,0.078282,0.717958
-0.006765,0.001624,0.778461,-0.119710,-0.021823,0.644807,-0.115430,0.019744,0.341533,-0.087453,-0.068700,0.039431,0.110301,0.015023,0.646541,0.114330,0.010470,0.340373,0.119097,-0.075156,0.035517,-0.006791,0.001352,0.832604,-0.146231,-0.013067,1.067838,-0.187725,-0.030722,0.889047,-0.216638,0.074876,0.741954,0.128313,0.046934,1.066573,0.188293,0.026959,0.893381,0.201136,0.085128,0.719428
-0.008058,0.000600,0.775944,-0.121542,-0.023498,0.642931,-0.117707,0.021476,0.340140,-0.087733,-0.068870,0.038884,0.108073,0.015661,0.643463,0.113403,0.026028,0.337457,0.118793,-0.074530,0.037401,-0.008036,0.000468,0.830089,-0.149303,-0.012223,1.064330,-0.193111,-0.033047,0.886429,-0.223267,0.088720,0.752681,0.124814,0.049735,1.064584,0.191430,0.031125,0.893667,0.208730,0.095595,0.722416
-0.009472,-0.000704,0.773157,-0.123807,-0.024952,0.640964,-0.120215,0.022932,0.338617,-0.088018,-0.069129,0.038208,0.105539,0.015650,0.640017,0.112480,0.042767,0.335076,0.118386,-0.073645,0.041015,-0.009344,-0.000711,0.827301,-0.152528,-0.010569,1.060509,-0.199547,-0.033666,0.883705,-0.229626,0.103672,0.765923,0.121528,0.051675,1.062210,0.195109,0.034762,0.893979,0.217304,0.107587,0.726764
-0.010461,-0.000648,0.770966,-0.125955,-0.022691,0.639352,-0.121601,0.024319,0.336877,-0.087958,-0.069182,0.037158,0.103735,0.015821,0.637321,0.112313,0.058197,0.334183,0.117722,-0.071409,0.045715,-0.010139,-0.000940,0.825108,-0.154372,-0.004611,1.057838,-0.208891,-0.024241,0.882774,-0.235040,0.127007,0.782288,0.121173,0.050800,1.059855,0.201075,0.038436,0.894113,0.227670,0.125818,0.734706
-0.011478,-0.000088,0.769538,-0.127950,-0.019480,0.638303,-0.122467,0.025227,0.335492,-0.087840,-0.069225,0.036249,0.102221,0.016019,0.635651,0.112799,0.073380,0.335066,0.116561,-0.068691,0.052436,-0.010999,-0.000670,0.823675,-0.155535,0.002505,1.056223,-0.218231,-0.011394,0.883360,-0.237471,0.151231,0.800559,0.121612,0.049397,1.057996,0.206895,0.042743,0.894613,0.236801,0.144778,0.744782
-0.012550,0.001478,0.769633,-0.129639,-0.014384,0.638369,-0.122431,0.025131,0.334863,-0.087912,-0.069340,0.035634,0.101252,0.016245,0.635950,0.114284,0.088220,0.338633,0.113935,-0.064997,0.061610,-0.011984,0.000591,0.823766,-0.155440,0.011726,1.056761,-0.227402,0.007940,0.887020,-0.236154,0.178962,0.820975,0.123474,0.046760,1.057213,0.212572,0.048406,0.895749,0.243590,0.165840,0.757892
-0.013074,0.004339,0.770996,-0.130565,-0.007372,0.639533,-0.121243,0.024185,0.335136,-0.087669,-0.069438,0.035490,0.101133,0.016852,0.637735,0.115959,0.102532,0.344168,0.109046,-0.056851,0.070533,-0.012435,0.003147,0.825124,-0.153588,0.022467,1.059057,-0.233332,0.032728,0.893110,-0.228795,0.209194,0.842780,0.126646,0.044302,1.057387,0.216620,0.055846,0.896830,0.244246,0.187679,0.771869
-0.013324,0.007847,0.772994,-0.131022,0.000597,0.641282,-0.119958,0.022781,0.336091,-0.088234,-0.069527,0.035764,0.101388,0.017624,0.640283,0.118275,0.116517,0.351019,0.103819,-0.046323,0.079556,-0.012626,0.006341,0.827114,-0.150551,0.033813,1.062283,-0.236186,0.060291,0.901144,-0.216661,0.239375,0.865871,0.130335,0.041669,1.058075,0.220334,0.063948,0.898688,0.242896,0.208891,0.788054
-0.012948,0.012596,0.774344,-0.130808,0.010508,0.642502,-0.117272,0.020839,0.336739,-0.087600,-0.069444,0.035531,0.102200,0.018045,0.642109,0.118753,0.128137,0.356908,0.095175,-0.028043,0.082177,-0.012100,0.010876,0.828454,-0.145262,0.046559,1.065492,-0.233268,0.092337,0.910077,-0.195694,0.270656,0.888087,0.135452,0.040031,1.057581,0.221058,0.073348,0.897742,0.229488,0.230850,0.803626
-0.012744,0.017773,0.775328,-0.130681,0.021006,0.643526,-0.115048,0.018935,0.337640,-0.087753,-0.069332,0.035549,0.102552,0.018585,0.643471,0.120369,0.139250,0.362660,0.087182,-0.007331,0.083670,-0.011716,0.015823,0.829422,-0.139419,0.059498,1.068453,-0.226800,0.125089,0.919960,-0.170186,0.299425,0.910405,0.140266,0.038598,1.056657,0.221411,0.082881,0.897200,0.213611,0.250389,0.822450
-0.012888,0.023807,0.775576,-0.130904,0.032680,0.644097,-0.112867,0.017062,0.338663,-0.087691,-0.069374,0.035786,0.102102,0.019421,0.643860,0.123182,0.149191,0.367363,0.078853,0.017824,0.082445,-0.011601,0.021610,0.829650,-0.133049,0.073083,1.070857,-0.215989,0.159090,0.930492,-0.139424,0.325884,0.931618,0.144761,0.038168,1.054808,0.220157,0.093147,0.895914,0.191020,0.266705,0.844019
-0.012826,0.030625,0.774434,-0.130940,0.045267,0.643603,-0.110810,0.016496,0.339171,-0.087467,-0.069283,0.035932,0.101341,0.021225,0.642551,0.126741,0.158553,0.370082,0.070995,0.045770,0.079344,-0.011288,0.028079,0.828482,-0.126532,0.086962,1.071616,-0.200978,0.192188,0.939880,-0.104842,0.348115,0.950817,0.148595,0.037997,1.051988,0.218511,0.103579,0.894674,0.166789,0.277560,0.868605
-0.012662,0.037835,0.772596,-0.130754,0.058320,0.642622,-0.109369,0.016516,0.339691,-0.088296,-0.069259,0.036281,0.100309,0.023553,0.640383,0.130852,0.167507,0.371869,0.064888,0.075630,0.076053,-0.010891,0.034884,0.826613,-0.119686,0.100747,1.071607,-0.182648,0.223445,0.949374,-0.068252,0.365554,0.968959,0.151957,0.037866,1.048681,0.216993,0.114047,0.894126,0.143037,0.281721,0.895023
-0.011205,0.046139,0.768927,-0.129447,0.072186,0.640196,-0.107376,0.020326,0.338771,-0.087805,-0.068958,0.036350,0.100041,0.027739,0.635924,0.133887,0.176498,0.370409,0.058775,0.106428,0.070940,-0.009267,0.042733,0.822913,-0.112249,0.114924,1.069334,-0.159249,0.252416,0.956023,-0.029053,0.378625,0.983917,0.154743,0.036407,1.044523,0.215940,0.121502,0.893121,0.125323,0.277934,0.922914
-0.009482,0.054935,0.764906,-0.127763,0.086373,0.637547,-0.105901,0.025415,0.337711,-0.088252,-0.068623,0.036705,0.099825,0.032800,0.630983,0.136420,0.185542,0.368073,0.055040,0.136837,0.066116,-0.007411,0.051059,0.818859,-0.104205,0.129050,1.066714,-0.133343,0.278096,0.962395,0.010219,0.386749,0.997557,0.156911,0.034295,1.040112,0.216489,0.126413,0.892245,0.114637,0.267686,0.949110
-0.007223,0.064715,0.760183,-0.125585,0.101184,0.634373,-0.104480,0.033100,0.335929,-0.088494,-0.068122,0.037284,0.099934,0.039536,0.625087,0.137455,0.194846,0.363792,0.052761,0.165544,0.060317,-0.005065,0.060349,0.814099,-0.095441,0.143557,1.063274,-0.104927,0.300155,0.966687,0.049213,0.390537,1.008160,0.158097,0.031105,1.035164,0.219312,0.126325,0.889968,0.114370,0.252215,0.971936
-0.004756,0.074902,0.755807,-0.122944,0.115754,0.631280,-0.103166,0.042889,0.333797,-0.088737,-0.067248,0.038406,0.100460,0.046989,0.619752,0.138086,0.204479,0.359784,0.053091,0.188614,0.054959,-0.002586,0.070197,0.809695,-0.085188,0.158833,1.060088,-0.076912,0.319189,0.969776,0.086464,0.388449,1.016163,0.157951,0.025981,1.030085,0.234391,0.110988,0.885767,0.133210,0.225438,0.987270
-0.002185,0.085293,0.751603,-0.120030,0.130196,0.628226,-0.101869,0.053735,0.331470,-0.089014,-0.066079,0.039988,0.101165,0.054820,0.614697,0.138532,0.214352,0.355959,0.054545,0.208995,0.050006,-0.000037,0.080340,0.805471,-0.073958,0.174157,1.056972,-0.048846,0.335655,0.971984,0.121328,0.381924,1.022293,0.156169,0.020270,1.024938,0.251571,0.085270,0.881504,0.154171,0.188970,0.997577
0.000128,0.096473,0.746322,-0.117256,0.145101,0.623972,-0.101111,0.068099,0.327196,-0.089390,-0.065086,0.041808,0.102199,0.064918,0.608849,0.143544,0.228132,0.353068,0.054440,0.212854,0.048910,0.002205,0.091086,0.800149,-0.060310,0.188257,1.053295,-0.026590,0.350080,0.972003,0.148484,0.368298,1.023362,0.151852,0.010932,1.017539,0.269732,0.046909,0.880708,0.182912,0.153808,1.002297
0.002881,0.106962,0.741023,-0.113696,0.159112,0.619324,-0.100636,0.086353,0.321286,-0.090254,-0.063726,0.044660,0.104020,0.074456,0.603213,0.149209,0.240816,0.350149,0.054770,0.215287,0.048345,0.004847,0.101177,0.794807,-0.045832,0.200661,1.049387,-0.007872,0.362848,0.970754,0.168122,0.352090,1.020966,0.147148,0.003176,1.009620,0.280129,0.006204,0.882200,0.201531,0.118048,1.005023
0.006513,0.116069,0.735685,-0.108671,0.171348,0.613868,-0.100391,0.112594,0.312550,-0.091077,-0.061039,0.050368,0.107447,0.082825,0.597994,0.155910,0.251453,0.347056,0.055100,0.215218,0.048573,0.008282,0.109923,0.789423,-0.030073,0.210466,1.045169,0.003170,0.374444,0.968149,0.176027,0.333726,1.013610,0.144446,-0.002888,1.000807,0.285324,-0.034010,0.886197,0.217853,0.087796,1.006146
0.012083,0.124015,0.736801,-0.101707,0.183800,0.615526,-0.099831,0.152501,0.310067,-0.093839,-0.051736,0.070263,0.112187,0.090871,0.598192,0.160318,0.256399,0.345137,0.055260,0.215790,0.048782,0.013687,0.117229,0.790463,-0.015336,0.217992,1.046581,0.006319,0.383957,0.969700,0.173705,0.319313,1.007273,0.145078,-0.005813,0.999343,0.289735,-0.060773,0.899251,0.228848,0.068724,1.014438
0.018622,0.131380,0.741145,-0.093715,0.196345,0.620975,-0.098442,0.199622,0.314038,-0.098302,-0.036049,0.103876,0.117573,0.098777,0.601129,0.163351,0.258511,0.343946,0.055146,0.216580,0.048968,0.020090,0.123830,0.794710,-0.000854,0.224372,1.050901,0.005978,0.392289,0.975538,0.165703,0.306728,1.003581,0.147757,-0.007167,1.001427,0.293450,-0.081175,0.916159,0.238794,0.054918,1.026534
