body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.710374,-0.013102,0.019080,0.703444,0.709150,0.051698,-0.056864,0.700857,0.652323,-0.085839,0.054350,0.751100,0.653533,0.020662,-0.032694,0.755910,0.709935,0.037959,-0.046183,0.701725,0.720534,-0.058241,0.055816,0.688711,0.722629,0.006498,-0.003323,0.691198,0.708284,0.000671,0.023252,0.705544,0.697417,0.037191,0.122357,0.705163,0.607956,-0.294741,0.513559,0.528937,0.700538,-0.173592,0.558354,0.409087,0.707563,-0.102816,-0.024528,0.698700,0.524656,-0.481594,0.284519,0.641757,0.402959,-0.529973,0.201869,0.718333
0.709373,-0.014772,0.019977,0.704396,0.707957,0.054155,-0.058984,0.701702,0.652714,-0.087514,0.055849,0.750457,0.654015,0.021228,-0.033267,0.755451,0.708929,0.037831,-0.046677,0.702716,0.720458,-0.058320,0.055352,0.688821,0.722505,0.006918,-0.004289,0.691318,0.707347,0.000181,0.022988,0.706493,0.696770,0.037454,0.121265,0.705977,0.607578,-0.295330,0.512935,0.529648,0.699914,-0.165835,0.561055,0.409678,0.706596,-0.103238,-0.024931,0.699601,0.523872,-0.482377,0.283692,0.642176,0.400993,-0.533600,0.194627,0.718746
0.708042,-0.016660,0.020916,0.705664,0.706363,0.057307,-0.061760,0.702818,0.653115,-0.089839,0.057871,0.749681,0.654544,0.022079,-0.033481,0.754959,0.707555,0.038338,-0.046624,0.704076,0.720356,-0.058201,0.055965,0.688889,0.722439,0.008103,-0.004212,0.691375,0.706054,0.000086,0.023106,0.707781,0.695726,0.038173,0.120542,0.707091,0.607067,-0.295460,0.512463,0.530617,0.699172,-0.159422,0.563210,0.410533,0.705376,-0.104011,-0.024294,0.700740,0.523013,-0.482928,0.283689,0.642462,0.399246,-0.536049,0.189497,0.719267
0.706051,-0.018984,0.021938,0.707566,0.703961,0.061855,-0.065843,0.704470,0.653528,-0.093454,0.060952,0.748634,0.655179,0.023074,-0.033472,0.754379,0.705547,0.038168,-0.047410,0.706045,0.720623,-0.058951,0.056164,0.688529,0.722695,0.009196,-0.004965,0.691088,0.704152,-0.000624,0.022577,0.709690,0.694194,0.038292,0.119045,0.708842,0.606729,-0.296191,0.510544,0.532443,0.698516,-0.157302,0.563097,0.412617,0.703628,-0.106418,-0.023284,0.702169,0.521219,-0.484175,0.282893,0.643333,0.396768,-0.538184,0.186720,0.719770
0.702951,-0.020865,0.022376,0.710580,0.700401,0.066461,-0.070285,0.707164,0.653691,-0.097368,0.064124,0.747727,0.655574,0.024116,-0.033790,0.753989,0.702435,0.037568,-0.047051,0.709196,0.721054,-0.059224,0.056748,0.688007,0.723138,0.011039,-0.005305,0.690595,0.700637,-0.000842,0.022603,0.713159,0.691066,0.039182,0.117926,0.712029,0.605280,-0.296851,0.508064,0.536085,0.697107,-0.156204,0.562205,0.416614,0.700315,-0.110081,-0.021563,0.704965,0.518876,-0.485924,0.282000,0.644299,0.394462,-0.539284,0.184701,0.720735
0.699283,-0.022524,0.022521,0.714135,0.696274,0.070700,-0.075300,0.710306,0.653841,-0.101793,0.067018,0.746752,0.655923,0.024612,-0.034826,0.753622,0.698779,0.036375,-0.046612,0.712890,0.721659,-0.059625,0.057018,0.687315,0.723718,0.012883,-0.005952,0.689950,0.696691,-0.001622,0.022766,0.717008,0.687640,0.039035,0.116148,0.715638,0.604071,-0.298417,0.504402,0.540022,0.696051,-0.156045,0.560140,0.421196,0.696550,-0.114846,-0.019233,0.707996,0.516012,-0.488296,0.281362,0.645084,0.391743,-0.540249,0.183492,0.721803
0.693629,-0.022984,0.021356,0.719649,0.690192,0.074296,-0.078878,0.715467,0.653191,-0.104838,0.069739,0.746650,0.655430,0.026923,-0.036676,0.753884,0.693180,0.033568,-0.044521,0.718604,0.721379,-0.060208,0.057146,0.687548,0.723404,0.014428,-0.006595,0.690243,0.690130,-0.002064,0.021820,0.723354,0.681741,0.040106,0.113320,0.721651,0.601339,-0.300220,0.498506,0.547495,0.693676,-0.157763,0.555989,0.429885,0.690367,-0.121441,-0.017194,0.712987,0.511476,-0.492036,0.278761,0.646981,0.387182,-0.542730,0.181665,0.722863
0.687310,-0.023366,0.020188,0.725708,0.683532,0.077253,-0.083074,0.721052,0.652705,-0.108325,0.071932,0.746370,0.655007,0.028877,-0.039256,0.754050,0.686935,0.030377,-0.042757,0.724824,0.720767,-0.061563,0.057207,0.688065,0.722747,0.015489,-0.007693,0.690896,0.682881,-0.003050,0.021253,0.730214,0.675219,0.040067,0.110377,0.728211,0.598790,-0.302802,0.491954,0.554746,0.691607,-0.159155,0.551195,0.438787,0.683392,-0.129075,-0.014876,0.718397,0.505799,-0.497087,0.276317,0.648630,0.380950,-0.545667,0.179921,0.724399
0.679686,-0.023591,0.019017,0.732877,0.675655,0.079907,-0.087527,0.727629,0.652257,-0.111748,0.073911,0.746063,0.654537,0.031667,-0.041772,0.754210,0.679371,0.027617,-0.040403,0.732162,0.719251,-0.063319,0.058458,0.689385,0.721292,0.016747,-0.008358,0.692378,0.674336,-0.003763,0.020794,0.738123,0.667336,0.040719,0.108220,0.735726,0.595404,-0.304737,0.484980,0.563404,0.688592,-0.161037,0.546271,0.448883,0.675111,-0.137386,-0.012560,0.724702,0.498423,-0.503639,0.273629,0.650423,0.372173,-0.550467,0.178536,0.725671
0.671355,-0.024294,0.018113,0.740516,0.667017,0.083250,-0.092950,0.734519,0.651552,-0.115963,0.076272,0.745798,0.653903,0.033459,-0.043265,0.754599,0.671075,0.025379,-0.040011,0.739874,0.717409,-0.067176,0.060525,0.690760,0.719571,0.017342,-0.009813,0.694133,0.664311,-0.005395,0.020053,0.747168,0.657934,0.039972,0.106556,0.744427,0.591867,-0.306717,0.474968,0.574477,0.686881,-0.161853,0.537276,0.461879,0.665114,-0.146908,-0.011817,0.732053,0.488941,-0.513351,0.269700,0.651666,0.362930,-0.555621,0.177220,0.726746
0.662617,-0.025235,0.017342,0.748332,0.657947,0.087023,-0.098791,0.741467,0.650698,-0.120418,0.078927,0.745561,0.653194,0.034910,-0.044136,0.755096,0.662345,0.023844,-0.040140,0.747742,0.715310,-0.071679,0.063457,0.692219,0.717677,0.017923,-0.011284,0.696054,0.653481,-0.006888,0.019544,0.756659,0.647628,0.039406,0.105837,0.753541,0.587359,-0.307911,0.463987,0.587296,0.684817,-0.162223,0.527050,0.476369,0.654202,-0.156456,-0.011612,0.739869,0.478160,-0.524115,0.265229,0.652932,0.353273,-0.560867,0.176243,0.727712
0.654217,-0.026732,0.016794,0.755648,0.649064,0.091841,-0.105092,0.747822,0.648687,-0.125524,0.081825,0.746159,0.651474,0.034863,-0.045073,0.756528,0.653804,0.026523,-0.045988,0.754799,0.713611,-0.081302,0.071403,0.692135,0.716669,0.018842,-0.010764,0.697075,0.642059,-0.010104,0.019171,0.766349,0.635697,0.033655,0.111188,0.763148,0.585189,-0.301338,0.439834,0.610979,0.683345,-0.162027,0.493287,0.513278,0.641967,-0.166922,-0.015090,0.748189,0.469897,-0.536018,0.257976,0.652173,0.351084,-0.563420,0.177198,0.726566
0.646664,-0.028018,0.016963,0.762072,0.641130,0.096915,-0.110828,0.753178,0.645880,-0.130277,0.084412,0.747491,0.648969,0.034494,-0.046855,0.758587,0.646084,0.031689,-0.054943,0.760627,0.711550,-0.093099,0.081529,0.691651,0.715675,0.018802,-0.009929,0.698110,0.631842,-0.014398,0.019279,0.774724,0.625001,0.027495,0.118129,0.771144,0.586375,-0.287106,0.413106,0.634884,0.680372,-0.152822,0.456651,0.552458,0.630234,-0.178032,-0.020748,0.755433,0.464548,-0.546826,0.248524,0.650702,0.355715,-0.564704,0.175553,0.723711
0.640920,-0.028885,0.018570,0.766839,0.635235,0.102324,-0.115596,0.756733,0.641572,-0.134645,0.086104,0.750228,0.644897,0.033367,-0.050393,0.761876,0.640143,0.041780,-0.070134,0.763906,0.708845,-0.109321,0.095979,0.690200,0.714834,0.016735,-0.008540,0.699042,0.624231,-0.020841,0.020352,0.780697,0.616998,0.020682,0.128347,0.776153,0.595242,-0.258548,0.380645,0.658748,0.675952,-0.128479,0.413920,0.596031,0.619726,-0.191007,-0.029966,0.760630,0.464586,-0.556154,0.235707,0.647529,0.373222,-0.563627,0.169655,0.717111
0.638771,-0.028326,0.021220,0.768582,0.633247,0.107283,-0.118398,0.757278,0.636333,-0.138940,0.087381,0.753751,0.639852,0.032061,-0.055023,0.765855,0.637857,0.055811,-0.090024,0.762836,0.705883,-0.128149,0.112928,0.687426,0.714638,0.009704,-0.002706,0.699422,0.621537,-0.027664,0.022186,0.782582,0.614796,0.020033,0.138713,0.776133,0.609273,-0.217524,0.348912,0.678035,0.672871,-0.089034,0.377005,0.630226,0.612860,-0.203724,-0.042691,0.762283,0.476052,-0.557272,0.218347,0.644319,0.428489,-0.545441,0.167994,0.700478
0.638427,-0.027054,0.024392,0.768820,0.633240,0.111979,-0.120244,0.756313,0.630668,-0.143288,0.088319,0.757579,0.634331,0.030628,-0.060320,0.770096,0.637472,0.071701,-0.112218,0.758878,0.702939,-0.148271,0.131086,0.683161,0.715137,-0.000081,0.005141,0.698965,0.621170,-0.034683,0.024439,0.782527,0.615365,0.022512,0.149160,0.773673,0.625135,-0.169850,0.316791,0.692821,0.670073,-0.042714,0.341337,0.657774,0.607547,-0.216594,-0.056858,0.762064,0.492438,-0.554395,0.198160,0.641003,0.499547,-0.515805,0.167848,0.675444
