joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.024384,0.010210,0.006730,-0.014788,-0.019285,0.025258,0.157656,-0.032532,-0.013510,0.177260,0.105886,0.090876,0.079533,-0.275375,-0.175146,0.192036,-0.214211,0.007949,0.011846,-0.269269,0.296073,1.084254,1.024294,0.371251,-0.316658,-0.113721,-0.049277,-0.073255,0.123319
-0.034480,0.006087,0.006730,-0.013457,-0.019285,0.025258,0.153509,-0.034994,-0.016861,0.188332,0.105886,0.088323,0.079533,-0.281496,-0.176562,0.192036,-0.214211,0.007949,0.011846,-0.269269,0.296073,1.086052,1.024294,0.385656,-0.329248,-0.116560,-0.051511,-0.061258,0.116306
-0.046861,0.001487,0.006851,-0.011949,-0.017455,0.026582,0.148289,-0.038767,-0.020614,0.203011,0.107233,0.085574,0.081647,-0.289256,-0.178814,0.192149,-0.214290,0.008960,0.012630,-0.270184,0.294495,1.087251,1.023484,0.396938,-0.339040,-0.118836,-0.053779,-0.051830,0.110883
-0.063813,-0.004069,0.006851,-0.010085,-0.017455,0.026582,0.140924,-0.045164,-0.025169,0.224904,0.109515,0.082435,0.086885,-0.300297,-0.182738,0.192149,-0.214290,0.010658,0.014054,-0.270184,0.294495,1.087251,1.019542,0.401977,-0.343234,-0.118836,-0.053779,-0.047538,0.108639
-0.079909,-0.005920,0.008220,-0.008940,-0.016543,0.028149,0.131056,-0.055435,-0.028260,0.247957,0.109438,0.078212,0.095346,-0.312419,-0.186990,0.192460,-0.216297,0.012111,0.015965,-0.270466,0.291433,1.086259,1.013769,0.405179,-0.344162,-0.119220,-0.055567,-0.045059,0.107161
-0.095576,-0.006085,0.009108,-0.009384,-0.016401,0.029205,0.119935,-0.067643,-0.029660,0.271589,0.108183,0.073447,0.105416,-0.325081,-0.191406,0.190950,-0.218247,0.012866,0.018119,-0.270045,0.288027,1.084396,1.007080,0.408115,-0.343691,-0.119526,-0.058099,-0.042773,0.106431
-0.104739,0.001964,0.011526,-0.009384,-0.016401,0.029205,0.105041,-0.082878,-0.029660,0.290190,0.102373,0.066760,0.120635,-0.339238,-0.195470,0.190950,-0.221545,0.012866,0.020065,-0.268464,0.284016,1.081904,0.997439,0.408115,-0.341350,-0.119526,-0.058099,-0.042773,0.106431
-0.113720,0.010235,0.013904,-0.011673,-0.017526,0.028892,0.088553,-0.098712,-0.028260,0.308579,0.097552,0.060084,0.136722,-0.353798,-0.200513,0.189389,-0.225309,0.012723,0.021792,-0.267898,0.280281,1.078316,0.988546,0.409310,-0.339281,-0.120478,-0.059906,-0.041108,0.107471
-0.122338,0.018950,0.016204,-0.015638,-0.017526,0.028892,0.068876,-0.115746,-0.026930,0.326544,0.094712,0.053430,0.154547,-0.369164,-0.207511,0.189389,-0.230006,0.014016,0.023082,-0.267898,0.277099,1.072536,0.981150,0.409310,-0.337759,-0.120478,-0.059906,-0.041108,0.109436
-0.134299,0.023177,0.020500,-0.020324,-0.019432,0.027407,0.048274,-0.133532,-0.025739,0.348609,0.099680,0.048206,0.171654,-0.383403,-0.218853,0.189859,-0.236369,0.015905,0.024122,-0.265670,0.275413,1.059162,0.977835,0.409473,-0.330431,-0.125146,-0.063679,-0.042163,0.111072
-0.147933,0.025159,0.025793,-0.025371,-0.021043,0.026543,0.027208,-0.151695,-0.024992,0.372726,0.108552,0.043698,0.188404,-0.397076,-0.232366,0.191410,-0.243564,0.018092,0.024732,-0.261597,0.274786,1.041991,0.976560,0.409094,-0.320200,-0.131183,-0.068157,-0.045172,0.112542
-0.164856,0.012137,0.033337,-0.029499,-0.025279,0.023969,0.010178,-0.170937,-0.022589,0.400365,0.146093,0.052219,0.199318,-0.409923,-0.257877,0.197544,-0.255067,0.018092,0.029222,-0.241671,0.268608,0.975138,0.976560,0.372902,-0.294309,-0.147723,-0.076335,-0.053251,0.114360
-0.182047,-0.009283,0.039731,-0.033739,-0.032499,0.019524,-0.002024,-0.187165,-0.018361,0.426660,0.197879,0.061293,0.206046,-0.422456,-0.287855,0.206443,-0.270276,0.015888,0.032788,-0.223487,0.260347,0.890015,0.972845,0.333277,-0.263600,-0.161213,-0.085701,-0.054298,0.110652
-0.199773,-0.047500,0.043825,-0.038202,-0.045683,0.011339,-0.004568,-0.197368,-0.010486,0.450264,0.278154,0.071476,0.206046,-0.434361,-0.326766,0.220870,-0.292900,0.009898,0.034505,-0.208789,0.247923,0.768355,0.962511,0.286784,-0.223255,-0.168608,-0.097443,-0.041284,0.095891
-0.213570,-0.097163,0.044464,-0.041996,-0.063921,0.000763,0.005283,-0.197325,0.000138,0.469714,0.378178,0.071731,0.198095,-0.446700,-0.359823,0.242271,-0.322878,0.001863,0.035749,-0.196614,0.225089,0.638642,0.934709,0.255515,-0.128390,-0.167893,-0.108984,-0.021500,0.057032
-0.225402,-0.152549,0.043739,-0.045455,-0.084685,-0.011008,0.021331,-0.192161,0.012135,0.487089,0.488077,0.067023,0.186990,-0.459256,-0.389954,0.267159,-0.356533,-0.007194,0.036421,-0.185702,0.197050,0.504903,0.898174,0.231859,-0.006264,-0.163124,-0.120425,0.001669,0.006124
-0.217088,-0.196979,0.034213,-0.043858,-0.098304,-0.016806,0.046564,-0.175343,0.027893,0.490146,0.583645,0.038920,0.153579,-0.470280,-0.394414,0.304293,-0.398713,-0.013475,0.032071,-0.180151,0.167844,0.398686,0.841410,0.204407,0.115461,-0.157015,-0.123090,0.016246,-0.027057
-0.203993,-0.241412,0.023428,-0.040401,-0.109284,-0.019136,0.072615,-0.160041,0.041527,0.486325,0.676412,0.004121,0.109953,-0.478470,-0.385094,0.343218,-0.439938,-0.018571,0.025161,-0.177520,0.147513,0.305692,0.786144,0.175767,0.213557,-0.151323,-0.124225,0.032849,-0.050352
-0.181335,-0.285848,0.010128,-0.033227,-0.114988,-0.014526,0.100305,-0.147774,0.050912,0.468750,0.763577,-0.044071,0.045901,-0.480994,-0.348216,0.385727,-0.479250,-0.021295,0.013131,-0.180731,0.144935,0.239143,0.733871,0.144754,0.264391,-0.146467,-0.124225,0.053504,-0.053877
