joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
-0.504763,-0.206127,0.000000,0.066512,0.000000,0.000000,-0.207347,-0.123075,-0.167552,0.553583,0.000000,-0.127662,0.000000,-0.306022,-0.070796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.089908,0.000000,0.720240,-0.629511,-0.141937,-0.111694,0.599840,-0.350645
-0.619053,-0.230010,0.006062,0.075413,0.091497,0.066169,-0.260981,-0.188660,-0.187629,0.733946,0.067336,-0.137427,0.105672,-0.388023,-0.112589,0.005621,-0.003937,0.050545,0.039201,-0.045773,-0.078917,0.059938,-0.040531,0.564137,-0.489581,-0.113811,-0.113409,0.471421,-0.271154
-0.847632,-0.277775,0.000000,0.093214,0.000000,0.000000,-0.368253,-0.319830,-0.227783,1.094668,0.114092,-0.156954,0.261946,-0.552039,-0.196175,0.000000,0.000000,0.084911,0.071201,0.000000,0.000000,0.000000,-0.197059,0.251943,-0.209726,0.000000,0.000000,0.214584,-0.112175
-0.804784,-0.092592,0.068447,0.057257,0.045624,0.078350,-0.493440,-0.513550,-0.154532,1.152633,-0.003831,-0.211149,0.423009,-0.606082,-0.212598,0.015548,-0.100378,0.072612,0.095526,-0.014105,-0.153098,-0.049609,-0.288659,0.160065,-0.046371,-0.019188,-0.089387,0.123972,-0.073888
-0.783359,-0.008229,0.044407,-0.022213,0.007107,0.052835,-0.556034,-0.610411,-0.070022,1.181618,-0.062792,-0.238250,0.503541,-0.633103,-0.220810,-0.075490,-0.097460,0.037757,0.107689,0.021090,-0.170264,-0.093108,-0.334471,0.146812,0.023538,-0.015331,-0.126620,0.114303,-0.036497
-0.458146,0.402437,0.120890,0.000000,0.000000,0.000000,-0.744699,-0.761743,0.000000,0.930074,-0.290503,-0.334351,0.760931,-0.707838,-0.203221,0.000000,-0.164918,0.000000,0.097300,0.079033,-0.200590,-0.124598,-0.482044,0.000000,0.117050,0.000000,0.000000,0.000000,0.000000
-0.449054,0.413549,0.118928,-0.114473,-0.056231,-0.015670,-0.824407,-0.791722,0.070038,0.919449,-0.241014,-0.333806,0.804359,-0.728004,-0.252121,-0.078044,-0.188223,-0.007152,0.086373,0.028314,-0.186750,-0.179410,-0.444639,0.059779,0.103417,-0.047563,-0.090354,0.083213,0.052008
-0.430867,0.435773,0.115005,-0.198223,0.000000,0.000000,-0.983813,-0.851682,0.066461,0.898211,-0.142033,-0.332713,0.891217,-0.768337,-0.349923,0.000000,-0.234848,0.064658,0.064518,0.000000,-0.159067,-0.289035,-0.369811,0.000000,0.076136,0.000000,0.000000,0.000000,0.098243
-0.598077,0.211330,0.214782,-0.234301,-0.095330,-0.074242,-1.030136,-0.889315,0.059547,1.103289,0.248403,-0.261171,0.855382,-0.711907,-0.567075,0.023499,-0.318116,0.094459,0.051988,0.111386,-0.084333,-0.668687,-0.165758,0.008151,0.366397,-0.233398,-0.188654,-0.052727,0.081766
-0.681682,0.099107,0.264670,-0.252339,-0.080528,-0.043178,-1.053296,-0.908133,0.037393,1.205823,0.443621,-0.225400,0.837463,-0.683680,-0.675654,0.077539,-0.359756,0.109360,0.030482,0.203648,-0.031310,-0.858527,-0.063723,-0.018945,0.511524,-0.301894,-0.223888,-0.150457,0.073528
-0.846165,-0.651109,0.377199,-0.206422,-0.211833,-0.128719,-0.851504,-0.962090,0.120146,1.381980,1.877042,0.426013,0.545710,-0.642340,-1.275582,0.306725,-0.575136,0.000000,0.224513,0.996321,-0.308941,-3.342685,0.000000,-1.809600,1.294579,-0.826955,-0.408921,-0.403924,0.090883
-0.859538,-1.071015,0.319689,-0.212002,-0.360966,-0.222232,-0.610071,-0.811432,0.211360,1.314713,2.589281,0.453726,0.336426,-0.626643,-1.498893,0.444929,-0.760479,-0.110215,0.178291,0.909182,-0.413021,-4.256112,-0.185764,-1.981282,1.535453,-0.674540,-0.468302,-0.052382,-0.185415
-0.886292,-1.910829,0.204671,-0.223164,-0.659235,-0.409259,-0.127208,-0.510117,0.393789,1.180200,4.013766,0.509154,0.000000,-0.595257,-1.945524,0.721341,-1.131177,-0.299516,0.085850,0.734910,-0.621183,-6.082991,-0.516701,-2.324653,2.017214,-0.369712,-0.587067,0.650702,-0.738015
-0.689846,-2.483156,0.031975,-0.189691,-0.911882,-0.528793,0.492540,0.002111,0.531170,0.972538,5.001214,0.012769,-0.397548,-0.616950,-1.652876,1.070052,-1.498912,-0.401746,0.062213,0.608724,-1.141707,-6.485653,-1.390085,-1.563419,4.743278,0.035729,-0.577058,0.989200,-1.942952
-0.591623,-2.769312,-0.036249,-0.172955,-1.038203,-0.588559,0.802412,0.258227,0.599859,0.868708,5.494928,-0.235423,-0.555250,-0.627784,-1.506543,1.244407,-1.682770,-0.452860,0.033596,0.545632,-1.401966,-6.686968,-1.826787,-1.182799,6.106296,0.238450,-0.572051,1.158445,-2.545414
0.415706,-2.221493,-0.476331,0.079876,-0.680935,-0.289932,1.261634,0.840919,0.787919,0.152849,4.778405,-1.405145,-1.670571,-0.551198,-0.223000,1.856685,-2.109008,-0.314045,-0.217511,0.277545,-1.460326,-5.310848,-2.838162,-1.372623,6.086261,0.305475,-0.133240,0.728865,-1.659042
0.654764,-2.221616,-0.539230,0.172825,-0.549026,-0.116461,1.302580,0.765063,0.681698,-0.191021,4.638362,-1.739961,-2.181270,-0.409535,0.465974,1.946279,-2.061215,-0.254767,-0.345499,0.131510,-1.016527,-4.649718,-2.763328,-1.431978,4.904767,0.284585,-0.056775,0.830166,-1.164776
