body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.004296,-0.001472,0.011708,-0.001516,-0.000850,0.013836,-0.023822,0.001297,0.010106,-0.021201,0.005492,0.005435,0.013753,0.004611,0.013533,-0.041765,0.013489,-0.006822,-0.028283,0.006079,-0.005598,0.160408,-0.002082,0.019801,-0.530241,-0.085682,-0.151477,0.155280,-0.324656,-0.803396,0.093524,-0.575891,-0.351152,-0.392178,-0.086527,0.195914,0.157329,0.166317,0.798487,0.162763,0.366769,0.511290
0.008312,-0.002612,0.018826,-0.046642,0.000796,0.021786,-0.014333,0.000153,0.016758,-0.012658,0.006967,0.011458,-0.027843,0.009220,0.021167,-0.029929,0.008252,-0.008575,-0.021812,-0.002006,-0.007344,0.209022,-0.007076,0.033953,-0.585498,-0.215365,-0.159120,0.096514,-0.453700,-1.035614,0.085471,-0.566871,-0.637025,-0.426614,0.036035,0.231426,0.093358,0.240697,1.106731,0.150512,0.395556,0.916560
0.014599,-0.004423,0.026878,-0.100639,0.004172,0.030260,-0.002323,-0.000408,0.024850,-0.002447,0.009708,0.020151,-0.079030,0.016695,0.029063,-0.013459,0.003291,-0.011114,-0.015900,-0.011316,-0.010339,0.267234,-0.012630,0.049841,-0.679333,-0.382137,-0.173292,-0.008825,-0.619336,-1.298794,0.050802,-0.571899,-0.979672,-0.498987,0.185952,0.280380,-0.017578,0.332885,1.456612,0.106236,0.442988,1.404532
0.024098,-0.007110,0.035026,-0.156447,0.008069,0.038362,0.009840,-0.001137,0.033815,0.007796,0.012766,0.030601,-0.134291,0.026701,0.036247,0.006686,-0.000881,-0.015287,-0.010104,-0.021114,-0.015327,0.322675,-0.017054,0.064747,-0.815649,-0.570959,-0.192546,-0.177449,-0.801454,-1.527069,-0.035241,-0.609044,-1.312421,-0.621593,0.346356,0.338542,-0.191067,0.431023,1.767949,0.001137,0.511413,1.881914
0.038292,-0.010516,0.042973,-0.209319,0.010954,0.045832,0.020389,-0.002903,0.043361,0.016074,0.014908,0.041803,-0.189363,0.038106,0.042461,0.029232,-0.004711,-0.021377,-0.004493,-0.031144,-0.022045,0.362448,-0.018445,0.076150,-0.989515,-0.767120,-0.212476,-0.418924,-0.977273,-1.658360,-0.196785,-0.691633,-1.563653,-0.797441,0.505062,0.398268,-0.436878,0.523779,1.968685,-0.192139,0.598049,2.250430
0.058617,-0.013899,0.050949,-0.258859,0.012453,0.052934,0.029879,-0.005637,0.053476,0.020852,0.015826,0.053214,-0.242616,0.049507,0.048110,0.053117,-0.009108,-0.028252,-0.000998,-0.041605,-0.028858,0.379721,-0.015739,0.082941,-1.190909,-0.961818,-0.227220,-0.729470,-1.131576,-1.664784,-0.445554,-0.818986,-1.685972,-1.020125,0.658758,0.451749,-0.753261,0.605068,2.030538,-0.485714,0.695998,2.452230
0.085302,-0.016158,0.058661,-0.307674,0.013383,0.059515,0.041100,-0.008495,0.063754,0.021320,0.016344,0.064210,-0.294649,0.059728,0.053254,0.077625,-0.014770,-0.033770,-0.002118,-0.052406,-0.033735,0.376445,-0.009044,0.085390,-1.410890,-1.151864,-0.231858,-1.091491,-1.261375,-1.564188,-0.773927,-0.976241,-1.674665,-1.278816,0.809994,0.493478,-1.125102,0.675950,1.977211,-0.869044,0.799606,2.491360
0.117084,-0.016454,0.064315,-0.358854,0.014256,0.064106,0.057475,-0.011178,0.072866,0.017071,0.017521,0.073424,-0.347650,0.068130,0.056520,0.102700,-0.022005,-0.036186,-0.008166,-0.062157,-0.035519,0.361017,0.000699,0.083880,-1.644543,-1.336536,-0.224104,-1.478561,-1.374381,-1.409220,-1.156553,-1.143792,-1.568657,-1.562535,0.962028,0.519878,-1.527129,0.743416,1.864860,-1.312575,0.908679,2.421728
0.152514,-0.014717,0.065189,-0.414504,0.014307,0.064369,0.081471,-0.014618,0.079161,0.008161,0.019577,0.079310,-0.404737,0.074705,0.055425,0.129371,-0.030913,-0.034963,-0.016326,-0.068160,-0.034156,0.343396,0.012026,0.078095,-1.888966,-1.514052,-0.204090,-1.861391,-1.483278,-1.261451,-1.557794,-1.307685,-1.430307,-1.859975,1.114619,0.527578,-1.929597,0.815899,1.751054,-1.777814,1.025697,2.311918
0.191535,-0.011640,0.059641,-0.475994,0.012582,0.058783,0.114122,-0.019765,0.082093,-0.004130,0.021594,0.081597,-0.469086,0.079947,0.048233,0.159709,-0.041526,-0.030122,-0.022681,-0.067941,-0.029796,0.331036,0.023522,0.067817,-2.139237,-1.677990,-0.172694,-2.212436,-1.597480,-1.164000,-1.936020,-1.459052,-1.311301,-2.157198,1.262194,0.513271,-2.303676,0.898206,1.670857,-2.226459,1.149052,2.210196
