body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.003459,0.010688,0.000301,-0.003234,0.012783,0.000472,-0.003018,0.017711,0.000858,-0.004312,0.004043,-0.000520,-0.003200,0.010731,0.000168,-0.003308,0.020199,0.000780,-0.007644,0.006433,-0.000750,-0.003800,0.010497,0.000334,-0.003311,-0.030515,-0.000454,-0.007739,-0.124677,0.007370,0.008621,-0.099303,0.001797,-0.002935,-0.034188,-0.003040,0.031060,-0.105568,-0.004326,0.035841,-0.078124,-0.012107
-0.002708,0.017858,0.001342,-0.002288,0.019945,0.001531,-0.002412,0.012955,0.001106,-0.003046,0.002251,0.000024,-0.002228,0.016321,0.000980,-0.002738,0.014735,0.000886,-0.005320,0.003954,-0.000289,-0.003305,0.017479,0.001410,-0.003682,-0.032089,0.000955,0.008382,-0.132376,0.013283,0.033961,-0.118536,0.011778,-0.003074,-0.039164,-0.003598,0.015823,-0.113742,-0.000523,0.022129,-0.098932,-0.004869
-0.001786,0.027625,0.002772,-0.001081,0.029715,0.003012,-0.002124,0.007349,0.001574,-0.002375,0.000781,0.000906,-0.000988,0.024226,0.002071,-0.002522,0.008104,0.001066,-0.003170,0.001862,0.000417,-0.002709,0.026947,0.002892,-0.004122,-0.034382,0.002787,0.030853,-0.146500,0.022198,0.070131,-0.152056,0.027619,-0.003182,-0.045597,-0.004284,-0.004304,-0.128713,0.005302,0.003165,-0.134388,0.006781
-0.000823,0.038993,0.004448,0.000278,0.041252,0.004812,-0.002093,0.001941,0.002327,-0.002247,0.000143,0.002140,0.000407,0.033784,0.003280,-0.002834,0.001086,0.001281,-0.001668,0.000785,0.001306,-0.002100,0.037868,0.004643,-0.004449,-0.036625,0.004790,0.058524,-0.167855,0.034344,0.115774,-0.202742,0.050559,-0.003071,-0.052116,-0.004864,-0.027311,-0.152034,0.013643,-0.020118,-0.187838,0.024246
0.000045,0.050602,0.006149,0.001649,0.053417,0.006720,-0.002030,-0.002565,0.003335,-0.002135,0.000270,0.003619,0.001815,0.043982,0.004388,-0.003643,-0.005816,0.001458,-0.000913,0.000709,0.002255,-0.001545,0.048823,0.006448,-0.004350,-0.037518,0.006618,0.089783,-0.195265,0.049822,0.168223,-0.270489,0.081695,-0.002430,-0.056708,-0.004967,-0.051048,-0.183410,0.025265,-0.046571,-0.260067,0.049302
0.000703,0.061406,0.007627,0.002847,0.065365,0.008438,-0.001809,-0.006236,0.004399,-0.001709,0.000669,0.005107,0.003053,0.054015,0.005204,-0.004829,-0.012518,0.001523,-0.000696,0.001123,0.003136,-0.001087,0.058696,0.008068,-0.003568,-0.035886,0.007969,0.123222,-0.226156,0.068864,0.224473,-0.352087,0.122116,-0.000996,-0.057703,-0.004292,-0.074247,-0.220866,0.041149,-0.075138,-0.348915,0.083912
0.001061,0.071054,0.008614,0.003656,0.076785,0.009591,-0.001695,-0.009773,0.005170,-0.001262,0.000950,0.006294,0.003907,0.063620,0.005574,-0.006339,-0.019147,0.001394,-0.000747,0.001538,0.003850,-0.000765,0.067095,0.009241,-0.002069,-0.031408,0.008635,0.157650,-0.258026,0.091921,0.281507,-0.442454,0.172873,0.001277,-0.054665,-0.002843,-0.096542,-0.261917,0.062209,-0.104585,-0.449937,0.129752
0.001075,0.079804,0.008838,0.003905,0.087693,0.009804,-0.002053,-0.014086,0.005272,-0.001236,0.001093,0.006910,0.004199,0.073055,0.005348,-0.008231,-0.025874,0.000969,-0.000890,0.001788,0.004318,-0.000604,0.074302,0.009685,-0.000036,-0.024875,0.008468,0.191796,-0.289526,0.119541,0.336197,-0.536247,0.234796,0.004224,-0.048480,-0.000978,-0.117894,-0.304469,0.089034,-0.133276,-0.557302,0.187793
0.000770,0.088158,0.008090,0.003557,0.098152,0.008848,-0.002898,-0.019936,0.004500,-0.001483,0.001290,0.006866,0.003881,0.082852,0.004391,-0.010624,-0.032972,0.000157,-0.001086,0.001948,0.004508,-0.000599,0.080882,0.009182,0.002217,-0.017862,0.007405,0.224105,-0.320339,0.152173,0.385256,-0.628557,0.308198,0.007532,-0.040711,0.000757,-0.138090,-0.346695,0.121760,-0.159301,-0.664232,0.258018
0.000236,0.096508,0.006309,0.002750,0.108204,0.006725,-0.003890,-0.027800,0.002938,-0.001354,0.001693,0.006338,0.003077,0.093480,0.002620,-0.013615,-0.040919,-0.001056,-0.001376,0.002133,0.004492,-0.000704,0.087259,0.007656,0.004364,-0.012006,0.005516,0.252677,-0.350134,0.189849,0.425357,-0.714442,0.392323,0.010862,-0.032877,0.001874,-0.156484,-0.386383,0.159952,-0.180650,-0.763155,0.339135
-0.000359,0.104984,0.003516,0.001783,0.117974,0.003598,-0.004775,-0.038018,0.000877,-0.000609,0.002274,0.005686,0.002080,0.105086,-0.000036,-0.017180,-0.050456,-0.002616,-0.001780,0.002363,0.004447,-0.000812,0.093521,0.005128,0.006287,-0.008336,0.002865,0.275449,-0.377567,0.231654,0.453335,-0.788303,0.484589,0.014085,-0.026112,0.002066,-0.171878,-0.420758,0.202479,-0.195335,-0.846340,0.428354
-0.000791,0.113517,-0.000360,0.001075,0.127739,-0.000414,-0.005637,-0.051055,-0.001374,0.000120,0.002839,0.005301,0.001320,0.117411,-0.003781,-0.021149,-0.062637,-0.004518,-0.002224,0.002552,0.004559,-0.000765,0.099520,0.001527,0.008194,-0.007017,-0.000747,0.290620,-0.400087,0.275307,0.466487,-0.844238,0.580201,0.017420,-0.021163,0.001102,-0.182707,-0.447028,0.247397,-0.201649,-0.907227,0.521379
-0.000827,0.122009,-0.005671,0.001094,0.137836,-0.005428,-0.006589,-0.067608,-0.003671,0.000052,0.003166,0.005472,0.001283,0.129938,-0.009108,-0.025318,-0.078820,-0.006942,-0.002606,0.002587,0.004922,-0.000406,0.105108,-0.003504,0.010389,-0.007616,-0.005875,0.297145,-0.414657,0.317306,0.462989,-0.877453,0.672648,0.021170,-0.018375,-0.001472,-0.187631,-0.463081,0.291873,-0.198638,-0.941727,0.612686
-0.000261,0.130419,-0.013138,0.002256,0.148389,-0.011931,-0.007361,-0.088402,-0.006152,-0.000802,0.003144,0.006271,0.002405,0.142098,-0.016839,-0.029579,-0.100441,-0.010276,-0.002899,0.002418,0.005512,0.000393,0.110296,-0.010709,0.012857,-0.009620,-0.013338,0.295068,-0.418869,0.353591,0.442362,-0.885667,0.754857,0.025266,-0.017574,-0.006623,-0.186197,-0.467762,0.332229,-0.186561,-0.948712,0.696010
0.001090,0.138704,-0.023806,0.004830,0.158994,-0.020822,-0.007360,-0.113817,-0.009306,-0.001682,0.002816,0.007465,0.004962,0.153331,-0.027993,-0.033926,-0.128453,-0.015024,-0.003161,0.002050,0.006212,0.001749,0.115257,-0.021164,0.015134,-0.012838,-0.024088,0.285545,-0.411806,0.380368,0.405934,-0.869543,0.820336,0.029110,-0.018042,-0.015836,-0.179074,-0.460789,0.364313,-0.167053,-0.929574,0.765041
