body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
-0.002536,0.012657,0.792563,0.112775,0.007991,0.658778,0.117143,0.029735,0.353404,0.117730,0.061514,0.037590,-0.120087,0.004106,0.660913,-0.108825,0.023622,0.355530,-0.097747,0.054971,0.039874,-0.001979,0.021202,0.846024,0.146625,0.016324,1.075984,0.177772,0.003068,0.894834,0.190401,-0.045507,0.717426,-0.133884,0.000418,1.085085,-0.175431,-0.013382,0.906107,-0.190334,-0.062305,0.728972
-0.002624,0.012710,0.792546,0.112686,0.008082,0.658764,0.117048,0.030211,0.353417,0.117576,0.061653,0.037570,-0.120176,0.004204,0.660899,-0.108921,0.024172,0.355545,-0.097983,0.055187,0.039851,-0.002068,0.021255,0.846007,0.146570,0.015735,1.075940,0.177256,0.000669,0.894857,0.190019,-0.047194,0.717264,-0.133936,-0.000148,1.085039,-0.174451,-0.015372,0.905942,-0.189309,-0.063507,0.728590
-0.002682,0.012967,0.792557,0.112647,0.008456,0.658787,0.117127,0.030590,0.353443,0.117746,0.061794,0.037570,-0.120212,0.004386,0.660897,-0.108884,0.024457,0.355551,-0.097955,0.055230,0.039829,-0.002150,0.021504,0.846020,0.146420,0.015242,1.075992,0.177201,-0.001575,0.895086,0.190423,-0.048880,0.717378,-0.134067,-0.000988,1.084933,-0.173970,-0.017542,0.905824,-0.188612,-0.065140,0.728310
-0.002679,0.013632,0.792627,0.112652,0.009031,0.658850,0.117146,0.030261,0.353441,0.117831,0.061236,0.037546,-0.120207,0.004979,0.660961,-0.108867,0.024320,0.355568,-0.097845,0.054827,0.039824,-0.002146,0.022169,0.846090,0.146500,0.014492,1.075987,0.178135,-0.004187,0.895426,0.191954,-0.051455,0.717754,-0.133984,-0.001675,1.084924,-0.174487,-0.019309,0.906068,-0.189043,-0.066883,0.728542
-0.002685,0.014634,0.792749,0.112669,0.010176,0.658973,0.117031,0.030394,0.353494,0.117657,0.061597,0.037621,-0.120185,0.005816,0.661058,-0.108987,0.024356,0.355608,-0.097980,0.055073,0.039884,-0.002200,0.023129,0.846220,0.146292,0.013654,1.076184,0.179615,-0.007587,0.896227,0.194841,-0.055394,0.718815,-0.134147,-0.003249,1.084745,-0.175404,-0.022685,0.906266,-0.189526,-0.070944,0.728893
-0.002696,0.015804,0.792898,0.112683,0.011332,0.659128,0.116776,0.030183,0.353558,0.117222,0.061538,0.037700,-0.120167,0.006795,0.661181,-0.109039,0.024210,0.355662,-0.097918,0.055051,0.039956,-0.002255,0.024286,0.846372,0.146029,0.012640,1.076417,0.181329,-0.011767,0.897260,0.198244,-0.060664,0.720298,-0.134382,-0.004609,1.084532,-0.176571,-0.026268,0.906547,-0.190333,-0.075624,0.729450
-0.002627,0.017245,0.793073,0.112815,0.012804,0.659336,0.117055,0.030043,0.353672,0.117769,0.061577,0.037832,-0.120032,0.008058,0.661289,-0.109135,0.023839,0.355670,-0.097934,0.055093,0.040008,-0.002221,0.025681,0.846554,0.146145,0.011830,1.076496,0.184419,-0.016880,0.898608,0.203633,-0.069018,0.722811,-0.134204,-0.005951,1.084491,-0.178387,-0.031353,0.907503,-0.192415,-0.083869,0.731341
-0.002581,0.018757,0.793281,0.112932,0.014418,0.659579,0.116805,0.029878,0.353815,0.117272,0.061593,0.037994,-0.119911,0.009404,0.661419,-0.109259,0.023401,0.355703,-0.097960,0.055125,0.040095,-0.002226,0.027117,0.846775,0.146030,0.011154,1.076743,0.187829,-0.022303,0.900499,0.209851,-0.078484,0.726284,-0.134252,-0.007138,1.084383,-0.180515,-0.036874,0.908620,-0.194750,-0.093415,0.733727
-0.002580,0.020412,0.793558,0.113018,0.016316,0.659892,0.117094,0.029687,0.354033,0.117900,0.061621,0.038234,-0.119817,0.010919,0.661596,-0.109442,0.022832,0.355779,-0.098002,0.055187,0.040244,-0.002267,0.028636,0.847072,0.145965,0.010755,1.077034,0.192016,-0.028389,0.903046,0.217359,-0.090238,0.731218,-0.134237,-0.007957,1.084446,-0.183143,-0.043228,0.910440,-0.197808,-0.105604,0.737580
-0.002550,0.022263,0.793729,0.113103,0.018434,0.660072,0.116838,0.029265,0.354108,0.117463,0.061619,0.038354,-0.119724,0.012646,0.661690,-0.109649,0.022115,0.355775,-0.098009,0.055209,0.040331,-0.002262,0.030321,0.847269,0.146079,0.010635,1.077172,0.197111,-0.035164,0.906231,0.226126,-0.104300,0.737796,-0.134004,-0.008650,1.084508,-0.186230,-0.050892,0.913045,-0.201572,-0.120834,0.743167
-0.002506,0.024212,0.793848,0.113186,0.020661,0.660187,0.116546,0.028737,0.354134,0.116962,0.061614,0.038438,-0.119631,0.014479,0.661744,-0.109862,0.021323,0.355747,-0.097982,0.055209,0.040405,-0.002222,0.032091,0.847414,0.146417,0.010611,1.077159,0.202607,-0.042262,0.909923,0.235272,-0.119355,0.745663,-0.133521,-0.009209,1.084655,-0.189400,-0.059076,0.916429,-0.205512,-0.137323,0.750286
