body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.712181,-0.033021,-0.026980,-0.700700,0.711816,-0.040959,-0.031522,-0.700462,-0.680030,-0.037706,-0.038559,0.731199,-0.680987,0.016692,0.004560,0.732091,0.711955,-0.038777,-0.038083,-0.700119,-0.645532,-0.048174,-0.029056,0.761658,-0.645969,0.006087,0.016147,0.763168,0.726706,0.001222,0.024869,-0.686497,0.720769,0.059995,-0.058128,-0.688124,-0.489613,-0.525438,-0.284677,0.634943,-0.494802,-0.554460,-0.285621,0.605117,0.724664,-0.081106,0.087087,-0.678749,0.658735,0.224731,0.569484,-0.437323,0.634865,0.242618,0.595696,-0.428053
0.712181,-0.033021,-0.026980,-0.700700,0.711838,-0.040518,-0.031073,-0.700485,-0.680046,-0.037275,-0.038234,0.731222,-0.680978,0.017123,0.004885,0.732087,0.711979,-0.038259,-0.037557,-0.700151,-0.645528,-0.047664,-0.028797,0.761703,-0.645947,0.006599,0.016405,0.763177,0.726681,0.001919,0.025607,-0.686495,0.720057,0.055843,-0.061002,-0.688969,-0.485889,-0.528866,-0.282590,0.635890,-0.496143,-0.558416,-0.283313,0.601454,0.725609,-0.082283,0.082577,-0.678161,0.659477,0.223708,0.571712,-0.433809,0.632366,0.242278,0.598490,-0.428048
0.712485,-0.032914,-0.026978,-0.700396,0.712145,-0.040370,-0.031217,-0.700176,-0.680276,-0.037120,-0.037839,0.731037,-0.681178,0.017259,0.004838,0.731898,0.712283,-0.038126,-0.037444,-0.699855,-0.645391,-0.047370,-0.028499,0.761849,-0.645801,0.006363,0.016238,0.763306,0.727115,0.003201,0.026584,-0.685994,0.719564,0.052904,-0.065137,-0.689337,-0.480982,-0.533980,-0.278125,0.637313,-0.495454,-0.563495,-0.279304,0.599156,0.726951,-0.084378,0.079283,-0.676858,0.661856,0.219422,0.575387,-0.427470,0.632113,0.238691,0.602696,-0.424520
0.712485,-0.032914,-0.026978,-0.700396,0.712093,-0.041407,-0.032272,-0.700120,-0.680300,-0.036950,-0.037502,0.731041,-0.681178,0.017430,0.005175,0.731892,0.712244,-0.038963,-0.038295,-0.699803,-0.645434,-0.047211,-0.028082,0.761838,-0.645815,0.006521,0.016657,0.763284,0.727045,0.004942,0.028429,-0.685983,0.718211,0.051489,-0.071523,-0.690222,-0.472284,-0.542338,-0.268078,0.641054,-0.489178,-0.569949,-0.271188,0.601931,0.727603,-0.088913,0.078976,-0.675612,0.666090,0.209324,0.581836,-0.417103,0.635147,0.229711,0.609411,-0.415258
0.712990,-0.032579,-0.026765,-0.699906,0.712515,-0.042692,-0.033343,-0.699562,-0.680771,-0.037151,-0.037810,0.730576,-0.681665,0.017417,0.004697,0.731442,0.712674,-0.040151,-0.038945,-0.699262,-0.645305,-0.047402,-0.028354,0.761925,-0.645708,0.006187,0.016466,0.763382,0.727942,0.008124,0.030907,-0.684893,0.717129,0.050282,-0.081241,-0.690361,-0.463112,-0.552594,-0.254007,0.644708,-0.480444,-0.577788,-0.260924,0.606015,0.729589,-0.095508,0.077970,-0.672681,0.672664,0.194196,0.589111,-0.403434,0.641518,0.214711,0.618345,-0.400005
0.713292,-0.032441,-0.026755,-0.699604,0.712705,-0.044583,-0.034615,-0.699189,-0.680966,-0.037117,-0.038170,0.730377,-0.681880,0.017598,0.004184,0.731240,0.712893,-0.041626,-0.040054,-0.698890,-0.645114,-0.047687,-0.028420,0.762067,-0.645514,0.005953,0.017332,0.763528,0.728362,0.011578,0.033486,-0.684276,0.715241,0.048571,-0.092901,-0.690971,-0.453010,-0.563839,-0.236858,0.648665,-0.469758,-0.586049,-0.248596,0.611616,0.731161,-0.103504,0.076488,-0.669955,0.679338,0.176984,0.596391,-0.389222,0.648391,0.197289,0.627885,-0.382658
0.713613,-0.031977,-0.026617,-0.699303,0.712907,-0.046263,-0.036675,-0.698770,-0.681309,-0.037635,-0.038072,0.730036,-0.682219,0.017059,0.004307,0.730936,0.713063,-0.043914,-0.041506,-0.698492,-0.644732,-0.048196,-0.028858,0.762342,-0.645164,0.005465,0.016869,0.763838,0.728960,0.014661,0.036559,-0.683422,0.713006,0.046474,-0.108690,-0.691121,-0.447120,-0.572774,-0.215474,0.652368,-0.460171,-0.594467,-0.230015,0.618017,0.732851,-0.116474,0.074474,-0.666195,0.685305,0.155245,0.602311,-0.378785,0.655284,0.172842,0.637315,-0.366821
0.714030,-0.031295,-0.026302,-0.698921,0.713139,-0.048682,-0.038378,-0.698276,-0.681824,-0.037571,-0.038528,0.729534,-0.682752,0.017575,0.003509,0.730430,0.713297,-0.046407,-0.043095,-0.697995,-0.644338,-0.048815,-0.029371,0.762616,-0.644799,0.005010,0.017298,0.764140,0.729539,0.017824,0.039133,-0.682587,0.710514,0.044493,-0.126356,-0.690815,-0.444125,-0.580592,-0.193266,0.654457,-0.453629,-0.602262,-0.210189,0.622352,0.734242,-0.130707,0.071549,-0.662333,0.690585,0.133050,0.606366,-0.371094,0.661193,0.147828,0.644655,-0.354106
0.714638,-0.030179,-0.025631,-0.698373,0.713554,-0.050834,-0.041078,-0.697545,-0.682450,-0.038229,-0.038388,0.728922,-0.683372,0.016881,0.003696,0.729866,0.713666,-0.049313,-0.044957,-0.697301,-0.643921,-0.049650,-0.030041,0.762888,-0.644420,0.004375,0.017674,0.764455,0.729999,0.020394,0.041417,-0.681887,0.707579,0.041998,-0.147090,-0.689878,-0.446750,-0.585387,-0.169802,0.654908,-0.453092,-0.607829,-0.188174,0.624373,0.735007,-0.148212,0.067616,-0.658199,0.694644,0.109496,0.607483,-0.369384,0.665771,0.121359,0.648666,-0.348214
0.715275,-0.028940,-0.024676,-0.697807,0.713906,-0.054123,-0.043662,-0.696781,-0.683032,-0.038521,-0.039059,0.728326,-0.683989,0.017120,0.003152,0.729285,0.714019,-0.052654,-0.047215,-0.696545,-0.643596,-0.050700,-0.030798,0.763063,-0.644131,0.003904,0.018492,0.764682,0.730612,0.022593,0.043741,-0.681016,0.704368,0.038888,-0.171245,-0.687771,-0.453891,-0.587597,-0.144018,0.654196,-0.457892,-0.610711,-0.163964,0.624886,0.735138,-0.170060,0.062623,-0.653246,0.697771,0.082383,0.606931,-0.371436,0.668855,0.090935,0.651115,-0.347006
