joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.157271,0.150967,0.043443,-0.004952,0.007379,-0.019549,-0.088025,-0.183398,0.122220,0.036182,0.043516,-0.040328,-0.022877,-0.138449,-0.141305,0.199790,-0.205782,-0.010956,-0.001153,-0.412432,0.477254,1.211013,1.186763,0.003090,0.000816,0.066282,0.081555,0.051258,-0.000106
0.158530,0.152447,0.043443,-0.004952,0.007379,-0.019549,-0.088025,-0.183398,0.124251,0.033853,0.040944,-0.052400,-0.033291,-0.138449,-0.141305,0.197773,-0.201332,-0.010956,-0.001153,-0.421399,0.484298,1.224457,1.199046,-0.004671,0.007105,0.068814,0.085011,0.062650,-0.006979
0.158382,0.152637,0.043901,-0.004697,0.007250,-0.019078,-0.088350,-0.184641,0.127296,0.033048,0.039753,-0.065925,-0.044200,-0.137814,-0.139895,0.198729,-0.200477,-0.011620,-0.001151,-0.436703,0.498880,1.236468,1.208072,-0.012321,0.012353,0.071080,0.088102,0.070809,-0.011889
0.155419,0.150247,0.043901,-0.004697,0.007250,-0.019078,-0.088350,-0.184641,0.132370,0.035290,0.041321,-0.082355,-0.056102,-0.137814,-0.139895,0.205629,-0.206814,-0.011620,-0.001151,-0.464680,0.528538,1.245612,1.210582,-0.019747,0.015517,0.071080,0.090464,0.070809,-0.011889
0.151314,0.146873,0.045275,-0.005227,0.006264,-0.017803,-0.088394,-0.186338,0.139595,0.039355,0.044645,-0.106589,-0.074477,-0.137849,-0.139781,0.216189,-0.216646,-0.012218,-0.000821,-0.500033,0.565890,1.254956,1.210957,-0.026744,0.012472,0.072051,0.093897,0.064362,-0.008296
0.146639,0.143007,0.045845,-0.006340,0.005518,-0.016357,-0.088566,-0.187719,0.147895,0.044332,0.048849,-0.134724,-0.096087,-0.137853,-0.141065,0.228579,-0.228225,-0.012681,0.000571,-0.539074,0.607090,1.264401,1.210496,-0.033526,0.006321,0.072444,0.097866,0.053842,-0.002413
0.140492,0.136871,0.047109,-0.006340,0.003797,-0.016357,-0.088566,-0.189520,0.155784,0.050196,0.055600,-0.169616,-0.125389,-0.137853,-0.141065,0.247421,-0.245433,-0.012681,0.000571,-0.574683,0.644010,1.267185,1.205849,-0.030905,-0.007722,0.074432,0.101214,0.041624,0.004381
0.133261,0.129694,0.047952,-0.007972,0.001897,-0.015658,-0.088066,-0.191582,0.162503,0.056627,0.063113,-0.206418,-0.157005,-0.138038,-0.142533,0.268348,-0.264261,-0.013898,0.001868,-0.605335,0.675880,1.267878,1.199308,-0.027549,-0.021363,0.076613,0.103960,0.030764,0.010507
0.123861,0.120432,0.047952,-0.007972,-0.000359,-0.015658,-0.088066,-0.194164,0.166881,0.064192,0.072146,-0.247041,-0.193252,-0.138038,-0.144191,0.293445,-0.286330,-0.013898,0.003279,-0.626072,0.697651,1.264393,1.188974,-0.022723,-0.034198,0.079180,0.105502,0.022621,0.015301
0.112455,0.109414,0.048382,-0.009563,-0.002482,-0.015999,-0.087909,-0.196585,0.170225,0.073916,0.082795,-0.293047,-0.236294,-0.138978,-0.147108,0.323231,-0.313280,-0.014557,0.004995,-0.640925,0.714807,1.256633,1.175533,-0.018922,-0.046826,0.081520,0.106797,0.015844,0.018242
0.100047,0.097519,0.048662,-0.011028,-0.004539,-0.017116,-0.087038,-0.198925,0.173053,0.084720,0.094251,-0.341745,-0.282734,-0.140796,-0.150654,0.355361,-0.342670,-0.014602,0.006863,-0.652835,0.729657,1.246736,1.160537,-0.015635,-0.059351,0.084742,0.107968,0.009751,0.020258
0.084478,0.082075,0.048662,-0.011028,-0.007023,-0.017116,-0.087038,-0.200704,0.174750,0.098831,0.109306,-0.398735,-0.337981,-0.144611,-0.155099,0.394424,-0.378647,-0.015937,0.008225,-0.666455,0.744906,1.232762,1.141384,-0.013462,-0.072066,0.084742,0.107968,0.004938,0.018864
0.067503,0.065021,0.048799,-0.011808,-0.009345,-0.018649,-0.085873,-0.201943,0.175881,0.114208,0.125733,-0.458369,-0.395528,-0.149144,-0.159914,0.434938,-0.416423,-0.017645,0.009132,-0.681811,0.760790,1.218439,1.121321,-0.011754,-0.083827,0.086046,0.107183,0.000950,0.016728
0.047714,0.044746,0.048799,-0.011808,-0.011339,-0.018649,-0.084280,-0.201943,0.175881,0.132119,0.144905,-0.523288,-0.457674,-0.155115,-0.165470,0.478355,-0.457796,-0.017645,0.009132,-0.700642,0.777942,1.203420,1.099441,-0.011754,-0.093678,0.086046,0.107183,-0.001388,0.013106
0.023244,0.020088,0.049478,-0.013254,-0.014185,-0.020852,-0.082458,-0.201225,0.175312,0.154951,0.168715,-0.591914,-0.522237,-0.162398,-0.173123,0.521731,-0.500785,-0.018464,0.008775,-0.721174,0.796078,1.188515,1.076903,-0.012338,-0.100948,0.086354,0.105077,-0.001661,0.008889
-0.003568,-0.006762,0.049478,-0.014575,-0.017458,-0.023217,-0.080520,-0.201225,0.173815,0.180245,0.194844,-0.662394,-0.588007,-0.170338,-0.181824,0.565086,-0.544582,-0.018464,0.008775,-0.742557,0.814705,1.173668,1.054037,-0.013603,-0.106927,0.086354,0.103444,-0.001661,0.004375
-0.038387,-0.042269,0.049584,-0.016902,-0.022330,-0.025892,-0.078261,-0.198990,0.171058,0.214464,0.231734,-0.733501,-0.655364,-0.180793,-0.195226,0.606364,-0.588740,-0.019520,0.010008,-0.766245,0.833911,1.154344,1.030396,-0.015385,-0.111071,0.086660,0.101905,0.003810,-0.000398
-0.075069,-0.080275,0.048677,-0.019589,-0.028057,-0.028782,-0.075407,-0.197364,0.168339,0.251474,0.272678,-0.803470,-0.722765,-0.193370,-0.210703,0.647146,-0.632073,-0.020699,0.011302,-0.790327,0.852954,1.133376,1.007362,-0.017509,-0.114718,0.085419,0.100185,0.010047,-0.005089
-0.115477,-0.123275,0.047003,-0.022994,-0.035492,-0.032101,-0.071360,-0.195419,0.165693,0.294067,0.321732,-0.871161,-0.790254,-0.210192,-0.230332,0.686939,-0.673759,-0.020699,0.013134,-0.815196,0.871667,1.109118,0.985542,-0.020320,-0.117367,0.083561,0.098103,0.018829,-0.009617
-0.157158,-0.167479,0.044369,-0.026309,-0.043605,-0.034648,-0.065872,-0.192324,0.166116,0.343578,0.377140,-0.936649,-0.858963,-0.230682,-0.252325,0.727928,-0.713347,-0.022045,0.014912,-0.844793,0.892933,1.082907,0.965341,-0.022902,-0.116973,0.080786,0.095246,0.028648,-0.013697
-0.199477,-0.212284,0.041254,-0.029579,-0.052059,-0.036809,-0.059664,-0.188654,0.168074,0.396547,0.435723,-1.001034,-0.928281,-0.253006,-0.275500,0.769517,-0.751886,-0.022891,0.016664,-0.876754,0.915474,1.055721,0.945950,-0.026099,-0.115058,0.077553,0.092000,0.038986,-0.017552
-0.242437,-0.254209,0.036532,-0.031445,-0.058979,-0.035336,-0.053902,-0.184817,0.175941,0.459741,0.497505,-1.062662,-0.997519,-0.279600,-0.301060,0.810839,-0.784960,-0.025406,0.016664,-0.909755,0.936027,1.027443,0.929552,-0.026099,-0.108969,0.074801,0.088210,0.049452,-0.020728
-0.285898,-0.296054,0.031842,-0.031914,-0.064955,-0.033049,-0.048387,-0.180922,0.185244,0.525147,0.560139,-1.123238,-1.066870,-0.307835,-0.327434,0.851036,-0.816359,-0.027964,0.015146,-0.941088,0.955838,0.999776,0.914438,-0.026828,-0.101633,0.072361,0.084315,0.059872,-0.023655
-0.330358,-0.337737,0.027219,-0.031914,-0.069043,-0.029134,-0.043370,-0.176912,0.197418,0.594981,0.624480,-1.181710,-1.136449,-0.339350,-0.355435,0.888983,-0.844409,-0.030609,0.012869,-0.969084,0.974165,0.973332,0.901894,-0.026828,-0.091802,0.070541,0.080212,0.070200,-0.026083
-0.375248,-0.380347,0.023882,-0.029695,-0.072640,-0.025914,-0.037713,-0.172327,0.210982,0.666272,0.690015,-1.236110,-1.205229,-0.370577,-0.383451,0.922302,-0.868897,-0.033250,0.010426,-0.991861,0.992000,0.949414,0.892264,-0.026959,-0.080856,0.069013,0.076310,0.079581,-0.027974
-0.420353,-0.423421,0.021187,-0.027529,-0.075992,-0.022327,-0.031736,-0.167456,0.225240,0.738292,0.756146,-1.288473,-1.273608,-0.401659,-0.411475,0.953306,-0.891605,-0.035890,0.007901,-1.012029,1.009590,0.926759,0.884092,-0.026668,-0.069353,0.066773,0.072508,0.088488,-0.030422
-0.464367,-0.467700,0.019018,-0.026099,-0.079788,-0.022327,-0.026167,-0.162406,0.236360,0.803263,0.818976,-1.333210,-1.336662,-0.428772,-0.435931,0.979038,-0.912355,-0.037228,0.005547,-1.032407,1.032850,0.908388,0.877619,-0.026668,-0.061089,0.066773,0.069930,0.094541,-0.030422
-0.511543,-0.515691,0.016620,-0.025145,-0.083920,-0.021090,-0.020446,-0.156539,0.248075,0.871815,0.885999,-1.377984,-1.401242,-0.456639,-0.461436,1.006164,-0.933253,-0.037460,0.002978,-1.055013,1.059155,0.889876,0.871020,-0.027246,-0.053052,0.065074,0.067481,0.100281,-0.031893
-0.565046,-0.571110,0.013763,-0.025145,-0.088726,-0.021090,-0.014421,-0.149042,0.260976,0.947530,0.961406,-1.422837,-1.468875,-0.486017,-0.489038,1.036080,-0.954447,-0.037460,-0.000021,-1.082078,1.091551,0.871082,0.864170,-0.027246,-0.045471,0.065074,0.065290,0.105394,-0.031893
-0.623139,-0.630810,0.010563,-0.024247,-0.092485,-0.019585,-0.008889,-0.140862,0.273610,1.027133,1.039452,-1.465756,-1.535423,-0.515053,-0.517612,1.065656,-0.972409,-0.035088,-0.002881,-1.107032,1.123151,0.852882,0.858039,-0.029965,-0.038081,0.063457,0.063366,0.109677,-0.033220
-0.683527,-0.692651,0.007192,-0.024247,-0.095720,-0.019585,-0.003603,-0.132339,0.286111,1.108681,1.118816,-1.507708,-1.601428,-0.543918,-0.546672,1.095062,-0.988755,-0.032520,-0.005672,-1.130931,1.154353,0.834980,0.852266,-0.032767,-0.030788,0.063457,0.061574,0.113544,-0.033220
-0.750912,-0.761295,0.002696,-0.021827,-0.096658,-0.018601,0.000391,-0.124425,0.296561,1.192755,1.200173,-1.545448,-1.664646,-0.571871,-0.574179,1.121068,-0.999482,-0.029087,-0.008148,-1.145555,1.181546,0.819727,0.848850,-0.036408,-0.023007,0.062683,0.059919,0.116433,-0.034265
-0.819732,-0.831341,-0.002192,-0.019569,-0.098139,-0.018829,0.004228,-0.116977,0.307230,1.277241,1.281774,-1.581519,-1.726508,-0.598904,-0.600595,1.146283,-1.008196,-0.025618,-0.010716,-1.157909,1.207575,0.805825,0.846280,-0.040117,-0.015239,0.062121,0.058332,0.119225,-0.034628
-0.891421,-0.904191,-0.007862,-0.016574,-0.098139,-0.018829,0.007754,-0.110465,0.318336,1.362553,1.363864,-1.614253,-1.785661,-0.624098,-0.624830,1.169918,-1.012882,-0.022073,-0.013470,-1.165722,1.231277,0.794624,0.846280,-0.043963,-0.007497,0.062121,0.056882,0.121821,-0.034628
-0.963791,-0.977428,-0.014016,-0.011804,-0.099142,-0.016987,0.011072,-0.105536,0.331167,1.447980,1.445188,-1.643714,-1.841131,-0.645884,-0.645808,1.192776,-1.013047,-0.018373,-0.016502,-1.171814,1.252131,0.786086,0.847707,-0.048405,0.000214,0.063007,0.055596,0.124085,-0.034591
-1.036502,-1.050859,-0.020412,-0.006146,-0.099602,-0.014735,0.014288,-0.101398,0.344860,1.533464,1.526128,-1.671539,-1.894759,-0.665965,-0.665157,1.215245,-1.010951,-0.014595,-0.019673,-1.177044,1.271561,0.778879,0.850286,-0.053146,0.007909,0.063723,0.053473,0.126183,-0.034095
-1.109258,-1.124395,-0.027256,0.000585,-0.101894,-0.012506,0.017842,-0.098628,0.359671,1.616142,1.604344,-1.695206,-1.941800,-0.681269,-0.679880,1.235765,-1.003051,-0.010713,-0.023111,-1.181745,1.288801,0.772024,0.855229,-0.057730,0.015372,0.063723,0.053473,0.127532,-0.034095
-1.180558,-1.196788,-0.034025,0.006771,-0.104222,-0.010136,0.021094,-0.095611,0.375670,1.697440,1.681824,-1.717760,-1.986420,-0.695610,-0.693257,1.255658,-0.993820,-0.006752,-0.026713,-1.186230,1.305598,0.765074,0.860774,-0.062137,0.022481,0.064897,0.051965,0.129147,-0.033131
-1.248946,-1.266892,-0.040644,0.011867,-0.106620,-0.010136,0.023743,-0.092097,0.394047,1.775979,1.757829,-1.738086,-2.026197,-0.708025,-0.703941,1.274296,-0.981928,-0.002636,-0.030641,-1.190286,1.321507,0.757935,0.867523,-0.066190,0.028883,0.064897,0.051965,0.129147,-0.033131
-1.313971,-1.332461,-0.046868,0.016614,-0.107781,-0.008088,0.024287,-0.089696,0.415206,1.853035,1.830732,-1.756597,-2.061698,-0.716937,-0.712072,1.291389,-0.968764,0.001924,-0.034940,-1.192624,1.335616,0.752032,0.875898,-0.070219,0.034882,0.066442,0.051377,0.130357,-0.032140
-1.377313,-1.395764,-0.052894,0.021188,-0.108142,-0.006343,0.023947,-0.087852,0.437758,1.929349,1.902083,-1.774202,-2.095060,-0.724097,-0.718926,1.307711,-0.954964,0.006705,-0.039424,-1.194105,1.348825,0.746746,0.885087,-0.074236,0.040680,0.068000,0.050785,0.131003,-0.031455
-1.439161,-1.455322,-0.057175,0.027298,-0.106507,-0.002319,0.018551,-0.090767,0.460485,2.001252,1.966511,-1.788634,-2.122973,-0.728028,-0.721471,1.320188,-0.939431,0.011808,-0.044646,-1.192569,1.358521,0.743989,0.896566,-0.078625,0.046247,0.068000,0.050785,0.131003,-0.031455
-1.498257,-1.510021,-0.061244,0.033030,-0.105744,0.001287,0.012847,-0.094178,0.483187,2.070743,2.027752,-1.801966,-2.148712,-0.731335,-0.723909,1.331699,-0.923615,0.016313,-0.049846,-1.192045,1.369111,0.741308,0.908675,-0.083213,0.051517,0.069716,0.050875,0.130963,-0.030778
-1.551844,-1.554999,-0.064888,0.038008,-0.105744,0.004056,0.006529,-0.098583,0.505838,2.135409,2.082616,-1.813098,-2.170103,-0.731335,-0.726132,1.341277,-0.907231,0.019623,-0.055000,-1.192045,1.381491,0.738777,0.922046,-0.088199,0.056191,0.069716,0.050875,0.130963,-0.030778
-1.569706,-1.569996,-0.068377,0.041551,-0.107502,0.004478,0.000962,-0.103982,0.516033,2.175996,2.118323,-1.813437,-2.174498,-0.740851,-0.736898,1.345443,-0.888219,0.021639,-0.058887,-1.198760,1.391371,0.735957,0.935916,-0.093168,0.060203,0.071501,0.051478,0.130235,-0.030032
-1.570000,-1.570000,-0.071788,0.045130,-0.109651,0.003977,-0.004231,-0.109880,0.520000,2.204544,2.144451,-1.808379,-2.170395,-0.754097,-0.751935,1.346903,-0.867895,0.022467,-0.062141,-1.208081,1.400000,0.732992,0.950036,-0.098128,0.063884,0.073669,0.051791,0.129233,-0.029570
-1.570000,-1.570000,-0.074286,0.045130,-0.112825,0.005494,-0.010130,-0.115715,0.520000,2.227516,2.165668,-1.799883,-2.155899,-0.767921,-0.763691,1.342715,-0.846670,0.022467,-0.064507,-1.218798,1.400000,0.732992,0.963409,-0.103069,0.066896,0.073669,0.051791,0.129233,-0.029570
-1.570000,-1.570000,-0.075488,0.046785,-0.115457,0.008520,-0.016331,-0.121721,0.520000,2.250130,2.186154,-1.791944,-2.141007,-0.781046,-0.774247,1.336675,-0.825515,0.021876,-0.066689,-1.228992,1.400000,0.734038,0.976842,-0.107983,0.069907,0.075530,0.051884,0.128517,-0.029802
-1.570000,-1.570000,-0.074099,0.049488,-0.117005,0.014562,-0.023136,-0.128068,0.520000,2.272031,2.205178,-1.785117,-2.125327,-0.792773,-0.782400,1.326930,-0.804499,0.020356,-0.068502,-1.238140,1.400000,0.736635,0.990394,-0.112846,0.072915,0.075530,0.051884,0.128517,-0.029802
-1.570000,-1.570000,-0.069931,0.054070,-0.117521,0.020719,-0.031088,-0.135061,0.520000,2.296541,2.225952,-1.778504,-2.105789,-0.804226,-0.789253,1.311535,-0.780637,0.017638,-0.070813,-1.249312,1.400000,0.743225,1.009409,-0.118298,0.076611,0.077537,0.052462,0.128266,-0.030866
-1.570000,-1.570000,-0.064373,0.059591,-0.118284,0.026933,-0.039614,-0.142377,0.520000,2.322355,2.247601,-1.771997,-2.084323,-0.815540,-0.795456,1.293315,-0.755353,0.014321,-0.073375,-1.261496,1.400000,0.751811,1.031156,-0.124046,0.080650,0.079116,0.053297,0.128252,-0.031609
