joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.062949,0.074017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101534,-0.116447,-0.128569,-0.603610,-0.520673,0.000000,0.000000,-0.100861,0.222490,0.000000,0.000000,-0.448345,0.352210,0.672209,0.614160,-0.388048,0.314484,0.126600,0.172806,0.569579,-0.343635
-0.007414,0.009502,0.022900,0.012757,-0.006435,0.023540,-0.016253,-0.062171,0.152265,-0.040257,-0.059581,-0.676247,-0.545480,0.031744,0.070497,0.047776,0.042714,-0.033206,0.000086,-0.765178,0.729103,0.600541,0.451279,-0.382478,0.262391,0.113270,0.154564,0.407987,-0.245512
-0.148148,-0.119527,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.253724,0.112125,0.078394,-0.821521,-0.595096,0.000000,0.000000,0.345043,-0.316837,0.000000,0.000000,-1.398847,1.482885,0.457203,0.125510,-0.371337,0.158206,0.000000,0.118081,0.000000,0.000000
-0.205240,-0.168695,0.068695,-0.026496,-0.049296,0.063735,-0.002198,-0.084838,0.361230,0.203258,0.166237,-1.211670,-0.918715,-0.001753,0.005697,0.527996,-0.491577,-0.029870,0.016528,-1.767650,1.867607,0.467217,0.018746,-0.349845,-0.152277,0.048550,0.171657,-0.322386,0.179681
-0.233790,-0.193278,0.028478,-0.055642,-0.037302,0.072291,-0.008592,-0.069027,0.414980,0.248825,0.210159,-1.406743,-1.080526,-0.000198,-0.064204,0.619470,-0.578947,-0.023154,0.069603,-1.952055,2.059972,0.472206,-0.023079,-0.339099,-0.307518,0.019679,0.198446,-0.525980,0.294153
-0.307340,-0.306783,0.063207,0.000000,-0.086091,0.000000,0.000000,-0.090074,0.394490,0.293191,0.337582,-1.744594,-1.465084,0.000000,0.000000,0.942111,-0.860422,0.000000,0.000000,-1.780465,1.846007,0.139207,-0.232309,0.131057,-0.702168,0.099387,0.167389,-0.610907,0.339662
-0.361560,-0.358885,0.042139,-0.081624,-0.094989,0.034973,0.025003,-0.103084,0.335953,0.321550,0.375615,-1.840115,-1.580828,-0.009245,-0.073431,1.046355,-0.941420,-0.060874,0.064819,-1.532587,1.593515,0.034684,-0.327092,0.167812,-0.682028,0.109048,0.137302,-0.542997,0.306333
-0.469996,-0.463089,0.000000,0.000000,-0.112784,0.000000,0.000000,-0.129100,0.218873,0.378269,0.451680,-2.031149,-1.812314,0.000000,-0.082888,1.254842,-1.103416,0.000000,0.070580,-1.036847,1.088530,-0.174278,-0.516677,0.241323,-0.641747,0.128372,0.077127,-0.407176,0.239675
-0.570266,-0.550884,0.021527,-0.079549,-0.106154,-0.017049,0.007842,-0.121038,0.167218,0.486207,0.532438,-2.300307,-2.152100,-0.046986,-0.145838,1.489282,-1.347490,-0.032915,0.085789,-0.742641,0.857833,-0.387996,-0.672060,0.190020,-0.631409,0.116983,0.064743,-0.338827,0.147077
-0.620402,-0.594782,0.013998,-0.073265,-0.102840,-0.055837,0.043553,-0.117006,0.141388,0.540175,0.572818,-2.434886,-2.321994,-0.090945,-0.177315,1.606503,-1.469526,-0.002280,0.093393,-0.595537,0.742474,-0.494868,-0.749773,0.164369,-0.626241,0.161096,0.058551,-0.304652,0.100778
