body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.018555,-0.006741,0.002058,0.041130,0.009387,-0.001254,-0.058917,-0.013747,0.002354,-0.038518,-0.000049,0.002351,0.035037,0.003530,0.000160,-0.055659,0.005743,0.002286,-0.050419,-0.003770,0.002307,-0.205683,0.030795,-0.020236,-0.361649,0.519794,-0.023752,0.044861,0.035447,0.089392,0.077225,0.256276,0.734063,-0.575549,-0.399453,0.029966,0.121877,0.000303,-0.165812,-0.129223,0.329836,-0.525142
0.026740,-0.008849,0.004805,0.061513,0.013870,0.000206,-0.057777,-0.014204,0.002952,-0.025678,0.003672,0.002777,0.049991,0.004393,0.002428,-0.043626,0.006634,0.004554,-0.033225,-0.005172,0.004561,-0.209164,0.031735,-0.020964,-0.278984,0.396678,-0.006065,0.019827,0.040261,0.076140,0.039199,0.236284,0.647436,-0.448953,-0.306535,0.009119,0.097483,0.009259,-0.170846,-0.133623,0.306023,-0.492327
0.034053,-0.010012,0.009709,0.080181,0.018232,0.004133,-0.057190,-0.014916,0.003604,-0.016020,0.004351,0.003431,0.063055,0.004791,0.007189,-0.032266,0.006585,0.007279,-0.015633,-0.005283,0.007252,-0.214715,0.032998,-0.020209,-0.191141,0.263100,0.014789,-0.009761,0.044524,0.066372,-0.001490,0.208453,0.547743,-0.315516,-0.207078,-0.011762,0.070677,0.019322,-0.173081,-0.131705,0.275465,-0.448575
0.039823,-0.010424,0.017270,0.093750,0.022091,0.011119,-0.054806,-0.015580,0.004039,-0.010554,0.002485,0.004255,0.073637,0.005162,0.014858,-0.021202,0.005799,0.010159,0.000591,-0.003665,0.010050,-0.220373,0.034317,-0.018629,-0.115153,0.146276,0.033932,-0.036402,0.046531,0.062135,-0.035239,0.176399,0.448321,-0.202629,-0.122981,-0.028714,0.047192,0.027136,-0.173359,-0.120676,0.239744,-0.400439
0.043828,-0.010780,0.027331,0.100764,0.025144,0.020970,-0.049004,-0.016167,0.004208,-0.006961,0.000177,0.005051,0.082597,0.006031,0.025079,-0.010011,0.004755,0.012889,0.013830,-0.000399,0.012615,-0.224352,0.035640,-0.017538,-0.060920,0.063388,0.047377,-0.054375,0.046018,0.062055,-0.056526,0.144979,0.358477,-0.125263,-0.067150,-0.040409,0.029129,0.029812,-0.175473,-0.102894,0.201183,-0.356548
0.045622,-0.011557,0.038727,0.101474,0.026897,0.032515,-0.041066,-0.017057,0.004406,-0.002761,-0.000813,0.005644,0.090333,0.007329,0.036603,-0.000085,0.003638,0.015105,0.022045,0.003697,0.014633,-0.226335,0.037122,-0.017838,-0.028533,0.015538,0.054089,-0.062887,0.044274,0.062808,-0.066407,0.117994,0.281687,-0.081067,-0.038168,-0.048152,0.014074,0.026761,-0.183397,-0.084982,0.162800,-0.323491
0.044796,-0.012598,0.049412,0.097795,0.027093,0.043680,-0.034213,-0.018489,0.004965,0.001674,-0.000284,0.006027,0.096163,0.008427,0.047450,0.006129,0.002333,0.016153,0.023739,0.007062,0.015690,-0.226991,0.038788,-0.019365,-0.012474,-0.006629,0.055599,-0.065237,0.042869,0.062057,-0.070114,0.097077,0.218369,-0.057823,-0.025988,-0.053928,-0.001403,0.019556,-0.197795,-0.073245,0.127363,-0.302984
0.041830,-0.013348,0.057042,0.093280,0.026384,0.051951,-0.030399,-0.019887,0.005809,0.004220,0.000841,0.006208,0.099362,0.008864,0.055357,0.007645,0.000926,0.015219,0.019791,0.008208,0.015265,-0.226677,0.040435,-0.021014,-0.006752,-0.014349,0.054330,-0.065845,0.042372,0.059995,-0.072879,0.081799,0.168621,-0.043303,-0.020620,-0.058605,-0.018045,0.010480,-0.214330,-0.069480,0.096232,-0.290956
0.038029,-0.013382,0.059685,0.091515,0.025944,0.055150,-0.028737,-0.020100,0.006405,0.004237,0.001644,0.005916,0.099923,0.008736,0.058394,0.005864,-0.000156,0.012134,0.013441,0.006916,0.013150,-0.225165,0.041826,-0.021389,-0.007433,-0.015850,0.052339,-0.067713,0.042078,0.058135,-0.077187,0.070426,0.132291,-0.030538,-0.016306,-0.061671,-0.033382,0.001738,-0.224779,-0.070486,0.069618,-0.278634
0.034471,-0.012664,0.056520,0.093347,0.026100,0.052347,-0.027129,-0.018495,0.006210,0.003538,0.001951,0.004715,0.098206,0.008309,0.055665,0.003031,-0.000624,0.007937,0.007995,0.004563,0.009849,-0.222473,0.042745,-0.019462,-0.012890,-0.015318,0.050961,-0.071402,0.040709,0.056949,-0.082395,0.060982,0.107410,-0.018432,-0.011072,-0.062064,-0.043897,-0.004428,-0.220701,-0.070882,0.047889,-0.256355
0.031291,-0.011385,0.048381,0.095940,0.025714,0.044468,-0.024658,-0.015654,0.005175,0.004249,0.002142,0.002594,0.094416,0.007584,0.047875,0.000499,-0.000694,0.004223,0.004900,0.003035,0.006371,-0.219273,0.042917,-0.014835,-0.022834,-0.013847,0.050959,-0.075727,0.037413,0.055278,-0.086326,0.052130,0.089766,-0.009615,-0.005020,-0.058931,-0.047542,-0.006064,-0.198021,-0.066618,0.031938,-0.219056
0.027948,-0.009715,0.037527,0.095394,0.023308,0.033945,-0.021676,-0.012846,0.003803,0.006768,0.002441,0.000277,0.088691,0.006321,0.037195,-0.001234,-0.000908,0.001968,0.003907,0.003129,0.003647,-0.216125,0.042194,-0.007599,-0.036727,-0.011183,0.052694,-0.079500,0.032410,0.052296,-0.087632,0.043518,0.075250,-0.006988,0.001033,-0.051889,-0.044961,-0.002523,-0.159505,-0.056980,0.022295,-0.169420
0.023792,-0.007737,0.026505,0.090441,0.018652,0.023403,-0.017895,-0.010938,0.002660,0.010061,0.002555,-0.001292,0.081539,0.004238,0.026227,-0.001339,-0.001776,0.001148,0.004309,0.003984,0.002134,-0.212567,0.040903,0.001799,-0.052548,-0.007215,0.056139,-0.082834,0.026997,0.049683,-0.087231,0.035665,0.063075,-0.010861,0.006573,-0.041198,-0.038997,0.004965,-0.113309,-0.044323,0.018381,-0.115930
