body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
0.005147,-0.024221,0.001472,0.005914,-0.021514,0.001849,0.003494,-0.011296,0.001595,0.006765,-0.028479,-0.002018,0.005904,-0.022021,0.000646,0.004791,-0.013469,0.000555,0.003143,-0.032542,-0.003034,0.004939,-0.025025,0.001644,0.010645,0.018840,0.010261,-0.086146,-0.050574,-0.030522,-0.090487,-0.039124,-0.033150,0.010760,0.018714,0.011212,0.088454,-0.096375,-0.000804,0.083573,-0.071441,-0.005640
0.004861,-0.025286,0.002674,0.005982,-0.020896,0.003181,0.002303,-0.004562,0.002783,0.005389,-0.020961,-0.000698,0.005959,-0.022057,0.001476,0.004492,-0.009017,0.001346,0.002366,-0.024484,-0.001595,0.004548,-0.026527,0.002940,0.010528,0.018989,0.011713,-0.068035,-0.037043,-0.021225,-0.073724,-0.029824,-0.023022,0.010657,0.019357,0.012609,0.073567,-0.075062,0.003087,0.067233,-0.054053,-0.000844
0.004354,-0.026705,0.003869,0.005775,-0.020407,0.004434,0.000931,0.002177,0.003901,0.004038,-0.014111,0.000407,0.005730,-0.022683,0.002374,0.004155,-0.005307,0.002217,0.001734,-0.017139,-0.000070,0.003942,-0.028382,0.004226,0.010411,0.019758,0.013245,-0.046253,-0.020470,-0.010375,-0.053160,-0.018658,-0.011083,0.010491,0.020240,0.014074,0.055854,-0.050057,0.007427,0.047716,-0.033783,0.004584
0.003583,-0.028298,0.004656,0.005231,-0.020035,0.005207,-0.000458,0.007658,0.004586,0.002739,-0.008804,0.001029,0.005154,-0.023959,0.002979,0.003737,-0.002901,0.002815,0.001224,-0.011160,0.001172,0.003087,-0.030345,0.005090,0.010162,0.020790,0.014349,-0.025083,-0.004167,-0.000259,-0.032632,-0.007763,0.000155,0.010141,0.021003,0.015125,0.038798,-0.026466,0.011134,0.028963,-0.014726,0.009329
0.002577,-0.029838,0.004817,0.004436,-0.019670,0.005345,-0.001655,0.011181,0.004698,0.001481,-0.004938,0.001205,0.004318,-0.025737,0.003028,0.003199,-0.001624,0.002876,0.000681,-0.006219,0.001903,0.002006,-0.032164,0.005309,0.009668,0.021501,0.014673,-0.008432,0.008718,0.007202,-0.015898,0.000921,0.008520,0.009542,0.021341,0.015473,0.025464,-0.008519,0.013444,0.014522,-0.000374,0.012445
0.001450,-0.031178,0.004462,0.003570,-0.019292,0.005027,-0.002415,0.012585,0.004412,0.000466,-0.002224,0.001193,0.003409,-0.027810,0.002564,0.002614,-0.001089,0.002441,0.000086,-0.002092,0.002135,0.000808,-0.033675,0.004989,0.008969,0.021557,0.014245,0.002154,0.016860,0.011427,-0.004772,0.006594,0.013307,0.008782,0.021264,0.015217,0.016904,0.002642,0.014340,0.005653,0.008094,0.013911
0.000385,-0.032277,0.003890,0.002813,-0.019051,0.004577,-0.002580,0.012134,0.004029,0.000037,-0.000748,0.001209,0.002612,-0.029990,0.001872,0.002170,-0.001154,0.001790,-0.000326,0.000724,0.002033,-0.000317,-0.034816,0.004425,0.008257,0.021063,0.013383,0.007541,0.020846,0.013060,0.001170,0.009533,0.015205,0.008069,0.021023,0.014683,0.012222,0.008644,0.014354,0.001330,0.011725,0.014385
-0.000438,-0.033139,0.003342,0.002260,-0.019118,0.004190,-0.002296,0.010596,0.003720,0.000223,-0.000497,0.001265,0.002033,-0.032023,0.001233,0.002013,-0.001780,0.001202,-0.000306,0.001707,0.001770,-0.001173,-0.035595,0.003860,0.007756,0.020326,0.012400,0.009696,0.022071,0.013157,0.003627,0.010385,0.015414,0.007606,0.020799,0.014124,0.009816,0.011948,0.014025,-0.000294,0.012509,0.014519
-0.000925,-0.033754,0.002895,0.001907,-0.019527,0.003865,-0.002017,0.009095,0.003469,0.000525,-0.000789,0.001266,0.001672,-0.033552,0.000773,0.002064,-0.002708,0.000800,0.000051,0.001181,0.001472,-0.001656,-0.036047,0.003379,0.007603,0.019579,0.011437,0.010415,0.021722,0.012540,0.004454,0.009681,0.014900,0.007486,0.020503,0.013608,0.008451,0.014242,0.013624,-0.000616,0.012180,0.014585
-0.001130,-0.034110,0.002559,0.001652,-0.020241,0.003564,-0.002165,0.008368,0.003230,0.000368,-0.000761,0.001197,0.001429,-0.034270,0.000514,0.002049,-0.003562,0.000599,0.000331,0.000089,0.001251,-0.001816,-0.036223,0.003006,0.007765,0.018939,0.010549,0.010716,0.020488,0.011689,0.004929,0.007832,0.014214,0.007630,0.019915,0.013128,0.007480,0.016033,0.013235,-0.000390,0.011694,0.014586
