body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
0.003638,0.012526,0.786683,0.119776,-0.004502,0.654464,0.110178,-0.015252,0.348537,0.088784,0.045400,0.038026,-0.113073,0.000602,0.654460,-0.111318,-0.003095,0.348349,-0.106159,0.055192,0.036590,0.003404,0.023826,0.839618,0.119619,-0.039025,1.079459,0.188106,-0.030622,0.908705,0.197852,-0.069168,0.728679,-0.158056,-0.000161,1.059610,-0.191707,-0.001379,0.878515,-0.201249,-0.038827,0.698266
0.003746,0.012066,0.786677,0.119883,-0.004963,0.654458,0.110285,-0.015712,0.348531,0.088976,0.044530,0.037934,-0.112965,0.000142,0.654454,-0.111211,-0.003555,0.348343,-0.106060,0.054208,0.036486,0.003511,0.023366,0.839612,0.119840,-0.038619,1.079626,0.185925,-0.031960,0.907851,0.195627,-0.070189,0.727756,-0.157835,0.000210,1.059797,-0.189553,-0.003863,0.878394,-0.199160,-0.040721,0.698027
0.003851,0.011575,0.786732,0.120070,-0.005234,0.654559,0.110236,-0.015224,0.348613,0.088823,0.045159,0.038052,-0.112778,-0.000123,0.654420,-0.111164,-0.002987,0.348299,-0.106166,0.055042,0.036489,0.003595,0.022799,0.839683,0.119974,-0.038602,1.079824,0.184374,-0.033003,0.907373,0.193961,-0.070827,0.727187,-0.157675,0.000392,1.060014,-0.188010,-0.005497,0.878424,-0.197691,-0.041759,0.697941
0.003951,0.011023,0.786909,0.120171,-0.005751,0.654735,0.110344,-0.015383,0.348778,0.089151,0.044339,0.038065,-0.112678,-0.000675,0.654597,-0.111063,-0.003539,0.348477,-0.106076,0.053787,0.036536,0.003695,0.022247,0.839860,0.120249,-0.037859,1.080244,0.184327,-0.032618,0.907662,0.193599,-0.070849,0.727546,-0.157404,0.001124,1.060437,-0.187565,-0.005360,0.878837,-0.197499,-0.041707,0.698386
0.004021,0.010417,0.787050,0.120302,-0.006037,0.654893,0.110198,-0.014708,0.348916,0.088951,0.044856,0.038170,-0.112550,-0.001072,0.654673,-0.110969,-0.003035,0.348545,-0.106052,0.054577,0.036650,0.003747,0.021550,0.840021,0.120468,-0.037619,1.080554,0.184453,-0.032296,0.907940,0.193593,-0.070586,0.727831,-0.157195,0.001332,1.060792,-0.187273,-0.005280,0.879182,-0.197430,-0.041396,0.698698
0.004076,0.009783,0.787174,0.120357,-0.006624,0.655015,0.110262,-0.014827,0.349025,0.089276,0.044004,0.038122,-0.112495,-0.001705,0.654796,-0.110914,-0.003668,0.348668,-0.106007,0.053300,0.036655,0.003802,0.020916,0.840145,0.120706,-0.036896,1.080917,0.184684,-0.031740,0.908295,0.193614,-0.070456,0.728267,-0.156961,0.002043,1.061157,-0.187152,-0.004918,0.879578,-0.197709,-0.041040,0.699118
0.004077,0.009149,0.787212,0.120412,-0.006844,0.655053,0.110113,-0.014180,0.349049,0.089093,0.044538,0.038121,-0.112446,-0.002199,0.654783,-0.110819,-0.003230,0.348650,-0.105927,0.054258,0.036730,0.003775,0.020184,0.840203,0.120749,-0.036623,1.081179,0.184867,-0.031287,0.908614,0.193767,-0.070186,0.728625,-0.156924,0.002247,1.061333,-0.186931,-0.004823,0.879727,-0.197597,-0.040721,0.699229
0.004062,0.008497,0.787265,0.120450,-0.007203,0.655121,0.109859,-0.013780,0.349110,0.088701,0.044854,0.038173,-0.112413,-0.002818,0.654794,-0.110954,-0.003276,0.348659,-0.106248,0.054321,0.036754,0.003757,0.019479,0.840267,0.121056,-0.036208,1.081346,0.185229,-0.030829,0.908803,0.193988,-0.069977,0.728860,-0.156630,0.002684,1.061706,-0.186578,-0.004603,0.880098,-0.197475,-0.040419,0.699597
0.004016,0.007810,0.787347,0.120481,-0.007619,0.655238,0.110123,-0.013952,0.349216,0.089272,0.044375,0.038195,-0.112388,-0.003531,0.654818,-0.110795,-0.003381,0.348685,-0.106045,0.054295,0.036795,0.003680,0.018750,0.840358,0.121018,-0.035758,1.081687,0.185301,-0.030306,0.909186,0.194008,-0.069636,0.729281,-0.156659,0.003141,1.061911,-0.186626,-0.004356,0.880313,-0.197774,-0.040215,0.699836
0.003981,0.007109,0.787406,0.120511,-0.008000,0.655322,0.109900,-0.013667,0.349297,0.088892,0.044690,0.038287,-0.112364,-0.004279,0.654834,-0.110841,-0.003475,0.348701,-0.106199,0.054251,0.036820,0.003640,0.018008,0.840426,0.121298,-0.035414,1.081842,0.185565,-0.029902,0.909337,0.194057,-0.069466,0.729473,-0.156385,0.003563,1.062277,-0.186287,-0.004046,0.880671,-0.197567,-0.040005,0.700222
0.003951,0.006400,0.787453,0.120539,-0.008429,0.655389,0.110115,-0.013891,0.349356,0.089387,0.043963,0.038233,-0.112340,-0.005046,0.654845,-0.110636,-0.003570,0.348716,-0.105873,0.054195,0.036843,0.003587,0.017265,0.840481,0.121298,-0.035026,1.082117,0.185655,-0.029460,0.909648,0.194042,-0.069242,0.729827,-0.156372,0.003997,1.062445,-0.186320,-0.003680,0.880848,-0.197812,-0.039788,0.700442
0.003956,0.005743,0.787456,0.120587,-0.008809,0.655405,0.109877,-0.013311,0.349367,0.089040,0.044569,0.038255,-0.112296,-0.005692,0.654816,-0.110721,-0.003709,0.348689,-0.106122,0.054082,0.036821,0.003590,0.016568,0.840492,0.121612,-0.034669,1.082204,0.186040,-0.029101,0.909761,0.194328,-0.069235,0.730014,-0.156072,0.004371,1.062723,-0.186042,-0.003224,0.881125,-0.197563,-0.039553,0.700765
0.003946,0.005066,0.787485,0.120644,-0.009187,0.655466,0.109747,-0.012924,0.349425,0.088893,0.044850,0.038290,-0.112242,-0.006325,0.654789,-0.110610,-0.003620,0.348668,-0.105998,0.054402,0.036843,0.003563,0.015837,0.840533,0.121789,-0.034407,1.082354,0.186313,-0.028809,0.909947,0.194458,-0.069265,0.730266,-0.155903,0.004627,1.062949,-0.185971,-0.002836,0.881359,-0.197593,-0.039326,0.701038
0.003905,0.004347,0.787567,0.120604,-0.009861,0.655547,0.109712,-0.013150,0.349501,0.089027,0.044292,0.038293,-0.112282,-0.007003,0.654871,-0.110646,-0.003898,0.348753,-0.106037,0.053984,0.036902,0.003523,0.015119,0.840614,0.121913,-0.033928,1.082600,0.186415,-0.028533,0.910179,0.194579,-0.069254,0.730559,-0.155778,0.005118,1.063198,-0.185897,-0.002391,0.881619,-0.197606,-0.038950,0.701318
0.003840,0.003660,0.787663,0.120580,-0.010307,0.655657,0.109635,-0.012892,0.349607,0.089009,0.044705,0.038418,-0.112307,-0.007583,0.654926,-0.110739,-0.003803,0.348816,-0.106217,0.054307,0.037005,0.003439,0.014375,0.840721,0.122053,-0.033626,1.082808,0.186597,-0.028311,0.910401,0.194693,-0.069264,0.730830,-0.155683,0.005130,1.063460,-0.185890,-0.002383,0.881895,-0.197702,-0.038979,0.701608
0.003762,0.002988,0.787766,0.120502,-0.010978,0.655760,0.109557,-0.013564,0.349710,0.089035,0.043538,0.038422,-0.112385,-0.008255,0.655029,-0.110817,-0.004474,0.348919,-0.106300,0.053216,0.037030,0.003362,0.013703,0.840824,0.122134,-0.033147,1.083060,0.186624,-0.028234,0.910620,0.194688,-0.069634,0.731151,-0.155602,0.005624,1.063716,-0.185873,-0.002105,0.882171,-0.197780,-0.038933,0.701938
0.003672,0.002449,0.787713,0.120414,-0.011371,0.655699,0.109421,-0.013170,0.349645,0.088904,0.044457,0.038452,-0.112474,-0.008691,0.654971,-0.110793,-0.004281,0.348870,-0.106175,0.053904,0.037074,0.003265,0.013135,0.840777,0.122326,-0.032652,1.083075,0.186755,-0.027842,0.910610,0.194834,-0.069437,0.731186,-0.155484,0.005648,1.063839,-0.185873,-0.002207,0.882319,-0.197935,-0.038943,0.702077
