body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
-0.698587,0.048200,0.047247,0.712335,-0.697226,0.065871,0.079270,0.709403,0.771786,0.057472,0.091855,-0.626582,0.777269,-0.015488,-0.001686,-0.628975,-0.697548,0.062089,0.069939,0.710409,-0.697815,-0.074515,-0.064198,0.709493,-0.700700,0.000781,0.008831,0.713401,-0.653228,-0.089660,-0.031440,0.751176,-0.630429,-0.191644,0.089545,0.746869,-0.316201,-0.630046,-0.152589,0.692659,-0.337716,-0.623269,-0.222780,0.669218,-0.667222,0.048799,-0.088304,0.737994,0.648620,0.271146,0.566182,-0.430360,0.634828,0.272493,0.579774,-0.431976
-0.698587,0.048200,0.047247,0.712335,-0.697226,0.065871,0.079270,0.709403,0.771848,0.057050,0.091335,-0.626621,0.777270,-0.015912,-0.002210,-0.628962,-0.697548,0.062089,0.069939,0.710409,-0.697869,-0.073919,-0.063611,0.709555,-0.700691,0.001380,0.009419,0.713401,-0.653293,-0.088062,-0.030051,0.751365,-0.631642,-0.183246,0.088865,0.748033,-0.316535,-0.629889,-0.153959,0.692346,-0.342040,-0.619920,-0.229955,0.667704,-0.667772,0.050043,-0.078978,0.738471,0.647609,0.273050,0.566365,-0.430437,0.630595,0.273441,0.580037,-0.437193
-0.698607,0.047488,0.046957,0.712382,-0.697239,0.065258,0.078139,0.709572,0.771845,0.057126,0.091607,-0.626578,0.777294,-0.016116,-0.001822,-0.628928,-0.697579,0.061275,0.068840,0.710556,-0.697875,-0.074046,-0.064079,0.709494,-0.700747,0.000890,0.009275,0.713349,-0.653082,-0.086881,-0.028997,0.751728,-0.632243,-0.177693,0.088044,0.748961,-0.316018,-0.630087,-0.155087,0.692150,-0.345188,-0.616803,-0.235784,0.666937,-0.667848,0.050488,-0.072722,0.739014,0.646368,0.275266,0.566497,-0.430717,0.626780,0.274482,0.579897,-0.442183
-0.698607,0.047488,0.046957,0.712382,-0.697277,0.064842,0.077732,0.709619,0.771972,0.056492,0.090618,-0.626623,0.777304,-0.016079,-0.001988,-0.628916,-0.697579,0.061275,0.068840,0.710556,-0.697947,-0.073247,-0.063293,0.709576,-0.700736,0.001693,0.010064,0.713347,-0.653158,-0.084823,-0.027209,0.751963,-0.632867,-0.176288,0.088286,0.748737,-0.316938,-0.629006,-0.154824,0.692771,-0.348770,-0.613828,-0.238817,0.666739,-0.667476,0.051117,-0.071118,0.739462,0.645401,0.276086,0.565961,-0.432346,0.623549,0.274503,0.579520,-0.447204
-0.698798,0.046744,0.046498,0.712274,-0.697476,0.064074,0.076296,0.709648,0.772032,0.056221,0.090486,-0.626592,0.777349,-0.015792,-0.001500,-0.628869,-0.697799,0.060265,0.067777,0.710529,-0.698073,-0.073467,-0.063648,0.709398,-0.700907,0.000744,0.009276,0.713192,-0.653236,-0.083327,-0.026019,0.752106,-0.633357,-0.176158,0.088004,0.748387,-0.317443,-0.628568,-0.155268,0.692838,-0.351301,-0.611632,-0.241705,0.666388,-0.667160,0.051106,-0.070645,0.739793,0.644317,0.277251,0.566049,-0.433101,0.620962,0.274879,0.579360,-0.450766
-0.698798,0.046744,0.046498,0.712274,-0.697525,0.063530,0.075763,0.709707,0.772170,0.055576,0.089420,-0.626633,0.777363,-0.016438,-0.002574,-0.628833,-0.697799,0.060265,0.067777,0.710529,-0.698139,-0.072735,-0.062928,0.709473,-0.700897,0.001480,0.009999,0.713191,-0.653307,-0.081202,-0.024174,0.752338,-0.633906,-0.175765,0.088423,0.747965,-0.318405,-0.627672,-0.154876,0.693296,-0.353955,-0.609461,-0.243459,0.666334,-0.666672,0.051919,-0.070070,0.740232,0.643235,0.277669,0.566118,-0.434349,0.618299,0.274862,0.579455,-0.454301
-0.699265,0.045976,0.045959,0.711900,-0.697994,0.062824,0.074477,0.709444,0.772264,0.055389,0.089313,-0.626549,0.777444,-0.016224,-0.002163,-0.628739,-0.698302,0.059150,0.066748,0.710225,-0.698356,-0.073303,-0.063494,0.709150,-0.701176,0.000459,0.009287,0.712927,-0.653426,-0.079812,-0.022776,0.752427,-0.634395,-0.176304,0.088334,0.747434,-0.319464,-0.627144,-0.155276,0.693198,-0.355843,-0.607991,-0.245018,0.666100,-0.666389,0.051664,-0.069450,0.740563,0.642374,0.278939,0.565925,-0.435060,0.616580,0.275788,0.579172,-0.456431
-0.699650,0.045522,0.045734,0.711566,-0.698382,0.062347,0.073219,0.709235,0.772278,0.055134,0.089379,-0.626545,0.777470,-0.015987,-0.001939,-0.628714,-0.698682,0.058777,0.065811,0.709971,-0.698182,-0.073195,-0.063832,0.709303,-0.701040,0.000595,0.008642,0.713070,-0.653412,-0.077780,-0.021493,0.752689,-0.634794,-0.176434,0.088384,0.747059,-0.320242,-0.626483,-0.155300,0.693431,-0.357287,-0.606634,-0.246065,0.666178,-0.665918,0.051853,-0.068814,0.741032,0.641388,0.279946,0.565586,-0.436307,0.614560,0.276769,0.578912,-0.458885
-0.700168,0.045067,0.045630,0.711092,-0.698899,0.061872,0.073128,0.708777,0.772430,0.055045,0.088649,-0.626469,0.777536,-0.015586,-0.002087,-0.628641,-0.699234,0.057886,0.065301,0.709547,-0.698687,-0.073374,-0.063825,0.708787,-0.701542,0.000364,0.008702,0.712575,-0.653432,-0.076129,-0.019737,0.752888,-0.635258,-0.176725,0.088511,0.746580,-0.320892,-0.626061,-0.155324,0.693505,-0.358388,-0.605807,-0.246691,0.666108,-0.665452,0.052165,-0.068335,0.741473,0.640396,0.280827,0.565084,-0.437845,0.613083,0.277131,0.578665,-0.460949
-0.700738,0.044675,0.045522,0.710562,-0.699465,0.061487,0.071992,0.708368,0.772434,0.054909,0.088849,-0.626448,0.777558,-0.015615,-0.001275,-0.628616,-0.699816,0.057326,0.064361,0.709104,-0.698581,-0.073304,-0.064017,0.708881,-0.701455,0.000730,0.008365,0.712664,-0.653347,-0.074116,-0.018474,0.753195,-0.635625,-0.176741,0.088390,0.746278,-0.321555,-0.625322,-0.155443,0.693839,-0.359443,-0.604501,-0.247217,0.666531,-0.664897,0.052080,-0.067870,0.742020,0.639434,0.282157,0.563970,-0.439829,0.611407,0.278563,0.577593,-0.463649
-0.701333,0.044315,0.045412,0.710005,-0.700061,0.061106,0.071896,0.707822,0.772657,0.054584,0.087984,-0.626323,0.777681,-0.015923,-0.002159,-0.628453,-0.700456,0.056414,0.063730,0.708603,-0.698723,-0.073496,-0.063913,0.708731,-0.701586,0.000523,0.008483,0.712534,-0.653319,-0.072484,-0.016798,0.753418,-0.636038,-0.176961,0.088507,0.745860,-0.322168,-0.624795,-0.155388,0.694042,-0.359997,-0.603922,-0.247185,0.666768,-0.664365,0.052116,-0.067695,0.742510,0.638295,0.283455,0.562859,-0.442067,0.609867,0.279511,0.576675,-0.466242
-0.701682,0.043974,0.045258,0.709691,-0.700444,0.060386,0.070416,0.707653,0.772661,0.054499,0.088132,-0.626304,0.777705,-0.015741,-0.001857,-0.628430,-0.700810,0.056015,0.062965,0.708352,-0.698763,-0.073352,-0.064129,0.708687,-0.701645,0.000659,0.008606,0.712474,-0.653334,-0.070592,-0.015606,0.753610,-0.636430,-0.177056,0.088643,0.745487,-0.323367,-0.624016,-0.155429,0.694176,-0.361518,-0.602781,-0.247374,0.666908,-0.663877,0.051877,-0.067796,0.742953,0.637718,0.284410,0.561640,-0.443833,0.608979,0.280537,0.575431,-0.468320
-0.702078,0.043472,0.045075,0.709342,-0.700848,0.059810,0.069247,0.707418,0.772607,0.054326,0.088031,-0.626400,0.777638,-0.015682,-0.001572,-0.628514,-0.701236,0.055149,0.062172,0.708068,-0.698870,-0.073637,-0.064364,0.708531,-0.701776,0.000367,0.008367,0.712348,-0.653382,-0.068969,-0.014379,0.753743,-0.636827,-0.177249,0.088798,0.745083,-0.324263,-0.623274,-0.155330,0.694447,-0.362528,-0.601782,-0.247506,0.667212,-0.663435,0.051709,-0.068150,0.743328,0.637025,0.285288,0.560694,-0.445458,0.608157,0.281048,0.574697,-0.469979
-0.702078,0.043472,0.045075,0.709342,-0.700892,0.059291,0.068734,0.707467,0.772683,0.054086,0.087485,-0.626404,0.777652,-0.015920,-0.002123,-0.628490,-0.701273,0.054684,0.061712,0.708108,-0.698880,-0.073475,-0.064208,0.708552,-0.701770,0.000530,0.008524,0.712352,-0.653416,-0.067093,-0.012754,0.753912,-0.637302,-0.176770,0.089250,0.744737,-0.325040,-0.622924,-0.155101,0.694449,-0.363273,-0.601363,-0.247290,0.667266,-0.662936,0.051903,-0.068083,0.743765,0.636742,0.285450,0.560477,-0.446031,0.607856,0.281223,0.574474,-0.470536
-0.702296,0.043005,0.044806,0.709171,-0.701134,0.058601,0.067816,0.707374,0.772624,0.054301,0.087533,-0.626452,0.777595,-0.015296,-0.001256,-0.628579,-0.701510,0.054019,0.060827,0.708001,-0.698836,-0.073627,-0.064562,0.708547,-0.701764,0.000471,0.007909,0.712366,-0.653850,-0.065585,-0.011608,0.753687,-0.638026,-0.176604,0.089662,0.744107,-0.325521,-0.622530,-0.154819,0.694639,-0.363607,-0.600882,-0.247158,0.667565,-0.662935,0.052052,-0.068227,0.743742,0.636470,0.285531,0.560419,-0.446439,0.607656,0.281343,0.574381,-0.470836
-0.702296,0.043005,0.044806,0.709171,-0.701134,0.058601,0.067816,0.707374,0.772694,0.053792,0.086906,-0.626496,0.777595,-0.015807,-0.001888,-0.628564,-0.701510,0.054019,0.060827,0.708001,-0.698879,-0.073150,-0.064092,0.708597,-0.701758,0.000950,0.008382,0.712365,-0.653876,-0.063761,-0.010026,0.753843,-0.638445,-0.175715,0.090461,0.743861,-0.326454,-0.621980,-0.154147,0.694843,-0.364493,-0.600265,-0.246521,0.667873,-0.662494,0.052582,-0.067852,0.744132,0.636340,0.285327,0.560062,-0.447202,0.607508,0.281161,0.574005,-0.471593
-0.702350,0.042813,0.044618,0.709141,-0.701248,0.057753,0.066853,0.707423,0.772681,0.054443,0.087415,-0.626385,0.777633,-0.015250,-0.000975,-0.628533,-0.701620,0.053153,0.060242,0.708008,-0.698927,-0.073825,-0.064530,0.708440,-0.701851,0.000240,0.007922,0.712279,-0.654544,-0.062262,-0.009034,0.753402,-0.639408,-0.175253,0.090734,0.743109,-0.327338,-0.621557,-0.154262,0.694781,-0.365179,-0.599798,-0.246767,0.667827,-0.662775,0.053099,-0.067865,0.743844,0.636350,0.284698,0.560839,-0.446616,0.607494,0.280686,0.574853,-0.470861
-0.702257,0.042732,0.044547,0.709242,-0.701213,0.056997,0.066189,0.707581,0.772694,0.054852,0.087505,-0.626321,0.777658,-0.015057,-0.001400,-0.628506,-0.701580,0.052401,0.059798,0.708141,-0.698855,-0.074381,-0.064774,0.708430,-0.701803,-0.000022,0.007764,0.712329,-0.655158,-0.060750,-0.008032,0.753003,-0.640297,-0.174779,0.091157,0.742403,-0.329294,-0.620627,-0.154377,0.694662,-0.366905,-0.598689,-0.246605,0.667936,-0.663015,0.053555,-0.067733,0.743610,0.636354,0.284273,0.560868,-0.446844,0.607541,0.280283,0.574959,-0.470911
