joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.104553,0.123118,-0.134209,0.021093,0.013010,0.052441,0.229817,-0.000809,0.311336,0.245476,0.208592,-0.002682,-0.133746,-0.237661,-0.210104,0.320124,-0.271047,0.004444,-0.001395,-0.668717,0.599103,1.022878,1.205331,-0.134708,-0.000311,0.060952,0.033540,-0.041903,-0.019811
0.104553,0.123118,-0.134209,0.021093,0.013010,0.052441,0.229817,-0.000809,0.307083,0.244129,0.206912,-0.010558,-0.143976,-0.237661,-0.210104,0.307838,-0.258640,0.004444,-0.001395,-0.668717,0.597670,1.040782,1.227050,-0.150185,0.006194,0.060952,0.033540,-0.043466,-0.030530
0.105602,0.124407,-0.134734,0.019745,0.011993,0.051948,0.230118,-0.000446,0.302423,0.242067,0.205041,-0.014804,-0.150018,-0.237837,-0.210042,0.299107,-0.249774,0.003852,-0.000437,-0.669374,0.595768,1.053415,1.242712,-0.163657,0.011871,0.059223,0.032298,-0.044831,-0.040162
0.106772,0.124407,-0.134734,0.019745,0.011993,0.051948,0.230118,-0.000446,0.296948,0.238578,0.202788,-0.011791,-0.147683,-0.235698,-0.210042,0.297489,-0.247991,0.003852,-0.000437,-0.669374,0.592927,1.053415,1.246259,-0.173116,0.015891,0.059223,0.032298,-0.044831,-0.047622
0.108183,0.125637,-0.134942,0.018358,0.011487,0.051619,0.229996,-0.000324,0.291357,0.234765,0.200661,-0.007768,-0.144490,-0.234029,-0.208398,0.296950,-0.246947,0.003923,-0.000079,-0.669184,0.590948,1.052988,1.249043,-0.180356,0.019205,0.058474,0.031245,-0.045155,-0.053377
0.109715,0.125637,-0.134942,0.018358,0.011487,0.051619,0.229996,-0.000324,0.285709,0.230790,0.198598,-0.003239,-0.140868,-0.234029,-0.208398,0.296950,-0.246947,0.003923,-0.000079,-0.669184,0.589401,1.051303,1.251445,-0.186487,0.022165,0.058474,0.031245,-0.045155,-0.058279
0.110671,0.126820,-0.135873,0.017160,0.011245,0.051814,0.229187,-0.000709,0.279870,0.227458,0.197162,0.001655,-0.137368,-0.232718,-0.207554,0.297150,-0.245819,0.003864,0.000269,-0.668079,0.587323,1.049392,1.253899,-0.189800,0.023961,0.058069,0.030835,-0.045487,-0.061246
0.112156,0.127705,-0.136863,0.015678,0.010084,0.050816,0.228417,-0.001940,0.274087,0.224602,0.195623,0.006628,-0.133809,-0.231853,-0.207166,0.298028,-0.244198,0.004425,-0.000163,-0.667622,0.585009,1.047594,1.255996,-0.192583,0.025870,0.057932,0.031221,-0.045726,-0.063854
0.112156,0.128894,-0.138344,0.015678,0.010084,0.050816,0.227155,-0.001940,0.268412,0.222696,0.193875,0.011760,-0.130135,-0.230324,-0.207166,0.298028,-0.244198,0.004425,-0.000163,-0.667622,0.582227,1.046021,1.257379,-0.194304,0.025870,0.057932,0.031221,-0.045726,-0.065744
0.113588,0.130301,-0.140048,0.014148,0.009094,0.049636,0.225868,-0.003596,0.262924,0.220514,0.191911,0.016750,-0.126010,-0.229239,-0.207385,0.298508,-0.242462,0.003815,-0.000759,-0.667162,0.578230,1.044321,1.257840,-0.195757,0.027184,0.057267,0.031538,-0.045760,-0.067314
0.113588,0.131819,-0.141862,0.014148,0.009094,0.049636,0.224568,-0.004871,0.257527,0.218193,0.189838,0.021668,-0.121660,-0.229239,-0.207385,0.298508,-0.242462,0.003815,-0.000759,-0.667162,0.573627,1.042557,1.257840,-0.195757,0.027184,0.057267,0.031538,-0.045760,-0.068723
0.115999,0.132760,-0.142688,0.012757,0.008282,0.048741,0.223839,-0.005515,0.252344,0.215041,0.188287,0.026114,-0.116779,-0.228664,-0.207850,0.299455,-0.241460,0.004030,-0.000277,-0.665865,0.570201,1.040673,1.256365,-0.196637,0.027786,0.056905,0.031565,-0.045408,-0.069404
0.117494,0.134139,-0.143573,0.011421,0.007901,0.048112,0.222703,-0.006158,0.247231,0.212077,0.186666,0.030302,-0.112002,-0.227770,-0.207839,0.300168,-0.241358,0.003929,-0.000311,-0.665320,0.566964,1.038472,1.254944,-0.197288,0.027217,0.056759,0.031513,-0.045425,-0.070163
0.118959,0.135449,-0.143573,0.011421,0.007901,0.048112,0.222703,-0.006158,0.242255,0.209492,0.184904,0.033972,-0.107432,-0.227770,-0.207839,0.300168,-0.241358,0.003929,-0.000311,-0.665320,0.566964,1.038472,1.254944,-0.197288,0.027217,0.056759,0.031513,-0.045425,-0.070163
0.120194,0.136603,-0.142942,0.010796,0.007292,0.047911,0.222002,-0.006642,0.237370,0.207547,0.183419,0.036823,-0.103565,-0.225983,-0.207608,0.300806,-0.241464,0.003554,-0.000808,-0.666634,0.566012,1.037527,1.254819,-0.197339,0.027122,0.056763,0.031472,-0.045788,-0.069907
