joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.212653,-0.067379,-0.084017,-0.393795,-0.511492,0.000000,0.000000,-0.614341,0.620355,0.000000,0.000000,0.000000,-0.071636,0.895178,1.085979,-0.773886,0.325251,0.000000,0.000000,-0.078143,-0.535929
0.052435,0.064433,-0.026209,-0.067411,-0.050874,-0.024624,0.015036,0.018113,-0.233018,-0.103078,-0.093554,-0.212308,-0.302079,-0.008804,0.003111,-0.436525,0.443284,-0.029615,0.047878,-0.032839,-0.095111,0.631654,0.783098,-0.673572,0.283835,-0.086419,-0.062092,-0.068282,-0.481614
0.058531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.273751,-0.174471,-0.112633,0.150665,0.116744,0.106935,0.000000,-0.080891,0.089145,0.000000,0.000000,0.000000,-0.142056,0.000000,0.177348,-0.472946,0.201003,0.000000,0.000000,0.000000,-0.372985
0.070566,0.061502,-0.010427,-0.069341,-0.025300,-0.016436,-0.006081,0.006111,-0.279523,-0.190646,-0.106330,0.201161,0.159635,0.083450,0.082173,-0.026965,0.052223,0.003539,0.017892,0.009510,-0.098920,-0.021327,0.139183,-0.362018,0.165671,-0.037465,-0.052654,-0.016186,-0.287750
0.076582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.282413,-0.198732,-0.103182,0.226409,0.181082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.077373,-0.084275,0.120103,-0.306552,0.148005,0.000000,0.000000,0.000000,-0.245132
0.047793,0.059149,-0.046525,-0.059878,-0.012062,0.009710,-0.040459,-0.019230,-0.291923,-0.166591,-0.071771,0.244716,0.175031,0.065552,0.042211,0.009991,0.056409,-0.002946,0.017426,0.055215,-0.103912,-0.095540,0.122714,-0.165650,0.089820,-0.020244,-0.020473,-0.016574,-0.148340
0.074271,0.044238,-0.049506,-0.074106,-0.058052,-0.049870,-0.038487,-0.061561,-0.289185,-0.142822,-0.076970,0.248673,0.177925,0.043235,0.019370,0.043926,0.081044,0.028072,-0.021616,0.022879,-0.115654,-0.089896,0.104862,-0.139129,0.095462,-0.006870,0.019269,-0.011965,-0.130397
0.000000,0.059450,-0.074089,0.000000,0.000000,0.000000,-0.063097,0.000000,-0.283715,-0.095292,-0.087368,0.256588,0.183713,0.076472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.139147,-0.078624,0.069135,-0.086083,0.000000,0.000000,0.000000,0.000000,-0.094511
0.071597,0.070390,-0.085177,-0.076529,-0.049519,-0.059005,-0.064366,-0.082815,-0.274442,-0.109110,-0.098218,0.249469,0.206247,0.054245,-0.010952,0.023977,0.086810,-0.030545,-0.029773,0.022975,-0.199825,-0.085014,0.023037,-0.072662,0.065691,-0.033217,0.015842,-0.001709,-0.078480
0.000000,0.075857,-0.090721,0.000000,0.000000,0.000000,-0.064997,-0.063756,-0.269811,-0.116021,-0.103644,0.245909,0.217516,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.230145,-0.088209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.070465
0.120554,0.047085,-0.041300,-0.069519,-0.040614,-0.044766,-0.036474,-0.032164,-0.259143,-0.157633,-0.077555,0.222322,0.244039,0.028755,-0.023245,0.047354,0.050102,0.010793,0.024065,0.064853,-0.171301,-0.094187,-0.073719,-0.043970,0.030109,-0.018129,0.001370,0.017615,-0.034042
0.074711,0.068923,-0.044221,-0.066817,-0.019020,-0.031423,-0.056767,-0.032164,-0.255686,-0.148177,-0.081068,0.209383,0.238856,0.044715,0.000589,0.035658,0.005100,-0.005067,-0.001680,0.027284,-0.161836,-0.110060,-0.071090,-0.032557,-0.028459,-0.007279,-0.002587,-0.000839,-0.037935
0.073261,0.065515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.248782,-0.129259,-0.088093,0.183506,0.228490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.061762,0.057711,0.031557,-0.031252,-0.030460,-0.010062,-0.035057,-0.024214,-0.244252,-0.097230,-0.074233,0.142563,0.193373,0.089325,0.011545,0.031896,-0.005338,-0.018737,-0.024871,-0.065723,-0.047642,-0.047266,-0.006253,-0.002555,-0.004763,0.000202,-0.002049,-0.018178,0.012774
