body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
-0.023229,0.000093,0.007770,0.032782,-0.002480,0.003703,0.050400,-0.002047,0.000130,0.045644,0.004698,0.003233,0.052309,-0.003390,0.006132,0.003725,-0.000886,-0.001024,-0.000563,-0.000000,-0.000225,0.127885,0.021177,0.016698,-0.171967,0.209183,-0.051326,0.242768,0.020934,-0.068902,0.025224,-0.328364,0.352511,-0.160866,-0.192204,0.099805,0.154895,-0.011907,0.058063,0.143025,-0.043530,-0.621861
-0.031976,0.000183,0.011192,0.006536,-0.004216,0.006966,0.040234,-0.003603,0.001037,0.028922,0.005194,0.004597,0.026330,-0.003489,0.008718,0.008010,-0.002002,-0.001927,-0.000861,-0.000123,-0.000523,0.116709,0.027861,0.030809,-0.115735,0.170181,-0.022191,0.205232,0.025337,-0.045192,0.019621,-0.273936,0.322147,-0.104721,-0.133845,0.094561,0.133970,-0.001549,0.082120,0.118900,-0.021804,-0.499935
-0.036064,0.000391,0.013463,-0.019490,-0.006401,0.010333,0.034746,-0.005768,0.002555,0.016095,0.003995,0.005783,0.001561,-0.002784,0.010347,0.014298,-0.003834,-0.002867,-0.000434,-0.000524,-0.000938,0.106350,0.033402,0.046346,-0.055633,0.127265,0.008930,0.163003,0.029532,-0.017266,0.014754,-0.209312,0.284621,-0.043019,-0.073900,0.089355,0.114500,0.007848,0.107896,0.096669,-0.000090,-0.357376
-0.033785,0.000678,0.013739,-0.039524,-0.008278,0.012570,0.034984,-0.007848,0.004456,0.008891,0.001819,0.006896,-0.016421,-0.001645,0.010781,0.021432,-0.006280,-0.003440,0.001560,-0.001313,-0.001291,0.098345,0.036702,0.060024,-0.005436,0.089638,0.035388,0.122698,0.033264,0.009853,0.011592,-0.144389,0.244270,0.010254,-0.025216,0.085350,0.099887,0.014263,0.130257,0.081243,0.016421,-0.218054
-0.027086,0.000893,0.012329,-0.050236,-0.009131,0.013102,0.037944,-0.009053,0.006071,0.005894,-0.000014,0.007813,-0.025469,-0.000829,0.010508,0.027062,-0.008758,-0.003448,0.004952,-0.002292,-0.001356,0.092898,0.037687,0.068707,0.027024,0.062591,0.052362,0.089435,0.036021,0.030734,0.010434,-0.088555,0.204293,0.046214,0.005970,0.082035,0.090663,0.017560,0.144064,0.073669,0.025440,-0.103913
-0.020235,0.000916,0.010711,-0.051130,-0.008896,0.012685,0.038648,-0.009190,0.006628,0.004717,-0.000740,0.007854,-0.026888,-0.000914,0.010450,0.028578,-0.010274,-0.003042,0.007941,-0.002952,-0.001084,0.089326,0.037270,0.071172,0.042199,0.045771,0.058981,0.064707,0.037284,0.041867,0.010037,-0.046969,0.166510,0.064132,0.021778,0.078288,0.085065,0.019430,0.147490,0.071232,0.029143,-0.025327
-0.016901,0.000781,0.010583,-0.043648,-0.008122,0.012811,0.033303,-0.008729,0.005794,0.003616,-0.000510,0.006225,-0.023347,-0.001972,0.011429,0.024805,-0.010044,-0.002469,0.008477,-0.002920,-0.000669,0.087013,0.036651,0.068595,0.045035,0.035820,0.057703,0.046993,0.037038,0.042219,0.008128,-0.019868,0.131945,0.068138,0.028232,0.074051,0.081070,0.021796,0.143798,0.070096,0.031867,0.021016
-0.018007,0.000626,0.012540,-0.030508,-0.007354,0.014370,0.021221,-0.008139,0.003947,0.001545,0.000224,0.002926,-0.017062,-0.003689,0.013580,0.017076,-0.008309,-0.001848,0.006232,-0.002390,-0.000339,0.086149,0.036394,0.062904,0.041054,0.029318,0.051617,0.034573,0.035626,0.031330,0.004166,-0.004213,0.099298,0.063380,0.030193,0.069881,0.077873,0.025116,0.138529,0.067930,0.035992,0.046330
-0.021837,0.000561,0.015672,-0.015054,-0.006742,0.016999,0.004947,-0.007484,0.001940,-0.001838,0.001264,-0.000850,-0.009415,-0.005630,0.016211,0.008358,-0.006307,-0.001163,0.002685,-0.001946,-0.000096,0.087561,0.036109,0.054838,0.034795,0.023891,0.042203,0.027608,0.033166,0.007839,0.001272,0.004163,0.063656,0.054514,0.029653,0.065296,0.075575,0.028066,0.134557,0.064532,0.040189,0.061196
-0.026085,0.000624,0.018615,-0.000223,-0.006224,0.019778,-0.011239,-0.006729,0.000547,-0.005852,0.002518,-0.003384,-0.001567,-0.007358,0.018518,0.001301,-0.005167,-0.000298,-0.000399,-0.001954,0.000331,0.091520,0.035102,0.044176,0.029003,0.018313,0.029703,0.027085,0.029422,-0.028494,0.003905,0.008901,0.020004,0.045006,0.026904,0.058942,0.073880,0.028848,0.130567,0.060583,0.041604,0.070717
