body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.007312,0.003225,-0.001844,-0.007230,0.003387,-0.001485,-0.005962,0.017240,-0.000495,-0.004706,0.036149,0.002039,-0.007235,0.002582,-0.001487,-0.005902,0.022906,-0.000399,-0.007671,0.031758,0.000475,-0.007229,0.004251,-0.002058,-0.002720,-0.029800,-0.007738,-0.045001,-0.065995,-0.012778,-0.051771,-0.019865,-0.022211,-0.002286,-0.034626,-0.004315,0.036721,-0.071270,-0.013287,0.042497,-0.038317,-0.020585
-0.007334,0.004204,-0.001736,-0.007229,0.003060,-0.001310,-0.005340,0.009325,-0.000874,-0.003440,0.025164,0.001257,-0.007242,0.001412,-0.001299,-0.005700,0.013797,-0.000603,-0.005567,0.021729,0.000302,-0.007224,0.005736,-0.002056,-0.000993,-0.022943,-0.008476,-0.036929,-0.049529,-0.012927,-0.043736,-0.009082,-0.021208,-0.000359,-0.031117,-0.003079,0.029525,-0.058781,-0.009938,0.034285,-0.030267,-0.016205
-0.007374,0.005351,-0.001553,-0.007272,0.003047,-0.001118,-0.004732,0.000919,-0.001289,-0.002122,0.014610,0.000569,-0.007290,0.000665,-0.001054,-0.005815,0.004421,-0.000799,-0.003726,0.012049,0.000213,-0.007251,0.007247,-0.001949,0.000679,-0.015491,-0.009057,-0.027470,-0.030622,-0.012785,-0.034136,0.002898,-0.019661,0.001539,-0.027701,-0.001774,0.020971,-0.044389,-0.006235,0.024744,-0.020661,-0.011401
-0.007398,0.006402,-0.001347,-0.007336,0.003423,-0.000992,-0.004311,-0.006089,-0.001692,-0.001120,0.006987,0.000108,-0.007357,0.000672,-0.000825,-0.006165,-0.002848,-0.000954,-0.002447,0.005298,0.000239,-0.007277,0.008373,-0.001761,0.001972,-0.008967,-0.009350,-0.018486,-0.013252,-0.012355,-0.024906,0.013090,-0.017781,0.003046,-0.025173,-0.000681,0.012873,-0.031185,-0.002953,0.015939,-0.011667,-0.007167
-0.007350,0.007106,-0.001215,-0.007356,0.004031,-0.001004,-0.004159,-0.010412,-0.002048,-0.000696,0.003149,-0.000153,-0.007375,0.001345,-0.000710,-0.006453,-0.006640,-0.001077,-0.001659,0.002427,0.000305,-0.007238,0.008871,-0.001588,0.002744,-0.004489,-0.009379,-0.011494,-0.000671,-0.011776,-0.017655,0.019234,-0.015914,0.003979,-0.023757,-0.000012,0.006730,-0.021499,-0.000681,0.009396,-0.005036,-0.004211
-0.007210,0.007351,-0.001212,-0.007275,0.004602,-0.001140,-0.004188,-0.011747,-0.002308,-0.000779,0.002167,-0.000340,-0.007291,0.002206,-0.000751,-0.006410,-0.007242,-0.001188,-0.001154,0.002257,0.000282,-0.007106,0.008785,-0.001517,0.003071,-0.002307,-0.009286,-0.006919,0.006129,-0.011225,-0.012852,0.020869,-0.014342,0.004391,-0.023083,0.000211,0.002944,-0.015813,0.000493,0.005279,-0.001245,-0.002603
-0.007026,0.007177,-0.001304,-0.007107,0.004940,-0.001301,-0.004181,-0.010473,-0.002393,-0.000968,0.002388,-0.000563,-0.007120,0.002683,-0.000889,-0.005976,-0.005983,-0.001265,-0.000838,0.002649,0.000099,-0.006922,0.008353,-0.001557,0.003152,-0.001942,-0.009223,-0.004262,0.008166,-0.010829,-0.010026,0.018980,-0.013181,0.004491,-0.022667,0.000150,0.001005,-0.013296,0.000901,0.002800,0.000156,-0.001904
-0.006884,0.006707,-0.001415,-0.006927,0.005002,-0.001386,-0.003983,-0.007297,-0.002259,-0.000899,0.002471,-0.000872,-0.006942,0.002461,-0.001025,-0.005270,-0.004135,-0.001264,-0.000686,0.002196,-0.000201,-0.006772,0.007813,-0.001655,0.003142,-0.002757,-0.009269,-0.002786,0.007159,-0.010623,-0.008506,0.015001,-0.012410,0.004455,-0.022328,-0.000010,0.000160,-0.012899,0.000940,0.001164,-0.000187,-0.001630
-0.006840,0.006076,-0.001502,-0.006813,0.004852,-0.001380,-0.003654,-0.003061,-0.001953,-0.000586,0.001850,-0.001273,-0.006833,0.001632,-0.001103,-0.004446,-0.002314,-0.001170,-0.000604,0.000935,-0.000514,-0.006714,0.007290,-0.001765,0.003026,-0.004459,-0.009400,-0.002024,0.004458,-0.010558,-0.007903,0.010178,-0.011955,0.004279,-0.022165,-0.000228,-0.000163,-0.013784,0.000776,0.000037,-0.001649,-0.001592
-0.006882,0.005428,-0.001568,-0.006786,0.004608,-0.001335,-0.003387,0.001426,-0.001589,-0.000339,0.000742,-0.001725,-0.006812,0.000552,-0.001130,-0.003640,-0.000639,-0.001019,-0.000462,-0.000270,-0.000743,-0.006737,0.006840,-0.001874,0.002677,-0.007036,-0.009525,-0.001811,0.000837,-0.010530,-0.008060,0.005430,-0.011735,0.003826,-0.022226,-0.000586,-0.000286,-0.015209,0.000361,-0.000597,-0.003552,-0.001854
-0.006947,0.004908,-0.001635,-0.006809,0.004401,-0.001308,-0.003293,0.005569,-0.001271,-0.000363,-0.000172,-0.002139,-0.006839,-0.000448,-0.001132,-0.002979,0.000793,-0.000867,-0.000250,-0.000772,-0.000851,-0.006779,0.006536,-0.001988,0.002048,-0.010281,-0.009566,-0.002044,-0.003190,-0.010453,-0.008770,0.001334,-0.011665,0.003042,-0.022305,-0.001133,-0.000332,-0.016488,-0.000343,-0.000718,-0.005281,-0.002452
-0.006963,0.004636,-0.001697,-0.006809,0.004352,-0.001304,-0.003297,0.009033,-0.001031,-0.000557,-0.000316,-0.002415,-0.006841,-0.001198,-0.001121,-0.002578,0.001713,-0.000754,-0.000109,-0.000634,-0.000853,-0.006770,0.006460,-0.002092,0.001270,-0.013626,-0.009507,-0.002514,-0.007172,-0.010298,-0.009644,-0.001934,-0.011654,0.002072,-0.022068,-0.001778,-0.000288,-0.017130,-0.001216,-0.000387,-0.006450,-0.003241
-0.006892,0.004652,-0.001696,-0.006732,0.004530,-0.001262,-0.003268,0.011622,-0.000824,-0.000703,0.000332,-0.002479,-0.006765,-0.001637,-0.001058,-0.002491,0.001866,-0.000665,-0.000182,-0.000373,-0.000771,-0.006668,0.006625,-0.002124,0.000540,-0.016538,-0.009338,-0.002972,-0.010860,-0.010036,-0.010244,-0.004596,-0.011576,0.001138,-0.021299,-0.002331,-0.000104,-0.016905,-0.002028,0.000289,-0.006873,-0.003965
-0.006734,0.004915,-0.001546,-0.006572,0.004927,-0.001098,-0.003163,0.013193,-0.000578,-0.000720,0.001193,-0.002328,-0.006605,-0.001718,-0.000876,-0.002648,0.001281,-0.000528,-0.000440,-0.000413,-0.000587,-0.006471,0.006955,-0.001991,-0.000040,-0.018862,-0.009011,-0.003251,-0.014305,-0.009603,-0.010293,-0.007097,-0.011289,0.000357,-0.019989,-0.002622,0.000215,-0.015806,-0.002578,0.001243,-0.006516,-0.004422
-0.006510,0.005344,-0.001230,-0.006359,0.005467,-0.000802,-0.003014,0.013748,-0.000277,-0.000651,0.001541,-0.002051,-0.006390,-0.001409,-0.000554,-0.002881,0.000365,-0.000293,-0.000687,-0.000710,-0.000291,-0.006199,0.007351,-0.001669,-0.000478,-0.020685,-0.008506,-0.003319,-0.017672,-0.008968,-0.009764,-0.009837,-0.010722,-0.000273,-0.018304,-0.002629,0.000613,-0.014042,-0.002828,0.002475,-0.005570,-0.004586
-0.006229,0.005850,-0.000863,-0.006114,0.006036,-0.000493,-0.002833,0.013620,-0.000011,-0.000507,0.001162,-0.001812,-0.006141,-0.000694,-0.000202,-0.003010,-0.000259,-0.000026,-0.000726,-0.000851,0.000028,-0.005868,0.007728,-0.001277,-0.000846,-0.022111,-0.007904,-0.003247,-0.020962,-0.008218,-0.008875,-0.012998,-0.009938,-0.000816,-0.016580,-0.002536,0.001005,-0.012034,-0.002955,0.003981,-0.004449,-0.004639
-0.005886,0.006332,-0.000636,-0.005833,0.006517,-0.000348,-0.002593,0.013400,0.000092,-0.000238,0.000570,-0.001750,-0.005855,0.000424,-0.000005,-0.002933,-0.000095,0.000116,-0.000503,-0.000487,0.000197,-0.005489,0.007998,-0.001006,-0.001226,-0.023240,-0.007344,-0.003142,-0.023984,-0.007506,-0.007964,-0.016540,-0.009080,-0.001341,-0.015266,-0.002624,0.001297,-0.010238,-0.003234,0.005625,-0.003517,-0.004870
