body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
-0.003756,0.011930,0.790805,0.111645,-0.000182,0.657736,0.108023,0.021695,0.352401,0.102204,0.063551,0.037934,-0.121244,0.001946,0.659322,-0.103372,0.016977,0.353938,-0.084112,0.051216,0.039098,-0.003005,0.022701,0.843858,0.147486,0.002853,1.071796,0.177418,-0.005234,0.890156,0.189928,-0.041139,0.709767,-0.133202,-0.007764,1.082812,-0.176583,-0.008847,0.903733,-0.193559,-0.046696,0.724097
-0.003903,0.011969,0.790767,0.111499,-0.000093,0.657702,0.107883,0.022280,0.352403,0.102070,0.064646,0.038004,-0.121390,0.002049,0.659288,-0.103511,0.017714,0.353937,-0.084348,0.052180,0.039115,-0.003152,0.022741,0.843821,0.147368,0.002048,1.071673,0.176305,-0.007000,0.889918,0.188693,-0.041829,0.709309,-0.133317,-0.008572,1.082685,-0.175670,-0.010600,0.903368,-0.192498,-0.047653,0.723555
-0.004046,0.012046,0.790725,0.111357,-0.000108,0.657676,0.107822,0.022267,0.352376,0.102083,0.064597,0.037972,-0.121533,0.001945,0.659269,-0.103510,0.017769,0.353933,-0.084251,0.052248,0.039119,-0.003282,0.022894,0.843763,0.147551,0.001873,1.071384,0.175544,-0.007944,0.889522,0.187637,-0.042097,0.708764,-0.133106,-0.009065,1.082731,-0.174899,-0.011959,0.903296,-0.191659,-0.048627,0.723399
-0.004184,0.012199,0.790675,0.111232,-0.000087,0.657649,0.107711,0.021898,0.352321,0.101988,0.064346,0.037933,-0.121658,0.001891,0.659224,-0.103620,0.017333,0.353869,-0.084249,0.051836,0.039066,-0.003427,0.023114,0.843699,0.147428,0.001638,1.071264,0.175390,-0.007777,0.889377,0.187543,-0.041265,0.708498,-0.133226,-0.009379,1.082608,-0.175033,-0.011899,0.903170,-0.191770,-0.048175,0.723192
-0.004344,0.012366,0.790672,0.111074,0.000003,0.657654,0.107673,0.021607,0.352297,0.102075,0.064333,0.037947,-0.121817,0.001901,0.659232,-0.103810,0.017142,0.353864,-0.084360,0.051939,0.039100,-0.003579,0.023330,0.843685,0.147637,0.001732,1.071000,0.175286,-0.007499,0.889056,0.187228,-0.040654,0.708102,-0.132978,-0.009876,1.082713,-0.174941,-0.012285,0.903312,-0.191697,-0.048296,0.723283
-0.004517,0.012541,0.790691,0.110892,0.000124,0.657666,0.107626,0.021309,0.352278,0.102170,0.064367,0.037972,-0.122000,0.001906,0.659271,-0.103982,0.016661,0.353879,-0.084404,0.051490,0.039130,-0.003749,0.023541,0.843697,0.147705,0.001815,1.070842,0.175173,-0.007237,0.888862,0.186956,-0.040238,0.707870,-0.132877,-0.010325,1.082779,-0.174916,-0.012545,0.903394,-0.191558,-0.048356,0.723315
-0.004644,0.012694,0.790636,0.110764,0.000234,0.657608,0.107494,0.021002,0.352191,0.102050,0.064513,0.037952,-0.122128,0.002058,0.659215,-0.104110,0.016813,0.353823,-0.084403,0.052166,0.039141,-0.003882,0.023694,0.843642,0.147672,0.001754,1.070699,0.175099,-0.006903,0.888693,0.186875,-0.039534,0.707634,-0.132888,-0.010830,1.082695,-0.174958,-0.012752,0.903315,-0.191522,-0.048195,0.723156
-0.004773,0.012841,0.790596,0.110626,0.000325,0.657558,0.107391,0.020553,0.352105,0.101993,0.064269,0.037899,-0.122265,0.002132,0.659185,-0.104200,0.016550,0.353779,-0.084308,0.052134,0.039138,-0.004002,0.023853,0.843598,0.147872,0.001819,1.070434,0.175089,-0.006703,0.888391,0.186631,-0.039336,0.707316,-0.132648,-0.011336,1.082750,-0.174881,-0.013042,0.903406,-0.191388,-0.048302,0.723207
-0.004905,0.012977,0.790586,0.110494,0.000462,0.657548,0.107259,0.020689,0.352095,0.101871,0.064955,0.037966,-0.122397,0.002269,0.659175,-0.104332,0.016686,0.353770,-0.084440,0.052270,0.039128,-0.004135,0.023990,0.843589,0.147760,0.001509,1.070368,0.174958,-0.006667,0.888306,0.186481,-0.038955,0.707168,-0.132760,-0.011646,1.082684,-0.175011,-0.013006,0.903342,-0.191533,-0.047918,0.723077
-0.005039,0.013091,0.790551,0.110362,0.000534,0.657518,0.107282,0.020478,0.352045,0.102035,0.064477,0.037877,-0.122530,0.002213,0.659154,-0.104412,0.016449,0.353743,-0.084420,0.052090,0.039115,-0.004266,0.024148,0.843544,0.147944,0.001683,1.070115,0.175023,-0.006478,0.888034,0.186444,-0.038847,0.706905,-0.132530,-0.012131,1.082738,-0.174941,-0.013506,0.903434,-0.191484,-0.048297,0.723148
