body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
-0.701854,0.047480,0.042075,0.709490,-0.702006,0.044112,0.028950,0.710214,-0.698893,-0.043433,-0.056994,0.711627,-0.701221,0.020025,0.008106,0.712616,-0.702251,0.040849,0.043803,0.709406,-0.614885,-0.061192,-0.027104,0.785772,-0.614562,0.019246,0.020863,0.788358,0.719786,0.017087,0.045949,-0.692462,0.711446,0.069793,-0.047327,-0.697663,-0.452151,-0.557471,-0.291366,0.632370,-0.468891,-0.579538,-0.280997,0.604415,0.718514,-0.058928,0.113378,-0.683675,0.642464,0.252479,0.579746,-0.432884,0.594362,0.309019,0.575847,-0.468659
-0.701854,0.047480,0.042075,0.709490,-0.702037,0.043536,0.028380,0.710241,-0.698854,-0.044007,-0.057565,0.711584,-0.701233,0.019449,0.007534,0.712627,-0.702287,0.040111,0.043073,0.709456,-0.614835,-0.061291,-0.027483,0.785790,-0.614548,0.019149,0.020481,0.788381,0.719714,0.018169,0.047074,-0.692435,0.711064,0.066122,-0.047287,-0.698412,-0.449771,-0.559081,-0.292750,0.632006,-0.472165,-0.581062,-0.281588,0.600113,0.719416,-0.058803,0.109632,-0.683347,0.642221,0.253778,0.580428,-0.431569,0.590494,0.315076,0.573772,-0.472048
-0.701984,0.047981,0.042574,0.709298,-0.702204,0.043428,0.028480,0.710079,-0.698991,-0.044070,-0.057447,0.711456,-0.701348,0.019885,0.007547,0.712502,-0.702463,0.039801,0.043006,0.709304,-0.614743,-0.061428,-0.027416,0.785854,-0.614447,0.019120,0.020654,0.788456,0.720027,0.018336,0.048152,-0.692030,0.711211,0.062844,-0.046982,-0.698586,-0.448273,-0.559568,-0.294020,0.632050,-0.475367,-0.581586,-0.282343,0.596713,0.720403,-0.059470,0.107033,-0.682662,0.642550,0.253412,0.581341,-0.430065,0.587723,0.318712,0.572543,-0.474552
-0.702070,0.048397,0.043057,0.709156,-0.702293,0.043847,0.028963,0.709946,-0.699091,-0.044227,-0.057555,0.711339,-0.701458,0.019718,0.007448,0.712399,-0.702554,0.040218,0.043487,0.709161,-0.614895,-0.061597,-0.027327,0.785725,-0.614591,0.018941,0.020758,0.788345,0.720073,0.019073,0.048919,-0.691909,0.711214,0.063580,-0.046205,-0.698569,-0.447016,-0.560714,-0.294812,0.631556,-0.477072,-0.582630,-0.282829,0.594098,0.720528,-0.058739,0.107781,-0.682475,0.642299,0.254023,0.581848,-0.429392,0.585703,0.321313,0.571470,-0.476583
-0.702199,0.048702,0.043371,0.708987,-0.702425,0.044167,0.029516,0.709773,-0.699051,-0.044695,-0.057752,0.711333,-0.701427,0.019837,0.007383,0.712427,-0.702686,0.040532,0.043622,0.709004,-0.614731,-0.061990,-0.027636,0.785811,-0.614451,0.018767,0.020614,0.788462,0.720730,0.019199,0.050071,-0.691139,0.711856,0.063264,-0.045282,-0.698003,-0.446662,-0.560525,-0.295953,0.631441,-0.478806,-0.582368,-0.283930,0.592433,0.721281,-0.058838,0.108458,-0.681563,0.642714,0.253105,0.583046,-0.427684,0.584741,0.321811,0.572049,-0.476734
-0.702354,0.048965,0.043575,0.708804,-0.702580,0.044468,0.030182,0.709572,-0.699218,-0.045243,-0.057966,0.711117,-0.701609,0.019429,0.007231,0.712261,-0.702827,0.041118,0.044152,0.708798,-0.614673,-0.062210,-0.027578,0.785841,-0.614362,0.019150,0.020981,0.788513,0.721333,0.019477,0.051002,-0.690434,0.712422,0.063193,-0.044608,-0.697476,-0.446656,-0.560200,-0.296778,0.631345,-0.480517,-0.581845,-0.284750,0.591165,0.721954,-0.058628,0.109098,-0.680767,0.643296,0.252402,0.583880,-0.426085,0.584180,0.321787,0.572517,-0.476876
-0.702354,0.048965,0.043575,0.708804,-0.702553,0.044954,0.030663,0.709548,-0.699168,-0.045790,-0.058498,0.711088,-0.701603,0.019438,0.007244,0.712266,-0.702827,0.041118,0.044152,0.708798,-0.614649,-0.062883,-0.028105,0.785788,-0.614396,0.018475,0.020455,0.788517,0.721823,0.020036,0.051794,-0.689846,0.712889,0.063813,-0.043777,-0.696994,-0.446541,-0.560317,-0.297878,0.630805,-0.481078,-0.581907,-0.285903,0.590092,0.722504,-0.058110,0.109822,-0.680110,0.643581,0.252230,0.584810,-0.424476,0.584177,0.322172,0.573150,-0.475859
-0.702407,0.049061,0.043624,0.708741,-0.702583,0.045484,0.031384,0.709453,-0.699382,-0.046119,-0.058697,0.710839,-0.701827,0.019754,0.007504,0.712034,-0.702868,0.041479,0.044560,0.708710,-0.614554,-0.063364,-0.028238,0.785819,-0.614288,0.018738,0.020345,0.788597,0.722470,0.020176,0.052836,-0.689086,0.713502,0.063597,-0.043121,-0.696427,-0.446785,-0.559590,-0.298553,0.630958,-0.482074,-0.581222,-0.286679,0.589577,0.723185,-0.058014,0.110695,-0.679253,0.644139,0.251350,0.585764,-0.422835,0.584268,0.321652,0.574066,-0.474994
-0.702407,0.049061,0.043624,0.708741,-0.702583,0.045484,0.031384,0.709453,-0.699330,-0.046741,-0.059309,0.710799,-0.701832,0.019131,0.006889,0.712052,-0.702868,0.041479,0.044560,0.708710,-0.614554,-0.063364,-0.028238,0.785819,-0.614288,0.018738,0.020345,0.788597,0.722419,0.020836,0.053527,-0.689066,0.713414,0.064244,-0.042425,-0.696501,-0.446210,-0.559999,-0.299154,0.630718,-0.481480,-0.581667,-0.287240,0.589350,0.723206,-0.057351,0.111380,-0.679175,0.643853,0.251970,0.586188,-0.422314,0.583704,0.322660,0.574203,-0.474838
-0.702598,0.049344,0.043907,0.708515,-0.702783,0.045665,0.031851,0.709223,-0.699341,-0.046614,-0.058860,0.710834,-0.701795,0.019574,0.007394,0.712071,-0.703070,0.041626,0.044852,0.708483,-0.614750,-0.063558,-0.028203,0.785651,-0.614471,0.018800,0.020337,0.788453,0.723173,0.020875,0.054448,-0.688201,0.714109,0.063950,-0.042161,-0.695831,-0.446874,-0.559296,-0.299774,0.630576,-0.482958,-0.580802,-0.287860,0.588692,0.724054,-0.057691,0.111840,-0.678167,0.644390,0.250772,0.587252,-0.420725,0.583745,0.321676,0.575431,-0.473968
