joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.198185,0.181909,0.055339,-0.013944,0.011805,-0.025321,-0.003922,-0.236684,0.216288,0.070679,0.070377,-0.061695,-0.007948,-0.181915,-0.185979,0.206228,-0.203874,0.003881,-0.023460,-0.451970,0.463996,1.258267,1.180941,-0.003302,0.143077,0.039856,0.080034,0.070967,-0.025893
0.199809,0.183989,0.055339,-0.013944,0.011805,-0.025321,-0.003922,-0.236684,0.219414,0.070679,0.068976,-0.069984,-0.016493,-0.181915,-0.185979,0.200989,-0.198551,0.003881,-0.023460,-0.453752,0.463996,1.270344,1.191155,-0.011491,0.159214,0.039856,0.081870,0.082616,-0.028729
0.201241,0.185940,0.056183,-0.013648,0.012143,-0.026328,-0.004047,-0.237397,0.222635,0.070591,0.068499,-0.076082,-0.023007,-0.182479,-0.186284,0.197131,-0.194720,0.002998,-0.023404,-0.455388,0.465550,1.278912,1.197964,-0.018480,0.172689,0.040174,0.083709,0.092372,-0.031307
0.201241,0.185940,0.056183,-0.013648,0.012143,-0.026328,-0.004047,-0.237397,0.226045,0.072243,0.069871,-0.076082,-0.023007,-0.182479,-0.186284,0.197131,-0.194720,0.002998,-0.023404,-0.456731,0.465550,1.280461,1.197964,-0.023069,0.180842,0.040174,0.083709,0.098342,-0.033370
0.200887,0.186178,0.058067,-0.013325,0.011875,-0.027351,-0.004553,-0.238195,0.228786,0.074426,0.071539,-0.077227,-0.023824,-0.183503,-0.186840,0.196765,-0.194437,0.002368,-0.023378,-0.457613,0.467573,1.281461,1.198062,-0.026529,0.186202,0.040249,0.084559,0.102456,-0.034995
0.200183,0.185254,0.059623,-0.012716,0.011888,-0.027795,-0.004553,-0.238890,0.231193,0.076876,0.073356,-0.078267,-0.024163,-0.183792,-0.188174,0.196572,-0.194176,0.002211,-0.023619,-0.458046,0.469381,1.281495,1.197499,-0.029423,0.190167,0.040015,0.084796,0.105643,-0.037214
0.198814,0.185254,0.061218,-0.012716,0.011888,-0.027795,-0.004553,-0.238890,0.233125,0.079773,0.075070,-0.078267,-0.024163,-0.185353,-0.188174,0.196572,-0.194176,0.002211,-0.023619,-0.458046,0.470912,1.281495,1.197499,-0.030759,0.192061,0.040015,0.084796,0.106913,-0.037214
0.197251,0.184370,0.063277,-0.012372,0.012026,-0.028577,-0.004079,-0.239339,0.235051,0.082288,0.077029,-0.079514,-0.024274,-0.186919,-0.189381,0.196544,-0.194050,0.001898,-0.024478,-0.458321,0.472876,1.280736,1.196613,-0.032125,0.193786,0.040257,0.085065,0.108450,-0.038026
0.197251,0.184370,0.063277,-0.012372,0.012026,-0.028577,-0.004079,-0.239339,0.236966,0.084039,0.077029,-0.079514,-0.024274,-0.186919,-0.189381,0.196544,-0.194050,0.001898,-0.024478,-0.458321,0.472876,1.280736,1.196613,-0.032125,0.195170,0.040257,0.085065,0.108450,-0.038026
0.197141,0.184548,0.065221,-0.011960,0.012232,-0.029334,-0.004781,-0.239484,0.239184,0.084146,0.077846,-0.081154,-0.025262,-0.187444,-0.189729,0.196912,-0.194021,0.001538,-0.024908,-0.458134,0.474752,1.280427,1.196665,-0.033480,0.196472,0.039921,0.085581,0.109921,-0.039058
0.198673,0.185951,0.066169,-0.011916,0.012459,-0.030189,-0.005824,-0.240161,0.241554,0.083669,0.076770,-0.082442,-0.025976,-0.186691,-0.189876,0.197413,-0.193922,0.001247,-0.024795,-0.458573,0.476152,1.279371,1.197410,-0.035090,0.198288,0.039551,0.085332,0.111286,-0.040076
0.198673,0.185951,0.066169,-0.011916,0.012459,-0.030189,-0.005824,-0.240161,0.244264,0.082338,0.076770,-0.083732,-0.027529,-0.186691,-0.189876,0.197413,-0.193922,0.001247,-0.024795,-0.460604,0.477976,1.279371,1.197410,-0.035090,0.198288,0.039551,0.085332,0.111286,-0.040076
0.200273,0.187404,0.066147,-0.011622,0.013188,-0.031021,-0.006874,-0.241060,0.247162,0.080884,0.075388,-0.085215,-0.029229,-0.185572,-0.189766,0.198254,-0.193648,0.000614,-0.025015,-0.463281,0.479786,1.279003,1.198456,-0.036437,0.199467,0.039193,0.085036,0.111872,-0.041104
0.202098,0.188949,0.066147,-0.011622,0.013188,-0.031021,-0.006874,-0.241060,0.250437,0.079185,0.075388,-0.087088,-0.031226,-0.185572,-0.189766,0.198254,-0.193648,0.000614,-0.025015,-0.467249,0.481566,1.279003,1.198456,-0.036437,0.199467,0.039193,0.085036,0.111872,-0.041104
0.203686,0.190320,0.065211,-0.011328,0.013437,-0.031869,-0.008130,-0.242093,0.253546,0.077693,0.074765,-0.088890,-0.033111,-0.185245,-0.189767,0.199117,-0.192932,0.000201,-0.025229,-0.470684,0.483057,1.279287,1.199544,-0.037648,0.200431,0.039217,0.084639,0.111410,-0.041784
0.205156,0.190320,0.065211,-0.011328,0.013437,-0.031869,-0.008130,-0.242093,0.256573,0.076306,0.074765,-0.090657,-0.034941,-0.185245,-0.189767,0.199117,-0.192932,0.000201,-0.025229,-0.473854,0.483057,1.279287,1.199544,-0.037648,0.200431,0.039217,0.084639,0.111410,-0.041784
0.205968,0.191177,0.063430,-0.011297,0.013447,-0.032615,-0.009256,-0.243163,0.259453,0.075398,0.075043,-0.092876,-0.036812,-0.183953,-0.189386,0.199952,-0.192072,-0.000252,-0.025441,-0.477787,0.484725,1.280324,1.200047,-0.038242,0.200557,0.039211,0.084650,0.110807,-0.042456
0.207327,0.191996,0.061601,-0.010944,0.013668,-0.033256,-0.009722,-0.244010,0.262263,0.074076,0.075301,-0.095340,-0.038702,-0.183121,-0.188911,0.200900,-0.191240,-0.000249,-0.025336,-0.481845,0.486122,1.281489,1.199777,-0.038445,0.200444,0.039297,0.084996,0.110534,-0.042951
0.207327,0.191996,0.061601,-0.010944,0.013668,-0.033256,-0.009722,-0.244010,0.264930,0.072829,0.075301,-0.098294,-0.040629,-0.183121,-0.188911,0.200900,-0.191240,-0.000249,-0.025336,-0.486154,0.488001,1.282810,1.199777,-0.038445,0.200444,0.039297,0.084996,0.110534,-0.042951
0.208742,0.192295,0.060220,-0.010624,0.013931,-0.033679,-0.010480,-0.244256,0.267603,0.071408,0.075280,-0.100988,-0.042305,-0.182635,-0.188619,0.201662,-0.190526,-0.000497,-0.025524,-0.489325,0.489433,1.283250,1.199066,-0.039150,0.201019,0.039071,0.085181,0.110298,-0.043068
0.210191,0.192793,0.059443,-0.010545,0.014386,-0.033717,-0.010891,-0.243932,0.270279,0.069900,0.074969,-0.103550,-0.044722,-0.182541,-0.188453,0.202266,-0.189696,-0.001050,-0.025830,-0.491928,0.490819,1.283515,1.198263,-0.039981,0.201623,0.038684,0.085131,0.110301,-0.043063
0.210191,0.192793,0.059443,-0.010545,0.014386,-0.033717,-0.010891,-0.243932,0.272414,0.068217,0.074969,-0.106342,-0.044722,-0.182541,-0.188453,0.202266,-0.189696,-0.001050,-0.025830,-0.494164,0.490819,1.283515,1.198263,-0.039981,0.201623,0.038684,0.085131,0.110301,-0.043063
0.210226,0.192246,0.058506,-0.009820,0.015056,-0.033414,-0.010601,-0.243629,0.274731,0.067469,0.074504,-0.109142,-0.046034,-0.183840,-0.188436,0.202592,-0.189230,-0.001652,-0.026321,-0.496419,0.491973,1.283176,1.197180,-0.040594,0.200892,0.038739,0.085110,0.110139,-0.043259
0.208589,0.190757,0.058506,-0.009820,0.015056,-0.033414,-0.010601,-0.243629,0.274731,0.067469,0.074504,-0.111954,-0.046034,-0.183840,-0.188436,0.202592,-0.189230,-0.001652,-0.026321,-0.498708,0.491973,1.283176,1.197180,-0.040594,0.200892,0.038739,0.085110,0.110139,-0.043259
0.205568,0.188219,0.057973,-0.009377,0.015712,-0.033157,-0.010227,-0.243127,0.275625,0.069481,0.074998,-0.114378,-0.046026,-0.185941,-0.188581,0.203031,-0.188698,-0.001961,-0.027097,-0.499472,0.492547,1.282256,1.195474,-0.040845,0.199219,0.038912,0.084675,0.109837,-0.043338
0.201854,0.185157,0.057039,-0.008791,0.015991,-0.032574,-0.010268,-0.242210,0.274699,0.071941,0.075623,-0.116607,-0.044672,-0.187695,-0.188878,0.202874,-0.189211,-0.001979,-0.028020,-0.499273,0.492416,1.281524,1.193898,-0.040480,0.198409,0.038825,0.083924,0.109648,-0.043088
0.194908,0.179526,0.057039,-0.008791,0.015991,-0.032574,-0.010268,-0.242210,0.274699,0.077523,0.078284,-0.118516,-0.044672,-0.190463,-0.190796,0.202874,-0.189211,-0.001979,-0.028020,-0.499273,0.492416,1.280230,1.190985,-0.040480,0.198409,0.038825,0.083924,0.109648,-0.043088
0.186446,0.172641,0.056018,-0.008064,0.016044,-0.032273,-0.010096,-0.241306,0.273119,0.084520,0.081870,-0.120524,-0.042993,-0.193833,-0.192747,0.202762,-0.190488,-0.002384,-0.029180,-0.499075,0.491596,1.278579,1.187598,-0.040359,0.198395,0.038464,0.082993,0.109866,-0.043392
0.174952,0.163247,0.054261,-0.008064,0.016044,-0.032273,-0.010096,-0.241306,0.270899,0.094346,0.087309,-0.122730,-0.040665,-0.198412,-0.194761,0.202762,-0.190488,-0.002384,-0.029180,-0.499075,0.489665,1.278579,1.183261,-0.040359,0.198395,0.038464,0.082993,0.109866,-0.043392
0.160816,0.151815,0.052319,-0.006731,0.016250,-0.031603,-0.009960,-0.240461,0.268278,0.107139,0.094550,-0.124372,-0.037772,-0.203750,-0.197195,0.202691,-0.192402,-0.002705,-0.030800,-0.499091,0.487765,1.276496,1.178710,-0.039685,0.198729,0.038015,0.082013,0.110363,-0.043984
0.145360,0.139365,0.050283,-0.006731,0.016250,-0.031603,-0.009960,-0.240461,0.265456,0.121414,0.102693,-0.125732,-0.034597,-0.209469,-0.199838,0.202691,-0.194101,-0.002705,-0.030800,-0.499091,0.485881,1.274555,1.174052,-0.039685,0.198729,0.038015,0.082013,0.110363,-0.043984
0.125677,0.122482,0.048367,-0.004959,0.016489,-0.031007,-0.009164,-0.239177,0.261534,0.137982,0.113484,-0.126235,-0.030746,-0.215306,-0.203530,0.203205,-0.196479,-0.003163,-0.033627,-0.498216,0.484611,1.271024,1.168737,-0.037609,0.197449,0.037450,0.080177,0.110657,-0.043252
0.105534,0.104681,0.046667,-0.003360,0.016326,-0.030690,-0.008747,-0.237934,0.257691,0.154430,0.125158,-0.126185,-0.026443,-0.220927,-0.207548,0.204210,-0.199186,-0.003783,-0.035465,-0.497115,0.482975,1.266329,1.162891,-0.035843,0.196075,0.036989,0.078892,0.111090,-0.042693
0.084472,0.085042,0.045399,-0.003360,0.016326,-0.030690,-0.008747,-0.236667,0.254006,0.170637,0.138601,-0.126185,-0.021236,-0.226120,-0.212219,0.205692,-0.202549,-0.003783,-0.037045,-0.495487,0.482975,1.259304,1.155982,-0.033538,0.194782,0.036989,0.077614,0.111090,-0.042693
0.063642,0.063929,0.044469,-0.002299,0.014992,-0.030628,-0.007337,-0.235361,0.250857,0.185000,0.153670,-0.123048,-0.014875,-0.230370,-0.217391,0.208153,-0.206460,-0.004778,-0.038390,-0.491673,0.480408,1.248008,1.147908,-0.030607,0.193503,0.036455,0.076180,0.112463,-0.041558
0.042928,0.042081,0.044502,-0.002301,0.014090,-0.031568,-0.006636,-0.234036,0.247976,0.198440,0.169552,-0.119171,-0.007939,-0.234149,-0.222813,0.211104,-0.210644,-0.005831,-0.039618,-0.486766,0.477743,1.234576,1.139250,-0.027363,0.192653,0.035264,0.075171,0.113396,-0.040899
0.022506,0.017063,0.044502,-0.002301,0.011654,-0.031568,-0.005265,-0.231439,0.246670,0.209317,0.189767,-0.111429,0.000507,-0.235911,-0.229376,0.216354,-0.215824,-0.005831,-0.041146,-0.478288,0.474704,1.212965,1.129249,-0.020742,0.190695,0.035264,0.073402,0.115590,-0.040899
0.001846,-0.008452,0.045441,-0.003712,0.009054,-0.032851,-0.003379,-0.228627,0.246493,0.220238,0.210558,-0.103351,0.009186,-0.237578,-0.236128,0.221965,-0.221060,-0.006671,-0.042759,-0.469768,0.471362,1.190452,1.119322,-0.012857,0.188669,0.033829,0.071272,0.117907,-0.040599
-0.019291,-0.034961,0.045441,-0.003712,0.006127,-0.034285,-0.003379,-0.225387,0.246493,0.231244,0.232498,-0.094598,0.018331,-0.239056,-0.243257,0.228299,-0.226408,-0.006671,-0.044544,-0.461166,0.467413,1.166137,1.109545,-0.002443,0.186505,0.033829,0.068422,0.120469,-0.040599
-0.042707,-0.062892,0.046552,-0.005588,0.003092,-0.035654,-0.001511,-0.222398,0.249531,0.245573,0.256125,-0.085944,0.027592,-0.241726,-0.250836,0.234728,-0.231768,-0.007472,-0.046387,-0.451763,0.463472,1.141269,1.099957,0.007573,0.184861,0.033234,0.065467,0.122747,-0.041472
-0.067262,-0.091536,0.047297,-0.007417,0.000003,-0.036986,-0.000615,-0.219536,0.253045,0.261561,0.280594,-0.077339,0.036912,-0.244990,-0.258640,0.241204,-0.237134,-0.007929,-0.048258,-0.441959,0.459536,1.116126,1.090465,0.017389,0.183781,0.031931,0.062460,0.124884,-0.042296
-0.095723,-0.121296,0.047297,-0.007417,-0.003483,-0.036986,-0.000615,-0.218059,0.260064,0.285286,0.308051,-0.069080,0.047689,-0.251196,-0.267652,0.247349,-0.242164,-0.007929,-0.050196,-0.431064,0.454245,1.091196,1.080069,0.025642,0.183781,0.031931,0.059969,0.126571,-0.044476
-0.126668,-0.152703,0.046468,-0.008898,-0.007044,-0.036834,-0.000881,-0.216662,0.267709,0.312441,0.337557,-0.062028,0.058576,-0.258668,-0.277402,0.253384,-0.247484,-0.008678,-0.052250,-0.421252,0.449961,1.067839,1.069278,0.033180,0.183444,0.030729,0.057412,0.128295,-0.046816
-0.162578,-0.187405,0.046468,-0.008898,-0.010756,-0.036834,-0.000881,-0.216662,0.276604,0.346454,0.371161,-0.057389,0.069682,-0.268672,-0.288627,0.259198,-0.253384,-0.008678,-0.054533,-0.413606,0.447690,1.047624,1.057699,0.039287,0.183444,0.029366,0.054723,0.130092,-0.049476
-0.203473,-0.226331,0.043744,-0.009791,-0.015088,-0.035279,-0.002314,-0.216805,0.286466,0.387554,0.411229,-0.054673,0.080681,-0.282377,-0.302575,0.264540,-0.259508,-0.010039,-0.056881,-0.406636,0.446095,1.030284,1.044705,0.043629,0.183266,0.027128,0.052346,0.132269,-0.051224
-0.246862,-0.267370,0.040952,-0.010115,-0.019731,-0.034318,-0.003722,-0.218030,0.296811,0.432197,0.454531,-0.052918,0.091628,-0.297931,-0.317884,0.269645,-0.265744,-0.010987,-0.059260,-0.400005,0.444838,1.014382,1.031003,0.046602,0.183054,0.024453,0.049380,0.134637,-0.052515
-0.294026,-0.311807,0.038090,-0.010115,-0.025106,-0.032664,-0.003722,-0.218030,0.310905,0.487490,0.508002,-0.052918,0.101173,-0.317890,-0.338324,0.274356,-0.272757,-0.012418,-0.062253,-0.393162,0.444838,1.000514,1.015833,0.046602,0.181656,0.019884,0.049380,0.137655,-0.050676
-0.341229,-0.357425,0.035357,-0.009888,-0.030841,-0.031149,-0.003664,-0.218085,0.326746,0.545109,0.565476,-0.053661,0.109939,-0.339518,-0.360034,0.279253,-0.279878,-0.013976,-0.065399,-0.386022,0.443582,0.986150,0.999754,0.043991,0.179846,0.014500,0.048430,0.140639,-0.048557
-0.388509,-0.405406,0.032882,-0.009888,-0.037297,-0.031149,-0.003664,-0.216239,0.346080,0.607379,0.630958,-0.053661,0.117148,-0.364483,-0.384287,0.284522,-0.287212,-0.015789,-0.068852,-0.378284,0.443582,0.970793,0.981854,0.037617,0.177209,0.007489,0.048430,0.143555,-0.045876
-0.438498,-0.454927,0.030230,-0.009224,-0.042625,-0.029913,-0.002070,-0.214099,0.367222,0.676104,0.699577,-0.057397,0.121690,-0.391248,-0.409957,0.290596,-0.294501,-0.018910,-0.074430,-0.372254,0.441001,0.955299,0.964959,0.025897,0.174561,-0.002233,0.047371,0.147221,-0.043719
-0.489841,-0.505220,0.027491,-0.007449,-0.047390,-0.029089,-0.000937,-0.210818,0.389267,0.748056,0.769766,-0.061778,0.124899,-0.418913,-0.436336,0.297072,-0.301766,-0.022686,-0.081069,-0.367816,0.438036,0.939736,0.948567,0.011502,0.171607,-0.013309,0.046518,0.151262,-0.041824
-0.544021,-0.554128,0.022932,-0.003124,-0.048787,-0.026273,-0.000937,-0.210818,0.411954,0.824961,0.836856,-0.073659,0.120962,-0.441954,-0.462957,0.304364,-0.308806,-0.026058,-0.087625,-0.367816,0.438036,0.930869,0.937498,-0.006738,0.171607,-0.026275,0.044287,0.158146,-0.041824
-0.597883,-0.603091,0.017778,0.001306,-0.050714,-0.023047,-0.002100,-0.210291,0.434995,0.901988,0.904957,-0.088916,0.114368,-0.465262,-0.488697,0.311453,-0.315943,-0.029066,-0.094499,-0.370150,0.438238,0.925910,0.928704,-0.023949,0.172066,-0.038771,0.041994,0.165680,-0.041343
-0.651106,-0.652167,0.011433,0.005946,-0.050714,-0.019001,-0.004741,-0.211690,0.458741,0.979261,0.975079,-0.110929,0.102459,-0.489101,-0.512678,0.318138,-0.323272,-0.031344,-0.102010,-0.374940,0.438238,0.928770,0.924462,-0.039101,0.174336,-0.050324,0.039577,0.174512,-0.041343
-0.700851,-0.698082,0.005774,0.010236,-0.051082,-0.014176,-0.009406,-0.213558,0.482456,1.053547,1.042271,-0.140536,0.084404,-0.511371,-0.534464,0.323145,-0.329658,-0.033762,-0.109963,-0.380125,0.439777,0.939058,0.928057,-0.053667,0.177856,-0.061094,0.036304,0.184467,-0.042798
-0.748858,-0.742417,-0.000156,0.014351,-0.050453,-0.008962,-0.015083,-0.215661,0.506155,1.126339,1.107998,-0.173941,0.063277,-0.532855,-0.555152,0.327314,-0.335572,-0.036249,-0.118138,-0.385508,0.441128,0.953059,0.935572,-0.067939,0.182002,-0.071471,0.032601,0.194983,-0.043720
-0.790731,-0.781193,-0.000156,0.019363,-0.044815,-0.003391,-0.022861,-0.217853,0.514462,1.187741,1.161191,-0.210352,0.035706,-0.554552,-0.576125,0.325686,-0.338430,-0.037786,-0.127382,-0.390600,0.452543,0.975792,0.963142,-0.081057,0.192261,-0.076234,0.026803,0.208017,-0.048102
-0.828603,-0.816266,0.000901,0.023818,-0.039192,0.001988,-0.031009,-0.220545,0.520000,1.244368,1.210326,-0.245317,0.004811,-0.574859,-0.596061,0.321388,-0.339497,-0.039677,-0.136363,-0.391140,0.465979,0.994384,0.996477,-0.090989,0.204430,-0.078939,0.021248,0.222707,-0.053207
-0.858472,-0.843930,0.005915,0.027161,-0.033600,0.006983,-0.039897,-0.224237,0.520000,1.291445,1.251346,-0.277393,-0.032733,-0.592388,-0.613921,0.311750,-0.336983,-0.042277,-0.144816,-0.382577,0.483455,1.004694,1.041342,-0.094552,0.220418,-0.077528,0.016180,0.240713,-0.059761
-0.878799,-0.861769,0.011932,0.028698,-0.030021,0.011718,-0.048929,-0.229318,0.520000,1.328396,1.283654,-0.299785,-0.075996,-0.606509,-0.630118,0.299936,-0.331619,-0.044725,-0.151541,-0.367821,0.498493,0.986287,1.087156,-0.085157,0.237326,-0.074295,0.012966,0.262355,-0.065845
-0.894356,-0.875496,0.019059,0.029121,-0.027448,0.016323,-0.058033,-0.235092,0.520000,1.360284,1.311607,-0.317334,-0.122118,-0.618927,-0.645483,0.287034,-0.324831,-0.047098,-0.157402,-0.349970,0.512311,0.953520,1.133444,-0.069282,0.254695,-0.071022,0.010681,0.285816,-0.071695
-0.899786,-0.875496,0.019059,0.032951,-0.024148,0.022177,-0.065306,-0.242439,0.520000,1.380576,1.325571,-0.319407,-0.179662,-0.625161,-0.656742,0.284097,-0.316417,-0.050481,-0.161170,-0.359114,0.524386,0.876773,1.174435,-0.045118,0.283218,-0.071022,0.006271,0.319301,-0.078697
-0.900980,-0.872624,0.020466,0.039682,-0.018901,0.028522,-0.071075,-0.249334,0.520000,1.396675,1.334455,-0.319532,-0.238281,-0.630024,-0.665867,0.284553,-0.309245,-0.054587,-0.164961,-0.376676,0.537474,0.799711,1.207189,-0.018528,0.312320,-0.075715,0.001125,0.352861,-0.087496
-0.893701,-0.861605,0.022862,0.052218,-0.009761,0.035850,-0.073835,-0.255321,0.520000,1.404390,1.333182,-0.315758,-0.299051,-0.632144,-0.670722,0.291795,-0.304555,-0.060141,-0.168798,-0.411076,0.552591,0.722020,1.223471,0.012917,0.342583,-0.087183,-0.005493,0.386574,-0.099889
-0.881004,-0.842521,0.030441,0.068185,0.003470,0.042540,-0.076313,-0.260215,0.520000,1.409304,1.323000,-0.301648,-0.357662,-0.625337,-0.672340,0.298607,-0.302473,-0.066835,-0.173378,-0.433148,0.565900,0.661620,1.212345,0.091336,0.360011,-0.093282,-0.014647,0.423271,-0.117823
-0.865600,-0.819404,0.040611,0.085868,0.018748,0.048912,-0.078649,-0.264561,0.520000,1.412818,1.308364,-0.282369,-0.415192,-0.614065,-0.672263,0.305205,-0.301955,-0.074100,-0.178330,-0.449057,0.578306,0.609865,1.187515,0.193242,0.371022,-0.096697,-0.025069,0.461461,-0.138528
-0.852471,-0.789231,0.054277,0.097609,0.035459,0.050693,-0.087703,-0.267499,0.520000,1.422987,1.287470,-0.248788,-0.476790,-0.579938,-0.666273,0.307740,-0.306843,-0.084231,-0.182861,-0.441863,0.596712,0.599935,1.125248,0.268554,0.361083,-0.086615,-0.038472,0.486840,-0.145417
-0.845219,-0.758928,0.066806,0.105861,0.050161,0.050031,-0.097292,-0.269987,0.515226,1.437869,1.266030,-0.209088,-0.537883,-0.531221,-0.658556,0.313954,-0.314572,-0.087888,-0.188252,-0.435077,0.620688,0.603677,1.050118,0.325462,0.347668,-0.077668,-0.052509,0.508877,-0.150010
-0.849721,-0.728364,0.077060,0.105861,0.060845,0.044482,-0.107953,-0.271576,0.500905,1.462175,1.243498,-0.157148,-0.597969,-0.453321,-0.647389,0.327525,-0.327986,-0.078596,-0.195364,-0.429108,0.655808,0.634761,0.949259,0.345559,0.327302,-0.070994,-0.067813,0.524231,-0.150010
