joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.081179,0.104044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.156302,0.000000,-0.070059,-0.414469,-0.427269,0.000000,0.000000,-0.261950,0.266135,0.000000,0.000000,-0.089085,0.000000,0.603867,0.510699,-0.409426,0.806832,0.000000,0.091822,0.582459,-0.141762
0.071610,0.097512,0.042183,0.014803,0.016895,-0.050353,-0.006260,-0.035637,0.161038,-0.004401,-0.023841,-0.304890,-0.325708,-0.028203,-0.015231,-0.192921,0.191552,-0.044133,0.002790,-0.081779,0.077729,0.428402,0.340462,-0.349449,0.673769,0.015867,0.091912,0.487805,-0.128894
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.170508,0.082605,0.068599,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.067176,0.000000,0.077456,0.000000,-0.229494,0.407641,0.000000,0.000000,0.298496,-0.103157
-0.017709,0.011893,0.094206,0.016150,-0.013405,-0.051122,-0.025259,-0.039926,0.137051,0.109172,0.083416,-0.057249,-0.040862,-0.051214,-0.027774,-0.018287,0.014128,-0.031542,0.001300,-0.044063,0.101122,0.049990,0.004876,-0.172979,0.268023,0.003783,0.042532,0.205715,-0.081285
-0.035198,-0.046179,0.077804,0.030439,0.000635,-0.022215,-0.000045,-0.034739,0.120323,0.122457,0.090825,-0.051999,-0.016923,-0.014459,-0.066710,-0.009641,0.013070,-0.007816,-0.012056,-0.021669,0.090389,0.001669,-0.028157,-0.144721,0.198214,-0.011720,0.011834,0.159324,-0.110936
-0.068419,0.000000,0.079753,0.000000,0.000000,0.000000,0.000000,0.000000,0.096606,0.144871,0.085681,0.000000,0.000000,-0.078023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.076562,0.000000,0.000000,-0.066776,0.094729,0.000000,0.000000,0.063500,0.000000
-0.078149,-0.044214,0.102930,0.017173,0.006928,-0.039077,0.023726,-0.022443,0.096312,0.125762,0.097965,-0.062377,-0.005553,-0.078297,-0.060380,-0.001391,0.006302,-0.015636,-0.042935,-0.013746,0.098182,-0.037944,-0.044286,-0.068311,0.086221,0.012087,0.013438,0.076874,-0.040586
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.095721,0.087542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069211,0.000000,0.000000,0.000000,0.000000
-0.005543,0.008915,0.097198,0.020634,0.010306,-0.037862,-0.035117,-0.007270,0.110911,0.005341,0.040844,-0.081988,-0.049378,-0.026282,-0.017361,0.018414,0.001453,-0.018000,-0.021501,0.009333,0.093825,-0.015432,0.002605,-0.067738,0.065093,-0.016768,0.025801,0.073550,-0.051630
0.076603,0.070137,0.047436,0.002188,0.011357,-0.042757,-0.052145,-0.033827,0.118507,-0.023841,-0.053805,-0.064408,-0.035748,0.037693,-0.007351,0.025048,0.004931,-0.014573,0.005644,-0.021951,0.070019,-0.052804,0.037223,-0.080497,0.090807,-0.018487,-0.012431,0.068273,-0.050904
