body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
-0.048195,-0.001665,-0.016651,0.020330,0.000188,-0.018834,0.003706,0.000884,0.001080,-0.013810,-0.011424,-0.010690,-0.014069,0.001805,-0.004105,0.005080,0.001809,-0.000387,0.011510,-0.006016,-0.015844,0.092553,-0.022869,-0.027768,-0.196318,0.191817,-0.112148,0.119481,0.010358,-0.070426,0.107325,0.042490,0.609714,-0.204077,-0.210176,0.039022,0.210212,-0.022914,0.056500,-0.006249,0.327978,-0.365664
-0.047070,-0.001221,-0.016646,0.004069,0.000240,-0.017868,0.007967,0.001996,0.002062,-0.009591,-0.007647,-0.006419,-0.024950,0.003557,-0.007208,0.011298,0.003801,-0.001164,0.005846,-0.006012,-0.011669,0.093341,-0.028925,-0.037842,-0.127875,0.133770,-0.102677,0.110122,0.000823,-0.090537,0.094820,0.021595,0.491912,-0.135764,-0.170746,0.014218,0.184432,-0.026933,0.036061,0.000680,0.274466,-0.331753
-0.043053,-0.000977,-0.016085,-0.012680,-0.000501,-0.016722,0.014209,0.003817,0.003159,-0.005034,-0.004304,-0.002126,-0.037149,0.005727,-0.010355,0.020653,0.006418,-0.002664,0.001817,-0.004950,-0.007728,0.093319,-0.033951,-0.049998,-0.055465,0.073960,-0.093911,0.100600,-0.007881,-0.112862,0.082579,0.000512,0.352914,-0.065619,-0.127413,-0.013169,0.152545,-0.030779,0.011125,0.006061,0.210483,-0.290834
-0.035883,-0.000961,-0.014617,-0.025228,-0.001429,-0.015244,0.021268,0.006239,0.003999,0.000069,-0.002080,0.001535,-0.047459,0.007620,-0.012378,0.031411,0.008838,-0.004790,0.000109,-0.003293,-0.005049,0.092386,-0.036942,-0.061530,0.005168,0.025206,-0.087622,0.093185,-0.014075,-0.132812,0.074363,-0.015955,0.216157,-0.009174,-0.089370,-0.037076,0.119417,-0.034088,-0.013458,0.009444,0.145978,-0.247547
-0.027131,-0.001014,-0.012417,-0.030727,-0.001676,-0.013430,0.026802,0.008680,0.004369,0.005491,-0.001193,0.004176,-0.052933,0.008572,-0.012752,0.040098,0.010197,-0.006891,0.000458,-0.001768,-0.003886,0.090923,-0.037815,-0.069228,0.045107,-0.006147,-0.083207,0.088787,-0.017760,-0.145174,0.071647,-0.025626,0.103690,0.026070,-0.061899,-0.052583,0.089913,-0.036282,-0.032252,0.011486,0.090443,-0.205296
-0.019713,-0.000966,-0.010492,-0.029475,-0.000857,-0.011819,0.028243,0.010139,0.004295,0.009668,-0.001357,0.005565,-0.051864,0.008490,-0.012171,0.042912,0.010313,-0.007994,0.002052,-0.000790,-0.003443,0.089360,-0.037419,-0.071443,0.064598,-0.022060,-0.079089,0.086185,-0.020268,-0.147723,0.072219,-0.030176,0.026094,0.041987,-0.044731,-0.058353,0.066166,-0.037014,-0.041771,0.011851,0.048879,-0.166132
-0.016157,-0.000812,-0.010129,-0.023749,0.000767,-0.011309,0.024490,0.009805,0.003839,0.010784,-0.001894,0.005572,-0.044188,0.007841,-0.011982,0.037531,0.009696,-0.007446,0.003541,-0.000404,-0.002464,0.088000,-0.036887,-0.068956,0.068868,-0.028464,-0.074793,0.083342,-0.022855,-0.143403,0.072069,-0.033127,-0.019891,0.044721,-0.034646,-0.056449,0.047667,-0.036520,-0.040971,0.009001,0.021228,-0.131170
-0.016947,-0.000663,-0.011780,-0.015875,0.002707,-0.012377,0.016942,0.007849,0.003030,0.008846,-0.002101,0.004318,-0.031559,0.007119,-0.013022,0.024390,0.008868,-0.005447,0.003265,-0.000582,-0.000309,0.087390,-0.036709,-0.063440,0.063851,-0.030229,-0.070561,0.079570,-0.025667,-0.137641,0.068956,-0.036565,-0.045408,0.040340,-0.028240,-0.049828,0.034003,-0.035088,-0.029380,0.003230,0.004504,-0.098939
-0.020520,-0.000617,-0.014665,-0.007372,0.004615,-0.014660,0.008543,0.005465,0.001984,0.005840,-0.001760,0.002228,-0.016687,0.006496,-0.015112,0.006796,0.007968,-0.002963,0.000338,-0.001338,0.002444,0.088452,-0.036427,-0.055477,0.054602,-0.029395,-0.065662,0.075852,-0.027767,-0.133329,0.063849,-0.039729,-0.060791,0.033563,-0.022993,-0.040093,0.026510,-0.032512,-0.005730,-0.001251,-0.004918,-0.064161
-0.024938,-0.000706,-0.017661,0.000687,0.006309,-0.017436,0.001748,0.003968,0.000859,0.003830,-0.001187,-0.000224,-0.002113,0.005970,-0.017661,-0.010542,0.007063,-0.001023,-0.004551,-0.002513,0.004507,0.091659,-0.035314,-0.044787,0.044719,-0.026299,-0.058668,0.073041,-0.027979,-0.129206,0.058873,-0.040475,-0.070832,0.027321,-0.017556,-0.027664,0.026441,-0.028467,0.030180,0.000807,-0.010129,-0.021337
