body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
0.007276,0.003235,-0.001857,0.007366,-0.004252,-0.000839,0.007027,0.003971,-0.000411,0.009888,0.001107,-0.000882,0.007333,-0.000223,-0.001289,0.007042,0.001782,-0.001144,0.007061,0.008364,-0.000235,0.007218,0.006363,-0.002498,0.001273,-0.024922,-0.003239,-0.037550,-0.069434,-0.012112,-0.043581,-0.043885,-0.017882,0.001881,-0.016599,-0.007749,0.044283,-0.059357,-0.012517,0.050833,-0.020121,-0.020574
0.007306,0.004212,-0.001744,0.007330,-0.003422,-0.000841,0.006516,0.000382,-0.000613,0.007165,0.000073,-0.000656,0.007298,0.000511,-0.001169,0.006091,-0.001578,-0.001327,0.005087,0.005517,-0.000349,0.007213,0.007230,-0.002366,-0.000371,-0.024262,-0.002311,-0.030139,-0.057546,-0.009104,-0.035129,-0.034375,-0.014273,0.000387,-0.013606,-0.008490,0.036388,-0.044818,-0.012746,0.042982,-0.009192,-0.020062
0.007356,0.005357,-0.001555,0.007340,-0.002234,-0.000779,0.006303,-0.003651,-0.000807,0.004671,-0.000926,-0.000358,0.007309,0.001523,-0.001030,0.005189,-0.005593,-0.001556,0.003127,0.002831,-0.000392,0.007242,0.008143,-0.002133,-0.001990,-0.023597,-0.001306,-0.021362,-0.043711,-0.005730,-0.025343,-0.023330,-0.010215,-0.001055,-0.009890,-0.009070,0.027106,-0.027780,-0.012679,0.033572,0.002919,-0.018985
0.007388,0.006406,-0.001346,0.007379,-0.000764,-0.000688,0.006367,-0.006872,-0.000956,0.002829,-0.001127,-0.000037,0.007352,0.002671,-0.000945,0.004562,-0.009291,-0.001818,0.001669,0.001157,-0.000364,0.007271,0.008818,-0.001849,-0.003280,-0.023145,-0.000442,-0.013077,-0.030883,-0.002696,-0.016303,-0.013135,-0.006554,-0.002168,-0.006193,-0.009360,0.018259,-0.011831,-0.012301,0.024488,0.013227,-0.017461
0.007346,0.007108,-0.001213,0.007383,0.000772,-0.000655,0.006448,-0.008277,-0.001074,0.001636,-0.000152,0.000202,0.007362,0.003733,-0.000982,0.004293,-0.011677,-0.002094,0.000986,0.000818,-0.000338,0.007236,0.009049,-0.001621,-0.004080,-0.022948,0.000089,-0.006805,-0.021362,-0.000570,-0.009527,-0.005588,-0.003961,-0.002829,-0.003381,-0.009385,0.011344,-0.000090,-0.011749,0.017314,0.019471,-0.015805
0.007209,0.007352,-0.001210,0.007293,0.002026,-0.000732,0.006278,-0.007791,-0.001182,0.000888,0.001414,0.000258,0.007276,0.004510,-0.001131,0.004261,-0.012136,-0.002319,0.000934,0.001426,-0.000395,0.007105,0.008841,-0.001526,-0.004426,-0.022826,0.000246,-0.002954,-0.015709,0.000534,-0.005193,-0.001145,-0.002550,-0.003101,-0.001960,-0.009289,0.006804,0.006325,-0.011208,0.012555,0.021154,-0.014328
0.007025,0.007178,-0.001302,0.007120,0.002640,-0.000884,0.005791,-0.006153,-0.001259,0.000471,0.002394,0.000102,0.007107,0.004919,-0.001297,0.004220,-0.010563,-0.002394,0.001050,0.002199,-0.000574,0.006921,0.008367,-0.001558,-0.004499,-0.022601,0.000160,-0.001000,-0.013197,0.000912,-0.002586,0.000607,-0.001942,-0.003160,-0.001860,-0.009222,0.004178,0.008226,-0.010815,0.009824,0.019201,-0.013191
0.006883,0.006707,-0.001414,0.006941,0.002454,-0.001023,0.005105,-0.004205,-0.001261,0.000368,0.002076,-0.000196,0.006926,0.004998,-0.001385,0.004001,-0.007312,-0.002258,0.000937,0.002429,-0.000872,0.006771,0.007815,-0.001654,-0.004454,-0.022313,-0.000008,-0.000168,-0.012820,0.000938,-0.000972,0.000284,-0.001691,-0.003142,-0.002745,-0.009266,0.002760,0.007178,-0.010617,0.008494,0.015045,-0.012411
0.006839,0.006077,-0.001501,0.006831,0.001632,-0.001102,0.004387,-0.002359,-0.001173,0.000503,0.000830,-0.000519,0.006811,0.004852,-0.001379,0.003661,-0.003062,-0.001952,0.000601,0.001839,-0.001272,0.006713,0.007290,-0.001764,-0.004276,-0.022161,-0.000228,0.000137,-0.013735,0.000768,0.000023,-0.001392,-0.001635,-0.003024,-0.004459,-0.009397,0.002071,0.004464,-0.010562,0.008103,0.010030,-0.011943
0.006881,0.005428,-0.001567,0.006811,0.000553,-0.001129,0.003754,-0.000667,-0.001030,0.000711,-0.000358,-0.000765,0.006786,0.004608,-0.001334,0.003389,0.001426,-0.001589,0.000344,0.000740,-0.001725,0.006737,0.006841,-0.001874,-0.003824,-0.022224,-0.000586,0.000258,-0.015187,0.000353,0.000531,-0.003544,-0.001864,-0.002675,-0.007037,-0.009522,0.001907,0.000836,-0.010541,0.008370,0.005196,-0.011719
