body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
0.003754,0.011930,0.790805,0.121238,0.002119,0.659306,0.103365,0.017464,0.353938,0.084104,0.051997,0.039130,-0.111650,-0.000091,0.657730,-0.108053,0.022079,0.352416,-0.102266,0.064252,0.037990,0.003003,0.022648,0.843869,0.133236,-0.008008,1.082784,0.176613,-0.008892,0.903703,0.193595,-0.046554,0.724029,-0.147456,0.002520,1.071797,-0.177390,-0.005405,0.890150,-0.189890,-0.041150,0.709729
0.003900,0.011969,0.790766,0.121388,0.002015,0.659291,0.103536,0.017632,0.353936,0.084404,0.052035,0.039106,-0.111501,-0.000112,0.657702,-0.107878,0.022195,0.352398,-0.102058,0.064509,0.037992,0.003149,0.022751,0.843818,0.133321,-0.008523,1.082689,0.175677,-0.010586,0.903374,0.192505,-0.047674,0.723567,-0.147363,0.002113,1.071674,-0.176297,-0.006972,0.889921,-0.188679,-0.041851,0.709321
0.004043,0.012047,0.790725,0.121530,0.001945,0.659268,0.103540,0.017776,0.353931,0.084311,0.052261,0.039117,-0.111360,-0.000108,0.657675,-0.107832,0.022266,0.352375,-0.102100,0.064597,0.037971,0.003279,0.022894,0.843762,0.133112,-0.009065,1.082730,0.174904,-0.011959,0.903295,0.191663,-0.048626,0.723398,-0.147545,0.001873,1.071383,-0.175539,-0.007944,0.889522,-0.187631,-0.042099,0.708764
0.004180,0.012199,0.790675,0.121655,0.001891,0.659224,0.103650,0.017340,0.353868,0.084309,0.051851,0.039063,-0.111236,-0.000086,0.657649,-0.107721,0.021898,0.352321,-0.102005,0.064345,0.037932,0.003424,0.023114,0.843699,0.133232,-0.009379,1.082608,0.175037,-0.011899,0.903170,0.191774,-0.048174,0.723192,-0.147422,0.001637,1.071264,-0.175384,-0.007777,0.889377,-0.187537,-0.041267,0.708499
0.004341,0.012367,0.790672,0.121814,0.001901,0.659232,0.103838,0.017148,0.353863,0.084419,0.051953,0.039097,-0.111077,0.000003,0.657653,-0.107675,0.021607,0.352296,-0.102075,0.064338,0.037946,0.003576,0.023330,0.843685,0.132984,-0.009879,1.082714,0.174943,-0.012319,0.903312,0.191694,-0.048359,0.723289,-0.147631,0.001731,1.071000,-0.175287,-0.007502,0.889056,-0.187242,-0.040669,0.708106
0.004514,0.012542,0.790691,0.121997,0.001906,0.659270,0.104004,0.016666,0.353878,0.084449,0.051501,0.039128,-0.110895,0.000124,0.657666,-0.107628,0.021309,0.352278,-0.102170,0.064367,0.037972,0.003746,0.023541,0.843697,0.132883,-0.010325,1.082780,0.174922,-0.012545,0.903395,0.191531,-0.048406,0.723323,-0.147700,0.001815,1.070842,-0.175167,-0.007237,0.888861,-0.186949,-0.040238,0.707869
0.004641,0.012694,0.790636,0.122125,0.002058,0.659215,0.104131,0.016818,0.353823,0.084448,0.052177,0.039139,-0.110767,0.000235,0.657608,-0.107496,0.021002,0.352191,-0.102050,0.064513,0.037952,0.003879,0.023694,0.843641,0.132894,-0.010830,1.082696,0.174963,-0.012752,0.903315,0.191495,-0.048245,0.723164,-0.147667,0.001754,1.070699,-0.175093,-0.006903,0.888693,-0.186867,-0.039534,0.707633
0.004770,0.012841,0.790595,0.122262,0.002133,0.659185,0.104209,0.016552,0.353779,0.084328,0.052145,0.039137,-0.110629,0.000325,0.657558,-0.107393,0.020553,0.352105,-0.101993,0.064269,0.037898,0.003999,0.023854,0.843598,0.132654,-0.011336,1.082750,0.174892,-0.013043,0.903408,0.191432,-0.048256,0.723203,-0.147866,0.001818,1.070434,-0.175103,-0.006703,0.888393,-0.186690,-0.039285,0.707313
0.004902,0.012977,0.790586,0.122394,0.002269,0.659175,0.104341,0.016689,0.353769,0.084460,0.052282,0.039127,-0.110497,0.000462,0.657548,-0.107261,0.020689,0.352095,-0.101871,0.064955,0.037966,0.004131,0.023990,0.843589,0.132766,-0.011646,1.082685,0.175021,-0.013007,0.903344,0.191576,-0.047872,0.723073,-0.147754,0.001509,1.070367,-0.174973,-0.006667,0.888308,-0.186540,-0.038904,0.707165
0.005036,0.013091,0.790551,0.122527,0.002213,0.659154,0.104411,0.016449,0.353743,0.084420,0.052091,0.039115,-0.110365,0.000534,0.657518,-0.107283,0.020478,0.352045,-0.102035,0.064477,0.037877,0.004263,0.024148,0.843544,0.132536,-0.012132,1.082738,0.174938,-0.013506,0.903433,0.191472,-0.048295,0.723145,-0.147938,0.001683,1.070115,-0.175014,-0.006477,0.888034,-0.186407,-0.038883,0.706909
