body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.709634,-0.041734,-0.047120,-0.701753,0.709552,-0.043450,-0.040471,-0.702147,0.785774,0.027468,0.061480,-0.614837,0.788383,-0.020454,-0.018966,-0.614552,0.710351,-0.028622,-0.043762,-0.701903,0.711719,0.057322,0.043812,-0.698749,0.712744,-0.007748,-0.019638,-0.701107,-0.692566,-0.046265,-0.017474,0.719657,-0.683747,-0.113732,0.058531,0.718422,-0.432706,-0.579898,-0.252904,0.642280,-0.468446,-0.576042,-0.309443,0.594121,-0.697813,0.047017,-0.070130,0.711286,0.632288,0.291575,0.557764,-0.451770,0.604442,0.281104,0.579717,-0.468571
0.709461,-0.042141,-0.047554,-0.701874,0.709428,-0.043135,-0.040175,-0.702309,0.785680,0.027423,0.061196,-0.614988,0.788264,-0.020514,-0.019242,-0.614694,0.710214,-0.028452,-0.043615,-0.702058,0.711565,0.057511,0.043940,-0.698883,0.712602,-0.007572,-0.019496,-0.701257,-0.692416,-0.047008,-0.018095,0.719738,-0.683334,-0.109573,0.058879,0.719431,-0.431606,-0.580395,-0.253691,0.642260,-0.472068,-0.573760,-0.315011,0.590525,-0.698386,0.047353,-0.066041,0.711093,0.632021,0.292710,0.559025,-0.449846,0.600228,0.281470,0.580884,-0.472308
0.709298,-0.042574,-0.047981,-0.701984,0.709304,-0.043004,-0.039803,-0.702463,0.785731,0.027443,0.061401,-0.614901,0.788331,-0.020644,-0.019135,-0.614606,0.710079,-0.028489,-0.043420,-0.702204,0.711454,0.057439,0.044078,-0.698993,0.712501,-0.007557,-0.019874,-0.701349,-0.692030,-0.048153,-0.018336,0.720027,-0.682662,-0.107029,0.059468,0.720403,-0.430064,-0.581338,-0.253413,0.642552,-0.474540,-0.572553,-0.318722,0.587717,-0.698586,0.046983,-0.062845,0.711211,0.632049,0.294019,0.559569,-0.448273,0.596719,0.282335,0.581578,-0.475375
0.709156,-0.043057,-0.048398,-0.702069,0.709161,-0.043486,-0.040219,-0.702553,0.785602,0.027355,0.061571,-0.615053,0.788220,-0.020747,-0.018956,-0.614751,0.709946,-0.028972,-0.043839,-0.702293,0.711337,0.057547,0.044235,-0.699093,0.712398,-0.007459,-0.019708,-0.701459,-0.691909,-0.048919,-0.019072,0.720073,-0.682476,-0.107778,0.058737,0.720528,-0.429392,-0.581845,-0.254025,0.642301,-0.476572,-0.571479,-0.321324,0.585697,-0.698569,0.046206,-0.063581,0.711213,0.631556,0.294811,0.560714,-0.447016,0.594105,0.282821,0.582620,-0.477080
0.708987,-0.043371,-0.048703,-0.702199,0.709004,-0.043620,-0.040535,-0.702686,0.785693,0.027664,0.061964,-0.614883,0.788342,-0.020604,-0.018782,-0.614605,0.709773,-0.029514,-0.044169,-0.702425,0.711333,0.057754,0.044693,-0.699051,0.712430,-0.007281,-0.019734,-0.701427,-0.691139,-0.050073,-0.019197,0.720729,-0.681553,-0.108394,0.058893,0.721296,-0.427712,-0.583013,-0.253042,0.642751,-0.476756,-0.572021,-0.321757,0.584781,-0.698003,0.045282,-0.063266,0.711856,0.631352,0.296049,0.560450,-0.446817,0.592371,0.284005,0.582253,-0.478977
0.708804,-0.043574,-0.048965,-0.702354,0.708798,-0.044150,-0.041120,-0.702827,0.785750,0.027600,0.062189,-0.614791,0.788420,-0.020973,-0.019162,-0.614481,0.709572,-0.030180,-0.044470,-0.702580,0.711117,0.057968,0.045241,-0.699218,0.712261,-0.007214,-0.019446,-0.701609,-0.690434,-0.051003,-0.019475,0.721333,-0.680767,-0.109096,0.058627,0.721954,-0.426125,-0.583774,-0.252333,0.643392,-0.476908,-0.572416,-0.321733,0.584283,-0.697476,0.044605,-0.063191,0.712422,0.631346,0.296780,0.560198,-0.446656,0.591168,0.284750,0.581841,-0.480519
0.708804,-0.043574,-0.048965,-0.702354,0.708798,-0.044150,-0.041120,-0.702827,0.785696,0.028126,0.062862,-0.614767,0.788424,-0.020447,-0.018487,-0.614515,0.709548,-0.030661,-0.044955,-0.702553,0.711088,0.058499,0.045788,-0.699168,0.712266,-0.007228,-0.019454,-0.701603,-0.689846,-0.051796,-0.020034,0.721823,-0.680111,-0.109821,0.058110,0.722504,-0.424517,-0.584704,-0.252161,0.643678,-0.475890,-0.573049,-0.322119,0.584280,-0.696994,0.043775,-0.063812,0.712889,0.630807,0.297879,0.560314,-0.446541,0.590095,0.285904,0.581902,-0.481079
0.708741,-0.043624,-0.049061,-0.702407,0.708710,-0.044558,-0.041481,-0.702868,0.785775,0.028250,0.063353,-0.614611,0.788553,-0.020234,-0.018607,-0.614352,0.709453,-0.031382,-0.045486,-0.702583,0.710839,0.058699,0.046117,-0.699382,0.712034,-0.007504,-0.019754,-0.701827,-0.689086,-0.052837,-0.020175,0.722469,-0.679252,-0.110704,0.058025,0.723184,-0.422809,-0.585848,-0.251392,0.644063,-0.474928,-0.574228,-0.321742,0.584112,-0.696425,0.043160,-0.063638,0.713498,0.630841,0.298597,0.559723,-0.446754,0.589459,0.286713,0.581355,-0.482038
0.708741,-0.043624,-0.049061,-0.702407,0.708710,-0.044558,-0.041481,-0.702868,0.785775,0.028250,0.063353,-0.614611,0.788553,-0.020234,-0.018607,-0.614352,0.709453,-0.031382,-0.045486,-0.702583,0.710799,0.059311,0.046739,-0.699330,0.712052,-0.006889,-0.019131,-0.701832,-0.689066,-0.053528,-0.020834,0.722419,-0.679173,-0.111389,0.057362,0.723205,-0.422288,-0.586272,-0.252011,0.643777,-0.474772,-0.574365,-0.322750,0.583548,-0.696498,0.042463,-0.064284,0.713410,0.630601,0.299198,0.560132,-0.446179,0.589233,0.287274,0.581799,-0.481444
0.708515,-0.043907,-0.049344,-0.702598,0.708483,-0.044850,-0.041628,-0.703070,0.785651,0.028205,0.063556,-0.614750,0.788452,-0.020359,-0.018783,-0.614472,0.709223,-0.031850,-0.045667,-0.702783,0.710834,0.058862,0.046612,-0.699341,0.712071,-0.007394,-0.019574,-0.701795,-0.688202,-0.054449,-0.020874,0.723172,-0.678170,-0.111821,0.057672,0.724055,-0.420719,-0.587236,-0.250785,0.644404,-0.473955,-0.575424,-0.321696,0.583751,-0.695831,0.042162,-0.063952,0.714109,0.630717,0.299647,0.559227,-0.446848,0.588737,0.287815,0.580846,-0.482876
