joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.181954,0.198151,-0.055335,-0.011812,0.013943,0.025311,0.236378,0.003921,0.216289,0.070272,0.070721,-0.007908,-0.061737,-0.185938,-0.181864,0.203917,-0.206187,0.023533,-0.003879,-0.463999,0.451963,1.180883,1.258326,-0.143057,0.003308,0.080138,0.039476,0.025877,-0.070982
0.184008,0.199794,-0.055335,-0.011812,0.013943,0.025311,0.236378,0.003921,0.219415,0.068933,0.070721,-0.016477,-0.070001,-0.185938,-0.181864,0.198563,-0.200975,0.023533,-0.003879,-0.463999,0.453749,1.191131,1.270368,-0.159199,0.011495,0.081944,0.039476,0.028716,-0.082627
0.185939,0.201240,-0.056183,-0.012138,0.013623,0.026330,0.236989,0.004047,0.222635,0.068498,0.070593,-0.023009,-0.076081,-0.186283,-0.182479,0.194711,-0.197136,0.023399,-0.003004,-0.465551,0.455387,1.197964,1.278912,-0.172680,0.018482,0.083748,0.040142,0.031298,-0.092379
0.185939,0.201240,-0.056183,-0.012138,0.013623,0.026330,0.236989,0.004047,0.226045,0.069872,0.072244,-0.023009,-0.076081,-0.186283,-0.182479,0.194711,-0.197136,0.023399,-0.003004,-0.465551,0.456731,1.197964,1.280459,-0.180836,0.023072,0.083748,0.040142,0.033364,-0.098346
0.186176,0.200886,-0.058067,-0.011870,0.013329,0.027354,0.237803,0.004552,0.228786,0.071541,0.074427,-0.023996,-0.077224,-0.186839,-0.183212,0.194427,-0.196771,0.023373,-0.002373,-0.467573,0.457179,1.198064,1.281458,-0.186198,0.026531,0.084579,0.040120,0.034992,-0.102459
0.185253,0.200183,-0.059624,-0.011883,0.012720,0.027800,0.238586,0.004553,0.231193,0.073358,0.076876,-0.024165,-0.078265,-0.188173,-0.183792,0.194168,-0.196572,0.023614,-0.002169,-0.469381,0.458044,1.197174,1.281492,-0.190164,0.029425,0.084809,0.040007,0.037213,-0.105644
0.185253,0.198814,-0.061218,-0.011883,0.012720,0.027800,0.238586,0.004553,0.233125,0.075071,0.079773,-0.024165,-0.078265,-0.188173,-0.185352,0.194168,-0.196572,0.023614,-0.002169,-0.470913,0.458044,1.197174,1.281492,-0.192059,0.030760,0.084809,0.040007,0.037213,-0.106913
0.184369,0.197251,-0.063277,-0.012021,0.012377,0.028580,0.239193,0.004078,0.235051,0.077031,0.082288,-0.024276,-0.079512,-0.189034,-0.186918,0.194075,-0.196660,0.024473,-0.001904,-0.472876,0.458320,1.196847,1.281042,-0.193784,0.032126,0.085327,0.040253,0.038025,-0.108450
0.184369,0.197251,-0.063277,-0.012021,0.012377,0.028580,0.239193,0.004078,0.236966,0.077031,0.084039,-0.024276,-0.079512,-0.189034,-0.186918,0.194075,-0.196660,0.024473,-0.001904,-0.472876,0.458320,1.196847,1.281042,-0.195169,0.032126,0.085327,0.040253,0.038025,-0.108450
0.184548,0.197140,-0.065220,-0.012228,0.011964,0.029336,0.239484,0.004781,0.239184,0.077848,0.084146,-0.025263,-0.081152,-0.189728,-0.187444,0.193965,-0.196921,0.024846,-0.001544,-0.474753,0.458354,1.196668,1.280080,-0.196471,0.033480,0.085607,0.040289,0.039059,-0.109921
