joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.102700,0.082150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.156298,-0.066949,0.000000,-0.428484,-0.413219,0.000000,0.000000,-0.267675,0.260570,0.000000,0.000000,0.000000,0.089300,0.512409,0.602096,-0.807142,0.409347,0.090274,0.000000,0.141963,-0.582236
0.096577,0.072283,-0.042398,-0.016314,-0.015956,0.050943,0.030565,0.006292,0.161034,-0.021728,-0.006415,-0.326558,-0.303990,-0.017206,-0.030751,-0.192642,0.191975,-0.006717,0.043761,-0.077561,0.081927,0.341612,0.427186,-0.674024,0.349383,0.090220,0.033277,0.129074,-0.487610
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.170510,0.068713,0.082535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067183,0.000000,0.077349,-0.407785,0.229455,0.000000,0.000000,0.103297,-0.298358
0.011850,-0.017679,-0.094227,0.013427,-0.014717,0.051215,0.040721,0.025251,0.137052,0.083452,0.109144,-0.049352,-0.057178,-0.027830,-0.036676,-0.014193,0.018260,-0.001301,0.031553,-0.101131,0.022395,0.005019,0.049961,-0.268119,0.172951,0.041540,-0.001081,0.081386,-0.205620
-0.046181,-0.035194,-0.077829,-0.000654,-0.030443,0.022285,0.039132,0.000052,0.120323,0.090821,0.122451,-0.008450,-0.052012,-0.066711,-0.028989,-0.012934,0.009921,0.012071,0.010189,-0.090399,0.043283,-0.044513,0.001681,-0.198288,0.144700,0.011502,-0.005659,0.111054,-0.159251
0.000000,-0.068420,-0.079736,0.000000,0.000000,0.000000,0.000000,0.000000,0.096609,0.085685,0.144867,0.000000,0.000000,0.000000,-0.078022,0.000000,0.000000,0.000000,0.000000,-0.076576,0.000000,0.000000,0.000000,-0.094765,0.066761,0.000000,0.000000,0.000000,-0.063468
-0.044176,-0.078153,-0.102922,-0.006918,-0.017168,0.039006,0.030345,-0.023728,0.096311,0.097971,0.125758,-0.005568,-0.062378,-0.043013,-0.078297,-0.004667,-0.004388,0.042929,0.013260,-0.098191,0.013803,-0.016356,-0.022489,-0.086258,0.068296,0.025923,0.012290,0.040624,-0.076838
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.095721,0.000000,0.087542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.069233,0.000000,0.000000,0.000000,0.000000,0.000000
0.008913,-0.005543,-0.097184,-0.010321,-0.020633,0.037811,0.014542,0.035116,0.110912,0.040847,0.005340,-0.049372,-0.081974,-0.034729,-0.026282,-0.005499,-0.013034,0.018674,0.017998,-0.093813,0.001656,-0.008953,-0.048113,-0.065108,0.067730,0.013956,0.001819,0.051675,-0.073526
0.070135,0.076603,-0.047420,-0.011326,-0.002175,0.042732,0.033828,0.052144,0.118507,-0.053801,-0.023841,-0.035743,-0.064408,-0.008112,0.037693,-0.002560,-0.024994,-0.002826,0.014563,-0.070015,0.010979,0.037253,-0.035584,-0.090827,0.080492,-0.013674,-0.036925,0.050919,-0.068260
