body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.000324,-0.000111,0.000445,-0.003523,0.001863,0.001918,-0.008324,-0.000229,-0.002252,0.015737,0.007130,-0.005213,-0.029178,-0.000485,0.000653,-0.004678,-0.002178,0.003855,0.019132,-0.073667,0.005499,0.009227,-0.000837,0.007909,-0.162391,0.190605,-0.035588,-0.006423,0.024079,-0.001121,0.783242,-0.610091,0.246627,-0.144534,-0.102572,0.055433,0.067585,0.017483,0.081106,-0.119048,0.137324,0.032366
0.001074,-0.000363,0.001506,-0.001200,0.003613,0.002877,-0.017745,-0.000759,-0.003960,0.011545,0.006271,-0.007297,-0.019250,-0.000641,0.001683,-0.008646,-0.002035,0.003968,0.001830,-0.045494,0.005133,0.010518,-0.000963,0.009042,-0.127961,0.154332,-0.025884,-0.003720,0.022275,0.000617,0.701909,-0.540546,0.221271,-0.104466,-0.072771,0.044867,0.057823,0.019448,0.067010,-0.118482,0.138028,0.019952
0.002848,-0.000945,0.004088,0.004692,0.005592,0.004859,-0.030088,-0.001740,-0.004963,-0.006231,0.001573,-0.007697,-0.010300,-0.001052,0.004230,-0.012102,-0.001470,0.003965,-0.017003,-0.018667,0.004616,0.009534,-0.000905,0.008298,-0.091051,0.114385,-0.017176,-0.003018,0.021469,-0.000047,0.600737,-0.455155,0.188686,-0.062771,-0.040194,0.031166,0.045332,0.021828,0.047158,-0.114938,0.134568,0.003495
0.006111,-0.001990,0.008959,0.012709,0.006966,0.008957,-0.040742,-0.002946,-0.003518,-0.032848,-0.005083,-0.004846,-0.003878,-0.001620,0.008980,-0.012571,-0.001204,0.005395,-0.032141,-0.000136,0.005622,0.007333,-0.000792,0.006689,-0.058111,0.078957,-0.010874,-0.003691,0.022256,-0.002902,0.494469,-0.365292,0.154504,-0.027324,-0.011816,0.017520,0.033622,0.024024,0.024903,-0.106014,0.124770,-0.012881
0.010732,-0.003437,0.016015,0.018815,0.007017,0.015434,-0.044330,-0.003819,0.001426,-0.052551,-0.009342,0.001626,-0.000084,-0.001940,0.015694,-0.009189,-0.001596,0.008788,-0.039255,0.007661,0.008832,0.005834,-0.000833,0.005968,-0.033336,0.053500,-0.006813,-0.004625,0.024311,-0.005749,0.396788,-0.280929,0.126153,-0.002280,0.007424,0.007222,0.025683,0.025222,0.004588,-0.091249,0.108287,-0.024976
0.015630,-0.004945,0.023616,0.018437,0.005643,0.022737,-0.039043,-0.003885,0.008921,-0.049516,-0.007690,0.010075,0.001977,-0.001521,0.022685,-0.004035,-0.002053,0.012436,-0.037124,0.007608,0.012737,0.006147,-0.001119,0.007053,-0.017562,0.038380,-0.003732,-0.005519,0.026554,-0.005590,0.314870,-0.206980,0.109992,0.012306,0.016321,0.002028,0.022020,0.024767,-0.010160,-0.072468,0.087010,-0.030527
0.019109,-0.005988,0.029102,0.010033,0.003429,0.028111,-0.027851,-0.003129,0.016182,-0.021929,-0.000597,0.017445,0.003184,-0.000255,0.027481,-0.000420,-0.001698,0.013764,-0.028029,0.004556,0.014873,0.007883,-0.001528,0.009275,-0.009205,0.030564,-0.000651,-0.006861,0.028091,-0.001105,0.249725,-0.144218,0.107889,0.018437,0.016743,0.001601,0.020994,0.022529,-0.017570,-0.052733,0.064212,-0.029680
0.019824,-0.006080,0.030418,-0.002947,0.001339,0.029512,-0.015491,-0.001868,0.020310,0.014243,0.007667,0.021062,0.003776,0.001378,0.028396,0.000134,-0.000436,0.011765,-0.016555,0.001803,0.013951,0.009904,-0.001863,0.011150,-0.005768,0.026761,0.002237,-0.008888,0.028968,0.005884,0.198984,-0.092508,0.114806,0.018790,0.012211,0.003971,0.020725,0.018916,-0.018051,-0.035074,0.043065,-0.024218
0.017614,-0.005064,0.027431,-0.014374,0.000236,0.026931,-0.005184,-0.000397,0.020080,0.035998,0.012662,0.020143,0.003583,0.002639,0.025560,-0.001110,0.000957,0.007774,-0.007162,0.000325,0.010600,0.011444,-0.002107,0.011795,-0.004707,0.024808,0.004181,-0.010741,0.029574,0.011995,0.159258,-0.053357,0.120562,0.016233,0.006338,0.006811,0.020442,0.014413,-0.013312,-0.021310,0.025449,-0.016071
0.013513,-0.003305,0.021674,-0.020157,0.000478,0.021837,0.002207,0.001206,0.016151,0.030554,0.013587,0.015664,0.002682,0.003063,0.020433,-0.001788,0.001733,0.004093,-0.001808,-0.000138,0.006487,0.012325,-0.002438,0.011387,-0.003718,0.023279,0.005101,-0.010396,0.029262,0.015279,0.127908,-0.029583,0.115984,0.013005,0.001505,0.008559,0.020082,0.009131,-0.005280,-0.011595,0.011739,-0.006358
