body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.003026,0.010393,0.004521,-0.002685,0.010992,0.004810,-0.002591,0.009729,0.004809,-0.002278,0.007278,0.004364,-0.002664,0.009077,0.004224,-0.001943,-0.005544,0.004482,0.003553,-0.003089,0.005072,-0.003156,0.010164,0.004543,-0.003243,0.006465,0.004142,-0.040102,-0.026723,-0.003300,-0.008535,0.001776,0.008171,-0.003108,0.004981,0.004268,0.019761,-0.025395,0.004358,0.024176,-0.015843,0.001350
-0.002609,0.009085,0.003174,-0.002057,0.010091,0.003644,-0.002124,0.009072,0.003650,-0.001539,0.004190,0.002806,-0.002037,0.008125,0.002684,-0.001137,-0.003386,0.002891,0.002985,-0.002982,0.003081,-0.002809,0.008742,0.003208,-0.002833,0.005181,0.002754,-0.034040,-0.022179,-0.003538,-0.005548,0.003923,0.007168,-0.002761,0.003147,0.002789,0.015024,-0.020571,0.002880,0.018315,-0.012187,0.000247
-0.002139,0.007555,0.001139,-0.001368,0.009161,0.001799,-0.001741,0.009412,0.001818,-0.000749,0.001097,0.000441,-0.001346,0.006897,0.000447,-0.000304,-0.001311,0.000595,0.002297,-0.003166,0.000352,-0.002406,0.007094,0.001184,-0.002424,0.003863,0.000739,-0.026773,-0.016709,-0.004160,-0.002489,0.005976,0.005533,-0.002400,0.001733,0.000669,0.009162,-0.014274,0.000800,0.010808,-0.007598,-0.001285
-0.001704,0.006039,-0.001229,-0.000754,0.008545,-0.000412,-0.001449,0.011005,-0.000376,0.000018,-0.000903,-0.002281,-0.000720,0.005501,-0.002090,0.000463,0.000226,-0.001995,0.001773,-0.003254,-0.002542,-0.002022,0.005444,-0.001171,-0.002116,0.002575,-0.001552,-0.019689,-0.011389,-0.005086,-0.000303,0.007391,0.003405,-0.002116,0.000848,-0.001740,0.003288,-0.007835,-0.001544,0.003000,-0.002993,-0.003043
-0.001329,0.004686,-0.003143,-0.000269,0.008409,-0.002229,-0.001107,0.013117,-0.002181,0.000686,-0.001048,-0.004392,-0.000215,0.004026,-0.004115,0.001148,0.001029,-0.004063,0.001639,-0.002795,-0.004664,-0.001679,0.003924,-0.003070,-0.001909,0.001255,-0.003376,-0.014005,-0.007260,-0.005821,0.000421,0.007802,0.001370,-0.001917,0.000134,-0.003693,-0.001425,-0.002762,-0.003445,-0.003530,0.000640,-0.004491
-0.000961,0.003549,-0.003769,0.000138,0.008569,-0.002820,-0.000551,0.014159,-0.002773,0.001147,0.000287,-0.004906,0.000218,0.002583,-0.004788,0.001743,0.001221,-0.004771,0.001834,-0.001797,-0.005216,-0.001329,0.002594,-0.003679,-0.001675,-0.000053,-0.003944,-0.010094,-0.004715,-0.005673,-0.000130,0.007216,0.000235,-0.001689,-0.000812,-0.004375,-0.004271,0.000139,-0.004124,-0.007682,0.002771,-0.004934
-0.000544,0.002698,-0.002811,0.000527,0.008645,-0.001889,0.000231,0.012759,-0.001857,0.001309,0.001714,-0.003554,0.000629,0.001399,-0.003817,0.002175,0.001124,-0.003825,0.002032,-0.000756,-0.004077,-0.000916,0.001580,-0.002707,-0.001261,-0.001048,-0.002987,-0.007554,-0.003367,-0.004312,-0.001231,0.006041,0.000439,-0.001296,-0.001974,-0.003467,-0.005191,0.001076,-0.003267,-0.009173,0.003514,-0.004027
-0.000102,0.002269,-0.000857,0.000850,0.008380,-0.000041,0.001012,0.008983,-0.000034,0.001123,0.002111,-0.001114,0.000963,0.000745,-0.001759,0.002312,0.001033,-0.001785,0.001925,-0.000176,-0.001959,-0.000450,0.001094,-0.000747,-0.000657,-0.001381,-0.001089,-0.005832,-0.002507,-0.002203,-0.002308,0.004832,0.001589,-0.000727,-0.002928,-0.001523,-0.004639,0.000908,-0.001410,-0.008461,0.003436,-0.002208
0.000269,0.002325,0.000908,0.000961,0.007783,0.001495,0.001446,0.004404,0.001479,0.000587,0.001579,0.001000,0.001071,0.000712,0.000241,0.002054,0.000982,0.000209,0.001439,-0.000208,-0.000017,-0.000013,0.001244,0.001008,-0.000039,-0.001010,0.000600,-0.004673,-0.001654,-0.000410,-0.003269,0.003979,0.002635,-0.000145,-0.003309,0.000245,-0.003288,0.000484,0.000254,-0.006367,0.003151,-0.000595
0.000498,0.002684,0.001469,0.000778,0.006946,0.001697,0.001329,0.000780,0.001669,-0.000226,0.000951,0.001668,0.000874,0.001062,0.001179,0.001426,0.000781,0.001154,0.000719,-0.000634,0.000850,0.000322,0.001835,0.001547,0.000369,-0.000281,0.001122,-0.004025,-0.000708,0.000158,-0.004117,0.003656,0.002621,0.000237,-0.003198,0.000748,-0.001699,0.000146,0.000638,-0.003600,0.002924,-0.000247
