body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
0.002389,0.011728,0.791166,0.118034,0.011299,0.657307,0.111389,0.012262,0.351201,0.098565,0.060302,0.037734,-0.114845,0.008172,0.658739,-0.112471,0.003141,0.352439,-0.096686,0.062256,0.041291,0.002860,0.016713,0.845080,0.141567,-0.029722,1.076637,0.183920,-0.035370,0.897515,0.179922,-0.082487,0.724034,-0.139133,-0.016104,1.077141,-0.165733,-0.035754,0.895900,-0.164029,-0.095379,0.721511
0.002317,0.011971,0.791280,0.117962,0.011542,0.657421,0.111317,0.012505,0.351315,0.098493,0.060546,0.037847,-0.114917,0.008377,0.658853,-0.112538,0.002955,0.352560,-0.096606,0.062170,0.041434,0.002788,0.016956,0.845193,0.141490,-0.029547,1.076748,0.182962,-0.036022,0.897447,0.179663,-0.082528,0.724216,-0.139205,-0.015921,1.077257,-0.165223,-0.036360,0.896020,-0.163411,-0.095780,0.721565
0.002264,0.012156,0.791382,0.117936,0.011784,0.657545,0.111336,0.012514,0.351438,0.098539,0.060433,0.037947,-0.114942,0.008563,0.658930,-0.112493,0.003029,0.352639,-0.096485,0.062266,0.041520,0.002723,0.017116,0.845297,0.141439,-0.029550,1.076815,0.182256,-0.036450,0.897381,0.179602,-0.082268,0.724346,-0.139263,-0.016155,1.077317,-0.164848,-0.037038,0.896070,-0.162917,-0.096115,0.721505
0.002249,0.012223,0.791459,0.117920,0.011851,0.657623,0.111321,0.012581,0.351515,0.098516,0.060554,0.038026,-0.114958,0.008631,0.659008,-0.112508,0.003097,0.352717,-0.096500,0.062333,0.041598,0.002708,0.017184,0.845375,0.141422,-0.029504,1.076892,0.181977,-0.036665,0.897409,0.179723,-0.082149,0.724570,-0.139279,-0.016088,1.077395,-0.164863,-0.036970,0.896148,-0.162897,-0.096097,0.721603
0.002227,0.012322,0.791348,0.117955,0.011993,0.657559,0.111254,0.012846,0.351455,0.098446,0.060415,0.037903,-0.114923,0.008737,0.658846,-0.112470,0.003041,0.352558,-0.096531,0.061767,0.041344,0.002670,0.017268,0.845265,0.141388,-0.029427,1.076780,0.181752,-0.036745,0.897259,0.179763,-0.082016,0.724591,-0.139314,-0.016063,1.077278,-0.165028,-0.036947,0.896049,-0.163190,-0.095993,0.721479
0.002203,0.012437,0.791142,0.117930,0.012108,0.657353,0.111229,0.012960,0.351249,0.098566,0.059593,0.037553,-0.114948,0.008852,0.658640,-0.112495,0.003155,0.352352,-0.096556,0.061881,0.041138,0.002646,0.017383,0.845059,0.141364,-0.029312,1.076574,0.181728,-0.036630,0.897053,0.180066,-0.081621,0.724508,-0.139339,-0.015949,1.077072,-0.165052,-0.036833,0.895843,-0.163214,-0.095879,0.721273
0.002162,0.012482,0.790933,0.117924,0.012394,0.657175,0.111215,0.013885,0.351074,0.098634,0.060449,0.037372,-0.114951,0.008879,0.658398,-0.112381,0.003307,0.352109,-0.096402,0.062132,0.040924,0.002593,0.017389,0.844853,0.141289,-0.029442,1.076355,0.181464,-0.036748,0.896792,0.179832,-0.081493,0.724319,-0.139412,-0.016055,1.076837,-0.165339,-0.036787,0.895621,-0.163663,-0.095810,0.721044
0.002145,0.012505,0.790827,0.117921,0.012577,0.657080,0.111166,0.014228,0.350981,0.098551,0.060646,0.037262,-0.114950,0.008817,0.658279,-0.112383,0.003023,0.351993,-0.096393,0.061718,0.040787,0.002573,0.017392,0.844749,0.141230,-0.029509,1.076262,0.181250,-0.036945,0.896670,0.179574,-0.081656,0.724310,-0.139464,-0.015958,1.076725,-0.165556,-0.036581,0.895520,-0.164083,-0.095564,0.720931
0.002180,0.012485,0.790926,0.117980,0.012739,0.657200,0.111285,0.014169,0.351099,0.098680,0.060390,0.037346,-0.114888,0.008783,0.658355,-0.112260,0.003241,0.352064,-0.096274,0.062206,0.040909,0.002593,0.017328,0.844853,0.141256,-0.029618,1.076352,0.181317,-0.036866,0.896761,0.179859,-0.081317,0.724422,-0.139452,-0.016358,1.076776,-0.165490,-0.036860,0.895549,-0.163924,-0.095699,0.720912
0.002200,0.012523,0.791100,0.118040,0.012897,0.657408,0.111386,0.014065,0.351305,0.098714,0.060507,0.037579,-0.114826,0.008782,0.658492,-0.112214,0.003202,0.352200,-0.096311,0.061904,0.040987,0.002604,0.017338,0.845029,0.141298,-0.029606,1.076511,0.181192,-0.036979,0.896888,0.179635,-0.081450,0.724620,-0.139409,-0.016345,1.076971,-0.165604,-0.036791,0.895760,-0.164226,-0.095631,0.721125
