body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.711231,-0.008830,-0.004562,-0.702888,0.709294,-0.056634,-0.063263,-0.699780,0.757207,0.047267,0.067750,-0.647930,0.760090,0.009148,0.003007,-0.649746,0.706478,-0.084972,-0.044236,-0.701222,-0.597963,-0.081349,-0.063800,0.794828,-0.601454,-0.000034,0.024372,0.798536,-0.686310,-0.051710,-0.050306,0.723723,-0.670181,-0.106435,0.076081,0.730576,-0.343224,-0.538645,-0.141653,0.756302,0.256726,0.747650,0.210626,-0.575108,-0.703318,0.066081,-0.042758,0.706504,0.684973,0.233701,0.526875,-0.445643,0.698254,0.238804,0.532703,-0.414297
0.711231,-0.008830,-0.004562,-0.702888,0.709294,-0.056634,-0.063263,-0.699780,0.757207,0.047267,0.067750,-0.647930,0.760090,0.009148,0.003007,-0.649746,0.706426,-0.085417,-0.044689,-0.701191,-0.597968,-0.081607,-0.063765,0.794801,-0.601442,-0.001326,0.024774,0.798531,-0.686310,-0.051710,-0.050306,0.723723,-0.670191,-0.103151,0.076098,0.731036,-0.343210,-0.538400,-0.141573,0.756498,0.253159,0.753320,0.215962,-0.567256,-0.703703,0.066554,-0.040183,0.706228,0.685134,0.233665,0.527544,-0.444622,0.698013,0.237193,0.533219,-0.414964
0.711332,-0.008596,-0.004473,-0.702789,0.709361,-0.056900,-0.063540,-0.699666,0.757116,0.047110,0.067563,-0.648068,0.759974,0.009242,0.003642,-0.649877,0.706509,-0.085442,-0.044946,-0.701088,-0.598225,-0.081736,-0.063693,0.794600,-0.601683,-0.001680,0.024897,0.798345,-0.686591,-0.052059,-0.050653,0.723407,-0.670441,-0.101021,0.075747,0.731140,-0.343194,-0.538307,-0.142024,0.756487,0.249790,0.758292,0.221056,-0.560118,-0.704319,0.066660,-0.038602,0.705692,0.685343,0.233610,0.528551,-0.443131,0.697774,0.235461,0.534207,-0.415082
0.711332,-0.008596,-0.004473,-0.702789,0.709361,-0.056900,-0.063540,-0.699666,0.757116,0.047110,0.067563,-0.648068,0.759942,0.010244,0.004814,-0.649892,0.706509,-0.085442,-0.044946,-0.701088,-0.598225,-0.081736,-0.063693,0.794600,-0.601683,-0.001680,0.024897,0.798345,-0.686591,-0.052059,-0.050653,0.723407,-0.670434,-0.100019,0.075783,0.731281,-0.343235,-0.538032,-0.141875,0.756692,0.247522,0.761619,0.224500,-0.555220,-0.704319,0.066660,-0.038602,0.705692,0.685343,0.233610,0.528551,-0.443131,0.697192,0.233904,0.534274,-0.416850
0.711345,-0.008356,-0.004529,-0.702779,0.709345,-0.056944,-0.063229,-0.699706,0.756906,0.046594,0.067160,-0.648392,0.759706,0.009959,0.004333,-0.650176,0.706470,-0.085660,-0.045076,-0.701093,-0.598047,-0.081170,-0.063151,0.794836,-0.601463,-0.000238,0.025373,0.798498,-0.686674,-0.052099,-0.050691,0.723323,-0.670510,-0.099338,0.075743,0.731308,-0.343360,-0.537641,-0.141800,0.756927,0.245716,0.764126,0.227014,-0.551543,-0.704386,0.066942,-0.038871,0.705583,0.685120,0.233392,0.529197,-0.442821,0.696574,0.232432,0.534944,-0.417845
0.711345,-0.008356,-0.004529,-0.702779,0.709345,-0.056944,-0.063229,-0.699706,0.757004,0.045637,0.066043,-0.648460,0.759749,0.008594,0.002737,-0.650154,0.706470,-0.085660,-0.045076,-0.701093,-0.598047,-0.081170,-0.063151,0.794836,-0.601463,-0.000238,0.025373,0.798498,-0.686674,-0.052099,-0.050691,0.723323,-0.670510,-0.099338,0.075743,0.731308,-0.343360,-0.537641,-0.141800,0.756927,0.244093,0.766383,0.229488,-0.548097,-0.704386,0.066942,-0.038871,0.705583,0.685120,0.233392,0.529197,-0.442821,0.695956,0.231641,0.535287,-0.418874
0.711659,-0.008005,-0.004372,-0.702466,0.709691,-0.056254,-0.062451,-0.699481,0.757052,0.045695,0.065932,-0.648412,0.759813,0.007901,0.001387,-0.650092,0.706798,-0.085357,-0.045126,-0.700796,-0.598485,-0.081394,-0.063232,0.794476,-0.601912,0.000187,0.026104,0.798136,-0.686648,-0.052312,-0.050851,0.723320,-0.670490,-0.098983,0.075397,0.731410,-0.342877,-0.537425,-0.141855,0.757289,0.242560,0.767846,0.230860,-0.546150,-0.704331,0.067037,-0.039566,0.705591,0.684683,0.233516,0.529519,-0.443044,0.695568,0.230896,0.535408,-0.419774
0.711974,-0.007830,-0.004275,-0.702149,0.710006,-0.056111,-0.062214,-0.699194,0.757260,0.045526,0.065836,-0.648190,0.760029,0.007117,0.001003,-0.649849,0.707065,-0.085670,-0.045297,-0.700477,-0.598432,-0.081296,-0.063076,0.794539,-0.601846,0.000644,0.026486,0.798172,-0.686461,-0.052331,-0.050798,0.723500,-0.670309,-0.098460,0.075364,0.731650,-0.342722,-0.536913,-0.141521,0.757785,0.241669,0.768783,0.232091,-0.544704,-0.704078,0.067100,-0.040046,0.705810,0.684049,0.233956,0.529697,-0.443580,0.694900,0.230469,0.535462,-0.421044
0.712340,-0.007475,-0.004058,-0.701783,0.710345,-0.056256,-0.062560,-0.698807,0.757620,0.045292,0.065556,-0.647814,0.760353,0.007566,0.001464,-0.649465,0.707458,-0.085296,-0.045120,-0.700137,-0.598815,-0.081578,-0.063388,0.794196,-0.602257,0.000313,0.026216,0.797871,-0.686819,-0.052649,-0.051057,0.723119,-0.670641,-0.098838,0.075075,0.731324,-0.342909,-0.537048,-0.142076,0.757501,0.240943,0.769768,0.233783,-0.542908,-0.704474,0.066771,-0.040235,0.705435,0.684231,0.234000,0.529937,-0.442989,0.695073,0.230513,0.535690,-0.420445
0.712616,-0.007183,-0.003983,-0.701506,0.710580,-0.056501,-0.062909,-0.698517,0.757785,0.045447,0.065782,-0.647587,0.760502,0.008641,0.003124,-0.649271,0.707696,-0.085420,-0.045050,-0.699886,-0.598681,-0.081192,-0.063132,0.794357,-0.602098,0.000481,0.026090,0.797996,-0.686833,-0.052595,-0.051096,0.723107,-0.670670,-0.098271,0.074976,0.731385,-0.343366,-0.536416,-0.142099,0.757737,0.241058,0.769426,0.236068,-0.542353,-0.704441,0.066912,-0.040631,0.705432,0.683695,0.234282,0.530076,-0.443500,0.694681,0.230334,0.535598,-0.421307
